0	Index      	 *	Score 	Summary	Detail	
1	51431 24323	 * 	218.29	DCR|2VULN|2DMG|2ASPD|1CDMG|1DUR	19DMG|24DUST|39ASPD|5LHND|6DUR|7RCR|89VULN|9BPWR|aCDMG
159	52553 23321	   	191.23	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB	13DMG|2CDMG|4ERES|5ZMB|6RCR|7AART|8BEXP|9VULN|aDUST
160	52553 23322	   	191.23	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB|1MSE	13DMG|2CDMG|4ERES|5ZMB|6RCR|7AART|8BEXP|9VULN|aMSE
161	41112 13326	 * 	190.90	DCR|1VULN|2CDMG|1AART|1ASPD|1DMG|1AAC	1LHND|2ASPD|3LIT|4AAC|5aCDMG|6RCR|7DMG|8VULN|9AART
162	51162 12312	   	190.90	DCR|1AART|1VULN|2CDMG|1ASPD|1DMG	1DMG|2DUST|3LIT|4ASPD|59CDMG|6RCR|7VULN|8RPLT|aAART
163	51464 34123	 * 	190.87	DCR|3ASPD|2VULN|1DMG	1DMG|25DUST|359ASPD|4MBVNT|5BPWR|6RCR|7aVULN|8LHND
164	51462 31423	   	190.80	DCR|3DMG|2ASPD|1VULN	157DMG|2DUST|39ASPD|4MBVNT|6RCR|8CGEN|aVULN
165	51462 33334	   	190.80	DCR|3DMG|2ASPD|1VULN	15aDMG|2DUST|37ASPD|4MBVNT|6RCR|8VULN|9MLV
166	51462 33344	   	190.80	DCR|3DMG|2ASPD|1VULN	15aDMG|2DUST|37ASPD|4MBVNT|6RCR|8VULN|9CGEN
167	51462 34234	   	190.80	DCR|3DMG|2ASPD|1VULN	15aDMG|2DUST|38ASPD|4MBVNT|6RCR|7VULN|9MLV
168	51462 34244	   	190.80	DCR|3DMG|2ASPD|1VULN	15aDMG|2DUST|38ASPD|4MBVNT|6RCR|7VULN|9CGEN
169	51464 31334	   	190.80	DCR|3DMG|2ASPD|1VULN	17aDMG|25DUST|35ASPD|4MBVNT|5BPWR|6RCR|8VULN|9MLV
170	51464 31344	   	190.80	DCR|3DMG|2ASPD|1VULN	17aDMG|25DUST|35ASPD|4MBVNT|5BPWR|6RCR|8VULN|9CGEN
171	51464 34344	   	190.80	DCR|3DMG|2ASPD|1VULN	19aDMG|25DUST|35ASPD|4MBVNT|5BPWR|6RCR|7VULN|8CGEN
172	31464 31544	   	190.70	DCR|3DMG|2ASPD|1VULN	1TLV|25DUST|35ASPD|4MBVNT|5BPWR|6RCR|79aDMG|8VULN
173	52551 21221	   	190.58	DCR|2DMG|1VULN|1ASPD|1CDMG|2ZMB|1SELL	13DMG|2CDMG|4ERES|5ASPD|6RCR|7VULN|8SELL|9aZMB
174	32421 23523	   	190.48	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1TLV|2CDMG|3LIT|4DUR|568VULN|7ZMB|9RCR|aDMG
175	55123 21324	   	190.35	DCR|3DMG|2VULN|1NUKE|2DUR|1AAC	16aDMG|2AAC|35RCVC|4aDUR|7NUKE|8aVULN|9RCR|aBPWR
176	51162 12235	   	190.31	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMG|2DUST|3LIT|4ASPD|5CDMG|6RCR|79VULN|8TLV|aZMB
177	41642 33123	   	190.19	DCR|2DMG|2ASPD|1VULN|1ZMB|1DUR	17LHND|27ASPD|3ZMB|46FEWX|57DMG|7BPWR|8RCR|9DUR|aVULN
178	52522 33151	   	190.17	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB	13DMG|2CDMG|4SPLREG|5AART|6DUST|7ZMB|8VULN|9TSLFST|aRCR
179	12543 51222	   	190.13	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ERES|2CDMG|3DMG|4DUST|5RCVC|6AART|7ASPD|8RCR|9VULN|aDUR
180	61622 63121	   	189.99	DCR|2DMG|2ASPD|1AART|1ZMB|1DUR	17DUST|27ASPD|3ZMB|4BEXP|57DMG|6DMSP|7BPWR|8RCR|9DUR|aAART
181	12561 21633	   	189.99	DCR|1VULN|1ASPD|1DMG|1NUKE|1CDMG|1ZMB	14ERES|2CDMG|3DMG|5ASPD|6RCR|7VULN|8LIT|9ZMB|aNUKE
182	63532 14123	   	189.74	DCR|2VULN|2DMG|1ASPD|1ZMB	1DUST|2aVULN|3ZMB|45DMG|6BEXP|7RCR|8LHND|9ASPD
183	24444 22554	   	189.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1TSLFST|2MBVNT|3BEXP|4ASPD|5AART|6DMG|7RCR|8CDMG|9DUR|aVULN
184	63532 14213	   	189.64	DCR|2VULN|2DMG|1ASPD|1ZMB	1DUST|2aVULN|3ZMB|45DMG|6BEXP|7RCR|8ASPD|9LEGI
185	51462 34331	   	189.62	DCR|2VULN|2DMG|1ASPD|1DUR	15DMG|2DUST|3ASPD|4MBVNT|6RCR|79VULN|8CGEN|aDUR
186	24448 21116	 * 	189.59	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1TSLFST|2MBVNT|3BEXP|45ASPD|6AART|7CDMG|8DMG|9VULN|aRCR
187	52224 22523	   	189.53	DCR|3VULN|2DMG|1CDMG	1aDMG|2CDMG|3MLV|4LWND|578VULN|6LIT|9RCR
188	52324 22223	   	189.53	DCR|3VULN|2DMG|1CDMG	1aDMG|2CDMG|3CGEN|4LWND|578VULN|6LIT|9RCR
189	12524 22223	   	189.43	DCR|3VULN|2DMG|1CDMG	1ERES|2CDMG|3aDMG|4LWND|578VULN|6LIT|9RCR
190	32524 22523	   	189.43	DCR|3VULN|2DMG|1CDMG	1TLV|2CDMG|3aDMG|4LWND|578VULN|6LIT|9RCR
191	52344 22223	   	189.43	DCR|3VULN|2DMG|1CDMG	1aDMG|2CDMG|3CGEN|4DUST|578VULN|6LIT|9RCR
192	52451 22223	   	189.43	DCR|3VULN|2DMG|1CDMG	1aDMG|2CDMG|3LIT|4BEXP|568VULN|7ERES|9RCR
193	12544 22223	   	189.33	DCR|3VULN|2DMG|1CDMG	1ERES|2CDMG|3aDMG|4DUST|578VULN|6LIT|9RCR
194	32423 13552	   	189.30	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1TLV|2CDMG|3LIT|4DUR|57DMG|6RCR|8VULN|9RPLT|aAART
195	12432 23341	   	189.20	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1ERES|2CDMG|3LIT|4MBVNT|5AART|6RCR|78DMG|9VULN|aDUR
196	51532 33622	   	188.96	DCR|3DMG|2VULN|1ASPD|1NUKE|1AAC	158DMG|28DUST|38VULN|4NUKE|6AAC|7RMIN|8BPWR|9ASPD|aRCR
197	12432 23374	   	188.94	DCR|3DMG|2AART|1CDMG	1aERES|2CDMG|3aLIT|4MBVNT|59AART|6RCR|78aDMG|aBPWR
198	41357 41433	 * 	188.90	ACR|4VULN|2DMG|1ASPD|1AAC	18LHND|2ASPD|3RCR|4MBVNT|5AAC|689aVULN|78DMG|8BPWR
199	53532 12113	   	188.78	DCR|2VULN|2DMG|1CDMG|1ZMB	1aDMG|2ZMB|3LIT|47VULN|5CDMG|6RCR|8LWND|9RCVC
200	52422 12241	   	188.78	DCR|2DMG|1VULN|1AART|1CDMG|2DUR	17DMG|2CDMG|37LIT|47DUR|5AART|6RCVC|7BPWR|8VULN|9BASARM|aRCR
201	63213 51135	 * 	188.63	DCR|3VULN|1MDPS|1AART|1DMG	1DUST|267VULN|3AART|4DMG|5BEXP|8ERES|9RCR|aMDPS
202	63213 51235	   	188.63	DCR|3VULN|1MDPS|1AART|1DMG	1DUST|267VULN|3AART|4DMG|5BEXP|8TLV|9RCR|aMDPS
203	52511 32326	   	188.55	DCR|3DMG|1AART|1VULN|1CDMG|1AAC	137DMG|2CDMG|4DMSP|5AART|6ERES|8AAC|9VULN|aRCR
204	24447 53214	 * 	188.46	DCR|3DMG|3ASPD|1DUR	178TSLFST|2MBVNT|3BEXP|478ASPD|578DMG|6RCR|78BPWR|9LHND|aDUR
205	24447 53244	   	188.46	DCR|3DMG|3ASPD|1DUR	178TSLFST|2MBVNT|3BEXP|478ASPD|578DMG|6RCR|78BPWR|9AME|aDUR
206	12432 23846	 * 	188.32	DCR|2DMG|1VULN|2CDMG|1AART	1ERES|28CDMG|3LIT|4MBVNT|5AART|6RCR|7aDMG|9VULN
207	12432 23347	   	188.32	DCR|2DMG|1VULN|2CDMG|1AART	1ERES|2aCDMG|3LIT|4MBVNT|5AART|6RCR|78DMG|9VULN
