0	Index      	 *	Score 	Summary	Detail	
1	21521 43431	 * 	302.41	ACR|4VULN|2TLV|1AEFBLL	1RAT|2789VULN|3aTLV|4LWND|5RCR|6AEFBLL
162	25133 34145	   	273.44	DCR|2TLV|1VULN|1AEFBLL|1DMG|2CDMG|2RAT	19RAT|2DMG|39TLV|4MBVNT|5VULN|6CANARM|7RCR|89CDMG|9BPWR|aAEFBLL
163	25133 84141	   	273.44	DCR|2TLV|1VULN|1DMG|1AEPOI|2CDMG|2RAT	19RAT|2DMG|39TLV|4MBVNT|5VULN|6RCR|7SPLREG|89CDMG|9BPWR|aAEPOI
164	25133 84145	   	273.44	DCR|2TLV|1VULN|1AEFBLL|1DMG|2CDMG|2RAT	19RAT|2DMG|39TLV|4MBVNT|5VULN|6RCR|7SPLREG|89CDMG|9BPWR|aAEFBLL
165	21421 62221	   	273.36	DCR|2TLV|2VULN|1AEPOI	1RAT|26VULN|3DUR|4LHND|56TLV|6BPWR|7AEPOI|8ZMB|9RCR|aFEWX
166	21421 62223	   	273.26	DCR|2TLV|2VULN|1AEPOI|1MSE	1RAT|26VULN|3DUR|4LHND|56TLV|6BPWR|7AEPOI|8ZMB|9RCR|aMSE
167	21421 62224	   	273.26	DCR|2TLV|2VULN|1AEPOI	1RAT|26VULN|3DUR|4LHND|56TLV|6BPWR|7AEPOI|8ZMB|9RCR|aERES
168	21421 62225	   	273.26	DCR|2TLV|2VULN|1AEPOI	1RAT|26VULN|3DUR|4LHND|56TLV|6BPWR|7AEPOI|8ZMB|9RCR|aDUST
169	63312 43326	   	273.04	DCR|2TLV|2VULN|1AEBURN|1CDMG	1RCVC|2LIT|3AEBURN|4DUR|56TLV|7CDMG|8aVULN|9RCR
170	63322 43226	   	273.04	DCR|2TLV|2VULN|1AEBURN|1CDMG	1RCVC|2LIT|3AEBURN|4aVULN|56TLV|7CDMG|8DUR|9RCR
171	21146 42222	   	272.74	DCR|3VULN|1TLV|2DMG	1RAT|247VULN|34DMG|4BPWR|5RMIN|6ERES|8MLV|9RCR|aTLV
172	42413 22312	   	272.69	ACR|2TLV|2VULN|1DMG|1ASPD|1SELL	1SELL|2RCR|37VULN|46TLV|56MSLREG|6BPWR|8DMG|9ASPD|aDUR
173	42416 22312	   	272.69	ACR|2TLV|2VULN|1DMG|1ASPD|1SELL	1SELL|2RCR|37VULN|46TLV|56MULHEA|6BPWR|8DMG|9ASPD|aDUR
174	42413 22352	 * 	272.69	ACR|3TLV|2VULN|1DMG|1SELL	1SELL|2RCR|37VULN|46aTLV|56MSLREG|6BPWR|8DMG|9DUR
175	51611 24112	 * 	272.51	ACR|DCR|2TLV|1DMG|2DUR	13DUR|2NUKE|49RCR|57TLV|6RCVC|8AIRARM|aDMG
176	51611 34112	   	272.51	ACR|DCR|2TLV|1DMG|2DUR	13DUR|2NUKE|49RCR|57TLV|6DMSP|8AIRARM|aDMG
177	21511 63122	   	272.49	ACR|DCR|1TLV|1VULN|1AEPOI	1RAT|2VULN|3TLV|4BEXP|59RCR|6RPLT|7CGEN|8RMIN|aAEPOI
178	21521 63122	   	272.49	ACR|DCR|1TLV|1VULN|1AEPOI	1RAT|2VULN|3TLV|4LWND|59RCR|6RPLT|7CGEN|8RMIN|aAEPOI
179	21561 63122	   	272.49	ACR|DCR|1TLV|1VULN|1AEPOI	1RAT|2VULN|3TLV|4FEWX|59RCR|6RPLT|7CGEN|8RMIN|aAEPOI
180	21361 62322	   	272.49	ACR|DCR|1TLV|1VULN|1AEPOI	1RAT|2VULN|3FEWX|4CGEN|59RCR|6RPLT|7RMIN|8TLV|aAEPOI
181	21661 62322	   	272.49	ACR|DCR|1TLV|1VULN|1AEPOI	1RAT|2VULN|3LHND|4CGEN|59RCR|6RPLT|7RMIN|8TLV|aAEPOI
182	35411 62322	   	272.49	ACR|DCR|1TLV|1VULN|1AEPOI	1CGEN|2RAT|3VULN|4BEXP|59RCR|6RPLT|7RMIN|8TLV|aAEPOI
183	35421 62322	   	272.49	ACR|DCR|1TLV|1VULN|1AEPOI	1CGEN|2RAT|3VULN|4LWND|59RCR|6RPLT|7RMIN|8TLV|aAEPOI
