0	Index      	 *	Score 	Summary	Detail	
1	14323 11463	 * 	211.68	ACR|3DMG|2VULN|1AART|1CDMG|1ZMB|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9CDMG|aZMB
175	15236 21112	   	183.57	DCR|3DMG|2VULN|1AART|1ZMB	13aDMG|2RCVC|36BPWR|46VULN|56MLV|7ZMB|8AART|9RCR
176	14323 14141	   	183.57	ACR|3VULN|3DMG|2DUR	124DMG|246BPWR|3RCR|569VULN|7FEWX|8aDUR
177	14323 16341	   	183.57	ACR|3VULN|3DMG|2DUR	124DMG|246BPWR|3RCR|569VULN|7LHND|8aDUR
178	43312 22636	   	183.54	ACR|4VULN|2DMG|2ASPD	149aVULN|29ASPD|3RCR|5MLV|6FEWX|79DMG|8BELT|9BPWR
179	15236 61112	   	183.47	DCR|3DMG|2VULN|1AART|1ZMB	13aDMG|2RCVC|3BPWR|46VULN|5MLV|7ZMB|8AART|9RCR
180	15231 13621	   	183.47	DCR|3DMG|2VULN|1AART|1ZMB	135DMG|2RCVC|35BPWR|45VULN|6DUST|7LHND|8AART|9RCR|aZMB
181	14322 33374	   	183.47	ACR|3VULN|3DMG|2DUR	124DMG|24BPWR|3RCR|5MBVNT|69DUR|78aVULN
182	14323 12236	   	183.47	ACR|3VULN|3DMG|2DUR	124DMG|246BPWR|3RCR|569VULN|7SNIHEL|8aDUR
183	14323 13141	   	183.47	ACR|3VULN|3DMG|2DUR	124DMG|246BPWR|3RCR|569VULN|7DUST|8aDUR
184	14323 15151	   	183.47	ACR|3VULN|3DMG|2DUR	124DMG|246BPWR|3RCR|569VULN|7MBVNT|8aDUR
185	11315 62523	   	183.45	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	1DMG|2LHND|3RCR|49VULN|5TLV|6CDMG|78AART|aZMB
186	11316 62313	   	183.44	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD|1SELL	19aDMG|2LHND|3RCR|4VULN|5SELL|6ASPD|7AART|8CDMG
187	11313 15423	   	183.44	ACR|4VULN|2DMG|1CDMG	19DMG|26LHND|3RCR|468aVULN|5LEGI|6BPWR|7CDMG
188	43314 52131	   	183.44	ACR|4VULN|2DMG|2ASPD	1468VULN|26ASPD|3RCR|5DMSP|6BPWR|7aDMG|9RPLT
189	11333 64325	   	183.44	ACR|4VULN|2DMG|1CDMG	17DMG|2LHND|3RCR|4RMIN|589aVULN|6CDMG
190	11333 66321	   	183.44	ACR|4VULN|2DMG|1CDMG	1aDMG|2LHND|3RCR|4RMIN|5789VULN|6CDMG
191	22245 22111	   	183.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2AART|3LHND|45DMG|6RPLT|7aVULN|8RCR|9CDMG
192	22245 22141	   	183.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2AART|3LHND|45DMG|6RPLT|79VULN|8RCR|aCDMG
193	11315 66321	   	183.34	ACR|4VULN|2DMG|1CDMG	1aDMG|2LHND|3RCR|4789VULN|5TLV|6CDMG
194	11353 15316	   	183.29	ACR|4VULN|2DMG|1CDMG|1SELL	16DMG|2LHND|3RCR|4BEXP|568aVULN|6BPWR|7CDMG|9SELL
195	14315 14233	   	183.14	ACR|3DMG|1VULN|2CDMG|1ZMB|1DUR|1ASPD	128DMG|28BPWR|3RCR|48FEWX|5ASPD|6ZMB|78CDMG|9DUR|aVULN
196	14323 11227	   	183.11	ACR|3DMG|2VULN|1CDMG|1DUR|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8MBVNT|9DUR|aCDMG
197	14323 15427	   	183.11	ACR|3DMG|2VULN|1CDMG|1DUR|1ASPD	124DMG|246BPWR|3RCR|56VULN|7MBVNT|8ASPD|9DUR|aCDMG
198	14122 46323	   	183.11	DCR|3DMG|2VULN|1AART|1DUR	124DMG|24BPWR|34LHND|5DUR|6FEWX|7RCR|89VULN|aAART
199	43314 53132	   	183.09	ACR|3VULN|1AART|1DMG|2ASPD|1DUR	146VULN|26ASPD|3RCR|57DMSP|6BPWR|8AART|9DUR|aDMG
200	16483 44211	   	183.04	ACR|4VULN|3DMG	178DMG|2LIT|3MBVNT|4RCR|578VENICY|678aVULN|78BPWR|9BEXP
201	16483 44231	   	183.04	ACR|4VULN|3DMG	178DMG|2LIT|3MBVNT|4RCR|578VENICY|678aVULN|78BPWR|9LWND
202	16483 44244	   	183.04	ACR|4VULN|3DMG	178DMG|2LIT|3MBVNT|4RCR|578VENICY|678aVULN|78BPWR|9RMIN
203	14222 46323	   	183.01	DCR|3DMG|2VULN|1AART|1DUR	123DMG|23BPWR|4LHND|5DUR|6FEWX|7RCR|89VULN|aAART
204	14322 44384	   	182.88	ACR|3DMG|2VULN|1CDMG|1FLTHEA	124DMG|24BPWR|3RCR|5MBVNT|6RPLT|79VULN|8CDMG|aFLTHEA
205	14322 33224	   	182.87	ACR|3DMG|2VULN|2ZMB|2DUR	124DMG|24aBPWR|3RCR|5MBVNT|6aDUR|7aVULN|8RPLT|9aZMB
206	23345 22111	   	182.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2LHND|3AART|45DMG|6RPLT|7aVULN|8RCR|9CDMG
207	23345 22141	   	182.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2LHND|3AART|45DMG|6RPLT|79VULN|8RCR|aCDMG
208	11364 32321	   	182.69	ACR|3VULN|2DMG|2CDMG|1ASPD	1aDMG|25LHND|3RCR|45CDMG|5BPWR|6ASPD|789VULN
209	14322 33157	   	182.63	ACR|3DMG|2VULN|2ZMB|2DUR|1SELL	124DMG|24aBPWR|3RCR|5MBVNT|6aDUR|7aVULN|8SELL|9aZMB
210	14322 34457	   	182.63	ACR|3DMG|2VULN|2ZMB|2DUR|1SELL	124DMG|24aBPWR|3RCR|5MBVNT|6aDUR|7SELL|8aVULN|9aZMB
211	14322 34737	   	182.63	ACR|3DMG|2VULN|2ZMB|2DUR|1SELL	124DMG|24aBPWR|3RCR|5MBVNT|6aDUR|7SELL|8aZMB|9aVULN
212	11363 32321	   	182.59	ACR|3VULN|2DMG|2CDMG|1ASPD	1aDMG|2LHND|3RCR|45CDMG|6ASPD|789VULN
213	43363 13321	   	182.59	ACR|3VULN|2DMG|2CDMG|1ASPD	189VULN|2ASPD|3RCR|45CDMG|6LHND|7aDMG
214	43363 42321	   	182.59	ACR|3VULN|2DMG|2CDMG|1ASPD	189VULN|2ASPD|3RCR|45CDMG|6LWND|7aDMG
215	14332 22311	   	182.49	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD	125DMG|2BPWR|3RCR|4RCVC|6ASPD|7CDMG|8VULN|9AART|aLWND
216	14332 22613	   	182.49	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD	125DMG|2BPWR|3RCR|4RCVC|6ASPD|7CDMG|8BEXP|9AART|aVULN
217	15322 22311	   	182.49	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD	145DMG|2RCVC|3RCR|4BPWR|6ASPD|7CDMG|8VULN|9AART|aLWND
218	15322 22613	   	182.49	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD	145DMG|2RCVC|3RCR|4BPWR|6ASPD|7CDMG|8BEXP|9AART|aVULN
219	14332 22312	   	182.39	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD	125DMG|2BPWR|3RCR|4RCVC|6ASPD|7CDMG|8VULN|9AART|aDUST
220	15322 22312	   	182.39	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD	145DMG|2RCVC|3RCR|4BPWR|6ASPD|7CDMG|8VULN|9AART|aDUST
221	14332 22316	   	182.24	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD|1SELL	125DMG|2BPWR|3RCR|4RCVC|6ASPD|7CDMG|8VULN|9AART|aSELL
222	15322 22316	   	182.24	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD|1SELL	145DMG|2RCVC|3RCR|4BPWR|6ASPD|7CDMG|8VULN|9AART|aSELL
223	14322 13381	   	182.14	ACR|3VULN|3DMG|1ZMB	124DMG|24BPWR|3RCR|5MBVNT|6DUST|78aVULN|9ZMB
224	11353 12344	   	182.12	ACR|4VULN|2DMG|2DUR	16DMG|2LHND|3RCR|4BEXP|568aVULN|6BPWR|79DUR
225	11362 63241	 * 	181.89	ACR|3DMG|2VULN|3CDMG	179DMG|2LHND|3RCR|469CDMG|5aRPLT|89VULN|9BPWR
226	11362 63242	   	181.89	ACR|3DMG|2VULN|3CDMG	179DMG|2LHND|3RCR|469CDMG|5RPLT|89VULN|9BPWR|aBEXP
227	11362 63243	   	181.89	ACR|3DMG|2VULN|3CDMG	179DMG|2aLHND|3RCR|469CDMG|5RPLT|89VULN|9BPWR
228	11314 12421	   	181.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	16DMG|2LHND|3RCR|4aVULN|56FEWX|6BPWR|7DUR|8ZMB|9AART
