0	Index      	 *	Score 	Summary	Detail	
1	43324 62213	 * 	198.36	DCR|2VULN|2DMG|1AART|3CDMG|1DUR	19DMG|2AART|3DUR|49VULN|5RMIN|69aCDMG|7RCR|8RPLT|9BPWR
163	45222 21511	   	171.35	DCR|2VULN|2DMG|1AART|1ASPD	15DMG|2RPLT|3aERES|49VULN|6RCR|7AART|8ASPD
164	43342 23223	   	171.31	DCR|2DMG|1AART|2CDMG|1ZMB|1ASPD|1DUR	19DMG|2AART|3DUR|47CDMG|5ZMB|6ASPD|8RCR|aRCVC
165	32316 25153	   	171.29	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1FEWX|2aVULN|3LIT|4ASPD|5aDUST|6DUR|7AART|8aDMG|9RCR|aBPWR
166	43222 21534	   	171.02	DCR|2VULN|2DMG|1AART|1ZMB	18DMG|2AART|3DUST|45VULN|6ERES|7RCVC|9ZMB|aRCR
167	13152 23646	 * 	171.01	DCR|3VULN|1AART|1FLTHEA|1ZMB|1ASPD	1FLTHEA|2ERES|3ZMB|4AART|56aVULN|7MBVNT|8RCR|9ASPD
168	13152 23663	   	171.01	DCR|3VULN|1AART|1FLTHEA|1ZMB|1DUR	1FLTHEA|2ERES|3ZMB|4AART|56aVULN|7MBVNT|8RCR|9DUR
169	45322 22413	   	170.92	DCR|3VULN|3DMG	159DMG|2RPLT|3RMIN|47aVULN|6RCR|8LWND
170	45322 22313	   	170.82	DCR|3VULN|3DMG	159DMG|2RPLT|3RMIN|47aVULN|6RCR|8MBVNT
171	32332 65533	 * 	170.78	DCR|4VULN|1AART|1DMG	1FEWX|248aVULN|3LIT|5AART|6DMG|7RPLT|9RCR
172	13152 32563	 * 	170.72	DCR|2VULN|1AART|2ZMB|1CDMG|1FLTHEA	1FLTHEA|27ERES|38ZMB|4AART|5aVULN|6RCR|9CDMG
173	43322 35241	   	170.71	DCR|3VULN|1AART|1DMG|2DUR	1DMG|2AART|38DUR|456VULN|7CGEN|9RCR|aBEXP
174	42413 35122	   	170.67	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1DMG|2ZMB|3RCVC|4RMIN|59VULN|6aDUR|7RCR|8AART
175	43421 22326	   	170.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DMG|2AART|3FEWX|48VULN|5BEXP|6RCR|7CGEN|9ASPD|aCDMG
176	43622 22326	   	170.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DMG|2AART|3BEXP|48VULN|5FEWX|6RCR|7CGEN|9ASPD|aCDMG
177	43322 24241	   	170.61	DCR|3VULN|1AART|1DMG|2DUR	1DMG|2AART|38DUR|457VULN|6ERES|9RCR|aBEXP
178	43322 36241	   	170.61	DCR|3VULN|1AART|1DMG|2DUR	1DMG|2AART|38DUR|456VULN|7ERES|9RCR|aBEXP
179	43322 35242	   	170.61	DCR|3VULN|1AART|1DMG|2DUR	1DMG|2AART|38DUR|456VULN|7CGEN|9RCR|aERES
180	43322 35243	   	170.61	DCR|3VULN|1AART|1DMG|2DUR	1DMG|2AART|38DUR|456VULN|7CGEN|9RCR|aSNIHEL
181	45222 23611	   	170.57	DCR|3VULN|3DMG|1SELL	157DMG|2RPLT|3ERES|48aVULN|6RCR|9SELL
182	45222 23612	   	170.57	DCR|3VULN|3DMG|1SELL	157DMG|2RPLT|3aERES|48aVULN|6RCR|9SELL|aBPWR
183	43221 21234	   	170.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2AART|3DUST|47VULN|5BEXP|6RCR|8FEWX|9CDMG|aDUR
184	43221 21434	   	170.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2AART|3DUST|47VULN|5BEXP|6RCR|8LHND|9CDMG|aDUR
185	43221 21534	   	170.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2AART|3DUST|47VULN|5BEXP|6RCR|8LWND|9CDMG|aDUR
186	43623 21234	   	170.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2AART|3BEXP|47VULN|5LEGI|6RCR|8FEWX|9CDMG|aDUR
187	43623 22326	   	170.51	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DMG|2AART|3BEXP|48VULN|5LEGI|6RCR|7CGEN|9ASPD|aCDMG
188	43322 24242	   	170.51	DCR|3VULN|1AART|1DMG|2DUR	1DMG|2AART|38DUR|457VULN|6aERES|9RCR
189	43322 24243	   	170.51	DCR|3VULN|1AART|1DMG|2DUR	1DMG|2AART|38DUR|457VULN|6ERES|9RCR|aLEGI
190	43322 36242	   	170.51	DCR|3VULN|1AART|1DMG|2DUR	1DMG|2AART|38DUR|456VULN|7aERES|9RCR
191	43322 36243	   	170.51	DCR|3VULN|1AART|1DMG|2DUR	1DMG|2AART|38DUR|456VULN|7ERES|9RCR|aLEGI
192	43342 26223	   	170.29	DCR|2DMG|1AART|1CDMG|2DUR|1ZMB|1ASPD	19DMG|2AART|37DUR|4CDMG|5ZMB|6ASPD|8RCR|aRCVC
193	42362 35132	   	170.21	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	15DMG|2ZMB|3RMIN|4VULN|6DUR|7RCR|8AART|9ASPD|aRCVC
194	45331 24122	   	170.12	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2RPLT|3RMIN|4RCVC|59VULN|6RCR|7CDMG|8AART|aDUR
195	42622 13522	   	170.06	DCR|3DMG|2VULN|2ZMB|1DUR	157DMG|2aZMB|3DUR|48aCGEN|6aVULN|9RCR|aBPWR
196	43342 23221	   	170.01	DCR|2DMG|1AART|2CDMG|1ZMB|1ASPD|1DUR	19DMG|2AART|3DUR|47CDMG|5ZMB|6ASPD|8RCR|aLWND
197	43342 23222	   	170.01	DCR|2DMG|1AART|2CDMG|1ZMB|1ASPD|1DUR	19DMG|2AART|3DUR|47CDMG|5ZMB|6ASPD|8RCR|aFEWX
198	16623 25312	 * 	169.92	DCR|3VULN|1AART|1CDMG|1FLTHEA	1FLTHEA|23aVULN|4CDMG|5LSRICY|6RCR|7AART|89LWND
199	16623 25322	   	169.92	DCR|3VULN|1AART|1CDMG|1FLTHEA	1FLTHEA|23aVULN|4CDMG|5LSRICY|6RCR|7AART|8LWND|9LHND
200	16623 25332	   	169.92	DCR|3VULN|1AART|1CDMG|1FLTHEA	1FLTHEA|23aVULN|4CDMG|5LSRICY|6RCR|7AART|8LWND|9BEXP
201	43342 23224	   	169.91	DCR|2DMG|1AART|2CDMG|1ZMB|1ASPD|1DUR	19DMG|2AART|3DUR|47CDMG|5ZMB|6ASPD|8RCR|aDUST
202	43623 21433	   	169.89	DCR|2VULN|1AART|1DMG|2CDMG	1DMG|2AART|3BEXP|47VULN|5LEGI|6RCR|8LHND|9aCDMG
203	13152 35353	 * 	169.87	DCR|1AART|1VULN|1FLTHEA|2ASPD|1CDMG|1ZMB|1DUR	1FLTHEA|2ERES|3ZMB|4AART|5VULN|6RCR|7DUR|8CDMG|9aASPD
204	16623 25112	   	169.82	DCR|3VULN|1AART|1CDMG|1FLTHEA	1FLTHEA|23aVULN|4CDMG|5LSRICY|6RCR|7AART|8DUST|9LWND
205	45222 24312	   	169.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	15DMG|2RPLT|3ERES|4VULN|6RCR|7CDMG|8ZMB|9RMIN|aAART
206	16623 22521	   	169.78	DCR|2VULN|1AART|2CDMG|1FLTHEA|1ZMB	1FLTHEA|23VULN|49CDMG|5LSRICY|6RCR|7CGEN|8ZMB|aAART
207	43223 62226	   	169.75	DCR|2VULN|2DMG|1AART|1DUR	1aDMG|2AART|3DUST|4aVULN|5DUR|6LIT|7aBEXP|8RCR|9MBVNT|aBPWR
208	45222 24332	   	169.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	15DMG|2RPLT|3ERES|4VULN|6RCR|7CDMG|8ZMB|9TLV|aAART
209	43422 61321	   	169.63	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|2AART|3FEWX|457VULN|6LIT|8CDMG|9MBVNT|aRCR
210	45312 23351	   	169.62	DCR|3DMG|1AART|1VULN|1DUR	159DMG|2RPLT|3RMIN|4DUR|6RCR|7AART|8CGEN|aVULN
211	16622 33521	   	169.58	DCR|2VULN|1AART|2CDMG|1FLTHEA|1ZMB	1FLTHEA|23VULN|49CDMG|5TLV|6RCR|7AIRHEA|8ZMB|aAART
212	43222 61321	   	169.53	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|2AART|3DUST|457VULN|6LIT|8CDMG|9MBVNT|aRCR
213	45222 21532	   	169.52	DCR|3DMG|1AART|1VULN|1ASPD	15aDMG|2RPLT|3ERES|4VULN|6RCR|7AART|8ASPD|9FEWX
214	16631 61133	   	169.52	DCR|3VULN|1DMG|1FLTHEA|1CDMG|1ASPD	1FLTHEA|234VULN|5DMG|6DMSP|7RCR|8ASPD|9CDMG|aBELT
215	16631 61233	   	169.52	DCR|3VULN|1DMG|1FLTHEA|1CDMG|1ASPD	1FLTHEA|234VULN|5DMG|6DMSP|7RCR|8CDMG|9ASPD|aBELT
216	43322 21541	   	169.46	DCR|2VULN|2DMG|1AART|1DUR	18DMG|2AART|3DUR|45VULN|6ERES|7RCVC|9RCR|aBEXP
217	13152 33126	   	169.44	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1FLTHEA|2ERES|3ZMB|4AART|5VULN|6RCR|7RPLT|8LWND|9DMG|aCDMG
218	45222 21523	   	169.42	DCR|3DMG|1AART|1VULN|1ASPD	159DMG|2RPLT|3ERES|4VULN|6RCR|7AART|8ASPD|aLEGI
219	45222 21422	   	169.42	DCR|3DMG|1AART|1VULN|1DUR	159DMG|2RPLT|3ERES|4VULN|6RCR|7AART|8NUKE|aDUR
220	16631 61132	   	169.42	DCR|3VULN|1DMG|1FLTHEA|1CDMG|1ASPD	1FLTHEA|234VULN|5DMG|6DMSP|7RCR|8ASPD|9CDMG|aDUST
221	16631 61232	   	169.42	DCR|3VULN|1DMG|1FLTHEA|1CDMG|1ASPD	1FLTHEA|234VULN|5DMG|6DMSP|7RCR|8CDMG|9ASPD|aDUST
222	43322 21542	   	169.36	DCR|2VULN|2DMG|1AART|1DUR	18DMG|2AART|3DUR|45VULN|6aERES|7RCVC|9RCR
223	43322 21543	   	169.36	DCR|2DMG|2VULN|1AART|1DUR	18DMG|2AART|3DUR|45VULN|6ERES|7RCVC|9RCR|aLEGI
224	13152 36363	   	169.34	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1FLTHEA|2ERES|3ZMB|4AART|5VULN|6RCR|7FEWX|8CDMG|9LSRHEA|aDMG
225	16623 23313	   	169.32	DCR|3VULN|1AART|1CDMG|1FLTHEA	1FLTHEA|23aVULN|4CDMG|5LSRICY|6RCR|7LIT|8AART|9LHND
226	16623 23353	   	169.32	DCR|3VULN|1AART|1CDMG|1FLTHEA	1FLTHEA|23aVULN|4CDMG|5LSRICY|6RCR|7LIT|8AART|9LWND
227	14152 33222	 * 	169.24	DCR|1AART|1VULN|2FLTHEA|2ASPD|1CDMG|1ZMB	19FLTHEA|279TLV|3ZMB|4AART|5VULN|6RCR|89ASPD|9BPWR|aCDMG
228	16623 23343	   	169.22	DCR|3VULN|1AART|1CDMG|1FLTHEA	1FLTHEA|23aVULN|4CDMG|5LSRICY|6RCR|7LIT|8AART|9DUST
229	16623 23363	   	169.22	DCR|3VULN|1AART|1CDMG|1FLTHEA	1FLTHEA|23aVULN|4CDMG|5LSRICY|6RCR|7LIT|8AART|9LEGI
230	16626 23313	   	169.22	DCR|3VULN|1AART|1FLTHEA|1CDMG	1FLTHEA|23aVULN|4CDMG|5SNIHEL|6RCR|7LIT|8AART|9LHND
231	11645 31233	   	169.16	DCR|2VULN|2DMG|1AART|1FLTHEA	1FLTHEA|2DUST|38VULN|46DMG|5LIT|7BELT|9RCR|aAART
232	16413 61211	 * 	169.03	DCR|3VULN|1AART|1DMG|1FLTHEA	1FLTHEA|245VULN|345ERES|45BPWR|6DMG|7AART|8RPLT|9RCR|aFEWX
233	16413 61212	   	169.03	DCR|3VULN|1AART|1DMG|1FLTHEA	1FLTHEA|245VULN|345ERES|45BPWR|6DMG|7AART|8RPLT|9RCR|aCGEN
234	43312 51612	 * 	169.01	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1DMG|29AART|3DUR|4ASPD|5LHND|6BELT|7RCR|8CDMG|aVULN
235	43342 26221	   	168.99	DCR|2DMG|1AART|1CDMG|2DUR|1ZMB|1ASPD	19DMG|2AART|37DUR|4CDMG|5ZMB|6ASPD|8RCR|aLWND
236	43342 26222	   	168.99	DCR|2DMG|1AART|1CDMG|2DUR|1ZMB|1ASPD	19DMG|2AART|37DUR|4CDMG|5ZMB|6ASPD|8RCR|aFEWX
237	43421 21352	   	168.92	DCR|2VULN|2DMG|1AART	18DMG|2AART|39FEWX|47VULN|5BEXP|6RCR|aRCVC
238	43421 25322	   	168.92	DCR|2VULN|2DMG|1AART	18DMG|2AART|37FEWX|49VULN|5BEXP|6RCR|aRCVC
239	43622 21352	   	168.92	DCR|2VULN|2DMG|1AART	18DMG|2AART|3BEXP|47VULN|59FEWX|6RCR|aRCVC
240	43622 25322	   	168.92	DCR|2VULN|2DMG|1AART	18DMG|2AART|3BEXP|49VULN|57FEWX|6RCR|aRCVC
241	45322 22115	 * 	168.91	DCR|3DMG|2VULN|1CDMG	159DMG|2RPLT|3RMIN|47VULN|6RCR|8FEWX|aCDMG
242	42362 35131	   	168.91	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	15DMG|2ZMB|3RMIN|4VULN|6DUR|7RCR|8AART|9ASPD|aLHND
243	42362 35133	   	168.91	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	15DMG|2ZMB|3RMIN|4VULN|6DUR|7RCR|8AART|9ASPD|aCGEN
244	43222 35134	   	168.89	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|2AART|3DUST|456VULN|7CGEN|8RCVC|9ZMB|aRCR
245	45322 22316	   	168.81	DCR|3DMG|2VULN|1CDMG	159DMG|2RPLT|3RMIN|47VULN|6RCR|8MBVNT|aCDMG
246	43222 24134	   	168.79	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|2AART|3DUST|457VULN|6ERES|8RCVC|9ZMB|aRCR
247	43222 36134	   	168.79	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|2AART|3DUST|456VULN|7ERES|8RCVC|9ZMB|aRCR
248	43421 21122	   	168.76	DCR|3VULN|1AART|1DMG	1DMG|2AART|3FEWX|479VULN|5BEXP|6RCR|8aRCVC
249	43622 21122	   	168.76	DCR|3VULN|1AART|1DMG	1DMG|2AART|3BEXP|479VULN|5FEWX|6RCR|8aRCVC
250	16625 32221	   	168.72	DCR|3VULN|1AART|1CDMG|1FLTHEA	1FLTHEA|23aVULN|4CDMG|5CGEN|6RCR|7LWND|8BEXP|9AART
251	43221 21122	   	168.66	DCR|3VULN|1AART|1DMG	1DMG|2AART|3DUST|479VULN|5BEXP|6RCR|8aRCVC
252	16622 32221	   	168.62	DCR|3VULN|1AART|1CDMG|1FLTHEA	1FLTHEA|23aVULN|4CDMG|5TLV|6RCR|7LWND|8BEXP|9AART
253	13152 42513	   	168.58	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1FLTHEA|2ERES|3ZMB|4AART|5aVULN|6DMG|7RMIN|8RCR|9LHND
254	13152 42523	   	168.58	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1FLTHEA|2ERES|3ZMB|4AART|5aVULN|6DMG|7RMIN|8RCR|9FEWX
255	43311 51115	   	168.57	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DMG|2AART|3DUR|4ASPD|5VULN|6BELT|7RCR|8LWND|9ZMB|aCDMG
256	36262 35121	   	168.55	DCR|2VULN|2DMG|1AART|1DUR	1FEWX|2DMSP|35DMG|49VULN|6DUR|7RCR|8AART|aBEXP
257	36262 35123	   	168.55	DCR|2VULN|2DMG|1AART|1DUR	1FEWX|2DMSP|35DMG|49VULN|6DUR|7RCR|8AART|aLHND
258	61262 35121	   	168.55	DCR|2VULN|2DMG|1AART|1DUR	12aBEXP|35DMG|49VULN|6DUR|7RCR|8AART
259	61262 35122	   	168.55	DCR|2VULN|2DMG|1AART|1DUR	12BEXP|35DMG|49VULN|6DUR|7RCR|8AART|aBELT
260	16624 13211	   	168.52	DCR|3VULN|1AART|1CDMG|1FLTHEA	1FLTHEA|236VULN|4CDMG|5RCVC|7RCR|8FEWX|9LSRICY|aAART
261	13152 41523	   	168.48	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1FLTHEA|2ERES|3ZMB|4AART|5aVULN|6DMG|7LEGI|8RCR|9MLV
262	61262 35123	   	168.45	DCR|2VULN|2DMG|1AART|1DUR	12BEXP|35DMG|49VULN|6DUR|7RCR|8AART|aMBVNT
263	43341 23263	   	168.44	DCR|1AART|1VULN|1DMG|2CDMG|2DUR|1ZMB	1DMG|2AART|35DUR|47CDMG|6LHND|8ZMB|9RCR|aVULN
