0	Index      	 *	Score 	Summary	Detail	
1	33635 11253	 * 	218.66	DCR|3DMG|2VULN|1AART|2CDMG|1AAC	1aLHND|2AAC|38CDMG|45aDMG|6aVULN|7AART|9RCR|aBPWR
166	26331 22251	   	189.46	DCR|4VULN|1AART|1DUR	1AME|2DLOT|3457VULN|6RCR|8BEXP|9AART|aDUR
167	26331 24151	   	189.46	DCR|4VULN|1AART|1DUR	1AME|2DLOT|3458VULN|6RCR|7FEWX|9AART|aDUR
168	26433 52122	   	189.46	DCR|4VULN|1AART|1DUR	1AME|2DLOT|3LWND|4578VULN|6RCR|9DUR|aAART
169	23512 13165	   	189.45	DCR|2AART|2DMG|1VULN|1ZMB	1aAME|2aLHND|3ZMB|4RPLT|59AART|6VULN|7RCR|8aDMG|aBPWR
170	25132 21451	   	189.42	DCR|1SPLARM|1VULN|1AART|2CDMG|1DMG|1ZMB	1AME|2ZMB|38CDMG|4VULN|5RMIN|6DMG|7AART|9RCR|aSPLARM
171	16433 52122	   	189.36	DCR|4VULN|1AART|1DUR	1TLV|2DLOT|3LWND|4578VULN|6RCR|9DUR|aAART
172	16531 21152	   	189.36	DCR|4VULN|1AART|1DUR	1TLV|2DLOT|3458VULN|6RCR|7DUR|9AART|aCGEN
173	16531 21153	   	189.36	DCR|4VULN|1AART|1DUR	1TLV|2DLOT|3458VULN|6RCR|7DUR|9AART|aBEXP
174	16531 22251	   	189.36	DCR|4VULN|1AART|1DUR	1TLV|2DLOT|3457VULN|6RCR|8BEXP|9AART|aDUR
175	26323 12161	   	189.36	DCR|4VULN|1AART|1DUR	1AME|2DLOT|3578VULN|4MBVNT|6RCR|9AART|aDUR
176	26331 25122	   	189.36	DCR|4VULN|1AART|1DUR	1AME|2DLOT|3458VULN|6RCR|7LEGI|9DUR|aAART
177	26331 26161	   	189.36	DCR|4VULN|1AART|1DUR	1AME|2DLOT|3458VULN|6RCR|7MBVNT|9AART|aDUR
178	26343 52122	   	189.36	DCR|4VULN|1AART|1DUR	1AME|2DLOT|3578VULN|4LEGI|6RCR|9DUR|aAART
179	15132 21451	   	189.32	DCR|1SPLARM|1VULN|1AART|2CDMG|1DMG|1ZMB	1TLV|2ZMB|38CDMG|4VULN|5RMIN|6DMG|7AART|9RCR|aSPLARM
180	25132 21452	   	189.26	DCR|3CDMG|1VULN|1AART|1DMG|1ZMB	1AME|2ZMB|38aCDMG|4VULN|5RMIN|6DMG|7AART|9RCR
181	16523 12161	   	189.26	DCR|4VULN|1AART|1DUR	1TLV|2DLOT|3578VULN|4MBVNT|6RCR|9AART|aDUR
182	16531 25122	   	189.26	DCR|4VULN|1AART|1DUR	1TLV|2DLOT|3458VULN|6RCR|7LEGI|9DUR|aAART
183	13512 13165	   	189.25	DCR|2AART|2DMG|1VULN|1ZMB	1aTLV|2aLHND|3ZMB|4RPLT|59AART|6VULN|7RCR|8aDMG|aBPWR
184	15132 21452	   	189.16	DCR|3CDMG|1VULN|1AART|1DMG|1ZMB	1TLV|2ZMB|38aCDMG|4VULN|5RMIN|6DMG|7AART|9RCR
185	63531 31325	   	189.10	DCR|1VULN|1AART|1DMG|1NUKE|2DUR|1AAC|1ZMB	1LWND|2AAC|3ZMB|4AART|5DMG|69DUR|7RCR|8VULN|aNUKE
186	24322 32415	   	189.03	DCR|3VULN|2DMG|2DUR	1AME|2aDUR|3LWND|4BEXP|57aVULN|6AELBLL|8RCR|9aDMG|aBPWR
187	52215 15332	 * 	188.94	DCR|2VULN|2CDMG|1DMG|3DUR|1AAC|1SELL	1AAC|29aDUR|3SELL|4RMIN|5DMG|69CDMG|79VULN|8RCR|9BPWR
188	52232 15332	 * 	188.94	DCR|2VULN|2CDMG|1DMG|3DUR|1AAC|1SELL	1AAC|29aDUR|3SELL|4DMG|5RMIN|69CDMG|79VULN|8RCR|9BPWR
189	14322 32415	   	188.93	DCR|3VULN|2DMG|2DUR	1TLV|2aDUR|3LWND|4BEXP|57aVULN|6AELBLL|8RCR|9aDMG|aBPWR
190	66231 16123	   	188.93	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	17LWND|27DUR|3DMSP|4AART|57DMG|6RCR|7BPWR|8VULN|9BELT|aZMB
191	51142 22336	   	188.85	DCR|3VULN|2DMG|2DUR|1AAC|1SELL	1AAC|2RPLT|379VULN|49DUR|59DMG|6SELL|8RMIN|9BPWR|aRCR
192	25133 13526	   	188.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AME|2ZMB|3CDMG|46VULN|5RCVC|7DMG|8BELT|9AART|aRCR
