0	Index      	 *	Score 	Summary	Detail	
1	15533 31521	 * 	215.27	DCR|3VULN|1AART|1DMG|1CDMG|2ZMB	1RPLT|24ZMB|349VULN|4BPWR|5TLV|6RCR|7CDMG|8DMG|aAART
153	15534 31223	   	187.28	DCR|4VULN|1CDMG|1AAC|2ZMB	1RPLT|24ZMB|349aVULN|4BPWR|5AME|6RCR|7CDMG|8AAC
154	14323 41216	 * 	187.24	DCR|3DMG|1AART|2CDMG	1RPLT|2AART|39CDMG|4RMIN|5AIRARM|6RCR|79ERES|89aDMG|9BPWR
155	23164 13214	   	187.22	DCR|2VULN|1MDPS|2ASPD|1AART	1LWND|26ASPD|3AART|4BEXP|5LIT|79VULN|8RCR|aMDPS
156	33254 47115	   	187.13	DCR|2VULN|1MDPS|1AART|1DMG|1ZMB	1TLV|2LIT|3MBVNT|4ZMB|59VULN|6RCR|7AART|8DMG|aMDPS
157	33254 47215	   	187.13	DCR|2VULN|1MDPS|1AART|1ASPD|1ZMB	1TLV|2LIT|3MBVNT|4ZMB|59VULN|6RCR|7AART|8ASPD|aMDPS
158	44313 11612	   	186.90	DCR|2VULN|2ASPD|1AART	18LIT|2AART|3LEGI|4RMIN|58VULN|68ASPD|7RCR|8BPWR|9CGEN|aRPLT
159	44313 11622	   	186.90	DCR|2VULN|2ASPD|1AART	18LIT|2AART|3LEGI|4RMIN|58VULN|68ASPD|7RCR|8BPWR|9MLV|aRPLT
160	44313 11613	   	186.80	DCR|2VULN|2ASPD|1AART	18LIT|2AART|3LEGI|4RMIN|58VULN|68ASPD|7RCR|8BPWR|9CGEN|aDUST
161	44313 11623	   	186.80	DCR|2VULN|2ASPD|1AART	18LIT|2AART|3LEGI|4RMIN|58VULN|68ASPD|7RCR|8BPWR|9MLV|aDUST
162	43313 51114	   	186.64	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2LHND|39VULN|4FEWX|5RMIN|6AART|7ASPD|8DMG|aRCR
163	43322 51114	   	186.64	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2LHND|39VULN|4RMIN|5BEXP|6AART|7ASPD|8DMG|aRCR
164	63122 13615	   	186.63	DCR|2VULN|1AART|1ASPD|1CDMG	1DUST|2ASPD|3AART|4RMIN|5CDMG|6ERES|7LIT|8RCR|9aVULN
165	63122 23615	   	186.63	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC	1DUST|2ASPD|3AART|4RMIN|5CDMG|6AAC|7LIT|8RCR|9aVULN
166	46322 23521	   	186.55	DCR|3VULN|2ASPD|1ZMB|1DUR	1LIT|2ZMB|349VULN|5LHND|67ASPD|8DUR|aRCR
167	43321 51114	   	186.54	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2LHND|39VULN|4RMIN|5DUST|6AART|7ASPD|8DMG|aRCR
168	44313 12114	   	186.54	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2AART|3LEGI|4RMIN|59VULN|6ASPD|7FEWX|8DMG|aRCR
169	44313 21114	   	186.44	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2AART|3LEGI|4RMIN|59VULN|6DUST|7ASPD|8DMG|aRCR
170	23324 64431	   	186.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|2ASPD|3RPLT|4DMG|5MBVNT|68VULN|7RCR|9DUR|aCDMG
171	23324 64447	   	186.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|2ASPD|3RPLT|4DMG|5MBVNT|68VULN|7RCR|9CDMG|aDUR
172	53324 64431	   	186.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1LHND|2ASPD|3RPLT|4DMG|5MBVNT|68VULN|7RCR|9DUR|aCDMG
173	23163 53211	   	186.26	DCR|2VULN|2ASPD|1AART|1DUR	1LWND|25ASPD|3AART|45BEXP|5BPWR|6LIT|79VULN|8RCR|aDUR
174	53163 53211	   	186.26	DCR|2VULN|2ASPD|1AART|1DUR	1LHND|25ASPD|3AART|45BEXP|5BPWR|6LIT|79VULN|8RCR|aDUR
175	15534 31333	   	186.23	DCR|2VULN|1ASPD|1CDMG|2ZMB|1DUR	1RPLT|24ZMB|34VULN|4BPWR|5AME|6RCR|7CDMG|8RMIN|9DUR|aASPD
176	23164 13211	   	186.16	DCR|2VULN|2ASPD|1AART|1DUR	1LWND|26ASPD|3AART|4BEXP|5LIT|79VULN|8RCR|aDUR
177	53164 13211	   	186.16	DCR|2VULN|2ASPD|1AART|1DUR	1LHND|26ASPD|3AART|4BEXP|5LIT|79VULN|8RCR|aDUR
178	33254 47111	   	186.08	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1TLV|2LIT|3MBVNT|4ZMB|59VULN|6RCR|7AART|8DMG|aDUR
179	33254 47211	   	186.08	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1TLV|2LIT|3MBVNT|4ZMB|59VULN|6RCR|7AART|8ASPD|aDUR
180	46124 47111	   	186.08	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2ZMB|3ERES|4MBVNT|59VULN|6RCR|7AART|8DMG|aDUR
181	46124 47211	   	186.08	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1LIT|2ZMB|3ERES|4MBVNT|59VULN|6RCR|7AART|8ASPD|aDUR
182	46234 47111	   	186.08	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2ZMB|3MBVNT|4ERES|59VULN|6RCR|7AART|8DMG|aDUR
183	46234 47211	   	186.08	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1LIT|2ZMB|3MBVNT|4ERES|59VULN|6RCR|7AART|8ASPD|aDUR
184	11353 36352	 * 	186.03	DCR|3DMG|2ASPD|3DUR	1RPLT|28aDUR|3MLV|4DMSP|5aASPD|6RCR|79aDMG|aBPWR
185	11363 36252	   	186.03	DCR|3DMG|2ASPD|3DUR	1RPLT|24aDUR|38MLV|5aASPD|6RCR|79aDMG|aBPWR
186	11313 36442	   	186.00	DCR|3VULN|1DMG|1CDMG|1DUR|1SELL	1RPLT|2DUR|3MLV|4CDMG|5SELL|6RCR|7DMG|89aVULN
187	11432 33321	   	185.96	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1RPLT|2DUR|3ZMB|4MULARM|5LHND|6RCR|7DMG|8ASPD|9VULN|aAART
188	23155 15332	 * 	185.92	DCR|2VULN|2AART|1MDPS|1ASPD|1DUR	1LWND|2ASPD|3aAART|4DUR|56VULN|7CGEN|8MDPS|9RCR
189	23155 16332	   	185.92	DCR|2VULN|2AART|1MDPS|1ASPD|1DUR	1LWND|2ASPD|3aAART|4DUR|56VULN|7MDPS|8AME|9RCR
190	63612 11215	   	185.80	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1DUST|2ASPD|3FEWX|4VULN|5ZMB|6DMG|7AART|8CGEN|9CDMG|aRCR
191	44222 31151	   	185.79	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2aAART|3ERES|4DUR|5VULN|6AME|7RCR|8DMG|9CDMG
192	44222 31251	   	185.79	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1LIT|2aAART|3ERES|4DUR|5VULN|6AME|7RCR|8ASPD|9CDMG
193	46322 21423	   	185.77	DCR|4VULN|1ASPD|1ZMB	1LIT|2ZMB|3489VULN|5LHND|6ASPD|7RCR|aERES
194	32622 21463	   	185.76	DCR|1VULN|1AART|1ASPD|1DMG|1AAC|1ZMB|1DUR	1TLV|2AAC|3ASPD|4ZMB|5MLV|6RCR|7DUR|8AART|9DMG|aVULN
195	33254 47281	   	185.76	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1TLV|2LIT|3MBVNT|4ZMB|5VULN|6RCR|7AART|8ASPD|9DMG|aDUR
196	23134 61111	   	185.73	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|2ASPD|3AART|4LHND|5LIT|6RMIN|7RCR|8DMG|9VULN|aCDMG
197	23164 61111	   	185.73	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|2ASPD|3AART|4BEXP|5LIT|6RMIN|7RCR|8DMG|9VULN|aCDMG
198	53134 61111	   	185.73	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1LHND|2ASPD|3AART|4LWND|5LIT|6RMIN|7RCR|8DMG|9VULN|aCDMG
199	23134 61511	   	185.73	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|2ASPD|3AART|4LHND|5LIT|6RMIN|7RCR|8VULN|9DMG|aCDMG
200	15215 21337	   	185.70	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1RPLT|2ZMB|3DUST|4CDMG|5DMG|6MBVNT|7AART|8ASPD|9VULN|aRCR
201	15224 21337	   	185.70	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1RPLT|2ZMB|3DUST|4DMG|5CDMG|6MBVNT|7AART|8ASPD|9VULN|aRCR
202	42253 11112	   	185.70	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2FEWX|3MLV|4AART|59VULN|6ASPD|7RCR|8DMG|aRPLT
203	42253 11115	   	185.70	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2FEWX|3MLV|4AART|59VULN|6ASPD|7RCR|8DMG|aCGEN
204	44513 11112	   	185.70	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2AART|3CGEN|4LHND|59VULN|6ASPD|7RCR|8DMG|aRPLT
205	33263 17842	   	185.67	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	1TLV|2LIT|3MBVNT|4AART|5VULN|6aASPD|7ZMB|8DMG|9RCR
206	63134 61111	   	185.63	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DUST|2ASPD|3AART|4LWND|5LIT|6RMIN|7RCR|8DMG|9VULN|aCDMG
207	44133 11112	   	185.60	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2AART|3FEWX|4ERES|59VULN|6ASPD|7RCR|8DMG|aRPLT
208	44133 11115	   	185.60	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2AART|3FEWX|4ERES|59VULN|6ASPD|7RCR|8DMG|aCGEN
209	44213 11112	   	185.60	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2AART|3ERES|4LHND|59VULN|6ASPD|7RCR|8DMG|aRPLT
210	44213 11115	   	185.60	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2AART|3ERES|4LHND|59VULN|6ASPD|7RCR|8DMG|aCGEN
211	42253 11113	   	185.60	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2FEWX|3MLV|4AART|59VULN|6ASPD|7RCR|8DMG|aDUST
212	44513 11113	   	185.60	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2AART|3CGEN|4LHND|59VULN|6ASPD|7RCR|8DMG|aDUST
213	15533 31433	   	185.58	DCR|2VULN|1AART|1CDMG|2ZMB|1DUR	1RPLT|24ZMB|34VULN|4BPWR|59TLV|6RCR|7CDMG|8AART|aDUR
214	44133 11113	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2AART|3FEWX|4ERES|59VULN|6ASPD|7RCR|8DMG|aDUST
215	44213 11113	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2AART|3ERES|4LHND|59VULN|6ASPD|7RCR|8DMG|aDUST
216	44333 11112	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2AART|3LEGI|4ERES|59VULN|6ASPD|7RCR|8DMG|aRPLT
217	44333 11115	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2AART|3LEGI|4ERES|59VULN|6ASPD|7RCR|8DMG|aCGEN
218	15533 31361	   	185.49	DCR|2VULN|1AART|1CDMG|2ZMB	1RPLT|24ZMB|34VULN|4BPWR|5TLV|6RCR|7CDMG|8RCVC|9SPLREG|aAART
219	15534 32233	   	185.45	DCR|2VULN|1AART|1ASPD|2ZMB	1RPLT|24ZMB|34VULN|4BPWR|5AME|6RCR|7BELT|8AART|9RMIN|aASPD
220	12462 33313	   	185.41	DCR|3DMG|2VULN|1DUR	1RPLT|2aMSLFST|37aDMG|4DUR|5LHND|6RCR|8BELT|9aVULN|aBPWR
221	12464 33313	   	185.41	DCR|3DMG|2VULN|1DUR	1RPLT|2aMSLFST|37aDMG|4DUR|5LWND|6RCR|8BELT|9aVULN|aBPWR
222	44333 11113	   	185.40	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2AART|3LEGI|4ERES|59VULN|6ASPD|7RCR|8DMG|aDUST
223	15533 32263	   	185.35	DCR|2VULN|1AART|1ASPD|2ZMB	1RPLT|24ZMB|34VULN|4BPWR|5TLV|6RCR|7BELT|8AART|9RMIN|aASPD
224	23253 55223	 * 	185.33	DCR|3ASPD|1VULN|1DMG|1ZMB|1DUR	1LWND|24aASPD|3DUR|5CGEN|6DMG|7ZMB|8RCR|9VULN
