0	Index      	 *	Score 	Summary	Detail	
1	61361 23353	 * 	227.94	DCR|3DMG|2VULN|2ASPD|1CDMG	1RCVC|24aDMG|34LHND|4aBPWR|5aASPD|6LIT|7CDMG|8RCR|9aVULN
159	34131 12516	   	198.29	ACR|3VULN|3ASPD|2DMG	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9CGEN|aLWND
160	34131 12531	   	198.29	ACR|3VULN|3ASPD|2DMG	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9FEWX|aAME
161	34131 12532	   	198.29	ACR|3VULN|3ASPD|2DMG	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9FEWX|aCGEN
162	34131 12534	   	198.29	ACR|3VULN|3ASPD|2DMG	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9FEWX|aLIT
163	34131 12535	   	198.29	ACR|3VULN|3ASPD|2DMG	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9FEWX|aLWND
164	34131 12551	   	198.29	ACR|3VULN|3ASPD|2DMG	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9LHND|aAME
165	34131 12552	   	198.29	ACR|3VULN|3ASPD|2DMG	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9LHND|aCGEN
166	34131 12514	   	198.19	ACR|3VULN|3ASPD|2DMG	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9CGEN|aERES
167	34131 12533	   	198.19	ACR|3VULN|3ASPD|2DMG	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9FEWX|aDUST
168	34131 12541	   	198.19	ACR|3VULN|3ASPD|2DMG	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9DUST|aAME
169	34131 12542	   	198.19	ACR|3VULN|3ASPD|2DMG	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9DUST|aCGEN
170	34131 12553	   	198.19	ACR|3VULN|3ASPD|2DMG	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9LHND|aDUST
171	21133 61153	   	198.15	ACR|3VULN|3ASPD|2DMG|1AAC|1SELL	1AAC|25aVULN|35DMG|4RCR|5aBPWR|69aASPD|7aBEXP|8SELL
172	34131 12543	   	198.09	ACR|3VULN|3ASPD|2DMG|1MSE	1LEGI|268ASPD|38DMG|4RCR|578VULN|8BPWR|9DUST|aMSE
173	13414 42113	   	198.02	DCR|3VULN|1MDPS|2DMG|1ZMB|1DUR	18AME|28DMG|3DUR|4MDPS|5BEXP|6RCR|78aVULN|8BPWR|9ZMB
174	14412 33325	 * 	198.01	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1AME|25VULN|39ASPD|4MDPS|6RCR|7LHND|8CDMG|aAART
