0	Index      	 *	Score 	Summary	Detail	
1	13221 51452	 * 	222.74	DCR|4VULN|1MDPS|1ASPD|1DMG|1DUR	1ASPD|2RPLT|3459VULN|6DUR|7RCR|8DMG|aMDPS
158	15353 21313	   	198.01	DCR|2VULN|2ASPD|1AART|1CDMG|1AAC	1aASPD|2aDUST|3CDMG|4DMSP|5FEWX|6RCR|7AAC|8AART|9aVULN|aBPWR
159	13126 21433	 * 	197.97	DCR|3DMG|1VULN|1ASPD|1CDMG	1ASPD|2RPLT|3CGEN|458DMG|6VULN|7RCR|9SPLREG|aCDMG
160	31535 13531	   	197.97	DCR|2VULN|1MDPS|2DMG|1AART|1ZMB|1DUR	1AART|2MDPS|38LIT|48VULN|5LWND|6DUR|78DMG|8BPWR|9RCR|aZMB
161	13221 51311	   	197.97	DCR|4VULN|2ASPD|1DUR	18ASPD|2RPLT|345aVULN|6DUR|7RCR|9DUST
162	13221 31351	   	197.97	DCR|4VULN|2ASPD|1DUR	18ASPD|2RPLT|345aVULN|6DUST|7RCR|9DUR
163	13223 41351	   	197.97	DCR|4VULN|2ASPD|1DUR	18ASPD|2RPLT|346aVULN|5DUST|7RCR|9DUR
164	33216 16362	 * 	197.94	ACR|2DMG|1AART|1VULN|2CDMG|1ASPD|2DUR	1AART|2RCR|3ASPD|4aDUR|5TLV|6CGEN|7aDMG|8VULN|9aCDMG|aBPWR
165	11143 51153	   	197.89	DCR|2VULN|2AART|2ASPD|1SELL	1aASPD|2RMIN|3BEXP|4SELL|57AART|6RCR|8aVULN|9aLHND|aBPWR
166	11143 51513	   	197.89	DCR|2VULN|2AART|2ASPD|1SELL	1aASPD|2RMIN|3BEXP|4SELL|57AART|6RCR|8aFEWX|9aVULN|aBPWR
167	31533 13142	   	197.82	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	1AART|2MDPS|3LIT|45VULN|6LHND|7aASPD|8RCR|9DMG
168	31533 24142	   	197.82	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	1AART|2MDPS|3LIT|45VULN|6aASPD|7LHND|8RCR|9DMG
169	31533 26142	   	197.82	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	1AART|2MDPS|3LIT|45VULN|6aASPD|7LWND|8RCR|9DMG
170	31533 63142	   	197.82	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	1AART|2MDPS|3LIT|45VULN|6FEWX|7aASPD|8RCR|9DMG
171	12343 26323	   	197.79	DCR|2ASPD|1AART|1VULN|1NUKE|1CDMG	17ASPD|25LHND|3CDMG|4FEWX|6RCR|8AART|9VULN|aNUKE
172	12345 26323	   	197.79	DCR|2ASPD|1VULN|1AART|1NUKE|1CDMG	17ASPD|2LHND|3CDMG|4FEWX|5DMSP|6RCR|8AART|9VULN|aNUKE
173	13633 56123	   	197.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	18ASPD|2RPLT|3LWND|4CGEN|5AART|6RCR|7VULN|9CDMG|aDMG
174	34361 11113	   	197.64	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	14AART|2BEXP|3RPLT|5DMSP|6ASPD|7RCR|8DMG|9VULN|aCDMG
175	34363 21113	   	197.64	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	14AART|2BEXP|3RPLT|5ASPD|6RCVC|7RCR|8DMG|9VULN|aCDMG
176	34363 31113	   	197.64	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	14AART|26BEXP|3RPLT|5ASPD|7RCR|8DMG|9VULN|aCDMG
177	34365 11113	   	197.64	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	14AART|2BEXP|3RPLT|5RCVC|6ASPD|7RCR|8DMG|9VULN|aCDMG
178	34366 11113	   	197.64	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	14AART|25BEXP|3RPLT|6ASPD|7RCR|8DMG|9VULN|aCDMG
179	35461 11113	   	197.64	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	15AART|2RMIN|3AME|4RPLT|6ASPD|7RCR|8DMG|9VULN|aCDMG
180	35243 34111	   	197.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1AART|2RMIN|3DUR|46CDMG|59VULN|7RCR|8DMG|aLWND
181	35243 34112	   	197.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1AART|2RMIN|3DUR|46CDMG|59VULN|7RCR|8DMG|aMULARM
182	35243 34113	   	197.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1AART|2RMIN|3DUR|46CDMG|59VULN|7RCR|8DMG|aBEXP
183	36335 41121	   	197.56	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	15AART|2DUR|3RPLT|48DMG|6RCVC|7RCR|9VULN|aZMB
184	31221 16522	   	197.55	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG|1ZMB	1AART|2MDPS|39CDMG|4ZMB|5MLV|67VULN|8RCR|aDMG
185	11243 24325	   	197.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1ASPD|2RMIN|3CGEN|45AART|6DUST|7RCR|8DMG|9CDMG|aVULN
186	31261 14114	   	197.54	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	14AART|2MDPS|3CDMG|5DMSP|6ASPD|7RCR|8DMG|9VULN|aLIT
187	31261 14115	   	197.54	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	14AART|2MDPS|3CDMG|5DMSP|6ASPD|7RCR|8DMG|9VULN|aBEXP
188	31261 14116	   	197.54	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	14AART|2MDPS|3CDMG|5DMSP|6ASPD|7RCR|8DMG|9VULN|aRPLT
189	31261 14512	   	197.54	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	14AART|2MDPS|3CDMG|5DMSP|6ASPD|7RCR|8CGEN|9VULN|aDMG
190	31261 14612	   	197.54	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	14AART|2MDPS|3CDMG|5DMSP|6ASPD|7RCR|8MLV|9VULN|aDMG
191	31263 24114	   	197.54	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	14AART|2MDPS|3CDMG|5ASPD|6RCVC|7RCR|8DMG|9VULN|aLIT
192	31263 24115	   	197.54	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	14AART|2MDPS|3CDMG|5ASPD|6RCVC|7RCR|8DMG|9VULN|aBEXP
193	31263 24116	   	197.54	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	14AART|2MDPS|3CDMG|5ASPD|6RCVC|7RCR|8DMG|9VULN|aRPLT
194	31263 24512	   	197.54	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	14AART|2MDPS|3CDMG|5ASPD|6RCVC|7RCR|8CGEN|9VULN|aDMG
195	31263 24612	   	197.54	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	14AART|2MDPS|3CDMG|5ASPD|6RCVC|7RCR|8MLV|9VULN|aDMG
196	33241 25115	   	197.49	ACR|3VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RCR|3ASPD|4CDMG|5BEXP|6RCVC|7DMG|89aVULN
197	33241 35115	   	197.49	ACR|3VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RCR|3ASPD|4CDMG|56BEXP|7DMG|89aVULN
198	31261 14212	   	197.44	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	14AART|2MDPS|3CDMG|5DMSP|6ASPD|7RCR|8ERES|9VULN|aDMG
199	31263 24212	   	197.44	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	14AART|2MDPS|3CDMG|5ASPD|6RCVC|7RCR|8ERES|9VULN|aDMG
200	31265 14212	   	197.44	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	14AART|2MDPS|3CDMG|5RCVC|6ASPD|7RCR|8ERES|9VULN|aDMG
201	31231 16552	   	197.38	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG	1AART|2MDPS|3CDMG|4aDMG|59MLV|67VULN|8RCR
202	13121 41432	   	197.34	DCR|3VULN|2DMG|1ASPD	1ASPD|2RPLT|3CGEN|48DMG|56aVULN|7RCR|9LIT
203	13121 41626	   	197.34	DCR|3VULN|2DMG|1ASPD	1ASPD|2RPLT|3CGEN|4aDMG|569VULN|7RCR|8LHND
204	13126 21121	   	197.34	DCR|3VULN|2DMG|1ASPD	1ASPD|2RPLT|3CGEN|45DMG|69aVULN|7RCR|8LWND
205	13126 21621	   	197.34	DCR|3VULN|2DMG|1ASPD	1ASPD|2RPLT|3CGEN|45DMG|69aVULN|7RCR|8LHND
206	31231 16532	   	197.28	DCR|2VULN|1MDPS|2DMG|1AART|1CDMG	1AART|2MDPS|3CDMG|4aDMG|5MLV|67VULN|8RCR|9ERES
207	13121 41411	   	197.24	DCR|3VULN|2DMG|1ASPD	1ASPD|2RPLT|3CGEN|48DMG|56aVULN|7RCR|9DUST
208	13261 41325	 * 	197.07	DCR|3VULN|3ASPD|1ZMB	158ASPD|2RPLT|36aVULN|4DUST|7RCR|9ZMB
209	33242 56321	   	196.75	ACR|2VULN|2AART|2CDMG|1ASPD|2DUR	17AART|2RCR|3ASPD|46CDMG|56DUR|6BPWR|89VULN|aMLV
210	33242 56322	   	196.75	ACR|2VULN|2AART|2CDMG|1ASPD|2DUR	17AART|2RCR|3ASPD|46CDMG|56DUR|6BPWR|89VULN|aBEXP
211	36335 53112	 * 	196.69	DCR|3DMG|2AART|1CDMG|2DUR	15AART|26DUR|3RPLT|468DMG|6BPWR|7LWND|9RCR|aCDMG
212	35243 14133	   	196.65	DCR|1VULN|1AART|1DMG|1NUKE|1CDMG|1AAC|1DUR	1AART|2RMIN|3DUR|4CDMG|5VULN|6RCVC|7RCR|8DMG|9AAC|aNUKE
213	35243 24133	   	196.65	DCR|1VULN|1AART|1DMG|1NUKE|1CDMG|1AAC|1DUR	1AART|26RMIN|3DUR|4CDMG|5VULN|7RCR|8DMG|9AAC|aNUKE
214	12231 23422	   	196.58	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2LHND|3DUR|4ZMB|5RPLT|6RCR|79aVULN|8CDMG
215	36143 14133	   	196.55	DCR|1AART|1VULN|1DMG|1NUKE|1CDMG|1AAC|1DUR	1AART|2DUR|3ERES|4CDMG|5VULN|6RCVC|7RCR|8DMG|9AAC|aNUKE
216	36332 11123	   	196.46	DCR|2DMG|1VULN|1AART|1NUKE|2DUR	1AART|26DUR|3RPLT|48DMG|5RCVC|7RCR|9VULN|aNUKE
217	33242 56313	 * 	196.43	ACR|2AART|1VULN|2CDMG|1ASPD|1NUKE|2DUR	17AART|2RCR|3ASPD|46CDMG|56DUR|6BPWR|8VULN|9BEXP|aNUKE
218	33242 56333	   	196.33	ACR|2AART|1VULN|2CDMG|1ASPD|1NUKE|2DUR|1MSE	17AART|2RCR|3ASPD|46CDMG|56DUR|6BPWR|8VULN|9MSE|aNUKE
219	12355 14313	   	196.31	DCR|2VULN|2ASPD|1AART|1CDMG	1aASPD|2aLHND|3CDMG|4LWND|5AART|6RCVC|7RCR|8RMIN|9aVULN|aBPWR
220	31225 24111	   	196.12	DCR|2AART|1MDPS|1VULN|1DMG|1CDMG|1ZMB|1DUR	15AART|2MDPS|3CDMG|4ZMB|6RCVC|7RCR|8DMG|9VULN|aDUR
221	12216 52226	 * 	196.04	DCR|2VULN|2DMG|1MDPS|2ASPD|1DUR	16ASPD|2LHND|3DUR|46VULN|5MDPS|6BPWR|7MLV|89DMG|aRCR
222	13221 11413	   	196.01	DCR|3VULN|1ASPD|1DMG|1CDMG	1ASPD|2RPLT|345VULN|6FEWX|7RCR|8DMG|9LWND|aCDMG
223	13126 21436	 * 	195.94	DCR|3DMG|2ASPD|1VULN	1aASPD|2RPLT|3CGEN|458DMG|6VULN|7RCR|9SPLREG
224	13221 31413	   	195.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1ASPD|2RPLT|345VULN|6DUST|7RCR|8DMG|9LWND|aCDMG
225	13221 31463	   	195.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1ASPD|2RPLT|345VULN|6DUST|7RCR|8DMG|9FEWX|aCDMG
226	13223 41413	   	195.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1ASPD|2RPLT|346VULN|5DUST|7RCR|8DMG|9LWND|aCDMG
227	13223 41463	   	195.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1ASPD|2RPLT|346VULN|5DUST|7RCR|8DMG|9FEWX|aCDMG
228	12332 15166	   	195.85	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1ASPD|2LHND|3CDMG|4LIT|57VULN|6MDPS|8AART|9DMG|aRCR
229	35143 34133	   	195.77	DCR|1AART|1VULN|2CDMG|1DMG|1NUKE|1AAC	1AART|2RMIN|3LHND|46CDMG|5VULN|7RCR|8DMG|9AAC|aNUKE
230	31325 16532	   	195.76	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG	14AART|2MDPS|3LHND|5CDMG|67VULN|8RCR|9ERES|aDMG
231	33163 63113	   	195.73	ACR|2VULN|2AART|1ASPD|1DMG|1CDMG	15AART|2RCR|3LIT|4ASPD|6DMG|7CDMG|89VULN|aLWND
232	33163 63115	   	195.73	ACR|2VULN|2AART|1ASPD|1DMG|1CDMG	15AART|2RCR|3LIT|4ASPD|6DMG|7CDMG|89VULN|aFEWX
233	33163 63116	   	195.73	ACR|2VULN|2AART|1ASPD|1DMG|1CDMG	15AART|2RCR|3aLIT|4ASPD|6DMG|7CDMG|89VULN
234	33163 63111	   	195.63	ACR|2VULN|2AART|1ASPD|1DMG|1CDMG	15AART|2RCR|3LIT|4ASPD|6DMG|7CDMG|89VULN|aDUST
235	33163 63112	   	195.63	ACR|2VULN|2AART|1ASPD|1DMG|1CDMG	15AART|2RCR|3LIT|4ASPD|6DMG|7CDMG|89VULN|aLEGI
236	13121 41121	   	195.60	DCR|4VULN|1ASPD|1DMG	1ASPD|2RPLT|3CGEN|4DMG|569aVULN|7RCR|8LWND
237	13121 41621	   	195.60	DCR|4VULN|1ASPD|1DMG	1ASPD|2RPLT|3CGEN|4DMG|569aVULN|7RCR|8LHND
238	13221 11421	   	195.60	DCR|4VULN|1ASPD|1DMG	1ASPD|2RPLT|345aVULN|6FEWX|7RCR|8DMG|9RMIN
239	13221 11431	   	195.60	DCR|4VULN|1ASPD|1DMG	1ASPD|2RPLT|345aVULN|6FEWX|7RCR|8DMG|9SNIFST
240	13221 11453	   	195.60	DCR|4VULN|1ASPD|1DMG	1ASPD|2RPLT|3459VULN|6FEWX|7RCR|8DMG|aRCVC
241	13221 11454	   	195.60	DCR|4VULN|1ASPD|1DMG	1ASPD|2RPLT|3459VULN|6FEWX|7RCR|8DMG|aLIT
242	13221 11455	   	195.60	DCR|4VULN|1ASPD|1DMG	1ASPD|2RPLT|3459VULN|6FEWX|7RCR|8DMG|aLWND
243	13221 11456	   	195.60	DCR|4VULN|1ASPD|1DMG	1ASPD|2RPLT|3459VULN|6FEWX|7RCR|8DMG|aDMSP
244	31231 16521	   	195.52	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG|1DUR	1AART|2MDPS|39CDMG|4DMG|5MLV|67VULN|8RCR|aDUR
245	56425 23143	 * 	195.51	DCR|5VULN|1AART	1RPLT|2MBVNT|3aBEXP|4578aVULN|6RCR|9AART|aBPWR
246	13221 11451	   	195.50	DCR|4VULN|1ASPD|1DMG	1ASPD|2RPLT|3459VULN|6FEWX|7RCR|8DMG|aTLV
247	13221 31421	   	195.50	DCR|4VULN|1ASPD|1DMG	1ASPD|2RPLT|345aVULN|6DUST|7RCR|8DMG|9RMIN
248	13221 31431	   	195.50	DCR|4VULN|1ASPD|1DMG	1ASPD|2RPLT|345aVULN|6DUST|7RCR|8DMG|9SNIFST
249	13221 31453	   	195.50	DCR|4VULN|1ASPD|1DMG	1ASPD|2RPLT|3459VULN|6DUST|7RCR|8DMG|aRCVC
250	13221 31454	   	195.50	DCR|4VULN|1ASPD|1DMG	1ASPD|2RPLT|3459VULN|6DUST|7RCR|8DMG|aLIT
251	13221 31455	   	195.50	DCR|4VULN|1ASPD|1DMG	1ASPD|2RPLT|3459VULN|6DUST|7RCR|8DMG|aLWND
252	13221 31456	   	195.50	DCR|4VULN|1ASPD|1DMG	1ASPD|2RPLT|3459VULN|6DUST|7RCR|8DMG|aDMSP
253	13223 41421	   	195.50	DCR|4VULN|1ASPD|1DMG	1ASPD|2RPLT|346aVULN|5DUST|7RCR|8DMG|9RMIN
254	13223 41431	   	195.50	DCR|4VULN|1ASPD|1DMG	1ASPD|2RPLT|346aVULN|5DUST|7RCR|8DMG|9SNIFST
255	13223 41453	   	195.50	DCR|4VULN|1ASPD|1DMG	1ASPD|2RPLT|3469VULN|5DUST|7RCR|8DMG|aRCVC
256	35242 24111	   	195.44	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|2RMIN|35DUR|4CDMG|69VULN|7RCR|8DMG|aLWND
257	35242 24112	   	195.44	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|2RMIN|35DUR|4CDMG|69VULN|7RCR|8DMG|aMULARM
258	35242 24113	   	195.44	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|2RMIN|35DUR|4CDMG|69VULN|7RCR|8DMG|aBEXP
259	56425 23144	   	195.41	DCR|5VULN|1AART	1RPLT|2MBVNT|3BEXP|4578aVULN|6RCR|9AART
260	22512 14613	 * 	195.40	DCR|4VULN|1AART|1CDMG|1AAC	1BEXP|2589VULN|3AELBLL|4AAC|6AART|7RCR|aCDMG
261	13221 31451	   	195.40	DCR|4VULN|1ASPD|1DMG	1ASPD|2RPLT|3459VULN|6DUST|7RCR|8DMG|aTLV
262	13223 41451	   	195.40	DCR|4VULN|1ASPD|1DMG	1ASPD|2RPLT|3469VULN|5DUST|7RCR|8DMG|aTLV
263	33163 63126	 * 	195.31	ACR|2AART|1VULN|1ASPD|1DMG|1NUKE|1CDMG	15AART|2RCR|3LIT|4ASPD|6DMG|7CDMG|8VULN|9ERES|aNUKE
264	33213 35225	 * 	195.25	ACR|3ASPD|2VULN|1AART|1CDMG|1DUR	1AART|2RCR|35aASPD|4DUR|6aLHND|7LWND|8CDMG|9aVULN|aBPWR
265	31225 24113	   	195.24	DCR|2AART|1MDPS|1VULN|2CDMG|1DMG|1ZMB	15AART|2MDPS|3aCDMG|4ZMB|6RCVC|7RCR|8DMG|9VULN
266	13126 21626	 * 	195.16	DCR|3DMG|2VULN|1ASPD	1ASPD|2RPLT|3CGEN|45aDMG|69VULN|7RCR|8LHND
267	13221 11356	   	195.14	DCR|3VULN|3ASPD|1DUR	18aASPD|2RPLT|345VULN|6FEWX|7RCR|9DUR
268	35212 14325	   	195.12	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|2DUR	1AART|2RMIN|34DUR|5CGEN|6ASPD|7RCR|8DMG|9CDMG|aVULN
269	33252 41371	   	195.11	ACR|2VULN|1MDPS|2DMG|2ASPD|1AART	1AART|2RCR|39ASPD|4MBVNT|5MSLREG|69VULN|79DMG|8MDPS|9BPWR|aMLV
270	33252 41377	   	195.11	ACR|2VULN|1MDPS|2DMG|2ASPD|1AART	1AART|2RCR|39ASPD|4MBVNT|5MSLREG|69VULN|79DMG|8MDPS|9BPWR|aLWND
271	31235 24121	   	195.07	DCR|2AART|2DMG|1MDPS|1VULN|1CDMG	15AART|2MDPS|3CDMG|48DMG|6RCVC|7RCR|9VULN|aRPLT
272	31235 24125	   	195.07	DCR|2AART|2DMG|1MDPS|1VULN|1CDMG	15AART|2MDPS|3CDMG|48DMG|6RCVC|7RCR|9VULN|aLWND
273	31235 24512	   	195.07	DCR|2AART|1MDPS|2DMG|1VULN|1CDMG	15AART|2MDPS|3CDMG|4aDMG|6RCVC|7RCR|8CGEN|9VULN
274	31235 24612	   	195.07	DCR|2AART|2DMG|1MDPS|1VULN|1CDMG	15AART|2MDPS|3CDMG|4aDMG|6RCVC|7RCR|8MLV|9VULN
275	31261 54112	   	195.07	DCR|2AART|2DMG|1MDPS|1VULN|1CDMG	14AART|2MDPS|3CDMG|5DMSP|6AME|7RCR|8aDMG|9VULN
276	31264 24112	   	195.07	DCR|2AART|1MDPS|2DMG|1VULN|1CDMG	14AART|2MDPS|3CDMG|5CGEN|6RCVC|7RCR|8aDMG|9VULN
277	13126 21412	   	195.06	DCR|3DMG|2VULN|1ASPD	1ASPD|2RPLT|3CGEN|458DMG|6aVULN|7RCR|9DUST
278	13126 21422	   	195.06	DCR|3DMG|2VULN|1ASPD	1ASPD|2RPLT|3CGEN|458DMG|6aVULN|7RCR|9LEGI
279	13221 51316	   	195.04	DCR|3VULN|3ASPD|1DUR	18aASPD|2RPLT|345VULN|6DUR|7RCR|9DUST
280	13221 31356	   	195.04	DCR|3VULN|3ASPD|1DUR	18aASPD|2RPLT|345VULN|6DUST|7RCR|9DUR
281	13223 41356	   	195.04	DCR|3VULN|3ASPD|1DUR	18aASPD|2RPLT|346VULN|5DUST|7RCR|9DUR
282	36112 14325	   	195.02	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1AART|24DUR|3ERES|5CGEN|6ASPD|7RCR|8DMG|9CDMG|aVULN
283	33252 41378	   	195.01	ACR|2VULN|2DMG|1MDPS|2ASPD|1AART|1MSE	1AART|2RCR|39ASPD|4MBVNT|5MSLREG|69VULN|79DMG|8MDPS|9BPWR|aMSE
284	33243 51533	   	194.99	ACR|2VULN|2ASPD|1AART|2CDMG|2ZMB	1AART|2RCR|3aASPD|48CDMG|5aVULN|6LWND|7LHND|9aZMB|aBPWR
285	13233 51143	 * 	194.98	DCR|3ASPD|2VULN|1AART	18aASPD|2RPLT|3aVULN|4RMIN|5AART|6RCR|79aLHND|aBPWR
286	31235 24122	   	194.97	DCR|2AART|2DMG|1MDPS|1VULN|1CDMG	15AART|2MDPS|3CDMG|48DMG|6RCVC|7RCR|9VULN|aDUST
287	31235 24124	   	194.97	DCR|2AART|2DMG|1MDPS|1VULN|1CDMG	15AART|2MDPS|3CDMG|48DMG|6RCVC|7RCR|9VULN|aTLV
288	31262 24112	   	194.97	DCR|2AART|2DMG|1MDPS|1VULN|1CDMG|1AAC	14AART|2MDPS|3CDMG|5AAC|6RCVC|7RCR|8aDMG|9VULN
289	13124 15235	   	194.91	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1SELL	1ASPD|2RPLT|3CGEN|46DMG|5CDMG|7AART|8SELL|9RCR|aVULN
290	13124 56122	   	194.90	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	17ASPD|2RPLT|37CGEN|4DMG|5CDMG|67VULN|7BPWR|8DUR|9BELT|aRCR
291	12231 23364	   	194.75	DCR|3VULN|2ASPD|1ZMB|1DUR	1aASPD|2aLHND|3DUR|4ZMB|5RPLT|6RCR|78aVULN|9RMIN|aBPWR
292	36142 21632	 * 	194.50	DCR|2VULN|2AART|3DUR|1CDMG	17AART|25aDUR|3aERES|4CDMG|6MLV|8RCR|9aVULN|aBPWR
293	33242 16323	   	194.48	ACR|3AART|2VULN|1ASPD|1CDMG|2DUR	17aAART|2RCR|3ASPD|4CDMG|56DUR|89VULN
294	15333 52225	 * 	194.48	DCR|3ASPD|2DMG|2CDMG|1DUR	15aASPD|2DUST|3aCDMG|4LIT|6LEGI|7RCR|8DUR|9aDMG|aBPWR
295	12216 53133	   	194.40	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB|1DUR	16ASPD|2LHND|3DUR|46VULN|5MDPS|6BPWR|7AART|8TSLFST|9RCR|aZMB
296	12223 42322	   	194.40	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2LHND|3DUR|4LWND|5ZMB|68aVULN|7DMG|9RCR
297	15223 42322	   	194.30	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2DUST|3DUR|4LWND|5ZMB|68aVULN|7DMG|9RCR
298	15233 42322	   	194.30	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2DUST|3DUR|4ZMB|5LHND|68aVULN|7DMG|9RCR
299	31231 16523	 * 	194.27	DCR|2VULN|1MDPS|3CDMG|1AART|1DMG	1AART|2MDPS|39aCDMG|4DMG|5MLV|67VULN|8RCR
300	12233 16335	   	194.23	DCR|2VULN|2ASPD|1DMG|2DUR|1ZMB	19ASPD|25LHND|39DUR|4ZMB|6DMG|7RMIN|89VULN|9BPWR|aRCR
301	12236 16335	   	194.23	DCR|2VULN|2ASPD|1DMG|2DUR|1ZMB	19ASPD|2LHND|39DUR|4ZMB|5DMSP|6DMG|7RMIN|89VULN|9BPWR|aRCR
302	15236 42322	   	194.20	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2DUST|3DUR|4ZMB|5LEGI|68aVULN|7DMG|9RCR
303	33252 31836	 * 	194.07	ACR|3ASPD|2VULN|1AART|2CDMG|1AAC	1AART|2RCR|36aASPD|4MBVNT|5MSLREG|7AAC|8aCDMG|9aVULN|aBPWR
304	31533 31161	   	194.01	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1AART|2MDPS|3LIT|45VULN|6RCVC|7CDMG|8RCR|9aASPD
305	31533 41161	   	194.01	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1AART|2MDPS|36LIT|45VULN|7CDMG|8RCR|9aASPD
306	13121 41126	   	193.97	DCR|3VULN|2ASPD|1DMG	1aASPD|2RPLT|3CGEN|4DMG|569VULN|7RCR|8LWND
307	13121 41625	   	193.97	DCR|3VULN|2ASPD|1DMG	1aASPD|2RPLT|3CGEN|4DMG|569VULN|7RCR|8LHND
308	13221 11426	   	193.97	DCR|3VULN|2ASPD|1DMG	1aASPD|2RPLT|345VULN|6FEWX|7RCR|8DMG|9RMIN
309	13241 41421	   	193.97	DCR|3VULN|2ASPD|1DMG	15ASPD|2RPLT|36aVULN|4LHND|7RCR|8DMG|9RMIN
310	13241 41431	   	193.97	DCR|3VULN|2ASPD|1DMG	15ASPD|2RPLT|36aVULN|4LHND|7RCR|8DMG|9SNIFST
311	13251 41421	   	193.97	DCR|3VULN|2ASPD|1DMG	15ASPD|2RPLT|36aVULN|4BEXP|7RCR|8DMG|9RMIN
312	13251 41431	   	193.97	DCR|3VULN|2ASPD|1DMG	15ASPD|2RPLT|36aVULN|4BEXP|7RCR|8DMG|9SNIFST
313	13621 41421	   	193.97	DCR|3VULN|2ASPD|1DMG	15ASPD|2RPLT|3LWND|46aVULN|7RCR|8DMG|9RMIN
314	13621 41431	   	193.97	DCR|3VULN|2ASPD|1DMG	15ASPD|2RPLT|3LWND|46aVULN|7RCR|8DMG|9SNIFST
315	32423 51312	   	193.95	DCR|2VULN|2AART|1DMG|1ZMB	15AART|2TLV|3ZMB|4CGEN|6RCR|7RMIN|8DMG|9aVULN
316	32553 51312	   	193.95	DCR|2VULN|2AART|1DMG|1ZMB	15AART|2TLV|3CGEN|4ZMB|6RCR|7RMIN|8DMG|9aVULN
317	31533 13146	   	193.94	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB	1AART|2MDPS|3LIT|45VULN|6LHND|7ASPD|8RCR|9DMG|aZMB
318	11222 14113	   	193.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2RMIN|3CGEN|45VULN|6AART|7RCR|8CANSTR|9DMG|aDUR
319	11622 14113	   	193.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2RMIN|3AME|45VULN|6AART|7RCR|8CANSTR|9DMG|aDUR
