0	Index      	 *	Score 	Summary	Detail	
1	31636 13233	 * 	200.95	ACR|4VULN|2DMG|2CDMG|1ZMB	1RCVC|2RMIN|3RCR|47CDMG|579aVULN|67DMG|7BPWR|8ZMB
161	36313 16232	   	171.87	ACR|2VULN|2DMG|1AART|2DUR	1RCVC|29VULN|3DUST|4DLOT|5RCR|69DUR|79DMG|8AART|9BPWR|aLHND
162	36313 16233	   	171.87	ACR|2VULN|2DMG|1AART|2DUR	1RCVC|29VULN|3DUST|4DLOT|5RCR|69DUR|79DMG|8AART|9BPWR|aFEWX
163	36313 16236	   	171.87	ACR|2VULN|2DMG|1AART|2DUR	1RCVC|29VULN|3DUST|4DLOT|5RCR|69DUR|79DMG|8AART|9BPWR|aLIT
164	36613 16231	   	171.87	ACR|2VULN|2DMG|1AART|2DUR	1RCVC|29VULN|3FEWX|4DLOT|5RCR|69DUR|79DMG|8AART|9BPWR|aDUST
165	36313 16231	   	171.77	ACR|2VULN|2DMG|1AART|2DUR	1RCVC|29VULN|3aDUST|4DLOT|5RCR|69DUR|79DMG|8AART|9BPWR
166	36313 16235	   	171.77	ACR|2VULN|2DMG|1AART|2DUR	1RCVC|29VULN|3DUST|4DLOT|5RCR|69DUR|79DMG|8AART|9BPWR|aERES
167	41143 21622	   	171.57	DCR|3VULN|2DMG|1AART	157MLV|268BEXP|38DMG|458VULN|58BPWR|9RCR|aAART
168	52251 16212	   	171.33	ACR|3VULN|2DMG|1ZMB|1DUR	1DUR|2aFEWX|3ZMB|4RCR|5LIT|69aVULN|7ERES|8aDMG|aBPWR
169	31636 13221	   	171.20	ACR|2VULN|2DMG|2CDMG|1ZMB	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8ZMB|9LHND|aCGEN
170	31636 13223	   	171.20	ACR|2VULN|2DMG|2CDMG|1ZMB	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8ZMB|9LHND|aLSRICY
171	31636 13252	   	171.20	ACR|2VULN|2DMG|2CDMG|1ZMB	19RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8ZMB|aLHND
172	31636 13261	   	171.20	ACR|2VULN|2DMG|2CDMG|1ZMB	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8ZMB|9BEXP|aCGEN
173	31636 13263	   	171.20	ACR|2VULN|2DMG|2CDMG|1ZMB	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8ZMB|9BEXP|aLSRICY
174	31613 43112	 * 	171.11	ACR|2VULN|1DMG|2CDMG|2ZMB|1FLTHEA	1RCVC|2RMIN|3RCR|47VULN|57ZMB|67CDMG|7BPWR|8FEWX|9FLTHEA|aDMG
175	31636 13212	   	171.10	ACR|2VULN|2DMG|2CDMG|1ZMB	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8ZMB|9ERES|aBELT
176	31636 13213	   	171.10	ACR|2VULN|2DMG|2CDMG|1ZMB	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8ZMB|9ERES|aLHND
177	31636 13214	   	171.10	ACR|2VULN|2DMG|2CDMG|1ZMB	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8ZMB|9ERES|aLWND
178	31636 13224	   	171.10	ACR|2VULN|2DMG|2CDMG|1ZMB	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8ZMB|9LHND|aTLV
179	31636 13251	   	171.10	ACR|2VULN|2DMG|2CDMG|1ZMB	19RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8ZMB|aERES
180	15131 26121	   	171.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2LSRICY|3DMG|4AART|5aVULN|6RCVC|7RCR|8BEXP|9ZMB
181	15131 26221	   	171.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2LSRICY|3DMG|4AART|5aVULN|6RCVC|7RCR|8FEWX|9ZMB
182	15131 26421	   	171.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2LSRICY|3DMG|4AART|5aVULN|6RCVC|7RCR|8LHND|9ZMB
183	15131 36123	   	171.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8BEXP|9ZMB|aRPLT
184	15131 36124	   	171.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8BEXP|9ZMB|aDMSP
185	15131 36125	   	171.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8BEXP|9ZMB|aLIT
186	15131 36223	   	171.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8FEWX|9ZMB|aRPLT
187	15131 36224	   	171.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8FEWX|9ZMB|aDMSP
188	15131 36225	   	171.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8FEWX|9ZMB|aLIT
189	15131 36423	   	171.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8LHND|9ZMB|aRPLT
190	15133 26321	   	171.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2LSRICY|3DMG|4AART|5FEWX|6RCVC|7RCR|8aVULN|9ZMB
191	52255 23123	 * 	171.03	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2FEWX|3ZMB|4RCR|57aVULN|6CDMG|8LHND|9AART
192	31636 13211	   	171.00	ACR|2VULN|2DMG|2CDMG|1ZMB	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8ZMB|9ERES|aDUST
193	31613 43214	 * 	170.99	ACR|2VULN|3ZMB|1DMG|2CDMG	1RCVC|2RMIN|3RCR|47VULN|578ZMB|67CDMG|7BPWR|9CGEN|aDMG
194	15131 36122	   	170.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8BEXP|9ZMB|aAIRHEA
195	15131 36222	   	170.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8FEWX|9ZMB|aAIRHEA
196	15131 36422	   	170.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8LHND|9ZMB|aAIRHEA
197	14533 21313	   	170.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CDMG|2LIT|3LHND|4ASPD|5AART|6DUR|7DMG|8RCR|9aVULN
