0	Index      	 *	Score 	Summary	Detail	
1	33343 25611	 * 	198.24	ACR|3VULN|3DMG|1AART	1BELT|2RCR|359VULN|45FEWX|5BPWR|67aDMG|8AART
173	33311 21616	   	173.34	ACR|3DMG|2VULN|1CDMG	1BELT|2RCR|3aVULN|4CGEN|567DMG|8CDMG|9RCVC
174	33341 21632	   	173.30	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BELT|2RCR|38VULN|4FEWX|5ZMB|6DMG|7LIT|9AART|aCDMG
175	63134 24848	 * 	173.25	ACR|3DMG|1AART|1VULN|3DUR	1RMIN|2MBVNT|3BELT|478DUR|5RCR|678DMG|78BPWR|9AART|aVULN
176	33351 21616	   	173.24	ACR|3DMG|2VULN|1CDMG	1BELT|2RCR|3aVULN|4ERES|567DMG|8CDMG|9RCVC
177	31111 14236	   	173.17	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1BELT|2DUR|3ASPD|4RCR|5aDMG|6AART|7MLV|8CDMG|9VULN
178	33314 31133	   	173.14	ACR|3DMG|2VULN|2ZMB	15BELT|2RCR|38VULN|48CGEN|678DMG|8BPWR|9aZMB
179	63673 34241	   	173.04	ACR|2VULN|2AART|1DMG|1CDMG	1RMIN|2MBVNT|3RCR|4CDMG|5MLV|69AART|7aVULN|8DMG
180	33131 15115	   	173.04	ACR|3VULN|1AART|1DMG|1ASPD	1BELT|2RCR|3FEWX|4ASPD|5DMG|6AART|79aVULN|8LIT
181	33131 15351	   	173.04	ACR|3VULN|1AART|1DMG|1ASPD	1BELT|2RCR|3FEWX|4ASPD|5DMG|6AART|79aVULN|8LHND
182	33131 15451	   	173.04	ACR|3VULN|1AART|1DMG|1ASPD	1BELT|2RCR|3FEWX|4ASPD|5DMG|6AART|79aVULN|8LWND
183	33354 31133	   	172.94	ACR|3DMG|2VULN|2ZMB	15BELT|2RCR|38VULN|48ERES|678DMG|8BPWR|9aZMB
184	32115 12136	   	172.71	ACR|3VULN|1AART|1DMG|1ZMB	1BELT|2ZMB|367VULN|4RCR|5RCVC|8DMG|9CGEN|aAART
185	32115 12164	   	172.71	ACR|3VULN|1AART|1DMG|1ZMB	19BELT|2ZMB|367VULN|4RCR|5RCVC|8DMG|aAART
186	33511 43612	   	172.48	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1BELT|2RCR|37DUR|4CGEN|57DMG|67ERES|7BPWR|8AART|9VULN|aZMB
187	33323 25626	   	172.47	ACR|2VULN|2DMG|1AART|1DUR	1BELT|2RCR|35VULN|4LEGI|5BPWR|67DMG|8DUR|9LHND|aAART
188	33323 25636	   	172.47	ACR|2VULN|2DMG|1AART|1DUR	1BELT|2RCR|35VULN|4LEGI|5BPWR|67DMG|8DUR|9LWND|aAART
189	33361 41315	   	172.44	ACR|3VULN|1AART|1DMG|1ASPD	1BELT|2RCR|39aVULN|4LIT|5DMG|6BEXP|7AART|8ASPD
190	33361 61262	   	172.44	ACR|3DMG|1AART|1VULN|1DUR	1BELT|2RCR|3VULN|4LIT|59aDMG|6DUR|7AART|8FEWX
191	33321 23521	   	172.38	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1BELT|2RCR|3aVULN|4LEGI|5ZMB|6DMG|79DUR|8AART
192	33362 21315	   	172.34	ACR|3VULN|1AART|1DMG|1ASPD	1BELT|2RCR|39aVULN|4LIT|5DUST|6ASPD|7AART|8DMG
193	33335 31131	   	172.19	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|38VULN|4RCVC|58ERES|678DMG|8BPWR|9ZMB|aRPLT
194	33335 31135	   	172.19	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|38VULN|4RCVC|58ERES|678DMG|8BPWR|9ZMB|aLIT
195	33335 31136	   	172.19	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|38VULN|4RCVC|58ERES|678DMG|8BPWR|9ZMB|aLHND
196	33311 23225	   	172.18	ACR|4VULN|2DMG	1BELT|2RCR|389aVULN|4CGEN|56DMG|7LHND
197	33311 26225	   	172.18	ACR|4VULN|2DMG	1BELT|2RCR|389aVULN|4CGEN|56DMG|7LWND
198	33312 25225	   	172.18	ACR|4VULN|2DMG	1BELT|2RCR|389aVULN|4CGEN|5FEWX|67DMG
199	33316 25225	   	172.18	ACR|4VULN|2DMG	1BELT|2RCR|389aVULN|4CGEN|5BEXP|67DMG
200	33315 31131	   	172.09	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|38VULN|48CGEN|5RCVC|678DMG|8BPWR|9ZMB|aRPLT
201	33315 31135	   	172.09	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|38VULN|48CGEN|5RCVC|678DMG|8BPWR|9ZMB|aLIT
202	33315 31136	   	172.09	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|38VULN|48CGEN|5RCVC|678DMG|8BPWR|9ZMB|aLHND
203	33315 31152	   	172.09	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|38VULN|489CGEN|5RCVC|678DMG|8BPWR|aZMB
204	33335 31253	   	172.09	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|39VULN|4RCVC|5ERES|679DMG|89TLV|9BPWR|aZMB
205	33313 25225	   	172.08	ACR|4VULN|2DMG	1BELT|2RCR|389aVULN|4CGEN|5DUST|67DMG
206	33136 12615	 * 	172.04	ACR|3VULN|1AART|2ASPD|1CDMG	1BELT|2RCR|3FEWX|45ASPD|679VULN|8AART|aCDMG
207	33531 51613	   	171.96	ACR|3DMG|2VULN|1ASPD|1DUR	1BELT|2RCR|3DUR|4ASPD|567DMG|8aVULN|9RPLT
208	33314 31123	   	171.93	ACR|3DMG|2VULN|1CDMG	15BELT|2RCR|38VULN|48CGEN|678DMG|8BPWR|9CDMG|aLHND
209	33314 31125	   	171.93	ACR|3DMG|2VULN|1CDMG	15BELT|2RCR|38VULN|48CGEN|678DMG|8BPWR|9CDMG|aBEXP
210	33355 31131	   	171.89	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|38VULN|48ERES|5RCVC|678DMG|8BPWR|9ZMB|aRPLT
211	33355 31135	   	171.89	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|38VULN|48ERES|5RCVC|678DMG|8BPWR|9ZMB|aLIT
212	33355 31136	   	171.89	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|38VULN|48ERES|5RCVC|678DMG|8BPWR|9ZMB|aLHND
213	33361 62333	   	171.88	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1BELT|2RCR|3aVULN|4LIT|5DMG|67DUR|8ZMB|9AART
214	33434 62333	   	171.88	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1BELT|2RCR|3LIT|4DMG|56DUR|7aVULN|8ZMB|9AART
215	33561 62333	   	171.88	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1BELT|2RCR|36DUR|4LIT|5DMG|7aVULN|8ZMB|9AART
216	32114 12313	   	171.87	ACR|4VULN|3ZMB|1CDMG	15BELT|289ZMB|3679VULN|4RCR|9BPWR|aCDMG
217	33311 21513	   	171.84	ACR|3DMG|1AART|1VULN|1DUR	1BELT|2RCR|3VULN|4CGEN|567DMG|8AART|9FEWX|aDUR
218	33311 21526	   	171.84	ACR|3DMG|1AART|1VULN|1DUR	1BELT|2RCR|3VULN|4CGEN|567DMG|8AART|9DUR|aLHND
219	33132 12611	   	171.84	ACR|3VULN|1AART|1DMG|1ASPD	15BELT|2RCR|3FEWX|4ASPD|679VULN|8AART|aDMG
220	33314 31121	   	171.83	ACR|3DMG|2VULN|1CDMG	15BELT|2RCR|38VULN|48CGEN|678DMG|8BPWR|9CDMG|aMBVNT
221	33314 31122	   	171.83	ACR|3DMG|2VULN|1CDMG	15BELT|2RCR|38VULN|48CGEN|678DMG|8BPWR|9CDMG|aERES
222	33355 31253	   	171.79	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|39VULN|4ERES|5RCVC|679DMG|89TLV|9BPWR|aZMB
223	33351 21513	   	171.74	ACR|3DMG|1AART|1VULN|1DUR	1BELT|2RCR|3VULN|4ERES|567DMG|8AART|9FEWX|aDUR
224	33351 21526	   	171.74	ACR|3DMG|1AART|1VULN|1DUR	1BELT|2RCR|3VULN|4ERES|567DMG|8AART|9DUR|aLHND
225	33311 21521	   	171.74	ACR|3DMG|1AART|1VULN|1DUR	1BELT|2RCR|3VULN|4CGEN|567DMG|8AART|9DUR|aDUST
226	33311 21524	   	171.74	ACR|3DMG|1AART|1VULN|1DUR	1BELT|2RCR|3VULN|4CGEN|567DMG|8AART|9DUR|aAIRHEA
227	33311 21542	   	171.74	ACR|3DMG|1AART|1VULN|1DUR	1BELT|2RCR|3VULN|4CGEN|567DMG|8AART|9LEGI|aDUR
228	33311 21553	   	171.74	ACR|3DMG|1AART|1VULN|1DUR	1BELT|2RCR|3VULN|4CGEN|567DMG|8AART|9TLV|aDUR
229	33311 21555	   	171.74	ACR|3DMG|1AART|1VULN|1ASPD	1BELT|2RCR|3VULN|4CGEN|567DMG|8AART|9TLV|aASPD
230	33311 21326	   	171.73	ACR|3DMG|2VULN|1CDMG	1BELT|2RCR|3aVULN|48CGEN|567DMG|9CDMG
231	33311 21626	   	171.73	ACR|3DMG|2VULN|1CDMG	1BELT|2RCR|3aVULN|4CGEN|567DMG|8CDMG|9BEXP
232	33311 21636	   	171.73	ACR|3DMG|2VULN|1CDMG	1BELT|2RCR|3aVULN|4CGEN|567DMG|8CDMG|9FEWX
233	33311 23223	   	171.73	ACR|3VULN|2DMG|1CDMG	1BELT|2RCR|389VULN|4CGEN|56DMG|7LHND|aCDMG
234	33311 26223	   	171.73	ACR|3VULN|2DMG|1CDMG	1BELT|2RCR|389VULN|4CGEN|56DMG|7LWND|aCDMG
235	33316 25223	   	171.73	ACR|3VULN|2DMG|1CDMG	1BELT|2RCR|389VULN|4CGEN|5BEXP|67DMG|aCDMG
236	33354 31123	   	171.73	ACR|3DMG|2VULN|1CDMG	15BELT|2RCR|38VULN|48ERES|678DMG|8BPWR|9CDMG|aLIT
237	33354 31125	   	171.73	ACR|3DMG|2VULN|1CDMG	15BELT|2RCR|38VULN|48ERES|678DMG|8BPWR|9CDMG|aBEXP
238	33351 21521	   	171.64	ACR|3DMG|1AART|1VULN|1DUR	1BELT|2RCR|3VULN|4ERES|567DMG|8AART|9DUR|aDUST
239	33351 21524	   	171.64	ACR|3DMG|1AART|1VULN|1DUR	1BELT|2RCR|3VULN|4ERES|567DMG|8AART|9DUR|aAIRHEA
240	33351 21542	   	171.64	ACR|3DMG|1AART|1VULN|1DUR	1BELT|2RCR|3VULN|4ERES|567DMG|8AART|9LEGI|aDUR
241	33351 21553	   	171.64	ACR|3DMG|1AART|1VULN|1DUR	1BELT|2RCR|3VULN|4ERES|567DMG|8AART|9TLV|aDUR
242	33351 21626	   	171.63	ACR|3DMG|2VULN|1CDMG	1BELT|2RCR|3aVULN|4ERES|567DMG|8CDMG|9BEXP
243	33351 21636	   	171.63	ACR|3DMG|2VULN|1CDMG	1BELT|2RCR|3aVULN|4ERES|567DMG|8CDMG|9FEWX
244	33351 41133	   	171.63	ACR|3DMG|2VULN|1CDMG	1BELT|2RCR|38VULN|468ERES|578DMG|8BPWR|9RMIN|aCDMG
245	33311 21646	   	171.63	ACR|3DMG|2VULN|1CDMG	1BELT|2RCR|3aVULN|4CGEN|567DMG|8CDMG|9DUST
246	33313 25223	   	171.63	ACR|3VULN|2DMG|1CDMG	1BELT|2RCR|389VULN|4CGEN|5DUST|67DMG|aCDMG
247	33354 31121	   	171.63	ACR|3DMG|2VULN|1CDMG	15BELT|2RCR|38VULN|48ERES|678DMG|8BPWR|9CDMG|aMBVNT
248	33354 31122	   	171.63	ACR|3DMG|2VULN|1CDMG	15BELT|2RCR|38VULN|48aERES|678DMG|8BPWR|9CDMG
249	33351 41143	   	171.53	ACR|3DMG|2VULN|1CDMG	1BELT|2RCR|38VULN|468ERES|578DMG|8BPWR|9TLV|aCDMG
250	63672 44141	   	171.52	ACR|2VULN|2AART|1CDMG|1ZMB|1ASPD	1RMIN|2MBVNT|3RCR|4CDMG|59AART|6ZMB|7aVULN|8ASPD
251	33311 25131	   	171.49	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|38VULN|48CGEN|568DMG|7RCVC|8BPWR|9ZMB|aRPLT
252	33311 25135	   	171.49	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|38VULN|48CGEN|568DMG|7RCVC|8BPWR|9ZMB|aLIT
253	33311 25136	   	171.49	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|38VULN|48CGEN|568DMG|7RCVC|8BPWR|9ZMB|aLHND
254	33311 25152	   	171.49	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|38VULN|489CGEN|568DMG|7RCVC|8BPWR|aZMB
255	45212 13331	 * 	171.35	ACR|2AART|2VULN|1DMG|2ZMB	1aERES|2aZMB|37AART|4RPLT|5RCR|6LIT|8DMG|9aVULN|aBPWR
256	33351 25131	   	171.29	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|38VULN|48ERES|568DMG|7RCVC|8BPWR|9ZMB|aRPLT
257	33351 25135	   	171.29	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|38VULN|48ERES|568DMG|7RCVC|8BPWR|9ZMB|aLIT
258	33351 25136	   	171.29	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|38VULN|48ERES|568DMG|7RCVC|8BPWR|9ZMB|aLHND
259	33311 21156	   	171.24	ACR|3DMG|1AART|1VULN|1DUR	1BELT|2RCR|3VULN|4CGEN|567DMG|8MGNSTR|9AART|aDUR
260	32111 24116	   	171.23	ACR|3DMG|2VULN|1ZMB|1ASPD	1BELT|2ZMB|3aVULN|4RCR|569DMG|7ASPD|8BEXP
261	32111 24416	   	171.23	ACR|3DMG|2VULN|1ZMB|1ASPD	1BELT|2ZMB|3aVULN|4RCR|569DMG|7ASPD|8LWND
262	33351 25253	   	171.19	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|39VULN|4ERES|569DMG|7RCVC|89TLV|9BPWR|aZMB
263	33351 45133	   	171.19	ACR|3VULN|2DMG|1ZMB	1BELT|2RCR|389VULN|468ERES|58DMG|7RCVC|8BPWR|aZMB
264	33351 21156	   	171.14	ACR|3DMG|1AART|1VULN|1DUR	1BELT|2RCR|3VULN|4ERES|567DMG|8MGNSTR|9AART|aDUR
265	33131 15112	   	171.03	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BELT|2RCR|3FEWX|4ASPD|5DMG|6AART|79VULN|8LIT|aCDMG
266	31111 11233	   	170.87	ACR|2DMG|2AART|1VULN|1ASPD|1DUR	1BELT|2DUR|3ASPD|4RCR|59DMG|68AART|7DUST|aVULN
267	33335 35136	   	170.81	ACR|2VULN|2DMG|1AART	1BELT|2RCR|38VULN|47RCVC|58ERES|68DMG|8BPWR|9CGEN|aAART
268	33311 24413	   	170.64	ACR|3DMG|1AART|1VULN|1ASPD	1BELT|2RCR|3VULN|4CGEN|569DMG|7ASPD|8LWND|aAART
269	33323 22626	   	170.54	ACR|3VULN|1AART|1DMG|1DUR	1BELT|2RCR|357VULN|4LEGI|5BPWR|6DMG|8DUR|9LHND|aAART
270	33323 22636	   	170.54	ACR|3VULN|1AART|1DMG|1DUR	1BELT|2RCR|357VULN|4LEGI|5BPWR|6DMG|8DUR|9LWND|aAART
271	33351 21333	   	170.54	ACR|3DMG|1AART|1VULN|1DUR	1BELT|2RCR|3VULN|4ERES|567DMG|8CGEN|9DUR|aAART
272	33351 24413	   	170.54	ACR|3DMG|1AART|1VULN|1ASPD	1BELT|2RCR|3VULN|4ERES|569DMG|7ASPD|8LWND|aAART
273	31111 15112	   	170.53	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1BELT|2DUR|3ASPD|4RCR|5DMG|6AART|79VULN|8LIT|aZMB
274	31111 15162	   	170.53	ACR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1BELT|2DUR|3ASPD|4RCR|5aDMG|6AART|7VULN|8LIT|9ZMB
275	32111 21332	   	170.50	ACR|3DMG|1AART|1VULN|1ZMB	1BELT|2ZMB|3VULN|4RCR|567DMG|8CGEN|9AART|aLHND
276	32111 21334	   	170.50	ACR|3DMG|1AART|1VULN|1ZMB	1BELT|2ZMB|3VULN|4RCR|567DMG|8aCGEN|9AART
277	32111 21336	   	170.50	ACR|3DMG|1AART|1VULN|1ZMB	1BELT|2ZMB|3VULN|4RCR|567DMG|8CGEN|9AART|aLIT
278	32111 35635	   	170.50	ACR|3VULN|1AART|1DMG|1ZMB	1BELT|2ZMB|38aVULN|4RCR|5DMG|6LIT|7FEWX|9AART
279	32112 21635	   	170.50	ACR|3VULN|1AART|1DMG|1ZMB	1BELT|2ZMB|38aVULN|4RCR|5FEWX|6DMG|7LIT|9AART
280	32511 21136	   	170.50	ACR|3DMG|1AART|1VULN|1ZMB	1BELT|2ZMB|3LHND|4RCR|567DMG|8MLV|9AART|aVULN
281	33361 63332	   	170.44	ACR|2VULN|1AART|1DMG|2ZMB|1DUR	1BELT|2RCR|37VULN|4LIT|5DMG|6DUR|8aZMB|9AART
282	32111 21151	   	170.40	ACR|3DMG|1AART|1VULN|1ZMB	1BELT|2ZMB|3VULN|4RCR|567DMG|8SNIHEL|9AART|aLWND
283	32111 21152	   	170.40	ACR|3DMG|1AART|1VULN|1ZMB	1aBELT|2ZMB|3VULN|4RCR|567DMG|8SNIHEL|9AART
284	32111 21153	   	170.40	ACR|3DMG|1AART|1VULN|1ZMB	1BELT|2ZMB|3VULN|4RCR|567DMG|8SNIHEL|9AART|aRPLT
285	32111 21154	   	170.40	ACR|3DMG|1AART|1VULN|1ZMB	1BELT|2ZMB|3VULN|4RCR|567DMG|8SNIHEL|9AART|aLIT
286	63672 21441	 * 	170.34	ACR|3VULN|1AART|3CDMG	1RMIN|2MBVNT|3RCR|46aCDMG|5AART|79aVULN|8aCGEN|aBPWR
287	32161 21523	 * 	170.32	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1BELT|2ZMB|3VULN|4LEGI|567DMG|8AART|9DUR|aRCR
288	26213 61224	 * 	170.24	DCR|2VULN|2DMG|3ZMB|1ASPD	1LWND|25aZMB|3ASPD|4AIRHEA|6aVULN|7CGEN|8RCR|9aDMG|aBPWR
289	26233 61224	   	170.24	DCR|2VULN|2DMG|3ZMB|1ASPD	1LWND|25aZMB|3ASPD|4LSRHEA|6aVULN|7CGEN|8RCR|9aDMG|aBPWR
290	32111 21566	   	169.90	ACR|3DMG|1AART|1VULN|1ZMB	1BELT|2ZMB|3VULN|4RCR|567DMG|8DMSP|9LIT|aAART
291	32114 12136	   	169.90	ACR|3VULN|1AART|1DMG|1ZMB	15BELT|2ZMB|367VULN|4RCR|8DMG|9CGEN|aAART
292	32511 21233	   	169.90	ACR|3DMG|1AART|1VULN|1ZMB	1BELT|2ZMB|3LHND|4RCR|567DMG|8RMIN|9VULN|aAART
293	36114 12611	   	169.84	ACR|3VULN|1AART|1DMG|1ASPD	1BELT|2FEWX|3ASPD|4RCR|5RCVC|679VULN|8AART|aDMG
294	33334 25612	   	169.84	ACR|2VULN|2DMG|1AART	1BELT|2RCR|39VULN|4RCVC|5BEXP|67DMG|8AART|aDUST
295	31111 52427	   	169.82	ACR|3DMG|1VULN|2ZMB|2DUR|1ASPD	1BELT|28DUR|3ASPD|4RCR|568DMG|78ZMB|8BPWR|9MBVNT|aVULN
296	32111 21134	   	169.80	ACR|3DMG|1AART|1VULN|1ZMB	1BELT|2ZMB|3VULN|4RCR|567DMG|8SNIHEL|9BEXP|aAART
297	32111 21423	   	169.80	ACR|3DMG|1AART|1VULN|1ZMB	1BELT|2ZMB|3VULN|4RCR|567DMG|8LHND|9ERES|aAART
298	46333 22421	 * 	169.62	DCR|2AART|2DMG|1VULN|1CDMG	15aERES|2aLHND|36AART|4VULN|7CDMG|8RCR|9aDMG|aBPWR
299	53333 22421	   	169.62	DCR|2AART|2DMG|1VULN|1CDMG	1aLHND|25aERES|36AART|4VULN|7CDMG|8RCR|9aDMG|aBPWR
300	33531 15251	   	169.62	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1BELT|2RCR|38DUR|4ASPD|5DMG|6AART|7aVULN|9FEWX
301	33531 15421	   	169.62	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1BELT|2RCR|39DUR|4ASPD|5DMG|6AART|7aVULN|8LWND
302	33531 15621	   	169.62	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1BELT|2RCR|39DUR|4ASPD|5DMG|6AART|7aVULN|8BEXP
303	33131 15221	   	169.62	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1BELT|2RCR|3FEWX|4ASPD|5DMG|6AART|7aVULN|89DUR
304	31111 51333	   	169.61	ACR|3DMG|1AART|2DUR|1ZMB|1ASPD	1BELT|2aDUR|3ASPD|4RCR|567DMG|8ZMB|9AART
305	46333 22423	 * 	169.52	DCR|2AART|2VULN|1DMG|1CDMG	15ERES|2LHND|36AART|4aVULN|7CDMG|8RCR|9DMG
306	53333 22423	   	169.52	DCR|2AART|2VULN|1DMG|1CDMG	1LHND|25ERES|36AART|4aVULN|7CDMG|8RCR|9DMG
307	33531 11333	   	169.52	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	1BELT|2RCR|38DUR|4ASPD|59DMG|6AART|7DUST|aVULN
308	44212 23134	   	169.47	ACR|2VULN|2DMG|1AART|1DUR	1ERES|29DMG|3AART|4RPLT|5RCR|6FEWX|7DUR|8aVULN
309	33436 26333	   	169.39	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1BELT|2RCR|3LIT|4DMG|5RCVC|6aVULN|7DUR|8ZMB|9AART
310	33314 31131	   	169.29	ACR|3DMG|2VULN|1ZMB	15BELT|2RCR|38VULN|48CGEN|678DMG|8BPWR|9ZMB|aRPLT
311	33314 31135	   	169.29	ACR|3DMG|2VULN|1ZMB	15BELT|2RCR|38VULN|48CGEN|678DMG|8BPWR|9ZMB|aLIT
312	33314 31136	   	169.29	ACR|3DMG|2VULN|1ZMB	15BELT|2RCR|38VULN|48CGEN|678DMG|8BPWR|9ZMB|aLHND
313	33314 31152	   	169.29	ACR|3DMG|2VULN|1ZMB	15BELT|2RCR|38VULN|489CGEN|678DMG|8BPWR|aZMB
314	33531 11235	 * 	169.26	ACR|2DMG|2AART|1CDMG|1ASPD|1DUR	1BELT|2RCR|3DUR|4ASPD|59DMG|68AART|7DUST|aCDMG
315	31111 56433	 * 	169.24	ACR|3DMG|1AART|3DUR|2ASPD	1BELT|28aDUR|38ASPD|4RCR|568DMG|7RMIN|8BPWR|9AART
316	32111 24543	   	169.22	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1BELT|2ZMB|3aVULN|4RCR|56DMG|7ASPD|8CDMG|9LIT
317	33321 24222	   	169.19	ACR|3VULN|2DMG|1ZMB	1BELT|2RCR|38aVULN|4LEGI|5ZMB|68DMG|78CGEN|8BPWR|9LHND
318	33321 24232	   	169.19	ACR|3VULN|2DMG|1ZMB	1BELT|2RCR|38aVULN|4LEGI|5ZMB|68DMG|78CGEN|8BPWR|9LWND
319	33321 24256	   	169.19	ACR|3VULN|2DMG|1ZMB	1BELT|2RCR|38aVULN|4LEGI|5ZMB|68DMG|78CGEN|8BPWR|9RMIN
320	32111 24526	   	169.12	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1BELT|2ZMB|3aVULN|4RCR|56DMG|7ASPD|8CDMG|9DUST
321	33531 51332	   	169.12	ACR|3DMG|1AART|1ZMB|1ASPD|1DUR	1BELT|2RCR|3DUR|4ASPD|567DMG|8ZMB|9AART|aLWND
322	33531 51334	   	169.12	ACR|3DMG|1AART|1ZMB|1DUR|1ASPD	1BELT|2RCR|3DUR|4ASPD|567DMG|8ZMB|9AART|aCGEN
323	33531 51335	   	169.12	ACR|3DMG|1AART|1ZMB|1DUR|1ASPD	1BELT|2RCR|3DUR|4ASPD|567DMG|8ZMB|9AART|aLIT
324	33511 51335	   	169.12	ACR|3DMG|1AART|1ZMB|1DUR|1ASPD	1BELT|2RCR|3DUR|4CGEN|567DMG|8ZMB|9AART|aASPD
325	33365 26333	   	169.12	ACR|3VULN|1AART|1ZMB|1DUR|1ASPD	1BELT|2RCR|35aVULN|4LIT|6ASPD|7DUR|8ZMB|9AART
326	33565 23333	   	169.12	ACR|3VULN|1AART|1ZMB|1DUR|1ASPD	1BELT|2RCR|3DUR|4LIT|57aVULN|6ASPD|8ZMB|9AART
327	33331 15325	   	169.09	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1BELT|2RCR|36VULN|4RCVC|5MLV|7ZMB|8DUR|9DMG|aAART
328	33111 21335	   	169.09	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|3FEWX|4CGEN|567DMG|8ZMB|9aVULN
329	33311 21332	   	169.09	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|3aVULN|48CGEN|567DMG|9ZMB
330	33311 21435	   	169.09	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|3aVULN|4CGEN|567DMG|8LHND|9ZMB
331	33311 22225	   	169.09	ACR|3VULN|2DMG|1ZMB	1BELT|2RCR|39aVULN|4CGEN|56DMG|7ZMB|8RMIN
332	33311 22325	   	169.09	ACR|3VULN|2DMG|1ZMB	1BELT|2RCR|39aVULN|4CGEN|56DMG|7ZMB|8MLV
333	33354 31131	   	169.09	ACR|3DMG|2VULN|1ZMB	15BELT|2RCR|38VULN|48ERES|678DMG|8BPWR|9ZMB|aRPLT
334	33354 31135	   	169.09	ACR|3DMG|2VULN|1ZMB	15BELT|2RCR|38VULN|48ERES|678DMG|8BPWR|9ZMB|aLIT
335	33354 31136	   	169.09	ACR|3DMG|2VULN|1ZMB	15BELT|2RCR|38VULN|48ERES|678DMG|8BPWR|9ZMB|aLHND
336	33351 41135	   	168.99	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|38VULN|468ERES|578DMG|8BPWR|9RMIN|aZMB
337	33311 21235	   	168.99	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|3aVULN|4CGEN|567DMG|8DUST|9ZMB
338	33354 31253	   	168.99	ACR|3DMG|2VULN|1ZMB	15BELT|2RCR|39VULN|4ERES|679DMG|89TLV|9BPWR|aZMB
339	33531 14214	   	168.91	ACR|2DMG|1AART|1CDMG|1ZMB|1ASPD|1DUR	1BELT|2RCR|3DUR|4ASPD|59DMG|6AART|7MLV|8CDMG|aZMB
340	33322 51225	   	168.89	ACR|3VULN|2DMG|1ZMB	1BELT|2RCR|368VULN|4LEGI|5ERES|7ZMB|9aDMG
341	33323 41225	   	168.89	ACR|3VULN|2DMG|1ZMB	1BELT|2RCR|358VULN|4LEGI|5BPWR|6ERES|7ZMB|9aDMG
342	33351 41253	   	168.89	ACR|3DMG|2VULN|1ZMB	1BELT|2RCR|39VULN|46ERES|579DMG|89TLV|9BPWR|aZMB
343	55131 16222	   	168.79	ACR|3VULN|3DMG|1SELL	18LHND|2DMSP|3ERES|4RCR|568VULN|789DMG|8BPWR|aSELL
344	33131 11233	   	168.73	ACR|2DMG|2AART|1VULN|1ASPD	1BELT|2RCR|3FEWX|4ASPD|59DMG|68AART|7DUST|aVULN
345	65131 63122	   	168.59	ACR|3VULN|3DMG|1SELL	1RMIN|27TLV|3ERES|4RCR|578VULN|679DMG|7BPWR|aSELL
346	26332 32261	 * 	168.57	DCR|2AART|2VULN|1FLTHEA|1ZMB	1LWND|2ZMB|3aAART|4RCVC|5RPLT|6RCR|7FLTHEA|89VULN
