0	Index      	 *	Score 	Summary	Detail	
1	43413 13432	 * 	199.98	DCR|3VULN|2AART|1DMG|1CDMG|1ZMB	12AART|3DMG|4ZMB|5CDMG|6LIT|7RCR|89aVULN
170	43213 21243	   	170.44	DCR|3VULN|3AART|1ZMB	128AART|3ERES|4ZMB|569VULN|7RCR|aRMIN
171	43213 21244	   	170.44	DCR|3VULN|3AART|1ZMB	128AART|3ERES|4ZMB|569VULN|7RCR|aFEWX
172	43213 21246	   	170.44	DCR|3VULN|3AART|1ZMB	128AART|3ERES|4ZMB|569VULN|7RCR|aBELT
173	43213 21611	   	170.38	DCR|2AART|2VULN|1DMG|1ZMB	12AART|3ERES|4ZMB|56VULN|7RCR|8aTLV|9DMG
174	43213 21612	   	170.38	DCR|2AART|2VULN|1DMG|1ZMB	12AART|3ERES|4ZMB|56VULN|7RCR|8TLV|9DMG|aDUST
175	53162 12333	   	170.37	ACR|2VULN|2DMG|1AART|1DUR	1RPLT|28LWND|3LHND|4RCR|58DMG|6AART|78VULN|8BPWR|9DMSP|aDUR
176	53162 12342	   	170.37	ACR|2VULN|2DMG|1AART|1DUR	1RPLT|28LWND|3LHND|4RCR|58DMG|6AART|78VULN|8BPWR|9RMIN|aDUR
177	41241 32423	 * 	170.34	ACR|3VULN|1AART|2ZMB|1CDMG	1AART|27aVULN|3BELT|48ZMB|5RCR|6RPLT|9CDMG
178	32165 34312	 * 	170.28	ACR|3DMG|3CDMG|1AART|1DUR	137LHND|237CDMG|37BPWR|467DMG|5RCR|8CGEN|9AART|aDUR
179	35221 31154	   	170.25	ACR|3VULN|1AART|1DMG|2ASPD	178LHND|27ASPD|3DMSP|467VULN|5RCR|7BPWR|9DMG|aAART
180	62132 21322	   	170.25	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	13FEWX|23CDMG|3BPWR|4aVULN|5RCR|6AART|7LIT|8DMG|9DUR
181	62132 24242	   	170.25	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	13FEWX|23CDMG|3BPWR|47VULN|5RCR|6AART|8DUR|9DMG|aLIT
182	32165 34112	   	170.18	ACR|3DMG|3CDMG|1AART|1DUR	137LHND|237CDMG|37BPWR|467DMG|5RCR|8TLV|9AART|aDUR
183	32165 34212	   	170.18	ACR|3DMG|3CDMG|1AART|1DUR	137LHND|237CDMG|37BPWR|467DMG|5RCR|8ERES|9AART|aDUR
184	32251 32542	   	170.15	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1LHND|29CDMG|3MLV|4RCR|5DMG|68VULN|7DUR|aAART
185	62632 21322	   	170.15	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1FEWX|23CDMG|4aVULN|5RCR|6AART|7LIT|8DMG|9DUR
186	62132 24243	   	170.15	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	13FEWX|23CDMG|3BPWR|47VULN|5RCR|6AART|8DUR|9DMG|aDUST
187	33621 12222	   	170.05	ACR|3VULN|1AART|1DMG|1CDMG	13LHND|2TLV|479VULN|5RCR|6CDMG|8DMG|aAART
