0	Index      	 *	Score 	Summary	Detail	
1	24231 23574	 * 	210.58	DCR|3VULN|3DMG|1AART|2CDMG	158DMG|2MBVNT|3BELT|4AART|58BPWR|68CDMG|78aVULN|9RCR
164	53423 23326	   	180.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2LIT|3AART|46aVULN|5DUR|7CDMG|8RCR|9DMG
165	23361 22316	   	180.72	DCR|4VULN|2DMG|2ASPD	18DMG|28LHND|3BEXP|45ASPD|689aVULN|7RCR|8BPWR
166	23461 22316	   	180.72	DCR|4VULN|2DMG|2ASPD	18DMG|28LHND|3LWND|45ASPD|689aVULN|7RCR|8BPWR
167	22431 32622	   	180.71	ACR|3DMG|2VULN|1CDMG|1ASPD|1DUR	128DMG|3CDMG|4RCR|5DUR|67VULN|9LEGI|aASPD
168	21526 31523	   	180.69	ACR|3VULN|2DMG|1AART	15DMG|2CGEN|3AART|4RCR|69aVULN|78LWND
169	21526 33623	   	180.69	ACR|3VULN|2DMG|1AART	15DMG|28CGEN|3AART|4RCR|69aVULN|7LHND
170	32611 12113	   	180.68	ACR|3VULN|3DMG|1DUR	1RCVC|2RCR|358DMG|479VULN|6BEXP|aDUR
171	32611 34362	   	180.68	ACR|3VULN|3DMG|1ASPD	1RCVC|2RCR|357DMG|478VULN|6BELT|7BPWR|9ASPD|aLEGI
172	22431 36143	   	180.59	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	12aDMG|3CDMG|4RCR|5DUR|6VULN|7AIRHEL|8AART|9RMIN
173	22431 36151	   	180.59	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	129DMG|3CDMG|4RCR|5DUR|6VULN|7AIRHEL|8AART|aDMSP
174	22431 26153	   	180.59	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	129DMG|3CDMG|4RCR|5DUR|6LWND|7CANSTR|8AART|aVULN
175	21526 32623	   	180.59	ACR|3VULN|2DMG|1AART	15DMG|2CGEN|3AART|4RCR|69aVULN|7RMIN|8TLV
