0	Index      	 *	Score 	Summary	Detail	
1	32336 35522	 * 	267.86	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1ASPD|2BEXP|3RPLT|49VULN|5DMG|6CDMG|7RCR|8LIT|aMLV
168	32336 52216	   	238.85	DCR|3VULN|1LIT|1DMG|1ASPD	1ASPD|29BEXP|3RPLT|468VULN|5DMG|7LIT|aRCR
169	32336 52226	   	238.85	DCR|3VULN|1LIT|1DMG|1ASPD	1ASPD|2BEXP|3RPLT|468VULN|5DMG|7LIT|9DMSP|aRCR
170	16131 73362	   	238.83	DCR|3VULN|1LIT|1MLV	16ERES|2MBVNT|36aVULN|4RCVC|5RMIN|6BPWR|7LIT|8MLV|9RCR
171	61162 32611	   	238.83	DCR|3VULN|1LIT|1MLV|1DUR	1DUR|28aVULN|3FEWX|4LIT|5AART|6SNITOX|7MLV|9RCR
172	22341 32256	   	238.81	DCR|2LIT|2VULN|2ASPD	1DUST|2RPLT|34LIT|5ZMB|69ASPD|78VULN|aRCR
173	16142 74225	 * 	238.72	DCR|2LIT|1VULN|1MLV|2CDMG	1ERES|2MBVNT|3VULN|4MLV|5RPLT|6RCR|78CDMG|9aLIT
174	16112 62245	   	238.65	DCR|3VULN|1LIT|1DMG|1ASPD	1ERES|2MBVNT|368VULN|4ASPD|5RPLT|7LIT|9DMG|aRCR
175	16321 84245	   	238.65	DCR|3VULN|1LIT|1DMG|1ASPD	1ERES|2MBVNT|3RPLT|4LIT|5ASPD|678VULN|9DMG|aRCR
176	35111 63126	   	238.64	DCR|3VULN|1LIT|3ASPD	147ASPD|267DUST|367VULN|5RMIN|67BPWR|8NUKE|9LIT|aRCR
177	51161 13324	   	238.55	DCR|2LIT|3VULN	1LHND|279VULN|3FEWX|4aLIT|5LWND|6ZMB|8RCR
178	51361 13324	   	238.55	DCR|2LIT|3VULN	1LHND|279VULN|3BEXP|4aLIT|5LWND|6ZMB|8RCR
179	21361 13324	   	238.45	DCR|2LIT|3VULN	1DUST|279VULN|3BEXP|4aLIT|5LWND|6ZMB|8RCR
180	21661 13324	   	238.45	DCR|2LIT|3VULN	1DUST|279VULN|3LHND|4aLIT|5LWND|6ZMB|8RCR
181	61161 13324	   	238.45	DCR|2LIT|3VULN|1DUR	1DUR|279VULN|3FEWX|4aLIT|5LWND|6ZMB|8RCR
182	61361 13324	   	238.45	DCR|2LIT|3VULN|1DUR	1DUR|279VULN|3BEXP|4aLIT|5LWND|6ZMB|8RCR
183	52335 33325	   	238.34	DCR|4VULN|1LIT	1LHND|2RPLT|3ERES|459aVULN|6RCR|7LIT|8ZMB
184	16116 74324	 * 	238.27	DCR|1LIT|2VULN|3ASPD|1DMG	1ERES|2MBVNT|36VULN|456ASPD|6BPWR|7DMG|8BASHEA|9RCR|aLIT
185	33114 32226	   	238.18	DCR|3VULN|1LIT|2ASPD	14ASPD|2FEWX|389VULN|5RPLT|6ZMB|7LIT|aRCR
186	33334 32226	   	238.18	DCR|3VULN|1LIT|2ASPD	15ASPD|2FEWX|3RPLT|489VULN|6ZMB|7LIT|aRCR
187	35114 32226	   	238.08	DCR|3VULN|1LIT|2ASPD	14ASPD|2DUST|389VULN|5RPLT|6ZMB|7LIT|aRCR
188	36134 32226	   	238.08	DCR|3VULN|1LIT|2ASPD	15ASPD|2RPLT|3DUST|489VULN|6ZMB|7LIT|aRCR
189	36232 32226	   	238.08	DCR|3VULN|1LIT|2ASPD	13ASPD|2RPLT|4DUST|589VULN|6ZMB|7LIT|aRCR
190	22342 32514	   	237.93	DCR|3LIT|2MLV|1VULN	17DUST|2RPLT|347LIT|57MLV|6AART|7BPWR|8RCR|9VULN|aLWND
191	22342 32516	   	237.93	DCR|3LIT|2MLV|1VULN	17DUST|2RPLT|347LIT|57MLV|6AART|7BPWR|8RCR|9VULN|aLHND
192	22342 32521	   	237.93	DCR|3LIT|2MLV|1VULN	17DUST|2RPLT|347LIT|57MLV|6AART|7BPWR|8RCR|9RMIN|aVULN
193	51115 26213	 * 	237.90	DCR|1LIT|2VULN|2DMG|1ASPD	1LHND|25VULN|3FEWX|4aDMG|6LIT|7CRUSTR|8RCR|9ASPD
