0	Index      	 *	Score 	Summary	Detail	
1	35321 36162	 * 	243.03	ACR|2VULN|3DMG|1ASPD|2CDMG|1AART|1BEXP	1BEXP|24VULN|347DMG|4BPWR|5RCR|68CDMG|9ASPD|aAART
154	35321 12541	   	213.86	ACR|3VULN|3DMG|3BEXP	18aBEXP|247VULN|348DMG|48aBPWR|5RCR|68aMLV|9aFEWX
155	35311 36611	   	213.69	ACR|3DMG|3BEXP|1VULN|2CDMG	19aBEXP|2VULN|347DMG|5RCR|69CDMG|89AME|9BPWR
156	35311 12561	   	213.66	ACR|3VULN|3DMG|3BEXP	18aBEXP|27aVULN|348DMG|5RCR|68aMLV|8aBPWR|9LEGI
157	35321 12524	   	213.66	ACR|3VULN|3DMG|3BEXP	18aBEXP|247VULN|348DMG|48BPWR|5RCR|68MLV|9DUR
158	35311 12551	   	213.56	ACR|3VULN|3DMG|3BEXP	18aBEXP|279VULN|348DMG|5RCR|68MLV|8BPWR
159	31521 43251	   	213.47	ACR|2ASPD|2DMG|2BEXP|1VULN|1AAC	1aBEXP|2TLV|3aDMG|4ZMB|5RCR|6VULN|7aASPD|8AAC|9RCVC|aBPWR
160	35311 34143	   	213.35	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	18BEXP|28VULN|34DMG|5RCR|6CDMG|78LHND|8BPWR|9ASPD|aZMB
161	35321 36111	   	213.32	ACR|3VULN|3DMG|2CDMG|1BEXP	1BEXP|249VULN|347DMG|4BPWR|5RCR|68CDMG|aFEWX
162	35321 36112	   	213.32	ACR|3VULN|3DMG|2CDMG|1BEXP	1BEXP|249VULN|347DMG|4BPWR|5RCR|68CDMG|aLWND
163	35311 34142	   	213.25	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	18BEXP|28VULN|34DMG|5RCR|6CDMG|78LHND|8BPWR|9ASPD|aTLV
164	35321 31222	   	213.25	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19BEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8RPLT|aRMIN
165	35321 31223	   	213.25	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19BEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8RPLT|aFEWX
166	35321 31226	   	213.25	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19BEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8RPLT|aLIT
167	35321 31422	   	213.25	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	1aBEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8LHND|9LWND
168	35321 31442	   	213.25	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	1aBEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8LHND|9DUR
169	35321 31452	   	213.25	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	1aBEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8LHND|9FEWX
170	35321 31542	   	213.25	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	1aBEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8LWND|9DUR
171	35321 31552	   	213.25	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	1aBEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8LWND|9FEWX
172	35321 36113	   	213.22	ACR|3VULN|3DMG|2CDMG|1BEXP	1BEXP|249VULN|347DMG|4BPWR|5RCR|68CDMG|aDUST
173	35311 33143	   	213.15	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	18BEXP|28VULN|34DMG|5RCR|6CDMG|78DUST|8BPWR|9ASPD|aZMB
174	35311 33145	   	213.15	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	18BEXP|28VULN|34DMG|5RCR|6CDMG|78DUST|8BPWR|9ASPD|aDUR
175	35311 33146	   	213.15	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	18BEXP|28VULN|34DMG|5RCR|6CDMG|78DUST|8BPWR|9ASPD|aCGEN
176	35321 31211	   	213.15	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	1aBEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8RPLT|9TLV
177	35321 31221	   	213.15	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19BEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8RPLT|aFLTFST
178	35321 31224	   	213.15	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19BEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8RPLT|aAME
179	35321 31632	   	213.15	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	1aBEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8MBVNT|9LHND
180	35321 31652	   	213.15	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	1aBEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8MBVNT|9DUR
181	35321 31661	   	213.15	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	1aBEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8MBVNT|9BELT
182	35311 33142	   	213.05	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	18BEXP|28VULN|34DMG|5RCR|6CDMG|78DUST|8BPWR|9ASPD|aTLV
183	35321 31611	   	213.05	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	1aBEXP|24VULN|34DMG|4BPWR|5RCR|6CDMG|7ASPD|8MBVNT|9DUST
184	35331 31681	   	213.05	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	14BEXP|29VULN|3aDMG|5RCR|6CDMG|7ASPD|8MBVNT
