0	Index      	 *	Score 	Summary	Detail	
1	22624 15333	 * 	209.38	ACR|3VULN|2AART|2DMG|1CDMG	19AART|278VULN|3RCR|4RPLT|57DUST|67DMG|7BPWR|aCDMG
171	22624 11235	   	179.98	ACR|2AART|2VULN|2DMG	19AART|2aVULN|3RCR|4RPLT|5DUST|67DMG|8DMSP
172	22624 11331	   	179.98	ACR|2AART|2VULN|2DMG	19AART|28VULN|3RCR|4RPLT|5DUST|67DMG|aRCVC
173	22624 11332	   	179.98	ACR|2AART|2VULN|2DMG	19AART|28VULN|3RCR|4RPLT|5DUST|67DMG|aFEWX
174	22624 11334	   	179.98	ACR|2AART|2VULN|2DMG	19AART|28VULN|3RCR|4RPLT|5DUST|67DMG|aLIT
175	22626 11336	   	179.98	ACR|2AART|2VULN|2DMG	19AART|28VULN|3RCR|4RPLT|5BEXP|67DMG|aTLV
176	22624 11336	   	179.88	ACR|2AART|2VULN|2DMG	19AART|28VULN|3RCR|4RPLT|5DUST|67DMG|aTLV
177	22123 32365	   	179.88	DCR|4VULN|1AART|1DMG|1DUR|1SELL	1AART|237aVULN|3BPWR|4DUR|5SELL|6BEXP|8DMG|9RCR
178	22123 42365	   	179.88	DCR|4VULN|1AART|1DMG|1DUR|1SELL	1AART|237aVULN|3BPWR|4DUR|5SELL|6FEWX|8DMG|9RCR
179	22123 62365	   	179.88	DCR|4VULN|1AART|1DMG|1DUR|1SELL	1AART|237aVULN|3BPWR|4DUR|5SELL|6LWND|8DMG|9RCR
180	22633 52216	   	179.84	ACR|2AART|2VULN|2DMG|1SELL	19AART|27VULN|3RCR|48MLV|5SELL|6aDMG
181	22126 52361	   	179.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|237VULN|3BPWR|4DUR|5LWND|6CDMG|8DMG|9RCR|aFEWX
182	22146 32361	   	179.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|237VULN|3BPWR|4CDMG|5DUR|6BEXP|8DMG|9RCR|aBELT
183	22141 32363	   	179.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|237VULN|3BPWR|4CDMG|5LWND|6BEXP|8DMG|9RCR|aDUR
184	22141 42363	   	179.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|237VULN|3BPWR|4CDMG|5LWND|6FEWX|8DMG|9RCR|aDUR
185	22624 15111	   	179.64	ACR|2VULN|2DMG|1AART|1ZMB	1AART|27VULN|3RCR|4RPLT|57DUST|67DMG|7BPWR|8FEWX|9ZMB|aLWND
186	22624 15112	   	179.64	ACR|2VULN|2DMG|1AART|1ZMB	1AART|27VULN|3RCR|4RPLT|57DUST|67DMG|7BPWR|8FEWX|9ZMB|aBEXP
187	22624 15113	   	179.64	ACR|2VULN|2DMG|1AART|1ZMB	1AART|27VULN|3RCR|4RPLT|57DUST|67DMG|7BPWR|8FEWX|9ZMB|aLIT
188	22625 12352	   	179.64	ACR|2VULN|2DMG|1AART|1ZMB	1AART|27VULN|3RCR|4RPLT|5DMSP|6RCVC|89DMG|aZMB
189	22141 12365	   	179.57	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|23aVULN|3BPWR|4CDMG|5LWND|6ASPD|7TLV|8DMG|9RCR
190	22143 62363	   	179.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|237VULN|3BPWR|4CDMG|5DUST|6LWND|8DMG|9RCR|aDUR
191	22146 32362	   	179.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|237VULN|3BPWR|4CDMG|5DUR|6BEXP|8DMG|9RCR|aERES
192	22664 21133	   	179.54	ACR|2VULN|2DMG|1AART|1ZMB	1AART|29VULN|3RCR|4SNIHEL|5aDMG|6LIT|7BEXP|8ZMB
193	22121 54315	   	179.49	DCR|4VULN|1AART|2DUR|1ASPD	1AART|238aVULN|3BPWR|49DUR|5RPLT|6RCR|7ASPD
194	22143 12365	   	179.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|23aVULN|3BPWR|4CDMG|5DUST|6ASPD|7TLV|8DMG|9RCR
195	26313 23355	   	179.44	ACR|3DMG|2VULN|1AART|1SELL	1AART|24aLHND|3RCVC|5RCR|6SELL|7aVULN|89aDMG|aBPWR
196	22123 62363	   	179.42	DCR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1AART|237VULN|3BPWR|4DUR|5SELL|6LWND|8DMG|9RCR|aCDMG
197	22122 16325	   	179.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|23aVULN|3BPWR|4DUR|5ZMB|6FEWX|7BELT|8RCR|9DMG
