0	Index      	 *	Score 	Summary	Detail	
1	27418 14336	 * 	202.09	ACR|2VULN|2DMG|2AART|3CDMG	1MBVNT|2RCVC|37aCDMG|4aVULN|5RCR|68AART|9aDMG|aBPWR
170	11651 22523	   	172.91	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1CGEN|23VULN|4CDMG|5aDUR|6RCR|7AART|8DMG|9LWND
171	11651 22532	   	172.91	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1CGEN|23VULN|4CDMG|5aDUR|6RCR|7AART|8DMG|9RMIN
172	22142 24684	 * 	172.90	ACR|3VULN|1AART|2CDMG|1ZMB	1MBVNT|29FEWX|369VULN|4RCR|5AART|7RPLT|89CDMG|9BPWR|aZMB
173	22142 21138	   	172.80	ACR|3VULN|1AART|1DMG|1ZMB	1MBVNT|2FEWX|367VULN|4RCR|5AART|8DMG|9LWND|aZMB
174	22142 21142	   	172.80	ACR|3VULN|1AART|1DMG|1ZMB	1MBVNT|2FEWX|367VULN|4RCR|5AART|8DMG|9ZMB|aLWND
175	22142 21145	   	172.80	ACR|3VULN|1AART|1DMG|1ZMB	1MBVNT|2FEWX|367VULN|4RCR|5AART|8DMG|9ZMB|aRMIN
176	22142 21147	   	172.80	ACR|3VULN|1AART|1DMG|1ZMB	1MBVNT|2FEWX|367VULN|4RCR|5AART|8DMG|9ZMB|aLHND
177	22142 21148	   	172.80	ACR|3VULN|1AART|1DMG|1ZMB	1MBVNT|2FEWX|367VULN|4RCR|5AART|8DMG|9ZMB|aLIT
178	22142 15138	   	172.80	ACR|3VULN|1AART|1DMG|1ZMB	1MBVNT|2FEWX|378VULN|4RCR|5AART|6LWND|9DMG|aZMB
179	22142 21144	   	172.70	ACR|3VULN|1AART|1DMG|1ZMB	1MBVNT|2FEWX|367VULN|4RCR|5AART|8DMG|9ZMB|aDUST
180	22142 47221	   	172.70	ACR|3VULN|1AART|1DMG|1ZMB	1MBVNT|2FEWX|389VULN|4RCR|5AART|6ZMB|7DLOT|aDMG
181	23338 24718	   	172.57	DCR|3VULN|2DMG|1AART	1MBVNT|29DMG|379LIT|4AART|589VULN|6DMSP|9BPWR|aRCR
182	11433 65133	   	172.51	DCR|2AART|2DMG|1VULN|2DUR	1CGEN|2VULN|38DMG|45AART|6RCR|7aDUR|9RPLT
183	11433 62161	   	172.51	DCR|2AART|2DMG|1VULN|2DUR	1CGEN|2VULN|38DMG|45AART|6RCR|7FEWX|9aDUR
184	11433 63261	   	172.51	DCR|2AART|2VULN|1DMG|2DUR	1CGEN|27VULN|3DMG|45AART|6RCR|8BEXP|9aDUR
185	11433 63361	   	172.51	DCR|2AART|2VULN|1DMG|2DUR	1CGEN|27VULN|3DMG|45AART|6RCR|8LWND|9aDUR
186	27844 13183	   	172.47	DCR|2AART|2VULN|2DMG	1MBVNT|2RCVC|36AART|49VULN|59ERES|79DMG|8RPLT|9BPWR|aRCR
187	24361 33533	   	172.44	ACR|2DMG|1AART|2CDMG|1FLTHEA|1ZMB|1ASPD	1MBVNT|27LHND|3FLTHEA|47CDMG|5RCR|67DMG|7BPWR|8ASPD|9ZMB|aAART
188	28361 33533	   	172.44	ACR|2DMG|1AART|2CDMG|1FLTHEA|1ZMB|1ASPD	1MBVNT|27LWND|3FLTHEA|47CDMG|5RCR|67DMG|7BPWR|8ASPD|9ZMB|aAART
189	11433 63171	   	172.41	DCR|2AART|2VULN|1DMG|2DUR	1CGEN|27VULN|3DMG|45AART|6RCR|8MBVNT|9aDUR
190	23342 41382	   	172.36	DCR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2aDMG|34aLIT|5CDMG|6CGEN|7aVULN|8RCR|9AART|aBPWR
191	23362 41382	   	172.36	DCR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2aDMG|3aLIT|4DMSP|5CDMG|6CGEN|7aVULN|8RCR|9AART|aBPWR
192	11536 12111	   	172.22	DCR|3DMG|1AART|1VULN|1DUR	18CGEN|2VULN|3AART|4BELT|589DMG|6RCR|78LHND|8BPWR|aDUR
193	61536 12111	   	172.22	DCR|3DMG|1AART|1VULN|1DUR	18MLV|2VULN|3AART|4BELT|589DMG|6RCR|78LHND|8BPWR|aDUR
