0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21232 13316	10	 * 	278.58	DCR|3VULN|3DUR|3TLV|3CDMG	148DUR|279VULN|389CDMG|5RCVC|689TLV|89BPWR|aRCR
171	21426 36311	7	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	13DUR|257VULN|4TLV|6ERES|8DMG|9RCR|aMLV
172	21426 36312	7	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	13DUR|257VULN|4TLV|6ERES|8DMG|9RCR|aCGEN
173	21426 36313	7	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	13DUR|257VULN|4TLV|6ERES|8DMG|9RCR|aLHND
174	23153 25126	9	   	250.93	DCR|3VULN|2DMG|2DUR	1aDUR|2ZMB|3aFEWX|48DMG|5LIT|69aVULN|7RCR|aBPWR
175	23253 25126	9	   	250.93	DCR|3VULN|2DMG|2DUR	1aDUR|2ZMB|3aLWND|48DMG|5LIT|69aVULN|7RCR|aBPWR
176	52263 21352	10	   	250.93	DCR|3VULN|2DMG|2DUR	12RPLT|378VULN|4RCVC|58DUR|68DMG|8BPWR|9LIT|aRCR
177	21262 61361	8	   	250.90	DCR|2VULN|2DUR|1TLV|2CDMG|2ASPD	19DUR|28VULN|39CDMG|4TLV|5LIT|69ASPD|7RCR|9BPWR|aLWND
178	21262 61362	8	   	250.90	DCR|2VULN|2DUR|1TLV|2CDMG|2ASPD	19DUR|28VULN|39CDMG|4TLV|5LIT|69ASPD|7RCR|9BPWR|aBEXP
179	21262 61363	8	   	250.90	DCR|2VULN|2DUR|1TLV|2CDMG|2ASPD	19DUR|28VULN|39CDMG|4TLV|5LIT|69ASPD|7RCR|9BPWR|aRPLT
180	21354 25223	2	   	250.84	DCR|3VULN|2DUR|1TLV|1DMG	1aDUR|256VULN|3TBNT|4LEGI|7TLV|8RCR|9DMG
181	21343 34136	3	   	250.73	DCR|3VULN|2DMG|2DUR	18DUR|28aVULN|3ERES|4MBVNT|5LIT|6RCR|78DMG|8BPWR|9DMSP
182	21422 52224	6	   	250.71	DCR|2VULN|3DUR|1TLV|2ASPD|2LIT	139DUR|2aVULN|4TLV|5aLIT|6RCR|7aASPD|8RMIN|aBPWR
183	21422 53124	6	   	250.71	DCR|2VULN|3DUR|1TLV|2ASPD|2LIT	139DUR|2aVULN|4TLV|5aLIT|6RCR|7RMIN|8aASPD|aBPWR
184	21343 34111	3	   	250.63	DCR|3VULN|2DMG|2DUR	18DUR|28aVULN|3ERES|4MBVNT|5LIT|6RCR|78DMG|8BPWR|9TBNT
185	21343 34141	3	   	250.63	DCR|3VULN|2DMG|2DUR	18DUR|28aVULN|3ERES|4MBVNT|5LIT|6RCR|78DMG|8BPWR|9BBNT
186	22613 21121	1	 * 	250.18	ACR|3VULN|2DMG|2DUR|1TLV|1CDMG	1aDUR|2aDMG|3BELT|4RCR|5TLV|6RPLT|7CDMG|89aVULN|aBPWR
187	12253 33442	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1FEWX|2DMG|3BBNT|479VULN|5DUR|6CDMG|8RCR|aTLV
188	21351 23626	6	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|28aVULN|3ERES|4DMG|5TLV|6RPLT|7CDMG|9RCR
189	22251 33442	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|2DMG|3BBNT|479VULN|5LWND|6CDMG|8RCR|aTLV
190	21215 32442	6	   	249.90	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|269VULN|3CDMG|4DUST|5DMG|7BBNT|8RCR|aTLV
191	21263 36236	5	   	249.54	DCR|2VULN|3DUR|2TLV|1CDMG	15aDUR|28VULN|3CDMG|45TLV|5BPWR|6ERES|7RCR|9ASPD
192	21316 54222	6	   	249.54	DCR|5VULN|1DMG|1DUR	1DUR|24567VULN|36ERES|6BPWR|8RCR|9DMG|aMLV
193	21316 54223	6	   	249.54	DCR|5VULN|1DMG|1DUR	1DUR|24567VULN|36ERES|6BPWR|8RCR|9DMG|aBEXP
194	21316 55222	7	   	249.54	DCR|5VULN|1DMG|1DUR	1DUR|24567VULN|36ERES|6BPWR|8RCR|9DMG|aMLV
195	21316 55223	7	   	249.54	DCR|5VULN|1DMG|1DUR	1DUR|24567VULN|36ERES|6BPWR|8RCR|9DMG|aBEXP
196	11314 25261	4	 * 	249.43	DCR|4VULN|2TLV|1DMG	19FEWX|2469VULN|3ERES|5DMG|7RCR|89TLV|9BPWR|aMLV
197	11314 25262	4	   	249.43	DCR|4VULN|2TLV|1DMG	19FEWX|2469VULN|3ERES|5DMG|7RCR|89TLV|9BPWR|aCGEN
198	11314 25263	4	   	249.43	DCR|4VULN|2TLV|1DMG	19FEWX|2469VULN|3ERES|5DMG|7RCR|89TLV|9BPWR|aLHND
199	21343 34174	3	   	249.35	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	18DUR|28VULN|3ERES|4MBVNT|5LIT|6RCR|78DMG|8BPWR|9AART|aCDMG
200	21421 32422	9	   	249.23	DCR|2VULN|3DUR|1TLV|1DMG|1AART	135DUR|2aVULN|4TLV|6AART|7RPLT|8DMG|9RCR
201	33434 21142	5	   	249.14	DCR|2VULN|2TLV|3CDMG|1DUR|2LIT	18LIT|2DUR|38VULN|456CDMG|78TLV|8BPWR|9ASPD|aRCR
202	21225 16412	8	   	249.13	DCR|4VULN|2DUR|1CDMG|1AART	16DUR|2579VULN|3CDMG|4AART|8RCR|aRCVC
203	21421 23621	5	   	249.13	DCR|2VULN|3DUR|1TLV|1DMG|1AART	135DUR|2aVULN|4TLV|6TBNT|7AART|8RCR|9DMG
204	21426 23621	4	   	249.13	DCR|2VULN|3DUR|1TLV|1DMG|1AART	135DUR|2aVULN|4TLV|6TBNT|7AART|8RCR|9DMG
205	21343 34177	3	   	248.92	DCR|2VULN|3DUR|2DMG|1AART	18aDUR|28VULN|3ERES|4MBVNT|5LIT|6RCR|78DMG|8BPWR|9AART
