0	Index      	 *	Score 	Summary	Detail	
1	12614 53541	 * 	196.05	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	17VULN|2CDMG|37DUR|4MBVNT|5BELT|679DMG|7BPWR|8AART|aRCR
167	13413 32354	   	175.15	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	126VULN|3LHND|4ZMB|5ASPD|7CDMG|8RCR|9AART|aDUR
168	15323 32354	   	175.15	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	146VULN|2ZMB|3LWND|5ASPD|7CDMG|8RCR|9AART|aDUR
169	12125 22162	   	175.07	DCR|3DMG|2VULN|2CDMG|1ASPD	17VULN|27CDMG|3RCVC|457DMG|6BELT|7BPWR|8ASPD|9RCR|aERES
170	12125 22163	   	175.07	DCR|3DMG|2VULN|2CDMG|1ASPD	17VULN|27CDMG|3RCVC|457DMG|6BELT|7BPWR|8ASPD|9RCR|aDUST
171	12125 22164	   	175.07	DCR|3DMG|2VULN|2CDMG|1ASPD	17VULN|27CDMG|3RCVC|457DMG|6BELT|7BPWR|8ASPD|9RCR|aCANHEL
172	12241 65133	   	174.99	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	15VULN|27CDMG|3RMIN|4AART|6FEWX|8RCR|9DMG|aZMB
173	13155 35132	 * 	174.97	ACR|5VULN|1AART|1ZMB	1248aVULN|3CGEN|5RCR|6RCVC|7ZMB|9AART
174	13355 35132	   	174.97	ACR|5VULN|1AART|1ZMB	1248aVULN|3MLV|5RCR|6RCVC|7ZMB|9AART
175	23418 82213	 * 	174.91	DCR|2VULN|2DMG|2ZMB|1CDMG|1ASPD|1SELL	1SELL|28ZMB|3LIT|4MBVNT|58VULN|6RCR|78DMG|8BPWR|9ASPD|aCDMG
176	12241 32115	 * 	174.31	DCR|4VULN|1AART|1CDMG|1DUR	157aVULN|2CDMG|3RMIN|4AART|6DUR|8RCR|9RPLT
177	12241 32122	   	174.31	DCR|4VULN|1AART|1CDMG|1DUR	157aVULN|2CDMG|3RMIN|4AART|6DUR|8RCR|9CGEN
178	12613 14736	   	174.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	18VULN|2CDMG|3DUR|4MBVNT|5VENICY|67DMG|9AART|aRCR
179	15322 46452	   	173.93	DCR|4VULN|1DMG|1CDMG|1ZMB	1469VULN|2ZMB|3LWND|5MBVNT|7RCR|8CDMG|aDMG
180	13155 31623	 * 	173.88	ACR|5VULN|1DMG|1CDMG	12478VULN|3CGEN|5RCR|6RCVC|9CDMG|aDMG
181	32341 41126	   	173.85	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUST|2CDMG|3DMG|4AART|59VULN|6DUR|7RCR|8FEWX|aASPD
182	61536 32313	 * 	173.83	DCR|2AART|2DMG|1VULN|2ZMB	18ZMB|2aAART|3CANSTR|48DUST|58DMG|6RMIN|7RCR|8BPWR|9VULN
183	61151 22115	   	173.82	DCR|2VULN|2DMG|1AART|1ZMB	1ZMB|2AART|3LIT|45VULN|6aDMG|7CGEN|8RCR|9MLV
184	61152 22123	 * 	173.81	DCR|2VULN|3ZMB|1AART|1DMG	15aZMB|2AART|3LIT|4aVULN|6DMG|7CGEN|8RCR|9aBEXP|aBPWR
185	12342 22434	   	173.77	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	17VULN|2CDMG|3LWND|4RCR|5AART|6RCVC|8ASPD|9DMG|aDUR
186	12241 36134	 * 	173.73	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	15VULN|2CDMG|3RMIN|4AART|67aDUR|8RCR|9DMG
187	61151 22136	   	173.72	DCR|2VULN|2DMG|1AART|1ZMB	1ZMB|2AART|3LIT|45VULN|6aDMG|7CGEN|8RCR|9TLV
188	61151 23115	   	173.72	DCR|2VULN|2DMG|1AART|1ZMB	1ZMB|2AART|3LIT|45VULN|6aDMG|7ERES|8RCR|9MLV
189	61152 23123	   	173.71	DCR|2VULN|3ZMB|1AART|1DMG	15aZMB|2AART|3LIT|4aVULN|6DMG|7ERES|8RCR|9aBEXP|aBPWR
190	61124 23163	   	173.71	DCR|2VULN|3ZMB|1AART|1DMG	15aZMB|2AART|3LIT|4aBEXP|6DMG|7ERES|8RCR|9aVULN|aBPWR
191	61151 23136	   	173.62	DCR|2VULN|2DMG|1AART|1ZMB	1ZMB|2AART|3LIT|45VULN|6aDMG|7ERES|8RCR|9TLV
192	14322 36451	   	173.45	DCR|3VULN|2DMG|1CDMG|1ASPD	149VULN|26DMG|36LWND|5MBVNT|6BPWR|7RCR|8CDMG|aASPD
193	12344 12223	   	173.45	ACR|3DMG|2VULN|2CDMG	18VULN|28CDMG|3LWND|4RCR|5RMIN|6LIT|789DMG|8BPWR|aRPLT
194	12344 12225	   	173.45	ACR|3DMG|2VULN|2CDMG	18VULN|28CDMG|3LWND|4RCR|5RMIN|6LIT|789DMG|8BPWR|aCGEN
195	12444 12223	   	173.45	ACR|3DMG|2VULN|2CDMG	18VULN|28CDMG|3FEWX|4RCR|5RMIN|6LIT|789DMG|8BPWR|aRPLT
196	12544 12223	   	173.45	ACR|3DMG|2VULN|2CDMG	18VULN|28CDMG|3BEXP|4RCR|5RMIN|6LIT|789DMG|8BPWR|aRPLT
197	12342 12244	   	173.43	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	178VULN|2CDMG|37LWND|4RCR|5AART|67ERES|7BPWR|9ZMB|aDUR
198	16336 13142	   	173.43	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	179VULN|2LIT|3MLV|4RCR|5AART|6CDMG|8ZMB|aASPD
199	12631 25421	   	173.42	DCR|2VULN|2DMG|2CDMG|3DUR	19VULN|24CDMG|349DUR|49BPWR|5FEWX|6DUST|7RCR|89DMG|aCGEN
200	12633 25421	   	173.42	DCR|2VULN|2DMG|2CDMG|3DUR	19VULN|24CDMG|349DUR|49BPWR|5BEXP|6DUST|7RCR|89DMG|aCGEN
201	14322 46411	   	173.35	DCR|3VULN|2DMG|1CDMG|1ASPD	146VULN|29DMG|3LWND|5MBVNT|7RCR|8CDMG|aASPD
202	12344 12221	   	173.35	ACR|3DMG|2VULN|2CDMG	18VULN|28CDMG|3LWND|4RCR|5RMIN|6LIT|789DMG|8BPWR|aAIRHEA
203	12344 12222	   	173.35	ACR|3DMG|2VULN|2CDMG	18VULN|28CDMG|3LWND|4RCR|5RMIN|6LIT|789DMG|8BPWR|aERES
204	12344 12226	   	173.35	ACR|3DMG|2VULN|2CDMG	18VULN|28CDMG|3LWND|4RCR|5RMIN|6LIT|789DMG|8BPWR|aDUST
205	12444 12221	   	173.35	ACR|3DMG|2VULN|2CDMG	18VULN|28CDMG|3FEWX|4RCR|5RMIN|6LIT|789DMG|8BPWR|aAIRHEA
206	12444 12222	   	173.35	ACR|3DMG|2VULN|2CDMG	18VULN|28CDMG|3FEWX|4RCR|5RMIN|6LIT|789DMG|8BPWR|aERES
207	12544 12221	   	173.35	ACR|3DMG|2VULN|2CDMG	18VULN|28CDMG|3BEXP|4RCR|5RMIN|6LIT|789DMG|8BPWR|aAIRHEA
208	12544 12222	   	173.35	ACR|3DMG|2VULN|2CDMG	18VULN|28CDMG|3BEXP|4RCR|5RMIN|6LIT|789DMG|8BPWR|aERES
209	12241 22131	   	173.33	DCR|3VULN|1AART|1DMG|1CDMG	157VULN|2CDMG|3RMIN|4AART|6LWND|8RCR|9DMG|aCGEN
210	12241 22132	   	173.33	DCR|3VULN|1AART|1DMG|1CDMG	157VULN|2CDMG|3RMIN|4AART|6LWND|8RCR|9DMG|aBELT
211	12241 22136	   	173.33	DCR|3VULN|1AART|1DMG|1CDMG	157VULN|2CDMG|3RMIN|4AART|6LWND|8RCR|9DMG|aLIT
212	12241 22165	   	173.33	DCR|3VULN|1AART|1DMG|1CDMG	157VULN|2CDMG|39RMIN|4AART|6LWND|8RCR|aDMG
213	12241 62131	   	173.33	DCR|3VULN|1AART|1DMG|1CDMG	157VULN|2CDMG|3RMIN|4AART|6FEWX|8RCR|9DMG|aCGEN
214	12241 62132	   	173.33	DCR|3VULN|1AART|1DMG|1CDMG	157VULN|2CDMG|3RMIN|4AART|6FEWX|8RCR|9DMG|aRCVC
215	12241 62136	   	173.33	DCR|3VULN|1AART|1DMG|1CDMG	157VULN|2CDMG|3RMIN|4AART|6FEWX|8RCR|9DMG|aLIT
216	12635 42333	   	173.32	DCR|2VULN|2DMG|2CDMG|3DUR	19VULN|24CDMG|345DUR|4BPWR|6aDMG|7RCR|8FEWX
217	12631 25422	   	173.32	DCR|2VULN|2DMG|2CDMG|3DUR	19VULN|24CDMG|349DUR|49BPWR|5FEWX|6DUST|7RCR|89DMG|aTLV
218	12633 25422	   	173.32	DCR|2VULN|2DMG|2CDMG|3DUR	19VULN|24CDMG|349DUR|49BPWR|5BEXP|6DUST|7RCR|89DMG|aTLV
219	34133 36342	   	173.25	DCR|2VULN|2DMG|1AART|2DUR	17DUST|27DMG|3BEXP|4aDUR|5AART|67VULN|7BPWR|8RCR|9DMSP
220	16331 35236	   	173.23	ACR|4VULN|1DMG|2DUR|1ZMB	168aVULN|28LIT|3MLV|4RCR|5ZMB|78DUR|8BPWR|9DMG
221	56331 32236	   	173.23	ACR|4VULN|1DMG|2DUR|1ZMB	18DUR|28LIT|3MLV|4RCR|5ZMB|678aVULN|8BPWR|9DMG
222	12241 22133	   	173.23	DCR|3VULN|1AART|1DMG|1CDMG	157VULN|2CDMG|3RMIN|4AART|6LWND|8RCR|9DMG|aERES
223	32341 53143	   	173.23	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|2CDMG|3DMG|4AART|57aVULN|6LIT|8RCR|9RMIN
224	12122 22265	 * 	173.06	DCR|3DMG|2VULN|2ASPD|1CDMG	19VULN|2CDMG|3RCVC|467DMG|59CGEN|89ASPD|9BPWR|aRCR
225	14322 31112	   	173.06	DCR|3VULN|3DMG|1DUR	14aVULN|26aDMG|36LWND|5MBVNT|6aBPWR|7DUR|8RCR|9aBASHEA
226	53522 32172	   	173.06	DCR|3VULN|3DMG|1DUR	1DUR|246VULN|36aDMG|5MBVNT|6BPWR|7LWND|8RCR|9BEXP
227	14322 71112	   	172.96	DCR|3VULN|3DMG|1DUR	14aVULN|26aDMG|3LWND|5MBVNT|7DUR|8RCR|9aBASHEA|aBPWR
228	53522 32148	   	172.96	DCR|3VULN|3DMG|1DUR	1DUR|246VULN|36aDMG|5MBVNT|6BPWR|7LWND|8RCR|9ERES
229	13421 25421	   	172.93	DCR|3VULN|2DMG|2CDMG	129VULN|3LHND|49CDMG|5FEWX|6DUST|7RCR|89DMG|9BPWR|aLWND
230	13421 25422	   	172.93	DCR|3VULN|2DMG|2CDMG	129VULN|3LHND|49CDMG|5FEWX|6DUST|7RCR|89DMG|9BPWR|aLIT
231	13423 25421	   	172.93	DCR|3VULN|2DMG|2CDMG	129VULN|3LHND|49CDMG|5BEXP|6DUST|7RCR|89DMG|9BPWR|aLWND
232	13423 25422	   	172.93	DCR|3VULN|2DMG|2CDMG	129VULN|3LHND|49CDMG|5BEXP|6DUST|7RCR|89DMG|9BPWR|aLIT
233	13521 25421	   	172.93	DCR|3VULN|2DMG|2CDMG	129VULN|3BEXP|49CDMG|5FEWX|6DUST|7RCR|89DMG|9BPWR|aLWND
234	13521 25422	   	172.93	DCR|3VULN|2DMG|2CDMG	129VULN|3BEXP|49CDMG|5FEWX|6DUST|7RCR|89DMG|9BPWR|aLIT
235	12531 41423	   	172.85	DCR|2VULN|2DMG|3CDMG|1DUR	19VULN|24aCDMG|349BEXP|49BPWR|5FEWX|6RCR|7DUR|89DMG
236	14322 36482	   	172.83	DCR|3DMG|2VULN|2CDMG	14VULN|26aDMG|36LWND|5MBVNT|6BPWR|7RCR|89CDMG
237	12631 41252	 * 	172.82	DCR|2VULN|3CDMG|3DUR|2ZMB|1FLTHEA	1aVULN|24aCDMG|347DUR|4aBPWR|5FEWX|6RCR|8FLTHEA|9aZMB
238	14641 12131	   	172.76	DCR|2VULN|2DMG|1AART|1CDMG	15VULN|2aDMG|3CDMG|4AART|6ERES|7BELT|8LHND|9RCR
239	14641 12331	   	172.76	DCR|2VULN|2DMG|1AART|1CDMG	15VULN|2aDMG|3CDMG|4AART|6ERES|7BELT|8BEXP|9RCR
240	14322 46482	   	172.73	DCR|3VULN|2DMG|2CDMG	146VULN|2aDMG|3LWND|5MBVNT|7RCR|89CDMG
241	14122 53422	   	172.67	DCR|3VULN|2DMG|1AART	147VULN|27DMG|37aBEXP|5BELT|6RPLT|7BPWR|8AART|9RCR
242	14122 53423	   	172.67	DCR|3VULN|2DMG|1AART	147VULN|27DMG|37BEXP|5BELT|6RPLT|7BPWR|8AART|9RCR|aLIT
243	12618 24383	   	172.67	DCR|3VULN|2DMG|2CDMG|1DUR	189VULN|28CDMG|3DUR|4MBVNT|57LIT|68DMG|8BPWR|aRCR
244	12618 26313	   	172.67	DCR|3VULN|2DMG|2CDMG|1DUR	178VULN|28CDMG|3DUR|4MBVNT|5LIT|68DMG|8BPWR|9RCVC|aRCR
245	13523 21354	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|35BEXP|4CDMG|6DMG|7ZMB|8RCR|9AART|aDUR
246	13231 52353	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	12VULN|3RCVC|4FEWX|5DMG|6ASPD|7CDMG|8RCR|9AART|aZMB
247	13523 24353	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	12VULN|35BEXP|4CDMG|6DMG|7ASPD|8RCR|9AART|aZMB
248	14121 52353	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	14VULN|2DMG|3BEXP|5RCVC|6ASPD|7CDMG|8RCR|9AART|aZMB
249	33522 53421	   	172.47	DCR|3VULN|2DMG|1AART	17DUST|247VULN|37DMG|5BELT|6RPLT|7BPWR|8AART|9RCR|aBEXP
250	33522 53423	   	172.47	DCR|3VULN|2DMG|1AART	17DUST|247VULN|37DMG|5BELT|6RPLT|7BPWR|8AART|9RCR|aRMIN
251	13425 41311	   	172.43	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	12VULN|3LHND|4CDMG|57DUR|6RCR|89DMG|aASPD
252	13525 41311	   	172.43	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	12VULN|3BEXP|4CDMG|57DUR|6RCR|89DMG|aASPD
253	14124 32351	   	172.36	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|26DMG|36BEXP|5RMIN|6BPWR|7CDMG|8RCR|9AART|aCGEN
254	14124 32352	   	172.36	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|26DMG|36BEXP|5RMIN|6BPWR|7CDMG|8RCR|9AART|aRCVC
255	12122 25352	   	172.26	DCR|2VULN|2DMG|1AART|1CDMG	1aVULN|2CDMG|3RCVC|46DMG|5CGEN|7FEWX|8RCR|9AART
256	12125 62352	   	172.26	DCR|2VULN|2DMG|1AART|1CDMG	1aVULN|2CDMG|3RCVC|45DMG|6BEXP|7CGEN|8RCR|9AART
257	32341 41523	   	172.21	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1DUST|2CDMG|3DMG|4AART|59VULN|6aDUR|7RCR|8LHND
258	12244 53223	   	172.17	DCR|4VULN|1AART|1CDMG	179aVULN|2CDMG|3RMIN|4AART|5LIT|6RCR|8RPLT
259	12122 26322	   	172.16	DCR|2VULN|2DMG|1AART|1CDMG	1aVULN|2CDMG|3RCVC|46DMG|5CGEN|7LEGI|8RCR|9AART
260	13155 53132	 * 	171.92	ACR|4VULN|2DMG|1ASPD	1248VULN|3CGEN|5RCR|6ASPD|7LIT|9aDMG
261	13355 53132	   	171.92	ACR|4VULN|2DMG|1ASPD	1248VULN|3MLV|5RCR|6ASPD|7LIT|9aDMG
262	12335 41342	   	171.91	DCR|2VULN|2DMG|2CDMG|2DUR	19VULN|24CDMG|34LWND|4BPWR|57DUR|6RCR|8aDMG
263	12416 43221	   	171.91	DCR|2VULN|2DMG|2CDMG|2DUR	19VULN|29CDMG|3FEWX|4MBVNT|58DUR|6RCR|79DMG|9BPWR|aLWND
264	12416 43222	   	171.91	DCR|2VULN|2DMG|2CDMG|2DUR	19VULN|29CDMG|3FEWX|4MBVNT|58DUR|6RCR|79DMG|9BPWR|aLIT
265	12416 43224	   	171.91	DCR|2VULN|2DMG|2CDMG|2DUR	19VULN|29CDMG|3FEWX|4MBVNT|58DUR|6RCR|79DMG|9BPWR|aBEXP
266	12416 43225	   	171.91	DCR|2VULN|2DMG|2CDMG|2DUR	19VULN|29CDMG|3FEWX|4MBVNT|58DUR|6RCR|79DMG|9BPWR|aLHND
267	12416 43227	   	171.91	DCR|2VULN|2DMG|2CDMG|2DUR	19VULN|29CDMG|3FEWX|4MBVNT|58DUR|6RCR|79DMG|9BPWR|aRMIN
268	12416 43228	   	171.91	DCR|2VULN|2DMG|2CDMG|2DUR	19VULN|29CDMG|3FEWX|4MBVNT|58DUR|6RCR|79DMG|9BPWR|aRCVC
269	12631 43342	   	171.91	DCR|2VULN|2DMG|2CDMG|2DUR	19VULN|24CDMG|34DUR|4BPWR|57FEWX|6RCR|8aDMG
270	12235 41363	   	171.81	DCR|2VULN|2DMG|2CDMG|2DUR	19VULN|29CDMG|3RMIN|4aTLV|57DUR|6RCR|89DMG|9BPWR
271	12251 41363	   	171.81	DCR|2VULN|2DMG|2CDMG|2DUR	19VULN|29CDMG|3RMIN|47DUR|5aTLV|6RCR|89DMG|9BPWR
272	32341 41151	   	171.78	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUST|2CDMG|3DMG|4aAART|5VULN|6DUR|7RCR|8FEWX|9ZMB
273	16336 11163	 * 	171.70	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1VULN|2LIT|3MLV|4RCR|57AART|6CDMG|8ZMB|9DUR|aDMG
274	12644 12211	   	171.67	ACR|2VULN|2DMG|2CDMG|1ASPD|1DUR	18VULN|28CDMG|3DUR|4RCR|5RMIN|6LIT|78DMG|8BPWR|9ASPD|aFEWX
275	26241 32134	   	171.67	DCR|3VULN|1AART|1DMG|2DUR|1SELL	1SELL|257VULN|3RMIN|4AART|6aDUR|8RCR|9DMG
276	12241 32114	 * 	171.65	DCR|3VULN|2AART|1CDMG|1DUR	157VULN|2CDMG|3RMIN|4aAART|6DUR|8RCR|9RPLT
277	14322 31133	   	171.50	DCR|4VULN|2DMG|1DUR	149aVULN|26DMG|36LWND|5MBVNT|6BPWR|7DUR|8RCR
278	53522 32134	   	171.50	DCR|4VULN|2DMG|1DUR	1DUR|2469VULN|36DMG|5MBVNT|6BPWR|7LWND|8RCR|aFEWX
279	53522 32135	   	171.50	DCR|4VULN|2DMG|1DUR	1DUR|2469VULN|36DMG|5MBVNT|6BPWR|7aLWND|8RCR
280	53522 32136	   	171.50	DCR|4VULN|2DMG|1DUR	1DUR|2469VULN|36DMG|5MBVNT|6BPWR|7LWND|8RCR|aCGEN
281	53522 32137	   	171.50	DCR|4VULN|2DMG|1DUR	1DUR|2469VULN|36DMG|5MBVNT|6BPWR|7LWND|8RCR|aRCVC
282	32146 11133	   	171.47	ACR|2VULN|2DMG|2CDMG|1DUR|1ASPD	1DUST|2aCDMG|3DUR|4RCR|5BEXP|6aVULN|7ASPD|8MBVNT|9aDMG|aBPWR
283	32245 11133	   	171.47	ACR|2VULN|2DMG|2CDMG|1DUR|1ASPD	1DUST|2aCDMG|3BEXP|4RCR|5DUR|6aVULN|7ASPD|8MBVNT|9aDMG|aBPWR
284	13413 32341	   	171.41	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	126VULN|3LHND|4ZMB|5ASPD|7CDMG|8RCR|9DUR|aDMG
285	15323 32341	   	171.41	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	146VULN|2ZMB|3LWND|5ASPD|7CDMG|8RCR|9DUR|aDMG
286	64323 32341	   	171.41	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ZMB|246VULN|3LWND|5ASPD|7CDMG|8RCR|9DUR|aDMG
287	14322 41112	   	171.40	DCR|4VULN|2DMG|1DUR	146aVULN|2aDMG|3LWND|5MBVNT|7DUR|8RCR|9aBASHEA|aBPWR
288	14322 71133	   	171.40	DCR|4VULN|2DMG|1DUR	149aVULN|26DMG|3LWND|5MBVNT|7DUR|8RCR
289	53522 32132	   	171.40	DCR|4VULN|2DMG|1DUR	1DUR|2469VULN|36DMG|5MBVNT|6BPWR|7LWND|8RCR|aERES
290	53522 72133	   	171.40	DCR|4VULN|2DMG|1DUR	1DUR|249aVULN|36DMG|5MBVNT|7LWND|8RCR
291	12635 42332	 * 	171.39	DCR|3VULN|1DMG|2CDMG|3DUR	19aVULN|24CDMG|345DUR|4BPWR|6DMG|7RCR|8FEWX
292	16336 11225	 * 	171.34	ACR|2AART|2VULN|1DMG|1CDMG	19VULN|2LIT|3MLV|4RCR|57AART|6CDMG|8RPLT|aDMG
293	13123 63352	   	171.31	DCR|4VULN|1AART|1CDMG|1ASPD	127aVULN|3CGEN|4FEWX|5ASPD|6CDMG|8RCR|9AART
294	13143 53352	   	171.31	DCR|4VULN|1AART|1CDMG|1ASPD	127aVULN|3CGEN|4BEXP|5ASPD|6CDMG|8RCR|9AART
295	13153 34322	   	171.31	DCR|4VULN|1AART|1CDMG|1ASPD	124aVULN|3CGEN|5LHND|6CDMG|7ASPD|8RCR|9AART
296	13153 52322	   	171.31	DCR|4VULN|1AART|1CDMG|1ASPD	124aVULN|3CGEN|5LHND|6ASPD|7CDMG|8RCR|9AART
297	53165 12323	 * 	171.22	DCR|3VULN|1AART|3DUR|2ASPD	18aDUR|278VULN|3LIT|4LHND|58ASPD|6RCR|8BPWR|9AART
298	12241 22144	   	171.21	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	157VULN|2CDMG|3RMIN|4AART|6LWND|8RCR|9ZMB|aDUR
299	12241 32141	   	171.21	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	157VULN|2CDMG|3RMIN|4AART|6DUR|8RCR|9ZMB|aCGEN
300	12241 32142	   	171.21	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	157VULN|2CDMG|3RMIN|4AART|6DUR|8RCR|9ZMB|aBELT
301	12241 32146	   	171.21	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	157VULN|2CDMG|3RMIN|4AART|6DUR|8RCR|9ZMB|aRPLT
302	12241 32163	   	171.21	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	157VULN|2CDMG|39RMIN|4AART|6DUR|8RCR|aZMB
303	14124 32341	   	171.15	DCR|3DMG|2VULN|1CDMG|1DUR	14VULN|26aDMG|36BEXP|5RMIN|6BPWR|7CDMG|8RCR|9DUR
304	32143 42136	   	171.15	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1DUST|2aCDMG|3DUR|4RCR|5TLV|6VULN|79DMG|8AART
305	12241 32143	   	171.11	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	157VULN|2CDMG|3RMIN|4AART|6DUR|8RCR|9ZMB|aERES
306	14122 31266	   	171.05	DCR|3VULN|2DMG|1CDMG|1DUR	147VULN|2aDMG|3BEXP|5BELT|6DUR|8RCR|9CDMG
307	53522 32153	   	171.05	DCR|3VULN|2DMG|1CDMG|1DUR	1DUR|246VULN|36DMG|5MBVNT|6BPWR|7LWND|8RCR|9CGEN|aCDMG
308	14324 32341	   	171.05	DCR|3VULN|2DMG|1CDMG|1DUR	146VULN|2aDMG|3LWND|5RMIN|7CDMG|8RCR|9DUR
309	14321 53322	   	170.97	DCR|4VULN|2DMG|1ZMB	1478VULN|27DMG|37LWND|5BELT|6RPLT|7BPWR|9ZMB|aRCR
310	53522 32113	   	170.95	DCR|3VULN|2DMG|1CDMG|1DUR	1DUR|246VULN|36DMG|5MBVNT|6BPWR|7LWND|8RCR|9BASHEA|aCDMG
311	53522 32144	   	170.95	DCR|3VULN|2DMG|1CDMG|1DUR	1DUR|246VULN|36DMG|5MBVNT|6BPWR|7LWND|8RCR|9ERES|aCDMG
312	53522 32183	   	170.95	DCR|3VULN|2DMG|1CDMG|1DUR	1DUR|246VULN|36DMG|5MBVNT|6BPWR|7LWND|8RCR|9TLV|aCDMG
313	53522 14844	   	170.95	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|24VULN|3aDMG|5MBVNT|6BELT|7aLIT|8RCR|9AART|aBPWR
314	12241 25134	   	170.93	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	15VULN|27CDMG|3RMIN|4AART|6LWND|8RCR|9DMG|aDUR
315	12241 35131	   	170.93	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	15VULN|27CDMG|3RMIN|4AART|6DUR|8RCR|9DMG|aCGEN
316	12241 35132	   	170.93	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	15VULN|27CDMG|3RMIN|4AART|6DUR|8RCR|9DMG|aBELT
317	12241 35136	   	170.93	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	15VULN|27CDMG|3RMIN|4AART|6DUR|8RCR|9DMG|aRPLT
318	11155 51132	   	170.90	ACR|5VULN|1AART|1ASPD	1478aVULN|2RCVC|3CGEN|5RCR|6ASPD|9AART
319	11355 51132	   	170.90	ACR|5VULN|1AART|1ASPD	1478aVULN|2RCVC|3MLV|5RCR|6ASPD|9AART
320	16336 13113	   	170.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	17VULN|2LIT|3MLV|4RCR|5AART|6CDMG|8ZMB|9LHND|aDMG
321	16336 13153	   	170.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	17VULN|2LIT|3MLV|4RCR|5AART|6CDMG|8ZMB|9CGEN|aDMG
322	16536 13113	   	170.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	17VULN|2LIT|3CGEN|4RCR|5AART|6CDMG|8ZMB|9LHND|aDMG
323	12241 35133	   	170.83	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	15VULN|27CDMG|3RMIN|4AART|6DUR|8RCR|9DMG|aERES
324	14322 36383	   	170.81	DCR|3VULN|2DMG|1ZMB|1ASPD	14aVULN|26DMG|36LWND|5MBVNT|6BPWR|7RCR|8ASPD|9ZMB
325	12342 11411	   	170.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	18VULN|2CDMG|3LWND|4RCR|5AART|6ERES|7ZMB|9BELT|aDMG
326	12342 51411	   	170.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	18VULN|2CDMG|3LWND|4RCR|5AART|6TLV|7ZMB|9BELT|aDMG
327	16336 13133	   	170.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	17VULN|2LIT|3MLV|4RCR|5AART|6CDMG|8ZMB|9ERES|aDMG
328	16536 13133	   	170.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	17VULN|2LIT|3CGEN|4RCR|5AART|6CDMG|8ZMB|9ERES|aDMG
329	12343 33311	   	170.77	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	19VULN|2CDMG|3LWND|4RCR|5BEXP|6DUR|7DMG|8ASPD|aAART
330	12343 33351	   	170.77	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1VULN|2CDMG|3LWND|4RCR|5BEXP|6DUR|79DMG|8ASPD|aAART
331	12345 23311	   	170.77	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	19VULN|2CDMG|3LWND|4RCR|5DUR|6FEWX|7DMG|8ASPD|aAART
