0	Index      	 *	Score 	Summary	Detail	
1	24633 15332	 * 	207.05	DCR|3VULN|3DMG|1AART|2DUR	1LWND|249VULN|34aDMG|4BPWR|5AART|68DUR|7RCR
168	11632 41215	   	179.37	DCR|2VULN|2DMG|1AART|2ZMB	12VULN|2BPWR|3aDMG|4TLV|58ZMB|6RCR|7AART|9CGEN
169	12632 41215	   	179.37	DCR|2VULN|2DMG|1AART|2ZMB	12VULN|3aDMG|4TLV|58ZMB|6RCR|7AART|9CGEN
170	54332 41223	   	179.37	DCR|2VULN|2DMG|1AART|2ZMB	12DMG|3ERES|4RMIN|59VULN|6RCR|7AART|8aZMB
171	54322 41232	   	179.37	DCR|2VULN|2DMG|1AART|2ZMB	12DMG|3ERES|4LHND|58ZMB|6RCR|7AART|9aVULN
172	24633 24211	   	179.17	DCR|3DMG|2VULN|1AART	1LWND|24VULN|348DMG|4BPWR|5AART|6LIT|7RCR|9BEXP|aRPLT
173	24633 24212	   	179.17	DCR|3DMG|2VULN|1AART	1LWND|24VULN|348DMG|4BPWR|5AART|6LIT|7RCR|9BEXP|aFEWX
174	24633 24223	   	179.17	DCR|3DMG|2VULN|1AART	1LWND|24VULN|348DMG|4BPWR|5AART|6LIT|7RCR|9RCVC|aDMSP
175	24633 24231	   	179.17	DCR|3DMG|2VULN|1AART	1LWND|24VULN|348DMG|4BPWR|5AART|6LIT|7RCR|9RPLT|aFEWX
176	24633 24232	   	179.17	DCR|3DMG|2VULN|1AART	1LWND|24VULN|348DMG|4BPWR|5AART|6LIT|7RCR|9RPLT|aCGEN
177	11623 24214	   	179.07	DCR|3VULN|2DMG|1AART	12aVULN|2BPWR|38DMG|4LHND|5AART|6LIT|7RCR|9BEXP
178	11623 24224	   	179.07	DCR|3VULN|2DMG|1AART	12aVULN|2BPWR|38DMG|4LHND|5AART|6LIT|7RCR|9FEWX
179	12623 24214	   	179.07	DCR|3VULN|2DMG|1AART	12aVULN|38DMG|4LHND|5AART|6LIT|7RCR|9BEXP
180	12623 24224	   	179.07	DCR|3VULN|2DMG|1AART	12aVULN|38DMG|4LHND|5AART|6LIT|7RCR|9FEWX
181	24633 24222	   	179.07	DCR|3DMG|2VULN|1AART	1LWND|24VULN|348DMG|4BPWR|5AART|6LIT|7RCR|9RCVC|aERES
182	24633 24233	   	179.07	DCR|3DMG|2VULN|1AART	1LWND|24VULN|348DMG|4BPWR|5AART|6LIT|7RCR|9RPLT|aTLV
183	24633 24333	   	179.07	DCR|3VULN|2DMG|1AART	1LWND|24aVULN|34DMG|4BPWR|5AART|6LIT|7RCR|8LSRHEA|9DMSP
184	52251 12412	   	179.07	DCR|3DMG|2VULN|1AART	189DMG|2aVULN|3RPLT|4LHND|5AART|6BEXP|7RCR
185	51123 35522	   	178.97	DCR|3DMG|2VULN|1AART	19aDMG|2TLV|3CGEN|4LHND|5AART|68VULN|7RCR
186	51123 35532	   	178.97	DCR|3VULN|2DMG|1AART	1aDMG|2TLV|3CGEN|4LHND|5AART|689VULN|7RCR
187	52232 52523	   	178.97	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	19DMG|24VULN|3RPLT|5DUST|6ZMB|7CDMG|8AART|aRCR
188	31131 24314	   	178.89	ACR|4VULN|1AART|2ZMB|1DUR|1SELL	18LIT|2SELL|3RCR|4DUR|58ZMB|689aVULN|7AART|8BPWR
189	13236 16341	   	178.78	DCR|4VULN|1AART|1DMG|1ZMB	1479VULN|2ZMB|3RPLT|5CGEN|6AART|8DMG|aRCR
190	11342 41622	   	178.71	DCR|4VULN|1AART|2ZMB|1ASPD	128aVULN|28BPWR|3ASPD|48MLV|58ZMB|6RCR|7AART|9LHND
191	11342 41632	   	178.71	DCR|4VULN|1AART|2ZMB|1ASPD	128aVULN|28BPWR|3ASPD|48MLV|58ZMB|6RCR|7AART|9LWND
192	12342 41622	   	178.71	DCR|4VULN|1AART|2ZMB|1ASPD	128aVULN|3ASPD|48MLV|58ZMB|6RCR|7AART|8BPWR|9LHND
193	12342 41632	   	178.71	DCR|4VULN|1AART|2ZMB|1ASPD	128aVULN|3ASPD|48MLV|58ZMB|6RCR|7AART|8BPWR|9LWND
194	11663 43223	   	178.67	DCR|3VULN|2DMG|1AART	128VULN|28BPWR|38DMG|48FEWX|5DMSP|6RCR|7RCVC|9LIT|aAART
195	12663 43223	   	178.67	DCR|3VULN|2DMG|1AART	128VULN|38DMG|48FEWX|5DMSP|6RCR|7RCVC|8BPWR|9LIT|aAART
196	11632 42623	   	178.60	DCR|3VULN|2DMG|2DUR|1ZMB	129VULN|29BPWR|39DMG|4TLV|5ZMB|6RCR|7RPLT|89DUR|aFEWX
197	12632 42623	   	178.60	DCR|3VULN|2DMG|2DUR|1ZMB	129VULN|39DMG|4TLV|5ZMB|6RCR|7RPLT|89DUR|9BPWR|aFEWX
198	11642 41313	   	178.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|2BPWR|3DMG|4MLV|5ZMB|6RCR|7AART|8ERES|9CDMG|aDUR
199	12642 41313	   	178.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|3DMG|4MLV|5ZMB|6RCR|7AART|8ERES|9CDMG|aDUR
200	11332 41622	   	178.51	DCR|4VULN|1AART|2ZMB|1ASPD	128aVULN|28BPWR|3ASPD|48TLV|58ZMB|6RCR|7AART|9LHND
201	11332 41632	   	178.51	DCR|4VULN|1AART|2ZMB|1ASPD	128aVULN|28BPWR|3ASPD|48TLV|58ZMB|6RCR|7AART|9LWND
202	11332 41652	   	178.51	DCR|4VULN|1AART|2ZMB|1ASPD	128aVULN|28BPWR|3ASPD|48TLV|58ZMB|6RCR|7AART|9RCVC
203	12332 41622	   	178.51	DCR|4VULN|1AART|2ZMB|1ASPD	128aVULN|3ASPD|48TLV|58ZMB|6RCR|7AART|8BPWR|9LHND
204	12332 41632	   	178.51	DCR|4VULN|1AART|2ZMB|1ASPD	128aVULN|3ASPD|48TLV|58ZMB|6RCR|7AART|8BPWR|9LWND
205	12332 41652	   	178.51	DCR|4VULN|1AART|2ZMB|1ASPD	128aVULN|3ASPD|48TLV|58ZMB|6RCR|7AART|8BPWR|9RCVC
206	52153 22332	   	178.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1DMG|26VULN|35DUR|4AART|7LIT|8ZMB|9RCR|aCDMG
207	11632 42621	   	178.50	DCR|3VULN|2DMG|2DUR|1ZMB	129VULN|29BPWR|39DMG|4TLV|5ZMB|6RCR|7RPLT|89DUR|aDUST
208	11632 42622	   	178.50	DCR|3VULN|2DMG|2DUR|1ZMB	129VULN|29BPWR|39DMG|4TLV|5ZMB|6RCR|7RPLT|89DUR|aERES
209	12632 42621	   	178.50	DCR|3VULN|2DMG|2DUR|1ZMB	129VULN|39DMG|4TLV|5ZMB|6RCR|7RPLT|89DUR|9BPWR|aDUST
210	12632 42622	   	178.50	DCR|3VULN|2DMG|2DUR|1ZMB	129VULN|39DMG|4TLV|5ZMB|6RCR|7RPLT|89DUR|9BPWR|aERES
211	11632 41313	   	178.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|2BPWR|3DMG|4TLV|5ZMB|6RCR|7AART|8ERES|9CDMG|aDUR
212	12632 41313	   	178.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|3DMG|4TLV|5ZMB|6RCR|7AART|8ERES|9CDMG|aDUR
213	51232 41611	   	178.39	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	18DMG|248TLV|3RMIN|58VULN|6RCR|7AART|8BPWR|9DUR|aASPD
214	11342 41612	   	178.26	DCR|3VULN|1AART|2ZMB|1CDMG|1ASPD	128VULN|28BPWR|3ASPD|48MLV|58ZMB|6RCR|7AART|9CGEN|aCDMG
215	12342 41612	   	178.26	DCR|3VULN|1AART|2ZMB|1CDMG|1ASPD	128VULN|3ASPD|48MLV|58ZMB|6RCR|7AART|8BPWR|9CGEN|aCDMG
216	53221 21616	   	178.22	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	19DMG|2BEXP|3RPLT|45AART|6RCR|7DUR|8VULN|aZMB
217	53221 21642	   	178.22	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1DMG|2BEXP|3RPLT|45AART|6RCR|7DUR|8aVULN|9ZMB
218	52236 13141	   	178.21	DCR|3VULN|2DMG|1AART|1ASPD	17DMG|249VULN|3RPLT|5CGEN|6AART|8ASPD|aRCR
219	54332 41322	   	178.16	DCR|2VULN|2DMG|1AART|1CDMG	12DMG|3ERES|4RMIN|59VULN|6RCR|7AART|8MLV|aCDMG
220	11342 41613	 * 	178.14	DCR|3VULN|3ZMB|1AART|1ASPD	128VULN|28BPWR|3ASPD|48MLV|58aZMB|6RCR|7AART|9CGEN
221	12342 41613	   	178.14	DCR|3VULN|3ZMB|1AART|1ASPD	128VULN|3ASPD|48MLV|58aZMB|6RCR|7AART|8BPWR|9CGEN
222	52353 35112	   	178.12	DCR|3VULN|2DMG|1AART|2ZMB|1DUR|1MSE	1aDMG|26aVULN|3MSE|4AART|5DUR|7RCR|8BELT|9aZMB|aBPWR
223	13235 51313	   	177.97	ACR|2VULN|3ZMB|1AART|1DMG|1DUR	14VULN|268ZMB|3RPLT|5RCR|7AART|9DMG|aDUR
224	53221 26312	   	177.86	DCR|2AART|2VULN|2DMG	19DMG|2BEXP|3RPLT|45AART|6RCR|7aVULN|8LWND
225	11232 41615	   	177.54	DCR|3VULN|1AART|1DMG|2ZMB	128VULN|28BPWR|3RMIN|48TLV|58ZMB|6RCR|7AART|9CGEN|aDMG
226	11632 41613	   	177.54	DCR|3VULN|1AART|1DMG|2ZMB	128VULN|28BPWR|3DMG|48TLV|58ZMB|6RCR|7AART|9aCGEN
227	11632 41621	   	177.54	DCR|3VULN|1AART|1DMG|2ZMB	128VULN|28BPWR|3DMG|48TLV|58ZMB|6RCR|7AART|9LHND|aBELT
228	11632 41623	   	177.54	DCR|3VULN|1AART|1DMG|2ZMB	128VULN|28BPWR|3DMG|48TLV|58ZMB|6RCR|7AART|9LHND|aLIT
229	11632 41631	   	177.54	DCR|3VULN|1AART|1DMG|2ZMB	128VULN|28BPWR|3DMG|48TLV|58ZMB|6RCR|7AART|9LWND|aBELT
230	11632 41633	   	177.54	DCR|3VULN|1AART|1DMG|2ZMB	128VULN|28BPWR|3DMG|48TLV|58ZMB|6RCR|7AART|9LWND|aLIT
231	11642 41222	   	177.54	DCR|3VULN|1AART|1DMG|2ZMB	12aVULN|2BPWR|3DMG|4MLV|58ZMB|6RCR|7AART|9LHND
232	11642 41232	   	177.54	DCR|3VULN|1AART|1DMG|2ZMB	12aVULN|2BPWR|3DMG|4MLV|58ZMB|6RCR|7AART|9LWND
233	12232 41615	   	177.54	DCR|3VULN|1AART|1DMG|2ZMB	128VULN|3RMIN|48TLV|58ZMB|6RCR|7AART|8BPWR|9CGEN|aDMG
234	12632 41613	   	177.54	DCR|3VULN|1AART|1DMG|2ZMB	128VULN|3DMG|48TLV|58ZMB|6RCR|7AART|8BPWR|9aCGEN
235	12632 41621	   	177.54	DCR|3VULN|1AART|1DMG|2ZMB	128VULN|3DMG|48TLV|58ZMB|6RCR|7AART|8BPWR|9LHND|aBELT
236	12632 41623	   	177.54	DCR|3VULN|1AART|1DMG|2ZMB	128VULN|3DMG|48TLV|58ZMB|6RCR|7AART|8BPWR|9LHND|aLIT
237	12632 41631	   	177.54	DCR|3VULN|1AART|1DMG|2ZMB	128VULN|3DMG|48TLV|58ZMB|6RCR|7AART|8BPWR|9LWND|aBELT
238	12632 41633	   	177.54	DCR|3VULN|1AART|1DMG|2ZMB	128VULN|3DMG|48TLV|58ZMB|6RCR|7AART|8BPWR|9LWND|aLIT
239	12642 41222	   	177.54	DCR|3VULN|1AART|1DMG|2ZMB	12aVULN|3DMG|4MLV|58ZMB|6RCR|7AART|9LHND
240	12642 41232	   	177.54	DCR|3VULN|1AART|1DMG|2ZMB	12aVULN|3DMG|4MLV|58ZMB|6RCR|7AART|9LWND
241	52433 15132	   	177.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|24VULN|34LWND|4BPWR|5AART|6DUR|7RCR|8FEWX|9ZMB|aCDMG
242	11632 41222	   	177.44	DCR|3VULN|1AART|1DMG|2ZMB	12aVULN|2BPWR|3DMG|4TLV|58ZMB|6RCR|7AART|9LHND
243	11632 41232	   	177.44	DCR|3VULN|1AART|1DMG|2ZMB	12aVULN|2BPWR|3DMG|4TLV|58ZMB|6RCR|7AART|9LWND
244	11632 41252	   	177.44	DCR|3VULN|1AART|1DMG|2ZMB	12aVULN|2BPWR|3DMG|4TLV|58ZMB|6RCR|7AART|9RCVC
245	11632 41611	   	177.44	DCR|3VULN|1AART|1DMG|2ZMB	128VULN|28BPWR|3DMG|48aTLV|58ZMB|6RCR|7AART|9CGEN
246	12632 41222	   	177.44	DCR|3VULN|1AART|1DMG|2ZMB	12aVULN|3DMG|4TLV|58ZMB|6RCR|7AART|9LHND
247	12632 41232	   	177.44	DCR|3VULN|1AART|1DMG|2ZMB	12aVULN|3DMG|4TLV|58ZMB|6RCR|7AART|9LWND
248	12632 41252	   	177.44	DCR|3VULN|1AART|1DMG|2ZMB	12aVULN|3DMG|4TLV|58ZMB|6RCR|7AART|9RCVC
249	12632 41611	   	177.44	DCR|3VULN|1AART|1DMG|2ZMB	128VULN|3DMG|48aTLV|58ZMB|6RCR|7AART|8BPWR|9CGEN
250	11642 41323	   	177.44	DCR|3VULN|1AART|1DMG|2ZMB	129VULN|2BPWR|3DMG|4MLV|5aZMB|6RCR|7AART|8ERES
251	12642 41323	   	177.44	DCR|3VULN|1AART|1DMG|2ZMB	129VULN|3DMG|4MLV|5aZMB|6RCR|7AART|8ERES
252	11623 15132	   	177.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|2BPWR|3DMG|4LHND|5AART|6DUR|7RCR|8FEWX|9ZMB|aCDMG
253	12623 15132	   	177.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|3DMG|4LHND|5AART|6DUR|7RCR|8FEWX|9ZMB|aCDMG
254	11623 65332	   	177.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|2BPWR|3DMG|4LHND|5AART|6BEXP|7RCR|8DUR|9ZMB|aCDMG
255	12623 65332	   	177.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|3DMG|4LHND|5AART|6BEXP|7RCR|8DUR|9ZMB|aCDMG
256	52433 15232	   	177.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|24VULN|34LWND|4BPWR|5AART|6DUR|7RCR|8DUST|9ZMB|aCDMG
257	11632 41326	   	177.34	DCR|3VULN|1AART|1DMG|2ZMB	129VULN|2BPWR|3DMG|4TLV|5aZMB|6RCR|7AART|8ERES
258	12632 41326	   	177.34	DCR|3VULN|1AART|1DMG|2ZMB	129VULN|3DMG|4TLV|5aZMB|6RCR|7AART|8ERES
259	11623 15232	   	177.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|2BPWR|3DMG|4LHND|5AART|6DUR|7RCR|8DUST|9ZMB|aCDMG
260	12623 15232	   	177.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|3DMG|4LHND|5AART|6DUR|7RCR|8DUST|9ZMB|aCDMG
261	11323 15625	   	177.29	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	12VULN|2BPWR|3ASPD|4LHND|5AART|6DUR|7RCR|8RCVC|9aDMG
262	11323 24225	   	177.29	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	12VULN|2BPWR|3ASPD|4LHND|5AART|6LIT|7RCR|8aDMG|9DUR
263	12323 15625	   	177.29	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	12VULN|3ASPD|4LHND|5AART|6DUR|7RCR|8RCVC|9aDMG
264	12323 24225	   	177.29	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	12VULN|3ASPD|4LHND|5AART|6LIT|7RCR|8aDMG|9DUR
265	52433 26332	   	177.23	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1DMG|24VULN|34LWND|4BPWR|57AART|6LIT|8ZMB|9RCR|aCDMG
266	11623 26332	   	177.13	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	12VULN|2BPWR|3DMG|4LHND|57AART|6LIT|8ZMB|9RCR|aCDMG
267	12623 26332	   	177.13	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	12VULN|3DMG|4LHND|57AART|6LIT|8ZMB|9RCR|aCDMG
268	52236 16132	   	177.12	DCR|4VULN|1AART|1DMG|1ASPD	1DMG|247aVULN|3RPLT|5CGEN|6AART|8ASPD|9RCR
269	11332 41424	   	177.10	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	12VULN|2BPWR|3ASPD|4TLV|5ZMB|6RCR|7AART|8aDUR|9DMG
270	12332 41424	   	177.10	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	12VULN|3ASPD|4TLV|5ZMB|6RCR|7AART|8aDUR|9DMG
271	11623 24241	   	177.06	DCR|2VULN|2DMG|1AART|1CDMG	12VULN|2BPWR|38DMG|4LHND|5AART|6LIT|7RCR|9CDMG|aMLV
272	11623 24242	   	177.06	DCR|2VULN|2DMG|1AART|1CDMG	12VULN|2BPWR|38DMG|4LHND|5AART|6LIT|7RCR|9CDMG|aFEWX
273	12623 24241	   	177.06	DCR|2VULN|2DMG|1AART|1CDMG	12VULN|38DMG|4LHND|5AART|6LIT|7RCR|9CDMG|aMLV
274	12623 24242	   	177.06	DCR|2VULN|2DMG|1AART|1CDMG	12VULN|38DMG|4LHND|5AART|6LIT|7RCR|9CDMG|aFEWX
275	24633 24323	   	177.06	DCR|2VULN|2DMG|1AART|1CDMG	1aLWND|24VULN|34DMG|4BPWR|5AART|6LIT|7RCR|8LSRHEA|9CDMG
