0	Index      	 *	Score 	Summary	Detail	
1	11143 35351	 * 	191.79	ACR|3DMG|2VULN|1AART|1ZMB	1FEWX|2RCVC|38aDMG|4RCR|57VULN|6ZMB|9AART
168	51143 33321	   	162.28	ACR|2DMG|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1LWND|2RCVC|39DMG|4RCR|5VULN|6ZMB|7DUR|8CDMG|aASPD
169	62121 23641	 * 	162.26	DCR|2VULN|1DMG|2ASPD|1CDMG|1ZMB|1DUR	1CDMG|27VULN|3aASPD|4DUR|5ZMB|6ERES|8RCR|9DMG
170	62222 31653	   	162.24	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1CDMG|24VULN|3ERES|5aDMG|6DUR|7ASPD|8RCR|9MLV
171	11143 31643	   	162.15	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	19FEWX|2RCVC|3DMG|4RCR|5VULN|6ZMB|7DUR|8AART|aCDMG
172	11143 31653	 * 	162.15	ACR|1AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR	1FEWX|2RCVC|3DMG|4RCR|5VULN|6ZMB|7DUR|8AART|9RPLT|aFLTHEA
173	62222 31643	   	162.14	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1CDMG|24VULN|3ERES|59DMG|6DUR|7ASPD|8RCR|aNUKE
174	62121 43623	   	162.07	DCR|2VULN|1DMG|2CDMG|1ZMB|1DUR|1ASPD	19CDMG|27VULN|3ASPD|4DUR|5ZMB|6MLV|8RCR|aDMG
175	51123 42344	   	161.98	DCR|3VULN|1AART|1DMG	1LWND|2RCVC|3DMG|4MBVNT|568VULN|7RCR|9ERES|aAART
176	62121 23623	   	161.97	DCR|2VULN|1DMG|2CDMG|1ZMB|1DUR|1ASPD	19CDMG|27VULN|3ASPD|4DUR|5ZMB|6ERES|8RCR|aDMG
177	62622 34131	   	161.90	DCR|3VULN|1AART|1CDMG|2DUR	1CDMG|246VULN|3CGEN|57DUR|8RCR|9RMIN|aAART
178	11212 22314	 * 	161.82	DCR|4VULN|1AART	138FEWX|2RCVC|489aVULN|5AART|6RCR|78LIT|8BPWR
179	11512 22314	   	161.82	DCR|4VULN|1AART	138FEWX|2RCVC|38BPWR|489aVULN|5AART|6RCR|78LIT
180	11123 48227	   	161.82	DCR|2VULN|2AART|1DMG|1ASPD	1FEWX|2RCVC|3DMG|4MBVNT|56VULN|78AART|9RCR|aASPD
181	11123 68227	   	161.82	DCR|2DMG|2AART|1VULN|1ASPD	1FEWX|2RCVC|36DMG|4MBVNT|5VULN|78AART|9RCR|aASPD
182	11124 28227	   	161.82	DCR|2DMG|2AART|1VULN|1ASPD	1FEWX|2RCVC|35DMG|4MBVNT|6VULN|78AART|9RCR|aASPD
183	51123 41827	   	161.82	DCR|2VULN|2AART|1DMG|1ASPD	1LWND|2RCVC|3DMG|4MBVNT|56VULN|78AART|9RCR|aASPD
184	51124 21827	   	161.82	DCR|2DMG|2AART|1VULN|1ASPD	1LWND|2RCVC|35DMG|4MBVNT|6VULN|78AART|9RCR|aASPD
185	51143 35222	 * 	161.80	ACR|2VULN|1AART|1DMG|2ZMB	1LWND|2RCVC|3DMG|4RCR|57VULN|69ZMB|8CGEN|aAART
186	51143 52222	 * 	161.80	ACR|2DMG|1AART|1VULN|2ZMB	1LWND|2RCVC|36DMG|4RCR|5VULN|79ZMB|8CGEN|aAART
187	51143 34232	   	161.80	ACR|2VULN|1AART|1DMG|2ZMB	1LWND|2RCVC|3DMG|4RCR|59VULN|68ZMB|7CGEN|aAART
188	11143 55113	   	161.80	ACR|2DMG|1AART|1VULN|1CDMG	19FEWX|2RCVC|36DMG|4RCR|5VULN|7RPLT|8AART|aCDMG
189	62622 34111	   	161.80	DCR|3VULN|1AART|1CDMG|2DUR	1CDMG|246VULN|3CGEN|57DUR|8RCR|9NUKE|aAART
