0	Index      	 *	Score 	Summary	Detail	
1	22551 31336	 * 	277.24	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1DUR|2VULN|3LIT|4DMG|5ASPD|6CGEN|7FEWX|8MLV|9aRCR
168	13214 11222	   	248.36	ACR|DCR|2VULN|1DMG|1CDMG|1ZMB|1MSE	1BEXP|28RCR|34VULN|5CGEN|6ZMB|7CDMG|9DMG|aMSE
169	13216 11222	   	248.26	ACR|DCR|2VULN|1DMG|1CDMG|1ZMB|1MSE	1BEXP|28RCR|34VULN|5ERES|6ZMB|7CDMG|9DMG|aMSE
170	23312 31223	   	248.15	ACR|DCR|2DMG|1VULN|1CDMG|1ZMB	1DUR|28RCR|3ZMB|4RCVC|5CGEN|6VULN|7CDMG|9aDMG
171	13413 11233	   	248.10	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|1ZMB	13BEXP|28RCR|4MLV|5DUR|6ZMB|7CDMG|9VULN|aDMG
172	13513 11233	   	248.10	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|1ZMB	1BEXP|28RCR|3MLV|4RCVC|5DUR|6ZMB|7CDMG|9VULN|aDMG
173	23311 51233	   	248.10	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|1ZMB	1DUR|28RCR|3ZMB|4RCVC|5BEXP|6MLV|7CDMG|9VULN|aDMG
174	23315 51233	   	248.10	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|1ZMB	1DUR|28RCR|3ZMB|4RCVC|5FEWX|6MLV|7CDMG|9VULN|aDMG
175	23353 51233	   	248.10	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|1ZMB	1DUR|28RCR|3ZMB|45FEWX|6MLV|7CDMG|9VULN|aDMG
176	23312 31213	   	248.10	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|1ZMB	1DUR|28RCR|3ZMB|4RCVC|5CGEN|6VULN|7CDMG|9MLV|aDMG
177	23526 31223	   	247.95	ACR|DCR|2DMG|1VULN|1CDMG|1ZMB	1DUR|28RCR|35ERES|4ZMB|6VULN|7CDMG|9aDMG
178	23322 31223	   	247.91	ACR|DCR|2DMG|1VULN|1CDMG|2ZMB	1DUR|28RCR|34ZMB|5CGEN|6VULN|7CDMG|9aDMG
179	23526 31213	   	247.90	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|1ZMB	1DUR|28RCR|35ERES|4ZMB|6VULN|7CDMG|9MLV|aDMG
180	23322 31213	   	247.85	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|2ZMB	1DUR|28RCR|34ZMB|5CGEN|6VULN|7CDMG|9MLV|aDMG
181	23321 51233	   	247.85	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|2ZMB	1DUR|28RCR|34ZMB|5BEXP|6MLV|7CDMG|9VULN|aDMG
182	23325 51233	   	247.85	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|2ZMB	1DUR|28RCR|34ZMB|5FEWX|6MLV|7CDMG|9VULN|aDMG
