0	Index      	 *	Score 	Summary	Detail	
1	41111 23362	 * 	190.63	DCR|2VULN|2DMG|1AART|2CDMG|2ZMB	1RCVC|29ZMB|34VULN|5BELT|6AART|79CDMG|89DMG|9BPWR|aRCR
156	41111 23346	   	165.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1aRCVC|2ZMB|34VULN|5BELT|6AART|7CDMG|8DMG|9RCR
157	35121 52422	   	165.07	DCR|2VULN|1AART|3CDMG|1ZMB	1FEWX|247CDMG|3SNIHEL|5AART|6RCR|89VULN|aZMB
158	52623 23111	   	165.04	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD	19DUST|29ZMB|3ASPD|4RCR|5RCVC|6DMSP|7DMG|89VULN|9BPWR|aAART
159	14332 33432	   	164.82	DCR|2DMG|1AART|1VULN|2ZMB|1DUR	18CGEN|2AART|38ZMB|4VULN|5DMSP|6DUR|78DMG|8BPWR|9RCR|aFEWX
160	14332 33435	   	164.82	DCR|2DMG|1AART|1VULN|2ZMB|1DUR	18CGEN|2AART|38ZMB|4VULN|5DMSP|6DUR|78DMG|8BPWR|9RCR|aRMIN
161	14332 33436	   	164.82	DCR|2DMG|1AART|1VULN|2ZMB|1DUR	18CGEN|2AART|38ZMB|4VULN|5DMSP|6DUR|78DMG|8BPWR|9RCR|aLWND
162	14332 13431	   	164.82	DCR|2DMG|1AART|1VULN|2ZMB|1DUR	18CGEN|2AART|38ZMB|4VULN|5DMSP|6LWND|78DMG|8BPWR|9RCR|aDUR
163	14332 33433	   	164.72	DCR|2DMG|1AART|1VULN|2ZMB|1DUR	18CGEN|2AART|38ZMB|4VULN|5DMSP|6DUR|78DMG|8BPWR|9RCR|aERES
164	41315 15213	 * 	164.69	ACR|3VULN|2AART|1ZMB	1RCVC|2ZMB|3RCR|47aVULN|5VENICY|6CANSTR|89AART
165	14333 13531	   	164.62	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1CGEN|2AART|35ZMB|48VULN|6LWND|7DMG|9RCR|aDUR
166	14333 33532	   	164.62	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1CGEN|2AART|35ZMB|48VULN|6DUR|7DMG|9RCR|aFEWX
167	14333 33535	   	164.62	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1CGEN|2AART|35ZMB|48VULN|6DUR|7DMG|9RCR|aRMIN
168	14333 33536	   	164.62	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1CGEN|2AART|35ZMB|48VULN|6DUR|7DMG|9RCR|aLWND
169	64332 13431	   	164.62	DCR|2DMG|1AART|1VULN|2ZMB|1DUR	18ERES|2AART|38ZMB|4VULN|5DMSP|6LWND|78DMG|8BPWR|9RCR|aDUR
170	14333 31335	   	164.62	DCR|2DMG|1AART|1VULN|2ZMB|1DUR	1CGEN|2AART|35ZMB|4VULN|6DUR|7FEWX|8aDMG|9RCR
171	14333 33533	   	164.52	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1CGEN|2AART|35ZMB|48VULN|6DUR|7DMG|9RCR|aERES
172	64333 13531	   	164.52	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1ERES|2AART|35ZMB|48VULN|6LWND|7DMG|9RCR|aDUR
173	41314 23421	   	164.47	ACR|3VULN|1AART|2DUR|1ZMB	1RCVC|2ZMB|3RCR|456VULN|7FEWX|89DUR|aAART
174	41313 35412	   	164.38	ACR|2VULN|1AART|1CDMG|1FLTHEA|1ZMB	1RCVC|2ZMB|3RCR|4aVULN|5LWND|6FLTHEA|7CDMG|8MBVNT|9AART
175	32115 34622	   	164.24	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1FEWX|2ZMB|3CDMG|4TLV|5aAART|6CGEN|7RCR|8VULN|9DMG
176	32361 73234	   	164.17	DCR|3VULN|1AART|1CDMG|1ZMB	1FEWX|2ZMB|3MBVNT|4AART|59aVULN|6CGEN|7CDMG|8RCR
177	32361 36234	   	164.07	DCR|3VULN|1AART|1CDMG|1ZMB	1FEWX|2ZMB|3MBVNT|4AART|59aVULN|6CDMG|7ERES|8RCR
178	16533 24333	 * 	164.01	DCR|3VULN|2DMG|1CDMG	1CGEN|2ERES|369VULN|45DMG|7LIT|8RCR|aCDMG
179	14161 12226	   	163.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1CGEN|2AART|3ERES|4CDMG|5DUR|6RCR|7LHND|8ZMB|9DMG|aVULN
180	11153 33432	   	163.83	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	19CGEN|2DUR|39CDMG|4ERES|5VULN|69DMG|7RCVC|8AART|9BPWR|aRCR
181	14326 12235	   	163.74	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CGEN|27AART|3ZMB|4RPLT|5VULN|6BEXP|8RCR|9CDMG|aDMG
182	14326 12262	   	163.74	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CGEN|27AART|3ZMB|4RPLT|5VULN|6BEXP|8RCR|9DMG|aCDMG
183	11153 36432	   	163.73	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	19CGEN|2DUR|39CDMG|47ERES|5VULN|69DMG|8AART|9BPWR|aRCR
184	46114 21233	   	163.61	DCR|3VULN|2DMG|1ZMB|1ASPD	1RCVC|2BEXP|3ASPD|456VULN|7ZMB|89DMG|aRCR
185	32214 25223	   	163.61	DCR|3VULN|2DMG|1ZMB|1ASPD	1FEWX|2ZMB|3RCVC|456VULN|78DMG|9ASPD|aRCR
186	41112 25223	   	163.61	DCR|3VULN|2DMG|1ZMB|1ASPD	1RCVC|2ZMB|346VULN|5BEXP|78DMG|9ASPD|aRCR
187	41134 25223	   	163.61	DCR|3VULN|2DMG|1ZMB|1ASPD	1RCVC|2ZMB|356VULN|4LWND|78DMG|9ASPD|aRCR
188	14262 16332	   	163.58	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2AART|3TLV|4CDMG|5FEWX|6RCR|7LHND|89VULN|aDMG
189	41411 23531	   	163.56	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1RCVC|2ZMB|3aDUR|48VULN|5ERES|6AART|7DMG|9RCR
190	43413 23131	   	163.56	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1RCVC|2ERES|3aDUR|4VULN|57DMG|6AART|8ZMB|9RCR
191	61463 23131	   	163.56	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1ERES|2aDUR|3VULN|4RCVC|57DMG|6AART|8ZMB|9RCR
192	61513 23131	   	163.56	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1ERES|2aDUR|3DMSP|4VULN|57DMG|6AART|8ZMB|9RCR
193	63413 23131	   	163.56	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1ERES|2RCVC|3aDUR|4VULN|57DMG|6AART|8ZMB|9RCR
194	14134 14222	   	163.51	DCR|2AART|2DMG|1VULN|1ASPD	1CGEN|2aAART|3ERES|4VULN|5ASPD|69DMG|7RPLT|8RCR
195	16114 21233	   	163.51	DCR|3VULN|2DMG|1ZMB|1ASPD	1CGEN|2ERES|3ASPD|456VULN|7ZMB|89DMG|aRCR
196	16534 21223	   	163.51	DCR|3VULN|2DMG|1ZMB|1ASPD	1CGEN|2ERES|356VULN|48DMG|7ZMB|9ASPD|aRCR
197	61613 23131	   	163.46	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	13ERES|2aDUR|4VULN|57DMG|6AART|8ZMB|9RCR
198	66413 23131	   	163.46	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	12ERES|3aDUR|4VULN|57DMG|6AART|8ZMB|9RCR
199	64142 21331	 * 	163.33	ACR|2VULN|1AART|2ZMB|1CDMG|1DUR	139ERES|2AART|4RCR|59ZMB|6CGEN|7CDMG|89VULN|9BPWR|aDUR
200	41111 35632	   	163.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|2ZMB|34VULN|5BELT|6RCR|7DMG|8DMSP|9ASPD|aAART
201	41314 22224	 * 	163.10	ACR|4VULN|1DMG|1ZMB	1RCVC|2ZMB|3RCR|456aVULN|7TLV|8DMG|9CGEN
202	41314 24233	   	163.10	ACR|4VULN|1DMG|1ZMB	1RCVC|2ZMB|3RCR|456aVULN|7LIT|8SNIHEL|9DMG
203	41316 33223	   	163.08	ACR|1AART|1VULN|2ZMB|2ASPD|1FLTHEA|2DUR	1RCVC|2aZMB|3RCR|4VULN|5aDUR|6FLTHEA|7LHND|8aASPD|9AART|aBPWR
204	14333 34235	   	163.08	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1CGEN|2AART|35ZMB|4VULN|6DUR|7RPLT|8RCR|9CDMG|aDMG
205	14333 34262	   	163.08	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1CGEN|2AART|35ZMB|4VULN|6DUR|7RPLT|8RCR|9DMG|aCDMG
206	41111 23241	   	163.07	DCR|3VULN|1AART|1CDMG|1ZMB	1RCVC|2ZMB|34aVULN|5BELT|6AART|7CDMG|8RCR|9LHND
207	14334 12314	   	163.07	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1CGEN|2AART|3ZMB|4VULN|5ASPD|6aDMG|7LSRREG|8RCR|9LHND
208	14334 12316	   	163.07	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1CGEN|2AART|3ZMB|4aVULN|5ASPD|6DMG|7LSRREG|8RCR|9LHND
209	41316 34223	   	162.98	ACR|1AART|1VULN|2ZMB|2ASPD|1FLTHEA|2DUR	1RCVC|2aZMB|3RCR|4VULN|5aDUR|6FLTHEA|7DUST|8aASPD|9AART|aBPWR
210	14334 12324	   	162.97	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1CGEN|2AART|3ZMB|4VULN|5ASPD|6aDMG|7LSRREG|8RCR|9DUST
211	14334 12326	   	162.97	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1CGEN|2AART|3ZMB|4aVULN|5ASPD|6DMG|7LSRREG|8RCR|9DUST
212	14334 12331	   	162.97	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1CGEN|2AART|3ZMB|4VULN|5ASPD|6aDMG|7LSRREG|8RCR|9ERES
213	14334 12336	   	162.97	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1CGEN|2AART|3ZMB|4aVULN|5ASPD|6DMG|7LSRREG|8RCR|9ERES
214	14334 12351	   	162.97	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1CGEN|2AART|3ZMB|4VULN|5ASPD|6aDMG|7LSRREG|8RCR|9TLV
215	14614 11331	   	162.97	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1CGEN|2AART|3BASICY|4VULN|5ASPD|6aDMG|7ZMB|8RCR|9ERES
216	41314 23134	 * 	162.90	ACR|5VULN|1ZMB|1ASPD	1RCVC|2ZMB|3RCR|4568aVULN|7FEWX|9ASPD
217	41342 34111	 * 	162.83	ACR|1AART|1VULN|2CDMG|1DMG|2ZMB|1SELL	1RCVC|29ZMB|3RCR|49BEXP|5SELL|6DMG|7VULN|89CDMG|9BPWR|aAART
218	41314 23621	   	162.75	ACR|3VULN|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|3RCR|456VULN|7FEWX|8DMG|9CDMG|aLIT
219	41314 23622	   	162.75	ACR|3VULN|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|3RCR|456VULN|7FEWX|8DMG|9CDMG|aBEXP
220	41314 23623	   	162.75	ACR|3VULN|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|3RCR|456VULN|7FEWX|8DMG|9CDMG|aMLV
221	41314 25321	   	162.75	ACR|3VULN|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|3RCR|456VULN|7DMG|8BEXP|9CDMG|aLIT
222	41314 25322	   	162.75	ACR|3VULN|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|3RCR|456VULN|7DMG|8aBEXP|9CDMG
223	41314 25323	   	162.75	ACR|3VULN|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|3RCR|456VULN|7DMG|8BEXP|9CDMG|aLHND
224	41313 32342	   	162.75	ACR|3VULN|1DMG|1FLTHEA|1ZMB	17RCVC|2ZMB|3RCR|489VULN|5LWND|6FLTHEA|aDMG
225	32368 16112	   	162.73	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4AART|5LIT|6RCR|7VULN|8DMG|9CDMG|aDUR
226	35515 11313	   	162.73	DCR|2AART|1DMG|3DUR|1CDMG|1ZMB	1FEWX|2CDMG|348DUR|57AART|6RCR|9ZMB|aDMG
227	35513 33352	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1FEWX|2CDMG|34DUR|59VULN|6DMG|7RCVC|8AART|aRCR
228	33135 13145	   	162.57	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD	1FEWX|2TLV|3CDMG|4DMG|59AART|6RCR|7ASPD|8LIT|aVULN
229	33135 11323	   	162.57	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1FEWX|2TLV|3CDMG|4DMG|57AART|6RCR|8DUR|9LWND|aVULN
230	53135 11323	   	162.47	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1DUST|2TLV|3CDMG|4DMG|57AART|6RCR|8DUR|9LWND|aVULN
231	31125 12621	   	162.23	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1ASPD	1FEWX|2CGEN|3CDMG|4ASPD|5AART|6RCR|7ZMB|8VULN|9DMG|aLWND
232	52623 35222	   	162.19	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DUST|2ZMB|3ASPD|4RCR|5RCVC|6DMG|7aVULN|8AART|9TLV
233	32115 13621	   	162.13	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|2ZMB|3CDMG|4TLV|5AART|6RCR|7ASPD|8VULN|9DMG|aLWND
234	32155 13621	   	162.13	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|2ZMB|3CDMG|4ERES|5AART|6RCR|7ASPD|8VULN|9DMG|aLWND
235	33135 12616	   	162.13	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2TLV|3CDMG|4DMG|5AART|6RCR|7ZMB|8VULN|9LWND|aDUR
236	33135 12663	   	162.13	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2TLV|3CDMG|4DMG|5AART|6RCR|7ZMB|8VULN|9BELT|aDUR
237	36125 12621	   	162.13	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|2ERES|3CDMG|4ASPD|5AART|6RCR|7ZMB|8VULN|9DMG|aLWND
238	51125 12621	   	162.13	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1ASPD	1DUST|2CGEN|3CDMG|4ASPD|5AART|6RCR|7ZMB|8VULN|9DMG|aLWND
239	31125 12623	   	162.13	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|2CGEN|3CDMG|4ASPD|5AART|6RCR|7ZMB|8VULN|9DMG|aMBVNT
240	31125 12625	   	162.13	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|2CGEN|3CDMG|4ASPD|5AART|6RCR|7ZMB|8VULN|9DMG|aERES
241	33135 16226	   	162.13	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2TLV|3CDMG|4DMG|5AART|6RCR|7LWND|8ZMB|9VULN|aDUR
242	62521 23331	   	162.11	DCR|2DMG|2VULN|1AART	19ERES|2LEGI|3AART|4BEXP|59VULN|6RCVC|79DMG|8RCR|9BPWR|aDMSP
243	62521 23332	   	162.11	DCR|2DMG|2VULN|1AART	19ERES|2LEGI|3AART|4BEXP|59VULN|6RCVC|79DMG|8RCR|9BPWR|aRMIN
244	62521 23333	   	162.11	DCR|2DMG|2VULN|1AART	19ERES|2LEGI|3AART|4BEXP|59VULN|6RCVC|79DMG|8RCR|9BPWR|aLHND
245	62521 23334	   	162.11	DCR|2DMG|2VULN|1AART	19ERES|2LEGI|3AART|4BEXP|59VULN|6RCVC|79DMG|8RCR|9BPWR|aBELT
246	62521 23335	   	162.11	DCR|2DMG|2VULN|1AART	19ERES|2LEGI|3AART|4BEXP|59VULN|6RCVC|79DMG|8RCR|9BPWR|aFEWX
247	41331 23351	   	162.05	ACR|1AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4MLV|5VULN|6AART|7DUR|8RMIN|9FLTHEA|aDMG
248	14261 11326	   	162.04	DCR|1AART|1VULN|1DMG|3DUR|1CDMG	1CGEN|2AART|3TLV|4CDMG|578DUR|6RCR|9DMG|aVULN
249	32115 13623	   	162.03	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|2ZMB|3CDMG|4TLV|5AART|6RCR|7ASPD|8VULN|9DMG|aMBVNT
250	32115 13625	   	162.03	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|2ZMB|3CDMG|4TLV|5AART|6RCR|7ASPD|8VULN|9DMG|aERES
251	32155 13623	   	162.03	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|2ZMB|3CDMG|4ERES|5AART|6RCR|7ASPD|8VULN|9DMG|aMBVNT
252	33135 12636	   	162.03	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2TLV|3CDMG|4DMG|5AART|6RCR|7ZMB|8VULN|9DUST|aDUR
253	36125 12623	   	162.03	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|2ERES|3CDMG|4ASPD|5AART|6RCR|7ZMB|8VULN|9DMG|aMBVNT
254	51125 12623	   	162.03	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1DUST|2CGEN|3CDMG|4ASPD|5AART|6RCR|7ZMB|8VULN|9DMG|aMBVNT
255	52115 13621	   	162.03	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1DUST|2ZMB|3CDMG|4TLV|5AART|6RCR|7ASPD|8VULN|9DMG|aLWND
256	32361 16448	 * 	161.97	DCR|3VULN|2AART|1ZMB	1aFEWX|2ZMB|3MBVNT|47AART|59aVULN|6aDUST|8RCR|aBPWR
257	41311 23351	   	161.95	ACR|1AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4VULN|5ERES|6AART|7DUR|8RMIN|9FLTHEA|aDMG
258	41331 23453	   	161.95	ACR|1AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4MLV|5VULN|6AART|7DUR|8DMG|9FLTHEA|aCANSTR
259	35121 56212	 * 	161.95	DCR|2AART|1VULN|1DMG|2CDMG	1FEWX|24CDMG|3SNIHEL|5aAART|6RCR|7VULN|8DMG|9BEXP
260	52115 13623	   	161.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1DUST|2ZMB|3CDMG|4TLV|5AART|6RCR|7ASPD|8VULN|9DMG|aMBVNT
261	41311 23453	   	161.85	ACR|1AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4VULN|5ERES|6AART|7DUR|8DMG|9FLTHEA|aCANSTR
262	35111 56232	   	161.78	DCR|2DMG|1AART|1VULN|1CDMG	1FEWX|2CDMG|3SNIHEL|4DMSP|5AART|6RCR|7VULN|8aDMG|9MLV
263	35131 56232	   	161.78	DCR|2DMG|1AART|1VULN|1CDMG	14FEWX|2CDMG|3SNIHEL|5AART|6RCR|7VULN|8aDMG|9MLV
264	41324 52223	   	161.73	ACR|2VULN|1AART|2ZMB|2ASPD|1DUR	1RCVC|2aZMB|3RCR|4DUR|5aVULN|6FEWX|7MGNSTR|8aASPD|9AART|aBPWR
265	53135 16322	   	161.68	DCR|2VULN|1AART|1DMG|1CDMG	1DUST|2TLV|3CDMG|4DMG|5AART|6RCR|7LWND|8aVULN|9FEWX
266	35111 56222	   	161.68	DCR|2DMG|1AART|1VULN|1CDMG	1FEWX|2CDMG|3SNIHEL|4DMSP|5AART|6RCR|7VULN|8aDMG|9TLV
267	35131 56222	   	161.68	DCR|2DMG|1AART|1VULN|1CDMG	14FEWX|2CDMG|3SNIHEL|5AART|6RCR|7VULN|8aDMG|9TLV
268	41331 26163	   	161.58	ACR|3VULN|1AART|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4MLV|589VULN|6AART|7LHND|aDUR
269	41331 23142	   	161.58	ACR|3VULN|1AART|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4MLV|58aVULN|6AART|7DUR|9BEXP
270	41331 23652	   	161.58	ACR|3VULN|1AART|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4MLV|59aVULN|6AART|7DUR|8FEWX
271	33135 12135	   	161.50	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB	1FEWX|2TLV|39CDMG|4DMG|5AART|6RCR|7ZMB|8LIT|aVULN
272	33135 12612	   	161.50	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB	1FEWX|2TLV|3aCDMG|4DMG|5AART|6RCR|7ZMB|8VULN|9LWND
273	33135 16222	   	161.50	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB	1FEWX|2TLV|3aCDMG|4DMG|5AART|6RCR|7LWND|8ZMB|9VULN
274	32442 23326	 * 	161.50	DCR|2VULN|2AART|2ZMB|2DUR	19FEWX|25ZMB|39VULN|4RMIN|6aAART|79DUR|8RCR|9BPWR
275	41311 23142	   	161.48	ACR|3VULN|1AART|1ZMB|1DUR	1RCVC|2ZMB|3RCR|48aVULN|5ERES|6AART|7DUR|9BEXP
276	41311 23162	   	161.48	ACR|3VULN|1AART|1ZMB|1DUR	1RCVC|2ZMB|3RCR|489VULN|5ERES|6AART|7DUR|aFEWX
277	41311 23662	   	161.48	ACR|3VULN|1AART|1ZMB|1DUR	1RCVC|2ZMB|3RCR|49aVULN|5ERES|6AART|7DUR|8FEWX
278	41331 23122	   	161.48	ACR|3VULN|1AART|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4MLV|58aVULN|6AART|7DUR|9DUST
279	41331 23153	   	161.48	ACR|3VULN|1AART|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4MLV|58aVULN|6AART|7DUR|9BASHEA
280	41331 23161	   	161.48	ACR|3VULN|1AART|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4MLV|589VULN|6AART|7DUR|aERES
281	41331 23165	   	161.48	ACR|3VULN|1AART|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4MLV|589VULN|6AART|7DUR|aNUKE
282	41331 23552	   	161.48	ACR|3VULN|1AART|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4MLV|59aVULN|6AART|7DUR|8DUST
283	41211 44332	 * 	161.46	DCR|3VULN|3ZMB|1DMG	1RCVC|27aZMB|37LIT|4DMG|5CGEN|679VULN|7BPWR|8RCR
284	33135 12632	   	161.40	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB	1FEWX|2TLV|3aCDMG|4DMG|5AART|6RCR|7ZMB|8VULN|9DUST
285	53135 12612	   	161.40	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB	1DUST|2TLV|3aCDMG|4DMG|5AART|6RCR|7ZMB|8VULN|9LWND
286	53135 16222	   	161.40	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB	1DUST|2TLV|3aCDMG|4DMG|5AART|6RCR|7LWND|8ZMB|9VULN
287	41311 23122	   	161.38	ACR|3VULN|1AART|1ZMB|1DUR	1RCVC|2ZMB|3RCR|48aVULN|5ERES|6AART|7DUR|9DUST
288	41311 23161	   	161.38	ACR|3VULN|1AART|1ZMB|1DUR	1RCVC|2ZMB|3RCR|489VULN|5aERES|6AART|7DUR
289	41311 23165	   	161.38	ACR|3VULN|1AART|1ZMB|1DUR	1RCVC|2ZMB|3RCR|489VULN|5ERES|6AART|7DUR|aNUKE
290	41311 23562	   	161.38	ACR|3VULN|1AART|1ZMB|1DUR	1RCVC|2ZMB|3RCR|49aVULN|5ERES|6AART|7DUR|8DUST
291	16533 24332	   	161.37	DCR|3VULN|2DMG|1ZMB	1CGEN|2ERES|369VULN|45DMG|7LIT|8RCR|aZMB
292	41314 43121	   	161.33	ACR|3VULN|1DMG|2DUR|1ZMB	1RCVC|2ZMB|3RCR|459VULN|6aDUR|7CGEN|8DMG
293	41335 43111	 * 	161.13	ACR|2DMG|1AART|2ZMB|2ASPD|1DUR	1RCVC|29ZMB|3RCR|4MLV|59ASPD|6DUR|7CGEN|89DMG|9BPWR|aAART
294	64363 21332	   	161.10	DCR|2VULN|1AART|2ZMB|1CDMG|2DUR	19ERES|2AART|35ZMB|49DUR|6CGEN|7CDMG|89VULN|9BPWR|aRCR
295	11125 12541	 * 	161.01	DCR|1AART|1VULN|2ASPD|1CDMG|2DUR|1ZMB	1CGEN|28DUR|3CDMG|49ASPD|5AART|6RCR|7ZMB|aVULN
296	41313 16163	   	160.88	ACR|3VULN|1AART|1ZMB|1DUR	1RCVC|2ZMB|3RCR|489VULN|5LWND|6TLV|7AART|aDUR
297	64221 23362	   	160.78	DCR|3VULN|1AART|1DMG	1ERES|2AART|3FEWX|4BEXP|59aVULN|6RCVC|7DMG|8RCR
298	64232 23362	   	160.78	DCR|3VULN|1AART|1DMG	1ERES|2AART|3FEWX|49aVULN|5BEXP|6RCVC|7DMG|8RCR
299	41316 33222	   	160.78	ACR|1AART|1VULN|1CDMG|1FLTHEA|1ZMB|1ASPD|1DUR	1RCVC|2ZMB|3RCR|4VULN|5DUR|6FLTHEA|7LHND|8ASPD|9AART|aCDMG
300	41324 33222	   	160.78	ACR|1AART|1VULN|1CDMG|1FLTHEA|1ZMB|1ASPD|1DUR	1RCVC|2ZMB|3RCR|4DUR|5VULN|6FLTHEA|7LHND|8ASPD|9AART|aCDMG
301	14332 31335	   	160.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1CGEN|2AART|3ZMB|4VULN|5DMSP|6DUR|7FEWX|8aDMG|9RCR
302	14332 33532	   	160.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2AART|3ZMB|48VULN|5DMSP|6DUR|7DMG|9RCR|aFEWX
303	14332 33535	   	160.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2AART|3ZMB|48VULN|5DMSP|6DUR|7DMG|9RCR|aRMIN
304	14332 33536	   	160.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2AART|3ZMB|48VULN|5DMSP|6DUR|7DMG|9RCR|aLWND
305	14332 13531	   	160.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2AART|3ZMB|48VULN|5DMSP|6LWND|7DMG|9RCR|aDUR
306	14434 13131	   	160.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1CGEN|2AART|35LHND|4VULN|67DMG|8ZMB|9RCR|aDUR
307	14436 13131	   	160.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1CGEN|2AART|3LHND|4VULN|5RCVC|67DMG|8ZMB|9RCR|aDUR
308	14443 13131	   	160.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1CGEN|2AART|3LHND|4RCVC|5VULN|67DMG|8ZMB|9RCR|aDUR
309	14463 13131	   	160.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1CGEN|2AART|34LHND|5VULN|67DMG|8ZMB|9RCR|aDUR
310	41111 21633	   	160.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2ZMB|34VULN|5BELT|6AART|7DUR|8RCR|9RPLT|aDMG
