0	Index      	 *	Score 	Summary	Detail	
1	23212 41451	 * 	191.40	DCR|3VULN|2DMG|1AART|2DUR	1RCVC|28DUR|38aVULN|4BEXP|5DUST|6RCR|78DMG|8BPWR|9AART
158	16214 21412	   	162.91	DCR|2VULN|2DMG|1AART	128FEWX|38VULN|4BEXP|5LHND|6RCR|78DMG|8BPWR|9DUST|aAART
159	16232 21463	   	162.91	DCR|2VULN|2DMG|1AART	128FEWX|38VULN|49LHND|5DUST|6RCR|78DMG|8BPWR|aAART
160	12662 41312	   	162.85	DCR|2VULN|2DMG|2DUR|1ZMB	19FEWX|29DUR|34VULN|5DUST|6RCR|79DMG|8LEGI|9BPWR|aZMB
161	23212 41312	   	162.85	DCR|2VULN|2DMG|2DUR|1ZMB	1RCVC|29DUR|39VULN|4BEXP|5DUST|6RCR|79DMG|8LEGI|9BPWR|aZMB
162	16113 21412	   	162.81	DCR|2VULN|2DMG|1AART	128FEWX|3LEGI|4BEXP|58VULN|6RCR|78DMG|8BPWR|9DUST|aAART
163	16212 21312	   	162.81	DCR|2VULN|2DMG|1AART	129FEWX|39VULN|4BEXP|5DUST|6RCR|79DMG|8LEGI|9BPWR|aAART
164	16224 21413	   	162.81	DCR|2VULN|2DMG|1AART	128FEWX|38VULN|49DUST|5LHND|6RCR|78DMG|8BPWR|aAART
165	16232 21413	   	162.81	DCR|2VULN|2DMG|1AART	128FEWX|38VULN|4LHND|59DUST|6RCR|78DMG|8BPWR|aAART
166	12633 62122	   	162.72	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1FEWX|25DUR|3VULN|4DMG|6CDMG|7RCR|8RMIN|9AART|aZMB
167	23212 41426	   	162.70	DCR|2VULN|2DMG|2DUR|1ZMB|1SELL	1RCVC|28DUR|38VULN|4BEXP|5DUST|6RCR|78DMG|8BPWR|9SELL|aZMB
168	23232 41426	   	162.70	DCR|2VULN|2DMG|2DUR|1ZMB|1SELL	1RCVC|28DUR|38VULN|4LHND|5DUST|6RCR|78DMG|8BPWR|9SELL|aZMB
169	31626 61232	   	162.63	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1MLV|2FEWX|3CDMG|4VULN|5RCR|69DMG|7LHND|8AART|aASPD
170	36126 61232	   	162.63	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1MLV|2CDMG|3FEWX|4VULN|5RCR|69DMG|7LHND|8AART|aASPD
171	36353 63232	   	162.63	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1MLV|2CDMG|3VULN|4LHND|5RCR|69DMG|7FEWX|8AART|aASPD
172	36636 12232	 * 	162.63	ACR|3DMG|2AART|1CDMG	1MLV|2CDMG|3LEGI|467DMG|5RCR|89AART|aRCVC
173	36636 12233	   	162.63	ACR|3DMG|2AART|1CDMG	1MLV|2CDMG|3LEGI|467DMG|5RCR|89AART|aBEXP
174	36636 12231	   	162.53	ACR|3DMG|2AART|1CDMG	1MLV|2CDMG|3LEGI|467DMG|5RCR|89AART|aLSRHEA
175	56742 11241	 * 	162.52	DCR|3VULN|3CDMG|2ZMB|2ASPD	17ASPD|2MBVNT|348CDMG|57ZMB|679VULN|7BPWR|aRCR
176	61122 24135	   	162.51	DCR|2VULN|2DMG|1AART	1BASICY|29DMG|34VULN|5DUST|6RCR|7LIT|8ERES|aAART
177	56734 43322	   	162.47	DCR|2DMG|1VULN|2CDMG|2ASPD|1DUR	19ASPD|2MBVNT|35CDMG|45DMG|5BPWR|6RCR|7VULN|8MGNSTR|aDUR
178	11142 23113	 * 	162.37	DCR|2AART|1VULN|3DUR|2ASPD|1CDMG	1FEWX|25AART|36ASPD|467DUR|6BPWR|8RCR|9VULN|aCDMG
179	11153 23113	   	162.37	DCR|2AART|1VULN|3DUR|2ASPD|1CDMG	1FEWX|24AART|36ASPD|567DUR|6BPWR|8RCR|9VULN|aCDMG
180	16212 21423	   	162.30	DCR|3VULN|2DMG|1DUR	128FEWX|38aVULN|4BEXP|5DUST|6RCR|78DMG|8BPWR|9DUR
181	16224 21423	   	162.30	DCR|3VULN|2DMG|1DUR	128FEWX|38aVULN|4DUST|5LHND|6RCR|78DMG|8BPWR|9DUR
182	16232 21423	   	162.30	DCR|3VULN|2DMG|1DUR	128FEWX|38aVULN|4LHND|5DUST|6RCR|78DMG|8BPWR|9DUR
183	16232 21426	   	162.30	DCR|3DMG|2VULN|1DUR	128FEWX|38VULN|4LHND|5DUST|6RCR|78aDMG|8BPWR|9DUR
184	14133 21461	   	162.30	DCR|3DMG|2VULN|1ASPD	18FEWX|2RCVC|3LEGI|4LWND|58VULN|6RCR|789DMG|8BPWR|aASPD
185	16212 21434	   	162.30	DCR|3DMG|2VULN|1DUR	128FEWX|38VULN|4BEXP|5DUST|6RCR|789DMG|8BPWR|aDUR
186	16212 21435	   	162.30	DCR|3DMG|2VULN|1ASPD	128FEWX|38VULN|4BEXP|5DUST|6RCR|789DMG|8BPWR|aASPD
187	16232 21434	   	162.30	DCR|3DMG|2VULN|1DUR	128FEWX|38VULN|4LHND|5DUST|6RCR|789DMG|8BPWR|aDUR
188	16232 21435	   	162.30	DCR|3DMG|2VULN|1ASPD	128FEWX|38VULN|4LHND|5DUST|6RCR|789DMG|8BPWR|aASPD
189	52662 31212	 * 	162.28	ACR|2VULN|2DMG|2ASPD|1ZMB	19ASPD|2LEGI|39DMG|4RCR|5RMIN|6LHND|7BEXP|89VULN|9BPWR|aZMB
190	52662 33212	   	162.28	ACR|2VULN|2DMG|2ASPD|1ZMB	19ASPD|2LEGI|39DMG|4RCR|5RMIN|6LHND|7FEWX|89VULN|9BPWR|aZMB
191	11342 54122	   	162.22	DCR|2AART|1VULN|1DMG|2DUR|1ZMB	1FEWX|25AART|3ERES|47DUR|6DMG|8RCR|9VULN|aZMB
192	11353 54122	   	162.22	DCR|2AART|1VULN|1DMG|2DUR|1ZMB	1FEWX|24AART|3ERES|57DUR|6DMG|8RCR|9VULN|aZMB
193	11211 62612	 * 	162.22	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1FEWX|2AART|3LWND|4DUR|58ZMB|69VULN|7DMG|aRCR
194	26364 11212	 * 	162.22	DCR|3VULN|3CDMG|1AART	1RCVC|279BEXP|347CDMG|5MBVNT|679VULN|79BPWR|8RCR|aAART
195	16223 41313	   	162.20	DCR|3VULN|2DMG|1DUR	129FEWX|39aVULN|4DUST|5DUR|6RCR|79DMG|8LEGI|9BPWR
196	16223 41316	   	162.20	DCR|3DMG|2VULN|1DUR	129FEWX|39VULN|4DUST|5DUR|6RCR|79aDMG|8LEGI|9BPWR
197	52661 31212	   	162.18	ACR|2VULN|2DMG|2ASPD|1ZMB	19ASPD|2LEGI|39DMG|4RCR|5NUKE|6LHND|7BEXP|89VULN|9BPWR|aZMB
198	52661 33212	   	162.18	ACR|2VULN|2DMG|2ASPD|1ZMB	19ASPD|2LEGI|39DMG|4RCR|5NUKE|6LHND|7FEWX|89VULN|9BPWR|aZMB
199	52662 32212	   	162.18	ACR|2VULN|2DMG|2ASPD|1ZMB	19ASPD|2LEGI|39DMG|4RCR|5RMIN|6LHND|7DUST|89VULN|9BPWR|aZMB
200	52663 21212	   	162.18	ACR|2VULN|2DMG|2ASPD|1ZMB	19ASPD|2LEGI|39DMG|4RCR|5DUST|6RMIN|7BEXP|89VULN|9BPWR|aZMB
201	46133 21341	   	162.18	DCR|3VULN|1AART|1DMG	13LWND|23FEWX|3BPWR|4LHND|59aVULN|6RCR|7DMG|8AART
202	22424 11231	   	162.15	DCR|3VULN|3CDMG|2DUR|1ZMB	1RCVC|237CDMG|37BPWR|47DUR|5MBVNT|67aVULN|8RCR|9ZMB
203	52661 32212	   	162.08	ACR|2VULN|2DMG|2ASPD|1ZMB	19ASPD|2LEGI|39DMG|4RCR|5NUKE|6LHND|7DUST|89VULN|9BPWR|aZMB
204	44333 21341	   	162.08	DCR|3VULN|1AART|1DMG	1LWND|2RCVC|3FEWX|4LHND|59aVULN|6RCR|7DMG|8AART
205	12633 62121	 * 	162.05	DCR|1AART|1VULN|1DMG|2CDMG|3DUR	1aFEWX|25aDUR|3VULN|4DMG|6aCDMG|7RCR|8RMIN|9AART|aBPWR
206	12662 41121	   	162.00	DCR|3VULN|2DMG|1DUR	1FEWX|2DUR|34aVULN|5DUST|6RCR|79DMG|8BASICY
207	61122 21331	   	162.00	DCR|3VULN|2DMG|1DUR	1BASICY|28DMG|34aVULN|5DUST|6RCR|7FEWX|9DUR
208	61621 21331	   	162.00	DCR|3VULN|2DMG|1DUR	1BASICY|28DMG|3DUST|45aVULN|6RCR|7FEWX|9DUR
209	65321 21331	   	162.00	DCR|3VULN|2DMG|1DUR	1BASICY|2DUST|38DMG|45aVULN|6RCR|7FEWX|9DUR
210	14133 21341	   	161.98	DCR|3VULN|1AART|1DMG	1FEWX|2RCVC|3LEGI|4LWND|59aVULN|6RCR|7DMG|8AART
211	16133 21341	   	161.98	DCR|3VULN|1AART|1DMG	12FEWX|3LEGI|4LWND|59aVULN|6RCR|7DMG|8AART
212	31233 21341	   	161.98	DCR|3VULN|1AART|1DMG	1MLV|2FEWX|3TLV|4LHND|59aVULN|6RCR|7DMG|8AART
213	35333 21341	   	161.98	DCR|3VULN|1AART|1DMG	1MLV|2ERES|3FEWX|4LHND|59aVULN|6RCR|7DMG|8AART
214	35413 21341	   	161.98	DCR|3VULN|1AART|1DMG	1MLV|2ERES|3LWND|4BEXP|59aVULN|6RCR|7DMG|8AART
215	32213 21341	   	161.88	DCR|3VULN|1AART|1DMG	1MLV|2LEGI|3ERES|4BEXP|59aVULN|6RCR|7DMG|8AART
216	32233 41341	   	161.88	DCR|3VULN|1AART|1DMG	1MLV|2LEGI|3ERES|4LHND|59aVULN|6RCR|7DMG|8AART
217	21353 53122	   	161.87	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2ERES|3LWND|4AART|5DUR|67DMG|8RCR|9VULN|aZMB
218	22331 11264	   	161.79	DCR|3VULN|1DMG|2CDMG|2ASPD	1RCVC|27CDMG|37ASPD|4DMG|5BEXP|679VULN|7BPWR|8LHND|aRCR
219	22331 11614	   	161.79	DCR|3VULN|1DMG|2CDMG|2ASPD	1RCVC|27CDMG|37ASPD|4DMG|5BEXP|678VULN|7BPWR|9LHND|aRCR
220	22332 11164	   	161.79	DCR|3VULN|1DMG|2CDMG|2ASPD	1RCVC|27CDMG|37ASPD|4DMG|5LHND|679VULN|7BPWR|8BEXP|aRCR
221	61116 23431	   	161.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1BASICY|29DMG|3VULN|4DUR|5CGEN|6DUST|7RCR|8AART|aZMB
222	61211 33461	   	161.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BASICY|2DMG|3FEWX|4DUR|59VULN|6ERES|7RCR|8AART|aZMB
223	61411 33431	   	161.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1BASICY|29DMG|3BEXP|4DUR|5VULN|6ERES|7RCR|8AART|aZMB
224	61112 33431	   	161.67	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1BASICY|29DMG|3VULN|4DUR|5DUST|6ERES|7RCR|8AART|aZMB
225	61112 33461	   	161.67	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BASICY|2DMG|39VULN|4DUR|5DUST|6ERES|7RCR|8AART|aZMB
226	61611 33431	   	161.67	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1BASICY|29DMG|3DUST|4DUR|5VULN|6ERES|7RCR|8AART|aZMB
227	65311 33431	   	161.67	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1BASICY|2DUST|39DMG|4DUR|5VULN|6ERES|7RCR|8AART|aZMB
228	23265 16123	 * 	161.60	DCR|2VULN|2DMG|1FLTHEA|1ZMB|1DUR	1RCVC|2DUR|39VULN|4ZMB|56DMG|7FLTHEA|8BEXP|aRCR
229	23265 36323	   	161.60	DCR|2VULN|2DMG|1FLTHEA|1ZMB|1DUR	1RCVC|2DUR|36VULN|4ZMB|59DMG|7FLTHEA|8LWND|aRCR
230	56741 43241	   	161.58	DCR|2VULN|3CDMG|1DMG|2ASPD	17ASPD|2MBVNT|347CDMG|5RMIN|6RCR|7BPWR|8aVULN|9DMG
231	22351 21255	   	161.54	DCR|2VULN|3CDMG|1AART|2DUR|1ASPD	1RCVC|278CDMG|3ASPD|47VULN|5RMIN|67DUR|7BPWR|9AART|aRCR
232	11534 12111	   	161.48	DCR|2VULN|1AART|1DMG|3DUR	139FEWX|2AART|39BPWR|4RCVC|59VULN|679DUR|8RCR|aDMG
233	11555 32111	   	161.48	DCR|2VULN|1AART|1DMG|3DUR	139FEWX|2AART|39BPWR|479DUR|59VULN|6DMSP|8RCR|aDMG
234	41244 12111	   	161.48	DCR|2VULN|1AART|1DMG|3DUR	139LWND|2AART|4RCVC|59VULN|679DUR|8RCR|9BPWR|aDMG
235	14263 62121	   	161.47	DCR|2VULN|1AART|2CDMG|1ZMB|1DUR	1aFEWX|2RCVC|3aVULN|4ZMB|5DUR|6aCDMG|7RCR|8RMIN|9AART|aBPWR
236	16263 62121	   	161.47	DCR|2VULN|1AART|2CDMG|1ZMB|1DUR	12aFEWX|3aVULN|4ZMB|5DUR|6aCDMG|7RCR|8RMIN|9AART|aBPWR
