0	Index      	 *	Score 	Summary	Detail	
1	25121 51612	 * 	224.70	ACR|3VULN|3DMG|2ASPD|1AART|1AAC	18ASPD|2TLV|378VULN|4RCR|5AAC|68aDMG|8BPWR|9AART
160	24333 21436	   	195.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	13ASPD|2CDMG|4TLV|5DMG|6MLV|7RCR|8AART|9VULN|aRPLT
161	51633 21433	   	195.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1AME|24ASPD|3DMG|5CDMG|6MLV|7RCR|8AART|9VULN|aDUST
162	21143 11141	   	195.69	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG	12ASPD|3FEWX|4CDMG|5AART|6MDPS|7RCR|8VULN|9DMG|aLWND
163	21143 11142	   	195.69	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG	12ASPD|3FEWX|4CDMG|5AART|6MDPS|7RCR|8VULN|9DMG|aRMIN
164	21143 11143	   	195.69	DCR|1MDPS|2ASPD|1AART|1VULN|1DMG|1CDMG	12ASPD|3FEWX|4CDMG|5AART|6MDPS|7RCR|8VULN|9DMG|aLIT
165	21243 11141	   	195.69	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG	12ASPD|3BEXP|4CDMG|5AART|6MDPS|7RCR|8VULN|9DMG|aLWND
166	21243 11142	   	195.69	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG	12ASPD|3BEXP|4CDMG|5AART|6MDPS|7RCR|8VULN|9DMG|aRMIN
167	21243 11143	   	195.69	DCR|1MDPS|2ASPD|1AART|1VULN|1DMG|1CDMG	12ASPD|3BEXP|4CDMG|5AART|6MDPS|7RCR|8VULN|9DMG|aLIT
168	24313 21433	   	195.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	13ASPD|2CDMG|4CGEN|5DMG|6MLV|7RCR|8AART|9VULN|aDUST
169	22143 31563	   	195.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	16ASPD|23BEXP|4CDMG|5AART|7RCR|8DMG|9VULN|aERES
170	25164 11311	   	195.63	DCR|2VULN|2DMG|2ASPD|1AAC	1aASPD|2aTLV|37VULN|4LIT|5DMSP|6RCR|8aDMG|9AAC|aBPWR
171	15235 21332	 * 	195.62	DCR|2VULN|2AART|1DMG|1CDMG|1SELL	1FEWX|2CDMG|37VULN|4DUST|5DMG|6SELL|8RCR|9aAART
172	41363 22224	   	195.59	DCR|3VULN|1MDPS|2ASPD|2CDMG	1MDPS|239VULN|4CGEN|5RPLT|69CDMG|79ASPD|8RCR|9BPWR|aTLV
173	24125 11141	   	195.59	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG	14ASPD|2CDMG|3DUST|5AART|6MDPS|7RCR|8VULN|9DMG|aLWND
174	24125 11142	   	195.59	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG	14ASPD|2CDMG|3DUST|5AART|6MDPS|7RCR|8VULN|9DMG|aRMIN
175	24125 11143	   	195.59	DCR|1MDPS|2ASPD|1AART|1VULN|1DMG|1CDMG	14ASPD|2CDMG|3DUST|5AART|6MDPS|7RCR|8VULN|9DMG|aLIT
176	24333 21433	   	195.59	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	13ASPD|2CDMG|4TLV|5DMG|6MLV|7RCR|8AART|9VULN|aDUST
177	21143 11144	   	195.59	DCR|1MDPS|2ASPD|1AART|1VULN|1DMG|1CDMG	12ASPD|3FEWX|4CDMG|5AART|6MDPS|7RCR|8VULN|9DMG|aLEGI
178	21143 11146	   	195.59	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG|1MSE	12ASPD|3FEWX|4CDMG|5AART|6MDPS|7RCR|8VULN|9DMG|aMSE
179	21243 11144	   	195.59	DCR|1MDPS|2ASPD|1AART|1VULN|1DMG|1CDMG	12ASPD|3BEXP|4CDMG|5AART|6MDPS|7RCR|8VULN|9DMG|aLEGI
180	21243 11146	   	195.59	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG|1MSE	12ASPD|3BEXP|4CDMG|5AART|6MDPS|7RCR|8VULN|9DMG|aMSE
181	21324 26323	 * 	195.59	DCR|3ASPD|2VULN|1CDMG|1ZMB	126ASPD|38VULN|4LHND|5ZMB|7RCR|9LIT|aCDMG
182	21326 36323	   	195.59	DCR|3ASPD|2VULN|1CDMG|1ZMB	125ASPD|38VULN|4LHND|6ZMB|7RCR|9LIT|aCDMG
183	21331 36323	   	195.59	DCR|3ASPD|2VULN|1CDMG|1ZMB	124ASPD|38VULN|5LHND|6ZMB|7RCR|9LIT|aCDMG
184	25163 11311	   	195.53	DCR|2VULN|2DMG|2ASPD|1AAC	1aASPD|25aTLV|37VULN|4LIT|6RCR|8aDMG|9AAC|aBPWR
185	25131 13345	 * 	195.50	DCR|4VULN|1ASPD|1DMG	1ASPD|2TLV|349aVULN|5FEWX|6CGEN|7RCR|8DMG
186	41432 31421	   	195.34	DCR|3VULN|2DMG|1MDPS|1ASPD	1MDPS|269VULN|39BEXP|4ASPD|56DMG|69BPWR|79ERES|8RCR|aCGEN
187	41432 31423	   	195.24	DCR|3VULN|1MDPS|2DMG|1ASPD	1MDPS|269VULN|39BEXP|4ASPD|56DMG|69BPWR|79ERES|8RCR|aDUST
188	51121 51611	   	194.93	ACR|3VULN|2DMG|1AART|1ASPD|1AAC	18AME|2ASPD|378VULN|4RCR|5AAC|68DMG|8BPWR|9AART|aBEXP
189	51121 51613	   	194.93	ACR|3VULN|2DMG|1AART|1ASPD|1AAC	18AME|2ASPD|378VULN|4RCR|5AAC|68DMG|8BPWR|9AART|aLIT
