0	Index      	 *	Score 	Summary	Detail	
1	33633 24324	 * 	197.58	DCR|4VULN|3DMG|2ZMB	1DMSP|259DMG|3SNIHEL|49ZMB|689aVULN|7RCR|9BPWR
165	22652 14322	   	168.81	ACR|2VULN|1AART|2ASPD|1CDMG|2DUR	1RPLT|2RCR|37VULN|47ASPD|57DUR|6DMSP|7BPWR|8AART|9CDMG|aBELT
166	22652 14323	   	168.81	ACR|2VULN|1AART|2ASPD|1CDMG|2DUR	1RPLT|2RCR|37VULN|47ASPD|57DUR|6DMSP|7BPWR|8AART|9CDMG|aFEWX
167	22142 14325	   	168.71	ACR|2VULN|1AART|2ASPD|1CDMG|2DUR	1RPLT|2RCR|37DUR|47VULN|57ASPD|6DMSP|7BPWR|8AART|9CDMG|aDUST
168	33633 24336	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1DMSP|25DMG|3SNIHEL|4ZMB|68VULN|7RCR|9ASPD|aCDMG
169	51215 31132	   	168.60	ACR|3DMG|1AART|1VULN|1ZMB	1VULN|2CGEN|37aDMG|4ERES|5RCR|6BELT|8AART|9ZMB
170	33126 22251	 * 	168.45	ACR|3DMG|2AART|1VULN	1DMSP|248DMG|3VULN|5RCR|6LWND|7MBVNT|9aAART
171	33126 25241	   	168.45	ACR|3DMG|2AART|1VULN	1DMSP|248DMG|3VULN|5RCR|6LWND|7DUST|9aAART
172	51215 21211	   	168.45	ACR|3VULN|2AART|1DMG	178VULN|2CGEN|3DMG|4ERES|5RCR|6DMSP|9aAART
173	22141 32884	   	168.31	ACR|2VULN|2DMG|1CDMG|2DUR	1RPLT|2RCR|39DUR|49VULN|5BEXP|6MBVNT|7ERES|89DMG|9BPWR|aCDMG
174	33123 15612	   	168.31	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1DMSP|24DMG|3VULN|5AART|6LIT|7ASPD|8RCR|9DUR|aZMB
175	33351 62352	 * 	168.15	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1DMSP|2DMG|3LWND|4CDMG|5RCR|6FLTHEA|7CGEN|89VULN|aAART
176	34341 11313	   	168.11	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMSP|2AART|3LIT|4ERES|56VULN|7RCR|8DMG|9DUR|aCDMG
177	54233 21211	   	168.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7LHND|8RCR|9CDMG|aFEWX
178	54233 21213	   	168.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7LHND|8RCR|9CDMG|aCGEN
179	54233 21216	   	168.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7LHND|8RCR|9CDMG|aMLV
180	54233 22225	   	168.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9RCVC|aRPLT
181	54233 22226	   	168.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9RCVC|aLWND
182	54233 22232	   	168.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9CGEN|aLIT
183	54233 22233	   	168.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9CGEN|aLSRICY
184	54233 22234	   	168.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9CGEN|aBEXP
185	54233 22236	   	168.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9CGEN|aLWND
186	54233 22242	   	168.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9MLV|aLIT
187	54233 22243	   	168.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9MLV|aLSRICY
188	54233 22251	   	168.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9BEXP|aFEWX
189	54233 22253	   	168.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9BEXP|aCGEN
190	54233 22261	   	168.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9LWND|aFEWX
191	54233 22263	   	168.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9LWND|aCGEN
192	54243 22222	   	168.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4RMIN|5AART|7CDMG|8RCR|9RCVC|aZMB
193	51215 21215	   	168.00	ACR|3VULN|1AART|1DMG|1ZMB	178VULN|2CGEN|3DMG|4ERES|5RCR|6DMSP|9AART|aZMB
194	52623 13632	 * 	167.99	ACR|3VULN|1DMG|2FLTHEA|2DUR	18aVULN|2LEGI|3RMIN|4RCR|5LIT|68DUR|78FLTHEA|8BPWR|9DMG
195	54223 22242	   	167.98	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ERES|5AART|7CDMG|8RCR|9MLV|aZMB
196	54233 21212	   	167.98	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7LHND|8RCR|9CDMG|aBASHEA
197	54233 22211	   	167.98	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9LEGI|aFEWX
198	54233 22213	   	167.98	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9LEGI|aCGEN
199	54233 22216	   	167.98	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9LEGI|aMLV
200	54233 22221	   	167.98	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9RCVC|aDUST
201	54233 22223	   	167.98	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9RCVC|aLEGI
202	54233 22231	   	167.98	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9CGEN|aERES
203	54233 22241	   	167.98	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9MLV|aERES
204	54233 22252	   	167.98	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9BEXP|aBASHEA
205	54233 22262	   	167.98	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9LWND|aBASHEA
206	54233 22212	   	167.88	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9LEGI|aBASHEA
207	33151 24124	 * 	167.85	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1DMSP|27DMG|3VULN|47CDMG|5RCR|67LWND|7BPWR|8DUR|9DUST|aAART
208	22442 31235	   	167.81	ACR|2VULN|2AART|2ASPD|2DUR	1RPLT|2RCR|3aBEXP|49VULN|5aASPD|68AART|7aDUR|aBPWR
209	22662 11235	   	167.81	ACR|2VULN|2AART|2ASPD|2DUR	19RPLT|2RCR|3aVULN|4LHND|5aASPD|68AART|7aDUR|aBPWR
210	54124 44321	 * 	167.78	DCR|4VULN|1AART|1DMG	1468VULN|26MGNLIT|3MBVNT|5RPLT|6BPWR|7DMG|9RCR|aAART
211	33151 46232	   	167.75	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1DMSP|2DMG|37VULN|46CDMG|5RCR|8MGNLIT|9DUR|aAART
212	33151 63124	   	167.75	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1DMSP|2DMG|36VULN|46CDMG|5RCR|6BPWR|7LHND|8DUR|9DUST|aAART
213	33633 24224	   	167.72	DCR|3DMG|2VULN|2ZMB	1DMSP|258DMG|3aSNIHEL|4aZMB|6aVULN|7RCR|9RMIN|aBPWR
214	22622 31215	   	167.71	ACR|2VULN|2AART|2ASPD|2DUR	1RPLT|2RCR|3aVULN|4DUST|5aASPD|68AART|7aDUR|9RCVC|aBPWR
215	54241 12212	   	167.70	DCR|3DMG|2VULN|2DUR	18VULN|2MGNLIT|389DMG|4aRMIN|5BELT|6RCR|78DUR|8BPWR
216	34123 21141	 * 	167.68	DCR|2AART|2DMG|1VULN|1ZMB	1DMSP|24AART|39DMG|5ZMB|6CGEN|7RPLT|8RCR|aVULN
217	34123 32622	   	167.68	DCR|2AART|2DMG|1VULN|1ZMB	1DMSP|24AART|39DMG|5ZMB|6VULN|7LIT|8RCR|aCGEN
218	34123 32623	   	167.68	DCR|2AART|2DMG|1VULN|1ZMB	1DMSP|24AART|39DMG|5ZMB|6VULN|7LIT|8RCR|aRPLT
219	34123 32624	   	167.68	DCR|2AART|2DMG|1VULN|1ZMB	1DMSP|24AART|39DMG|5ZMB|6VULN|7LIT|8RCR|aBEXP
220	34123 32636	   	167.68	DCR|2AART|2DMG|1VULN|1ZMB	1DMSP|24AART|3aDMG|5ZMB|6VULN|7LIT|8RCR|9MLV
221	54241 12211	   	167.60	DCR|3DMG|2VULN|2DUR	18VULN|2MGNLIT|389DMG|4RMIN|5BELT|6RCR|78DUR|8BPWR|aAIRHEA
222	54233 25321	   	167.58	DCR|3DMG|1AART|1VULN|1ZMB	1VULN|2MGNLIT|368DMG|4ZMB|5AART|7TLV|9RCR|aRMIN
223	54233 25322	   	167.58	DCR|3DMG|1AART|1VULN|1ZMB	1VULN|2MGNLIT|368DMG|4ZMB|5AART|7TLV|9RCR|aMLV
224	54233 25323	   	167.58	DCR|3DMG|1AART|1VULN|1ZMB	1VULN|2MGNLIT|368DMG|4ZMB|5AART|7TLV|9RCR|aDMSP
225	34123 32625	   	167.58	DCR|2AART|2DMG|1VULN|1ZMB	1DMSP|24AART|39DMG|5ZMB|6VULN|7LIT|8RCR|aMBVNT
226	34123 32626	   	167.58	DCR|2AART|2DMG|1VULN|1ZMB	1DMSP|24AART|39DMG|5ZMB|6VULN|7LIT|8RCR|aDUST
