0	Index      	 *	Score 	Summary	Detail	
1	63213 53252	 * 	223.57	ACR|5VULN|2DMG|1AART|1CDMG	1268aVULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9CDMG
175	63213 51212	   	194.44	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8CDMG|9RMIN|aMLV
176	63213 51213	   	194.44	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8CDMG|9RMIN|aRPLT
177	63213 51214	   	194.44	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8CDMG|9RMIN|aLWND
178	63213 51233	   	194.44	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8CDMG|9LWND|aRPLT
179	63213 51263	   	194.44	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8CDMG|9LHND|aRPLT
180	63213 55121	   	194.44	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|78MLV|9CDMG|aMGNSTR
181	63213 55122	   	194.44	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|78MLV|9CDMG|aLWND
182	63213 33661	   	194.34	ACR|3VULN|2DMG|1AART|1CDMG	128VULN|3AART|4RCR|58DMG|6LEGI|78FEWX|8BPWR|9CDMG|aERES
183	63213 51211	   	194.34	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8CDMG|9RMIN|aDUST
184	63213 51215	   	194.34	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8CDMG|9RMIN|aERES
185	63213 51222	   	194.34	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8CDMG|9TLV|aMLV
186	63213 51223	   	194.34	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8CDMG|9TLV|aRPLT
187	63213 51224	   	194.34	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8CDMG|9TLV|aLWND
188	63213 51231	   	194.34	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8CDMG|9LWND|aERES
189	63213 51242	   	194.34	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8CDMG|9DUST|aBEXP
190	63213 51243	   	194.34	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8CDMG|9DUST|aRPLT
191	63213 51261	   	194.34	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8CDMG|9LHND|aERES
192	63213 52216	   	194.34	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8CDMG|9CGEN|aLHND
193	63213 52262	   	194.34	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8CDMG|9LHND|aMLV
194	63213 52263	   	194.34	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8CDMG|9LHND|aRPLT
195	63213 55123	   	194.34	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|78MLV|9CDMG|aDUST
196	63213 51221	   	194.24	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8CDMG|9TLV|aDUST
197	63213 51225	   	194.24	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8CDMG|9TLV|aERES
198	63213 51241	   	194.24	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8CDMG|9DUST|aERES
199	63213 52143	   	194.24	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8MLV|9CDMG|aERES
200	63213 52213	   	194.24	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8CDMG|9CGEN|aERES
201	63213 52214	   	194.24	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8CDMG|9CGEN|aDUST
202	63213 52261	   	194.24	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8CDMG|9LHND|aDUST
203	63213 62141	   	194.24	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|5aDMG|7NUKE|8MLV|9CDMG
204	63213 62211	   	194.24	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|5aDMG|7NUKE|8CDMG|9CGEN
205	63213 52243	   	194.14	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8CDMG|9aERES
206	63213 62241	   	194.14	ACR|3VULN|2DMG|1AART|1CDMG	126VULN|3AART|4RCR|5aDMG|7NUKE|8CDMG|9ERES
207	63213 53523	   	193.99	ACR|3VULN|2DMG|1AART|1ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|89FEWX|aZMB
208	63213 53143	   	193.89	ACR|3VULN|2DMG|1AART|1ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|8TLV|9CGEN|aZMB
209	63213 53163	   	193.89	ACR|3VULN|2DMG|1AART|1ZMB	126VULN|3AART|4RCR|56DMG|6BPWR|7RCVC|8TLV|9RPLT|aZMB
210	63213 63413	   	193.89	ACR|3VULN|2DMG|1AART|1ZMB	126VULN|3AART|4RCR|58DMG|7RCVC|9FEWX|aZMB
211	63213 63423	   	193.79	ACR|3VULN|2DMG|1AART|1ZMB	126VULN|3AART|4RCR|58DMG|7RCVC|9DUST|aZMB
