0	Index      	 *	Score 	Summary	Detail	
1	13363 25512	 * 	193.03	DCR|2VULN|2DMG|1AART|2CDMG|2ZMB	18VULN|2RPLT|38ZMB|4aDMG|5BEXP|6AART|78CDMG|8BPWR|9RCR
169	12224 51521	   	163.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	17VULN|2DUR|3ERES|4FEWX|5AART|6RMIN|8RCR|9DMG|aCDMG
170	15433 63211	 * 	163.68	DCR|1AART|1VULN|1DMG|2ZMB|1FLTHEA|1DUR	1VULN|2aZMB|3MLV|4DMG|5DUR|6RCR|7FEWX|8FLTHEA|9AART
171	26131 21433	 * 	163.68	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ASPD	1RCVC|2LIT|3AART|4CDMG|5VULN|6FLTHEA|7RCR|8ASPD|9RPLT|aDMG
172	13336 22615	   	163.62	DCR|2VULN|1AART|2CDMG|1ZMB|1DUR|1SELL	19VULN|2RPLT|3ZMB|49LWND|5AART|6SELL|7RCR|89CDMG|9BPWR|aDUR
173	13361 12315	   	163.61	DCR|3VULN|2DMG|1ZMB|1DUR	189VULN|2RPLT|3ZMB|47DMG|5DUR|6RMIN|aRCR
174	13362 12315	   	163.61	DCR|3VULN|2DMG|1ZMB|1DUR	189VULN|2RPLT|3ZMB|47DMG|5MLV|6DUR|aRCR
175	15236 43221	 * 	163.51	DCR|3VULN|2AART|1ZMB|1ASPD	139VULN|2ZMB|4FEWX|58AART|6DUST|7ASPD|aRCR
176	12362 16216	   	163.45	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	19VULN|29DUR|37LHND|4CDMG|59LWND|6RCR|8AART|9BPWR|aZMB
177	43324 23131	   	163.41	DCR|2VULN|2DMG|1AART	1BELT|2aVULN|38DMG|4RMIN|5LHND|6RCR|7LIT|9AART
178	12323 21513	   	163.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	16VULN|2DUR|35LHND|4ERES|7RCR|8DMG|9CDMG|aAART
179	12355 21513	   	163.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	16VULN|2DUR|3LHND|4RCVC|5ERES|7RCR|8DMG|9CDMG|aAART
180	43113 23131	   	163.31	DCR|2VULN|2DMG|1AART	1BELT|2aVULN|3ERES|48DMG|5LWND|6RCR|7LIT|9AART
181	43114 22131	   	163.31	DCR|2VULN|2DMG|1AART	1BELT|2aVULN|3ERES|48DMG|5LHND|6RCR|7LIT|9AART
182	43111 53341	   	163.25	DCR|2VULN|2DMG|1AART|1DUR	1BELT|29VULN|3ERES|49DMG|5AART|6DUR|7BEXP|89CGEN|9BPWR|aRCR
183	26131 24411	 * 	163.21	DCR|2VULN|1AART|2ASPD|1CDMG|1FLTHEA	1RCVC|2aLIT|3AART|4CDMG|5aVULN|6FLTHEA|7LHND|8aASPD|9RCR|aBPWR
184	26131 25411	   	163.21	DCR|2VULN|1AART|2ASPD|1CDMG|1FLTHEA	1RCVC|2aLIT|3AART|4CDMG|5aVULN|6FLTHEA|7FEWX|8aASPD|9RCR|aBPWR
185	35611 26313	   	163.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2ZMB|3BELT|4DMG|5DMSP|6AART|7RCR|89VULN|aDUR
186	43111 52341	   	163.15	DCR|2VULN|2DMG|1AART|1DUR	1BELT|29VULN|3ERES|49DMG|5AART|6DUR|7DUST|89CGEN|9BPWR|aRCR
187	26132 66322	   	163.08	DCR|2DMG|1AART|1VULN|1CDMG	1RCVC|2LIT|3AART|4CDMG|5DMSP|6RCR|7VULN|8LWND|9aDMG
