0	Index      	 *	Score 	Summary	Detail	
1	52231 46132	 * 	217.08	DCR|2VULN|2AART|2DMG|2CDMG|1AAC	1AAC|26AART|38DMG|4LHND|58CDMG|78VULN|8BPWR|9CGEN|aRCR
153	52211 34331	   	189.99	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AAC|2AART|3DMG|4aVULN|5CDMG|6DUR|7RCR|8ERES|9LWND
154	52221 24224	   	189.99	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AAC|2AART|3DMG|4DUR|5CDMG|6DUST|7RCR|8LHND|9aVULN
155	11251 34151	   	189.95	ACR|4VULN|1ASPD|1DMG|1ZMB|1DUR	1RPLT|2458VULN|3RCR|6DMG|7ASPD|9ZMB|aDUR
156	21113 16661	   	189.91	DCR|3VULN|1ASPD|1DMG|1CDMG	13FEWX|23DUST|3BPWR|468VULN|5ASPD|7DMG|9CDMG|aRCR
157	52222 43412	   	189.89	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AAC|2AART|3DMG|4DUR|5aVULN|6CANARM|7RCR|8CDMG|9TLV
158	43325 21141	 * 	189.69	DCR|2ASPD|3ZMB|1VULN|1AART|1DUR	1ERES|246ZMB|36ASPD|5AART|6BPWR|7VULN|8MBVNT|9RCR|aDUR
159	52222 32144	   	189.68	DCR|3VULN|1AART|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|4DUR|56aVULN|7LHND|8RCR|9LIT
160	52215 35332	 * 	189.59	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1AAC	1AAC|2AART|3DMG|4VULN|5AME|6CDMG|7ERES|89ASPD|aRCR
161	11242 43521	   	189.56	ACR|3VULN|3ASPD|3DUR	1RPLT|29aVULN|3RCR|479ASPD|5RMIN|69aDUR|8RCVC|9aBPWR
162	52222 61123	   	189.44	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4DUR|5VULN|6LWND|8RCR|9ASPD|aRCVC
163	52232 11123	   	189.44	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4LHND|5VULN|6DUR|8RCR|9ASPD|aRCVC
164	52222 32145	   	189.43	DCR|2VULN|2DMG|1AART|1AAC|1DUR	1AAC|2AART|3aDMG|4DUR|56VULN|7LHND|8RCR|9LIT
165	52232 11144	   	189.43	DCR|2VULN|2DMG|1AART|1AAC|1DUR	1AAC|2AART|37DMG|4LHND|5aVULN|6DUR|8RCR|9LIT
166	32343 51631	   	189.29	DCR|2VULN|2DMG|1AART|1DUR|1SELL	1DUR|27DMG|3SELL|4LWND|59VULN|6LHND|8RCR|aAART
167	22114 24413	   	189.26	DCR|2VULN|2DMG|1ASPD|2ZMB	1FEWX|2aDMG|3LIT|4CGEN|5aZMB|6RPLT|7ASPD|8aVULN|9RCR|aBPWR
168	52212 62612	   	189.16	DCR|2VULN|2AART|1DMG|2DUR|1AAC	1AAC|29AART|3DMG|45VULN|68DUR|7LHND|aRCR
169	52222 32612	   	189.16	DCR|2VULN|2AART|1DMG|2DUR|1AAC	1AAC|29AART|3DMG|48DUR|56VULN|7LHND|aRCR
170	22134 24413	   	189.16	DCR|2VULN|2DMG|1ASPD|2ZMB	1FEWX|2aDMG|3LIT|4ERES|5aZMB|6RPLT|7ASPD|8aVULN|9RCR|aBPWR
171	52211 24125	   	189.12	DCR|2VULN|1AART|2CDMG|1DMG|1AAC	1AAC|2AART|3DMG|4aVULN|58CDMG|6DUST|7RCR|9LHND
172	25243 33122	   	189.11	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1FEWX|2BEXP|34DMG|5DUR|6AART|7AAC|8RCR|9ASPD|aVULN
173	26241 21122	   	189.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1FEWX|2MBVNT|37DMG|4MLV|5AART|6DUR|8RCR|9ASPD|aVULN
174	36245 34122	   	189.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2FEWX|34DMG|5MBVNT|6AART|7AME|8RCR|9ASPD|aVULN
175	52222 61121	   	189.11	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4DUR|5VULN|6LWND|8RCR|9ASPD|aDMSP
176	52222 61122	   	189.11	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4DUR|5VULN|6LWND|8RCR|9ASPD|aCGEN
177	52222 61124	   	189.11	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4DUR|5VULN|6LWND|8RCR|9ASPD|aLHND
178	52222 61125	   	189.11	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4DUR|5VULN|6LWND|8RCR|9ASPD|aAME
179	52232 11121	   	189.11	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4LHND|5VULN|6DUR|8RCR|9ASPD|aDMSP
180	52232 11122	   	189.11	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4LHND|5VULN|6DUR|8RCR|9ASPD|aCGEN
181	52232 11124	   	189.11	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4aLHND|5VULN|6DUR|8RCR|9ASPD
182	52232 11125	   	189.11	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4LHND|5VULN|6DUR|8RCR|9ASPD|aLWND
183	52232 11126	   	189.11	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4LHND|5VULN|6DUR|8RCR|9ASPD|aMLV
184	52232 61112	   	189.11	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4LHND|5VULN|6LWND|8RCR|9DUR|aASPD
185	52242 21122	   	189.11	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4BEXP|5VULN|6DUR|8RCR|9ASPD|aCGEN
186	52242 21123	   	189.11	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4BEXP|5VULN|6DUR|8RCR|9ASPD|aLHND
187	52242 21125	   	189.11	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4BEXP|5VULN|6DUR|8RCR|9ASPD|aAME
188	52242 61112	   	189.11	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4BEXP|5VULN|6LWND|8RCR|9DUR|aASPD
189	26283 33211	   	189.10	DCR|1VULN|1AART|1ASPD|1DMG|2DUR|1ZMB	1FEWX|2MBVNT|3DMG|4ZMB|5ASPD|6AART|7RCR|8VULN|9aDUR
190	31233 33123	   	189.01	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1DUR|2DUST|39DMG|4MLV|5ASPD|6AART|7AAC|8RCR|aVULN
191	21243 33122	   	189.01	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1FEWX|2DUST|34DMG|5DUR|6AART|7AAC|8RCR|9ASPD|aVULN
192	26551 21122	   	189.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1FEWX|2MBVNT|3TLV|47DMG|5AART|6DUR|8RCR|9ASPD|aVULN
193	31227 61127	   	189.01	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1DUR|2DUST|37DMG|4MBVNT|5AART|6CGEN|8RCR|9ASPD|aVULN
194	52262 21122	   	189.01	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4DUST|5VULN|6DUR|8RCR|9ASPD|aCGEN
195	52262 21123	   	189.01	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4DUST|5VULN|6DUR|8RCR|9ASPD|aLHND
196	52262 21125	   	189.01	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4DUST|5VULN|6DUR|8RCR|9ASPD|aAME
197	52262 61112	   	189.01	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4DUST|5VULN|6LWND|8RCR|9DUR|aASPD
198	52265 21122	   	189.01	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4DUST|5BEXP|6DUR|8RCR|9ASPD|aVULN
199	31227 44122	   	189.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|26DUST|36DMG|4MBVNT|5AART|6BPWR|7AME|8RCR|9ASPD|aVULN
200	31245 34122	   	189.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2DUST|34DMG|5MBVNT|6AART|7AME|8RCR|9ASPD|aVULN
201	52222 61126	   	189.01	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4DUR|5VULN|6LWND|8RCR|9ASPD|aERES
202	52222 61132	   	189.01	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4DUR|5VULN|6LWND|8RCR|9LEGI|aASPD
203	52242 21121	   	189.01	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4BEXP|5VULN|6DUR|8RCR|9ASPD|aLEGI
204	52242 21126	   	189.01	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4BEXP|5VULN|6DUR|8RCR|9ASPD|aERES
205	31443 33123	   	188.91	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1DUR|2DUST|3TLV|49DMG|5ASPD|6AART|7AAC|8RCR|aVULN
206	31227 47122	   	188.91	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|26DUST|36DMG|4MBVNT|5AART|6BPWR|7TLV|8RCR|9ASPD|aVULN
207	31245 37122	   	188.91	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2DUST|34DMG|5MBVNT|6AART|7TLV|8RCR|9ASPD|aVULN
208	52262 21121	   	188.91	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4DUST|5VULN|6DUR|8RCR|9ASPD|aLEGI
209	52262 21126	   	188.91	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1DUR	1AAC|2AART|37DMG|4DUST|5VULN|6DUR|8RCR|9ASPD|aERES
210	33513 13651	   	188.48	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	1DUR|2DMSP|3DUST|468VULN|5ASPD|7ZMB|9CDMG|aRCR
211	11242 63621	   	188.39	ACR|3VULN|3ASPD|3DUR	16RPLT|29aVULN|3RCR|479ASPD|5RMIN|89aDUR|9aBPWR
212	52212 62143	   	188.09	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AAC|2AART|3DMG|45VULN|6DUR|7LHND|8RCR|9LIT|aCDMG
213	52222 32143	   	188.09	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AAC|2AART|3DMG|4DUR|56VULN|7LHND|8RCR|9LIT|aCDMG
214	52222 12123	   	187.93	DCR|2AART|1VULN|1ASPD|1DMG|1AAC|1DUR	1AAC|26AART|3DMG|4DUR|5VULN|7LHND|8RCR|9ASPD|aRCVC
215	52222 12144	   	187.92	DCR|2VULN|2AART|1DMG|1AAC|1DUR	1AAC|26AART|3DMG|4DUR|5aVULN|7LHND|8RCR|9LIT
216	52212 26422	   	187.91	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|45VULN|6FEWX|7LIT|8DUR|9ASPD|aRCR
217	52212 66122	   	187.91	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|45VULN|6DUR|7LIT|8LHND|9ASPD|aRCR
218	52222 36122	   	187.91	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|4DUR|56VULN|7LIT|8LHND|9ASPD|aRCR
219	52212 66222	   	187.81	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|45VULN|6DUR|7LIT|8DUST|9ASPD|aRCR
220	52222 36222	   	187.81	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|4DUR|56VULN|7LIT|8DUST|9ASPD|aRCR
221	31243 16326	   	187.80	DCR|3DMG|2VULN|3DUR	159DUR|2DUST|349DMG|6BEXP|7LWND|89VULN|9BPWR|aRCR
222	26283 31114	   	187.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1FEWX|2MBVNT|3DMG|4ZMB|5ASPD|6AART|7VULN|8RPLT|9RCR|aCDMG
223	32543 33261	   	187.67	DCR|2VULN|2DMG|1ASPD|1DUR|1SELL	1DUR|24DMG|34MULFIG|4BPWR|5LIT|6SELL|7RCR|8aVULN|9ASPD
224	36261 13122	   	187.60	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1DUR|2FEWX|3DMG|4MLV|56AART|7MBVNT|8RCR|9ASPD|aVULN
225	52222 12121	   	187.60	DCR|2AART|1VULN|1ASPD|1DMG|1AAC|1DUR	1AAC|26AART|3DMG|4DUR|5VULN|7LHND|8RCR|9ASPD|aDMSP
226	52222 12122	   	187.60	DCR|2AART|1VULN|1ASPD|1DMG|1AAC|1DUR	1AAC|26AART|3DMG|4DUR|5VULN|7LHND|8RCR|9ASPD|aCGEN
227	52222 12124	   	187.60	DCR|2AART|1VULN|1ASPD|1DMG|1AAC|1DUR	1AAC|26AART|3DMG|4DUR|5VULN|7aLHND|8RCR|9ASPD
228	52222 12125	   	187.60	DCR|2AART|1VULN|1ASPD|1DMG|1AAC|1DUR	1AAC|26AART|3DMG|4DUR|5VULN|7LHND|8RCR|9ASPD|aLWND
229	52222 12126	   	187.60	DCR|2AART|1VULN|1ASPD|1DMG|1AAC|1DUR	1AAC|26AART|3DMG|4DUR|5VULN|7LHND|8RCR|9ASPD|aMLV
230	11252 21625	   	187.55	ACR|3VULN|1AART|1ASPD|1DMG|1DUR	1RPLT|24aVULN|3RCR|5DUR|6ASPD|7DMG|8AART|9AELBLL
231	11251 32621	 * 	187.54	ACR|4VULN|2DMG|3DUR|1AAC	1RPLT|2459VULN|3RCR|69DMG|7AAC|89aDUR|9BPWR
232	32155 22161	   	187.50	DCR|2VULN|1ASPD|1DMG|1ZMB|1DUR	1DUR|2DMG|38LIT|4ASPD|5RMIN|6ZMB|7RCR|9aVULN
233	32155 22361	   	187.50	DCR|2VULN|1ASPD|1DMG|1ZMB|1DUR	1DUR|2DMG|3LIT|4ASPD|5RMIN|6ZMB|7RCR|8AELBLL|9aVULN
234	36441 13122	   	187.50	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1DUR|2FEWX|3TLV|4DMG|56AART|7MBVNT|8RCR|9ASPD|aVULN
235	32541 31262	   	187.50	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|24DMG|34MULFIG|4BPWR|5BEXP|6CDMG|7RCR|8LWND|9AART|aVULN
236	11252 21614	   	187.45	ACR|3VULN|1AART|1ASPD|1DMG|1DUR	1RPLT|24aVULN|3RCR|5DUR|6ASPD|7DMG|8AART|9LEGI
237	11252 22641	   	187.45	ACR|3VULN|1AART|1ASPD|1DMG|1DUR	1RPLT|24aVULN|3RCR|5DUR|6ASPD|7TLV|8AART|9DMG
238	11252 23641	   	187.45	ACR|3VULN|1AART|1ASPD|1DMG|1DUR	1RPLT|24aVULN|3RCR|5DUR|6ASPD|7ERES|8AART|9DMG
239	22512 61262	   	187.40	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1FEWX|25DMG|3MULFIG|4CDMG|6DUR|7RCR|8LWND|9AART|aVULN
240	32516 41232	   	187.40	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|25DMG|3MULFIG|4CDMG|6LHND|7RCR|8LWND|9AART|aVULN
241	32542 31262	   	187.40	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|24DMG|34MULFIG|4BPWR|5DUST|6CDMG|7RCR|8LWND|9AART|aVULN
242	32515 42331	   	187.39	DCR|1VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	17DUR|2DMG|3MULFIG|4CDMG|5LWND|6RCR|8VULN|9AART|aZMB
243	11252 21643	 * 	187.30	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1RPLT|24VULN|3RCR|5DUR|6ASPD|79DMG|8AART|aLHND
244	35631 31363	   	187.30	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2CGEN|3RCR|4MLV|5AART|68VULN|79DMG|aASPD
245	62631 31363	   	187.30	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1CGEN|2DUR|3RCR|4MLV|5AART|68VULN|79DMG|aASPD
246	52211 34243	   	187.30	DCR|2DMG|1AART|1VULN|1CDMG|1AAC|1DUR	1AAC|2AART|39DMG|4VULN|5CDMG|6DUR|7RCR|8aLHND
247	52211 34423	   	187.30	DCR|2DMG|1AART|1VULN|1CDMG|1AAC|1DUR	1AAC|2AART|38DMG|4VULN|5CDMG|6DUR|7RCR|9aLHND
248	22152 33652	   	187.24	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1FEWX|26DMG|3LIT|4ASPD|5LWND|7AART|8ZMB|9VULN|aRCR
249	11252 21641	   	187.20	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1RPLT|24VULN|3RCR|5DUR|6ASPD|79DMG|8AART|aERES
250	11252 21642	   	187.20	ACR|2VULN|2DMG|1AART|1ASPD|1DUR|1SELL	1RPLT|24VULN|3RCR|5DUR|6ASPD|79DMG|8AART|aSELL
251	42631 31363	   	187.20	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1ERES|2DUR|3RCR|4MLV|5AART|68VULN|79DMG|aASPD
252	52211 34241	   	187.20	DCR|2DMG|1VULN|1AART|1CDMG|1AAC|1DUR	1AAC|2AART|39DMG|4VULN|5CDMG|6DUR|7RCR|8LHND|aERES
253	52211 34242	   	187.20	DCR|2DMG|1AART|1VULN|1CDMG|1AAC|1DUR|1SELL	1AAC|2AART|39DMG|4VULN|5CDMG|6DUR|7RCR|8LHND|aSELL
254	52211 34412	   	187.20	DCR|2DMG|1AART|1VULN|1CDMG|1AAC|1DUR	1AAC|2AART|38DMG|4VULN|5CDMG|6DUR|7RCR|9TLV|aDMSP
255	52211 34413	   	187.20	DCR|2DMG|1VULN|1AART|1CDMG|1AAC|1DUR	1AAC|2AART|38DMG|4VULN|5CDMG|6DUR|7RCR|9TLV|aMLV
256	52211 34421	   	187.20	DCR|2DMG|1VULN|1AART|1CDMG|1AAC|1DUR	1AAC|2AART|38DMG|4VULN|5CDMG|6DUR|7RCR|9LHND|aERES
257	52211 34422	   	187.20	DCR|2DMG|1AART|1VULN|1CDMG|1AAC|1DUR|1SELL	1AAC|2AART|38DMG|4VULN|5CDMG|6DUR|7RCR|9LHND|aSELL
258	11252 12633	 * 	187.15	ACR|3VULN|2ASPD|1AART|2DUR	1RPLT|24aVULN|3RCR|5aDUR|6FEWX|7LHND|8AART|9aASPD|aBPWR
259	11252 32633	   	187.15	ACR|3VULN|2ASPD|1AART|2DUR	1RPLT|24aVULN|3RCR|5aDUR|6BEXP|7LHND|8AART|9aASPD|aBPWR
260	52211 24411	   	187.10	DCR|2DMG|1VULN|1AART|1CDMG|1AAC|1DUR	1AAC|2AART|38DMG|4VULN|5CDMG|6DUST|7RCR|9TLV|aDUR
