0	Index      	 *	Score 	Summary	Detail	
1	11167 44216	 * 	268.44	ACR|3DMG|2VULN|1BASARM|2ASPD	18ASPD|2RCR|3MBVNT|4TLV|589DMG|68VULN|7RPLT|8BPWR|aBASARM
154	11331 65263	   	240.94	ACR|1BASARM|2ASPD|2DMG|1CDMG	18ASPD|2RCR|3ERES|49AAC|5BASARM|6aDMG|7CDMG
155	11141 21788	   	240.53	ACR|3ASPD|2DMG|1VULN|1BASICY|1AART	189ASPD|2RCR|3MBVNT|4BASICY|5AART|68AME|78DMG|8BPWR|aVULN
156	11171 41683	   	240.43	ACR|2VULN|2ASPD|2DMG|1BASICY|1AART	1aASPD|2RCR|3MBVNT|4AART|5aVULN|6BASICY|78LHND|9aDMG|aBPWR
157	11171 43183	   	240.43	ACR|2VULN|2ASPD|2DMG|1BASICY|1AART	1aASPD|2RCR|3MBVNT|4AART|5aVULN|6BASICY|7DUR|8DMSP|9aDMG|aBPWR
158	11171 43383	   	240.43	ACR|2VULN|2ASPD|2DMG|1BASICY|1AART	1aASPD|2RCR|3MBVNT|4AART|5aVULN|6BASICY|78DUR|9aDMG|aBPWR
159	11563 36112	 * 	240.36	ACR|2VULN|3BEXP|2ASPD|1DMG|1AART	19ASPD|2RCR|3FEWX|4AART|569BEXP|79VULN|8BELT|9BPWR|aDMG
160	11141 56724	   	240.34	ACR|3ASPD|2VULN|2BASICY|2AART	168ASPD|2RCR|3MBVNT|48BASICY|59AART|78VULN|8BPWR|aZMB
161	11171 44333	   	240.33	ACR|2VULN|2ASPD|2DMG|1BASICY|1AART	19ASPD|2RCR|3MBVNT|4AART|59VULN|6BASICY|7ERES|89DMG|9BPWR|aLWND
162	11171 44338	   	240.33	ACR|2VULN|2ASPD|2DMG|1BASICY|1AART	19ASPD|2RCR|3MBVNT|4AART|59VULN|6BASICY|7ERES|89DMG|9BPWR|aDUR
163	11171 45183	   	240.33	ACR|2VULN|2ASPD|2DMG|1BASICY|1AART	1aASPD|2RCR|3MBVNT|4AART|5aVULN|6BASICY|7DUST|8DMSP|9aDMG|aBPWR
164	11127 21267	   	240.28	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG|1AART	1aASPD|2RCR|3MBVNT|4VULN|5MDPS|6BASARM|7AART|8CDMG|9BEXP
165	11643 36112	   	240.26	ACR|2VULN|3BEXP|2ASPD|1DMG|1AART	19ASPD|2RCR|3AART|4DUST|569BEXP|79VULN|8BELT|9BPWR|aDMG
166	11173 37112	   	240.26	ACR|2VULN|3BEXP|2ASPD|1DMG|1AART	19ASPD|2RCR|3MBVNT|4AART|569BEXP|79VULN|8BELT|9BPWR|aDMG
167	11141 56722	   	240.24	ACR|3ASPD|2VULN|2BASICY|2AART	168ASPD|2RCR|3MBVNT|48BASICY|59AART|78VULN|8BPWR|aDUST
168	11141 56723	   	240.24	ACR|3ASPD|2VULN|2BASICY|2AART	168ASPD|2RCR|3MBVNT|48BASICY|59AART|78VULN|8BPWR|aERES
169	11171 44332	   	240.23	ACR|2VULN|2ASPD|2DMG|1BASICY|1AART	19ASPD|2RCR|3MBVNT|4AART|59VULN|6BASICY|7ERES|89DMG|9BPWR|aTLV
170	11171 44335	   	240.23	ACR|2VULN|2ASPD|2DMG|1BASICY|1AART	19ASPD|2RCR|3MBVNT|4AART|59VULN|6BASICY|7ERES|89DMG|9BPWR|aDUST
171	11171 44337	   	240.23	ACR|2VULN|2ASPD|2DMG|1BASICY|1AART	19ASPD|2RCR|3MBVNT|4AART|59VULN|6BASICY|7ERES|89DMG|9BPWR|aMDPS
172	11171 45283	   	240.23	ACR|2VULN|2ASPD|2DMG|1BASICY|1AART	1aASPD|2RCR|3MBVNT|4AART|5aVULN|6BASICY|78DUST|9aDMG|aBPWR
173	11141 73382	   	240.04	ACR|1BASARM|1ASPD|1DMG|1BASICY|1AART|1CDMG	1ASPD|2RCR|3MBVNT|4BASICY|5AART|6DMG|7CDMG|8LWND|9AAC|aBASARM
174	11147 25336	   	240.04	ACR|1BASARM|1ASPD|1DMG|1BASICY|1CDMG|1AART	1ASPD|2RCR|3MBVNT|4BASICY|5CGEN|6CDMG|7AART|8BASARM|9DMG|aAAC
175	11422 11112	   	240.03	ACR|3VULN|1BASARM|2ASPD|1AART	15ASPD|2RCR|345VULN|5BPWR|6AME|7RPLT|8BASARM|9AART|aRCVC
176	11422 41112	   	240.03	ACR|3VULN|1BASARM|2ASPD|1AART	15ASPD|2RCR|345VULN|5BPWR|6ERES|7RPLT|8BASARM|9AART|aRCVC
177	11422 11111	   	239.70	ACR|3VULN|1BASARM|2ASPD|1AART	15ASPD|2RCR|345VULN|5BPWR|6AME|7RPLT|8BASARM|9AART|aCGEN
178	11422 11113	   	239.70	ACR|3VULN|1BASARM|2ASPD|1AART	15ASPD|2RCR|345VULN|5BPWR|6AME|7RPLT|8BASARM|9AART|aLWND
179	11422 41111	   	239.70	ACR|3VULN|1BASARM|2ASPD|1AART	15ASPD|2RCR|345VULN|5BPWR|6ERES|7RPLT|8BASARM|9AART|aCGEN
180	11422 41113	   	239.70	ACR|3VULN|1BASARM|2ASPD|1AART	15ASPD|2RCR|345VULN|5BPWR|6ERES|7RPLT|8BASARM|9AART|aLWND
181	11422 41115	   	239.70	ACR|3VULN|1BASARM|2ASPD|1AART	15ASPD|2RCR|345VULN|5BPWR|6ERES|7RPLT|8BASARM|9AART|aMLV
182	11442 11531	   	239.62	ACR|3VULN|3ASPD|1DMG|2CDMG	145ASPD|2RCR|345VULN|45BPWR|6LIT|7DMG|89CDMG|aMBVNT
183	11442 11532	   	239.62	ACR|3VULN|3ASPD|2CDMG|1DMG	145ASPD|2RCR|345VULN|45BPWR|6LIT|7DMG|89CDMG|aTLV
184	11422 11114	   	239.60	ACR|3VULN|1BASARM|2ASPD|1AART	15ASPD|2RCR|345VULN|5BPWR|6aAME|7RPLT|8BASARM|9AART
185	11422 11115	   	239.60	ACR|3VULN|1BASARM|2ASPD|1AART	15ASPD|2RCR|345VULN|5BPWR|6AME|7RPLT|8BASARM|9AART|aAEMAG
186	11422 41114	   	239.60	ACR|3VULN|1BASARM|2ASPD|1AART	15ASPD|2RCR|345VULN|5BPWR|6ERES|7RPLT|8BASARM|9AART|aAME
187	11442 11141	   	239.28	ACR|4VULN|3ASPD|1DMG|1BEXP	145ASPD|2RCR|3458VULN|45BPWR|6LIT|7DMG|9BEXP|aMLV
188	11442 11143	   	239.28	ACR|4VULN|3ASPD|1DMG|1BEXP	145ASPD|2RCR|3458VULN|45BPWR|6LIT|7DMG|9BEXP|aDMSP
189	11442 62133	   	239.28	ACR|4VULN|3ASPD|1DMG|1BEXP	145ASPD|2RCR|3457VULN|45BPWR|6DMG|8DUR|9LHND|aBEXP
190	11442 62311	   	239.28	ACR|4VULN|3ASPD|1DMG|1BEXP	145ASPD|2RCR|3457VULN|45BPWR|6DMG|8BEXP|9LIT|aMLV
191	11442 62313	   	239.28	ACR|4VULN|3ASPD|1DMG|1BEXP	145ASPD|2RCR|3457VULN|45BPWR|6DMG|8BEXP|9LIT|aDMSP
192	11442 62331	   	239.28	ACR|4VULN|3ASPD|1DMG|1BEXP	145ASPD|2RCR|3457VULN|45BPWR|6DMG|8BEXP|9LHND|aLWND
193	11442 62332	   	239.28	ACR|4VULN|3ASPD|1DMG|1BEXP	145ASPD|2RCR|3457VULN|45BPWR|6DMG|8BEXP|9LHND|aCGEN
194	11442 11116	   	239.18	ACR|4VULN|3ASPD|1DMG|1BEXP	145ASPD|2RCR|3458VULN|45BPWR|6LIT|7DMG|9TLV|aBEXP
195	11442 11142	   	239.18	ACR|4VULN|3ASPD|1DMG|1BEXP	145ASPD|2RCR|3458VULN|45BPWR|6LIT|7DMG|9BEXP|aAME
196	11442 62233	   	239.18	ACR|4VULN|3ASPD|1DMG|1BEXP	145ASPD|2RCR|3457VULN|45BPWR|6DMG|8DUST|9LHND|aBEXP
197	11442 62312	   	239.18	ACR|4VULN|3ASPD|1DMG|1BEXP	145ASPD|2RCR|3457VULN|45BPWR|6DMG|8BEXP|9LIT|aAME
198	11442 11431	   	239.18	ACR|4VULN|3ASPD|1DMG|1BEXP	145ASPD|2RCR|345aVULN|45BPWR|6LIT|7DMG|8BEXP|9DLOT
199	11432 62351	   	239.18	ACR|4VULN|3ASPD|1DMG|1BEXP	145ASPD|2RCR|3579VULN|5BPWR|6DMG|8BEXP|aLIT
200	11432 62352	   	239.18	ACR|4VULN|3ASPD|1DMG|1BEXP	145ASPD|2RCR|3579VULN|5BPWR|6DMG|8BEXP|aRMIN
201	11432 62353	   	239.08	ACR|4VULN|3ASPD|1DMG|1BEXP	145ASPD|2RCR|3579VULN|5BPWR|6DMG|8BEXP|aERES
202	11361 52141	   	238.87	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	17ASPD|2RCR|3ERES|4DMG|5BASARM|6BEXP|8VULN|9AAC|aZMB
203	11361 52143	   	238.77	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	17ASPD|2RCR|3ERES|4DMG|5BASARM|6BEXP|8VULN|9AAC|aAEMAG
204	11127 22841	   	238.76	ACR|3VULN|1BASARM|1ASPD|1DMG|1CDMG	1ASPD|2RCR|3MBVNT|47aVULN|5MDPS|6BASARM|8DMG|9CDMG
205	11442 12211	   	238.75	ACR|3VULN|3ASPD|2BEXP|1AART	145ASPD|2RCR|345VULN|45BPWR|6LIT|7FEWX|89BEXP|aAART
206	11442 12533	   	238.75	ACR|3VULN|3ASPD|2BEXP|1AART	145ASPD|2RCR|345VULN|45BPWR|6LIT|7FEWX|8AART|9aBEXP
207	11331 55231	   	238.72	ACR|2BASARM|2ASPD|2BEXP|1VULN	18ASPD|2RCR|3ERES|4AAC|58BASARM|68BEXP|7RPLT|8BPWR|9CGEN|aVULN
208	11331 55233	   	238.72	ACR|2BASARM|2ASPD|2BEXP|1CDMG	18ASPD|2RCR|3ERES|4AAC|58BASARM|68BEXP|7RPLT|8BPWR|9CGEN|aCDMG
209	11331 55261	   	238.72	ACR|2BASARM|2ASPD|2BEXP|1VULN	18ASPD|2RCR|3ERES|4AAC|58BASARM|68BEXP|7RPLT|8BPWR|9MLV|aVULN
210	11331 55263	   	238.72	ACR|2BASARM|2ASPD|2BEXP|1CDMG	18ASPD|2RCR|3ERES|4AAC|58BASARM|68BEXP|7RPLT|8BPWR|9MLV|aCDMG
211	11442 22622	   	238.69	ACR|3VULN|3ASPD|1BASARM	145ASPD|2RCR|345VULN|45BPWR|6LWND|7RMIN|8DUR|9LIT|aBASARM
212	11442 32622	   	238.69	ACR|3VULN|3ASPD|1BASARM	145ASPD|2RCR|345VULN|45BPWR|6LHND|7RMIN|8DUR|9LIT|aBASARM
213	11141 46732	   	238.65	ACR|3VULN|3ASPD|2BASICY|1AART	189ASPD|2RCR|3MBVNT|49BASICY|5AART|68AEFBLL|789VULN|89BPWR|aRMIN
214	11141 46734	   	238.65	ACR|3VULN|3ASPD|2BASICY|1AART	189ASPD|2RCR|3MBVNT|49BASICY|5AART|68AEFBLL|789VULN|89BPWR|aRPLT
215	11141 46738	   	238.65	ACR|3VULN|3ASPD|2BASICY|1AART	189ASPD|2RCR|3MBVNT|49BASICY|5AART|68AEFBLL|789VULN|89BPWR|aFEWX
216	11141 56731	   	238.65	ACR|3VULN|3ASPD|2BASICY|1AART	168ASPD|2RCR|3MBVNT|48BASICY|5AART|78aVULN|8BPWR|9FEWX
217	11432 13463	   	238.65	ACR|3VULN|3ASPD|2BEXP|1AART	145ASPD|2RCR|359VULN|59BPWR|6LIT|79TLV|89BEXP|aAART
218	11361 52142	   	238.63	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP|1SELL	17ASPD|2RCR|3ERES|4DMG|5BASARM|6BEXP|8VULN|9AAC|aSELL
219	11331 23233	   	238.62	ACR|2BASARM|2ASPD|2BEXP|1AART	1aASPD|2RCR|3ERES|4AAC|5aBASARM|6TLV|7FEWX|8AART|9aBEXP|aBPWR
220	11331 55221	   	238.62	ACR|2BASARM|2ASPD|2BEXP|1VULN	18ASPD|2RCR|3ERES|4AAC|58BASARM|68BEXP|7RPLT|8BPWR|9AME|aVULN
221	11331 55223	   	238.62	ACR|2BASARM|2ASPD|2BEXP|1CDMG	18ASPD|2RCR|3ERES|4AAC|58BASARM|68BEXP|7RPLT|8BPWR|9AME|aCDMG
222	11442 14212	   	238.59	ACR|3VULN|3ASPD|1BASARM	145ASPD|2RCR|345VULN|45BPWR|6LIT|7RMIN|8DUR|9DUST|aBASARM
223	11442 21622	   	238.59	ACR|3VULN|3ASPD|1BASARM	145ASPD|2RCR|345VULN|45BPWR|6LWND|7AAC|8DUR|9LIT|aBASARM
224	11442 31622	   	238.59	ACR|3VULN|3ASPD|1BASARM	145ASPD|2RCR|345VULN|45BPWR|6LHND|7AAC|8DUR|9LIT|aBASARM
225	11141 46733	   	238.55	ACR|3VULN|3ASPD|2BASICY|1AART	189ASPD|2RCR|3MBVNT|49BASICY|5AART|68AEFBLL|789VULN|89BPWR|aERES
226	11141 46735	   	238.55	ACR|3VULN|3ASPD|2BASICY|1AART	189ASPD|2RCR|3MBVNT|49BASICY|5AART|68AEFBLL|789VULN|89BPWR|aDUST
227	11141 46737	   	238.55	ACR|3VULN|3ASPD|2BASICY|1AART	189ASPD|2RCR|3MBVNT|49BASICY|5AART|68AEFBLL|789VULN|89BPWR|aMDPS
228	11141 56741	   	238.55	ACR|3VULN|3ASPD|2BASICY|1AART	168ASPD|2RCR|3MBVNT|48BASICY|5AART|78aVULN|8BPWR|9LEGI
229	11442 15312	   	238.53	ACR|3VULN|3ASPD|1DMG|1CDMG	145ASPD|2RCR|345VULN|45BPWR|6LIT|7CDMG|8DUST|9AAC|aDMG
230	11422 11131	   	238.49	ACR|3VULN|3ASPD|1BASARM	15aASPD|2RCR|345VULN|5BPWR|6AME|7RPLT|8BASARM|9MLV
231	11422 11141	   	238.49	ACR|3VULN|3ASPD|1BASARM	15aASPD|2RCR|345VULN|5BPWR|6AME|7RPLT|8BASARM|9ZMB
232	11422 41131	   	238.49	ACR|3VULN|3ASPD|1BASARM	15aASPD|2RCR|345VULN|5BPWR|6ERES|7RPLT|8BASARM|9MLV
233	11422 41141	   	238.49	ACR|3VULN|3ASPD|1BASARM	15aASPD|2RCR|345VULN|5BPWR|6ERES|7RPLT|8BASARM|9ZMB
