0	Index      	 *	Score 	Summary	Detail	
1	41335 32226	 * 	222.30	ACR|3DMG|1BASARM|3BEXP	129BEXP|367DMG|4RMIN|5RCR|8ERES|aBASARM
157	14422 22413	   	192.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8CDMG|9AEFBLL|aTLV
158	64422 22332	   	192.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1LHND|2DLOT|3RCR|4LEGI|5BASARM|6ASPD|7DMG|8BELT|9CDMG|aMBVNT
159	64422 22333	   	192.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1LHND|2DLOT|3RCR|4LEGI|5BASARM|6ASPD|7DMG|8BELT|9CDMG|aDUST
160	64422 23131	   	192.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LHND|2DLOT|3RCR|4LEGI|5BASARM|6ASPD|7BELT|8BEXP|9AEMAG|aDMG
161	33525 12233	   	192.82	ACR|2DMG|2VULN|2BEXP|1CDMG	1ERES|2RCVC|36BEXP|47DMG|5RCR|8CDMG|9aVULN
162	14422 22311	   	192.78	ACR|1BASARM|1ASPD|1DMG|1VULN|1SELL	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8BELT|9VULN|aSELL
163	14422 22331	   	192.78	ACR|1BASARM|1ASPD|1DMG|1CDMG|1SELL	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8BELT|9CDMG|aSELL
164	14422 22341	   	192.78	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8BELT|9BEXP|aSELL
165	64422 22311	   	192.68	ACR|1BASARM|1ASPD|1DMG|1VULN|1SELL	1LHND|2DLOT|3RCR|4LEGI|5BASARM|6ASPD|7DMG|8BELT|9VULN|aSELL
166	64422 22331	   	192.68	ACR|1BASARM|1ASPD|1DMG|1CDMG|1SELL	1LHND|2DLOT|3RCR|4LEGI|5BASARM|6ASPD|7DMG|8BELT|9CDMG|aSELL
167	55213 21523	   	192.66	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1CDMG|2MDPS|3ERES|4DMG|5RCR|6LEGI|7VULN|8BASARM|9AART|aLWND
168	33525 12362	   	192.55	ACR|3DMG|3BEXP|1VULN	18ERES|2RCVC|368BEXP|478DMG|5RCR|8BPWR|9MDPS|aVULN
169	14422 32343	   	192.55	ACR|1BASARM|2VULN|1BEXP|1AART	1DUR|2DLOT|3RCR|4LHND|5BASARM|69VULN|7BEXP|8AART|aAME
170	14422 31113	   	192.55	ACR|1BASARM|2VULN|1AART|1BEXP	1DUR|2DLOT|3RCR|4LHND|5BASARM|6aVULN|7MSLREG|8BEXP|9AART
171	14422 32323	   	192.55	ACR|1BASARM|2VULN|1AART|1BEXP	1DUR|2DLOT|3RCR|4LHND|5BASARM|6aVULN|7BEXP|8AART|9MDPS
