0	Index      	 *	Score 	Summary	Detail	
1	44212 21231	 * 	221.02	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1VULN|2MDPS|3RCR|4BELT|5DMG|6LWND|7CDMG|8BASARM|9AART|aBEXP
152	44251 34433	   	192.46	ACR|2VULN|2DMG|1ASPD|1BEXP	14VULN|2MDPS|3RCR|4BPWR|5ASPD|6MBVNT|79DMG|8BEXP|aRPLT
153	44251 34434	   	192.46	ACR|2VULN|2DMG|1ASPD|1BEXP	14VULN|2MDPS|3RCR|4BPWR|5ASPD|6MBVNT|79DMG|8BEXP|aLWND
154	44251 34441	   	192.46	ACR|2VULN|2DMG|1ASPD|1BEXP	14VULN|2MDPS|3RCR|4BPWR|5ASPD|6MBVNT|7aDMG|8BEXP|9DMSP
155	56233 32251	 * 	192.42	ACR|1VULN|2BEXP|1BASICY|1AART|1CDMG	16AME|2RCR|3VULN|4MLV|56BEXP|6BPWR|7FEWX|8AART|9CDMG|aBASICY
156	36133 23412	   	192.35	ACR|3BEXP|1VULN|1ASPD|1DMG	1TLV|2RCR|3AME|4ASPD|59aBEXP|6RMIN|7VULN|8DMG
157	36133 42471	 * 	192.20	ACR|2VULN|2BEXP|1ASPD|1AART	1TLV|2RCR|3AME|4ASPD|58BEXP|6MBVNT|7AART|9aVULN
158	23435 11613	 * 	192.14	ACR|1BASARM|1VULN|1DMG|2CDMG	1DUR|2CGEN|3aCDMG|4RCR|5VULN|69FEWX|7DMG|8BASARM
159	33634 12315	 * 	192.04	ACR|1BASARM|1VULN|1ASPD|2CDMG	17TLV|27CDMG|3VULN|4RCR|5ASPD|67LHND|7BPWR|8AME|9MLV|aBASARM
160	33634 12343	   	192.04	ACR|1BASARM|1VULN|2CDMG|1ASPD	17TLV|27CDMG|3VULN|4RCR|5ASPD|67LHND|7BPWR|8AME|9BASARM|aDUR
161	53633 61122	   	192.04	ACR|1BASARM|1VULN|1ASPD|2CDMG	1AME|25CDMG|3VULN|4RCR|6BASARM|7FEWX|8LIT|9MLV|aASPD
162	53633 61213	   	192.04	ACR|1BASARM|1VULN|1DMG|2CDMG	1AME|25CDMG|3VULN|4RCR|6BASARM|7FEWX|8CGEN|9DMG|aDUR
163	53633 62213	   	192.04	ACR|1BASARM|1VULN|1DMG|2CDMG	1AME|25CDMG|3VULN|4RCR|6BASARM|7LWND|8CGEN|9DMG|aDUR
164	53633 63213	   	192.04	ACR|1BASARM|1VULN|1DMG|2CDMG	1AME|25CDMG|3VULN|4RCR|6BASARM|7LHND|8CGEN|9DMG|aDUR
165	23435 11633	   	192.04	ACR|1BASARM|1VULN|1DMG|2CDMG	1DUR|2CGEN|3aCDMG|4RCR|5VULN|6FEWX|7DMG|8BASARM|9AEMAG
166	33633 23215	   	191.94	ACR|1BASARM|1VULN|1ASPD|2CDMG	1TLV|25CDMG|3VULN|4RCR|6AME|7ASPD|8LWND|9MLV|aBASARM
167	33633 23243	   	191.94	ACR|1BASARM|1VULN|2CDMG|1ASPD	1TLV|25CDMG|3VULN|4RCR|6AME|7ASPD|8LWND|9BASARM|aDUR
168	33633 23246	   	191.94	ACR|1BASARM|1VULN|1ASPD|2CDMG	1TLV|25CDMG|3VULN|4RCR|6AME|7ASPD|8LWND|9BASARM|aFEWX
169	33634 12342	   	191.94	ACR|1BASARM|1VULN|2CDMG|1ASPD	17TLV|27CDMG|3VULN|4RCR|5ASPD|67LHND|7BPWR|8aAME|9BASARM
170	33634 32342	   	191.94	ACR|1BASARM|1VULN|1ASPD|2CDMG	17TLV|27CDMG|3VULN|4RCR|5ASPD|67DUR|7BPWR|8ERES|9BASARM|aAME
171	33634 32343	   	191.94	ACR|1BASARM|1VULN|1ASPD|2CDMG	17TLV|27CDMG|3VULN|4RCR|5ASPD|67DUR|7BPWR|8ERES|9BASARM|aAEFBLL
172	41433 23215	   	191.94	ACR|1BASARM|1VULN|1ASPD|2CDMG	1VULN|2TLV|35CDMG|4RCR|6AME|7ASPD|8LWND|9MLV|aBASARM
173	41433 23243	   	191.94	ACR|1BASARM|1VULN|2CDMG|1ASPD	1VULN|2TLV|35CDMG|4RCR|6AME|7ASPD|8LWND|9BASARM|aDUR
174	53633 61112	   	191.94	ACR|1BASARM|1VULN|1ASPD|2CDMG	1AME|25CDMG|3VULN|4RCR|6BASARM|7FEWX|8LIT|9ERES|aASPD
175	53633 61212	   	191.94	ACR|1BASARM|1VULN|1DMG|2CDMG	1aAME|25CDMG|3VULN|4RCR|6BASARM|7FEWX|8CGEN|9DMG
176	53633 62212	   	191.94	ACR|1BASARM|1VULN|2CDMG|1DMG	1aAME|25CDMG|3VULN|4RCR|6BASARM|7LWND|8CGEN|9DMG
177	53633 63212	   	191.94	ACR|1BASARM|1VULN|2CDMG|1DMG	1aAME|25CDMG|3VULN|4RCR|6BASARM|7LHND|8CGEN|9DMG
178	33633 23242	   	191.84	ACR|1BASARM|1VULN|2CDMG|1ASPD	1TLV|25CDMG|3VULN|4RCR|6aAME|7ASPD|8LWND|9BASARM
179	33633 23245	   	191.84	ACR|1BASARM|1VULN|2CDMG|1ASPD	1TLV|25CDMG|3VULN|4RCR|6AME|7ASPD|8LWND|9BASARM|aDUST
180	33633 23343	   	191.84	ACR|1BASARM|1VULN|1ASPD|2CDMG	1TLV|25CDMG|3VULN|4RCR|6AME|7ASPD|8LEGI|9BASARM|aDUR
181	33633 23346	   	191.84	ACR|1BASARM|1VULN|1ASPD|2CDMG	1TLV|25CDMG|3VULN|4RCR|6AME|7ASPD|8LEGI|9BASARM|aFEWX
182	41433 23242	   	191.84	ACR|1BASARM|1VULN|2CDMG|1ASPD	1VULN|2TLV|35CDMG|4RCR|6aAME|7ASPD|8LWND|9BASARM
183	41433 23343	   	191.84	ACR|1BASARM|1VULN|1ASPD|2CDMG	1VULN|2TLV|35CDMG|4RCR|6AME|7ASPD|8LEGI|9BASARM|aDUR
184	33631 31651	   	191.83	ACR|2VULN|1ASPD|1DMG|1CDMG|1BEXP|1AAC	1TLV|2CDMG|38VULN|4RCR|5DLOT|6ASPD|7AAC|9BEXP|aDMG
185	36563 32221	   	191.82	ACR|2ASPD|1VULN|1AART|1BEXP|1AAC	1TLV|2RCR|3BEXP|49ASPD|5AAC|6LHND|7AART|8FEWX|aVULN
186	44212 61111	   	191.82	ACR|2VULN|2BEXP|1DMG|2CDMG	19VULN|2MDPS|3RCR|4BELT|5DMG|69BEXP|79CDMG|8RCVC|9BPWR|aLHND
187	44212 61112	   	191.82	ACR|2VULN|2BEXP|1DMG|2CDMG	19VULN|2MDPS|3RCR|4BELT|5DMG|69BEXP|79CDMG|8RCVC|9BPWR|aMLV
188	44212 61113	   	191.82	ACR|2VULN|2BEXP|1DMG|2CDMG	19VULN|2MDPS|3RCR|4aBELT|5DMG|69BEXP|79CDMG|8RCVC|9BPWR
189	33633 23342	   	191.74	ACR|1BASARM|1VULN|1ASPD|2CDMG	1TLV|25CDMG|3VULN|4RCR|6aAME|7ASPD|8LEGI|9BASARM
190	33633 23345	   	191.74	ACR|1BASARM|1VULN|2CDMG|1ASPD	1TLV|25CDMG|3VULN|4RCR|6AME|7ASPD|8LEGI|9BASARM|aDUST
191	41433 23342	   	191.74	ACR|1BASARM|1VULN|1ASPD|2CDMG	1VULN|2TLV|35CDMG|4RCR|6aAME|7ASPD|8LEGI|9BASARM
192	23434 33232	   	191.64	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1DUR|2CGEN|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG|aDUST
193	23434 33234	   	191.64	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1DUR|2CGEN|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG|aTLV
194	23434 33235	   	191.64	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1DUR|2CGEN|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG|aAEFBLL
195	23434 33236	   	191.64	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1DUR|2CGEN|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG|aAME
196	21434 33232	   	191.54	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1DUR|2TLV|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG|aDUST
197	21434 33234	   	191.54	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1DUR|2aTLV|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG
198	21434 33235	   	191.54	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1DUR|2TLV|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG|aERES
199	21434 33236	   	191.54	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1DUR|2TLV|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG|aFLTARM
200	31434 33232	   	191.54	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1TLV|2DUR|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG|aDUST
201	31434 33234	   	191.54	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1aTLV|2DUR|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG
202	31434 33235	   	191.54	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1TLV|2DUR|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG|aERES
203	31434 33236	   	191.54	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1TLV|2DUR|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG|aFLTARM
204	51434 33232	   	191.54	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1AME|2DUR|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG|aDUST
205	56233 32231	 * 	191.40	ACR|2VULN|2BEXP|1DMG|1AART	16AME|2RCR|3aVULN|4MLV|56BEXP|6BPWR|7FEWX|8AART|9DMG
206	33633 13266	   	191.28	ACR|2ASPD|1VULN|3CDMG|1BEXP|1AAC	18TLV|258CDMG|3VULN|4RCR|6ZMB|78ASPD|8BPWR|9BEXP|aAAC
207	36133 16633	   	191.10	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1AAC	16TLV|2RCR|3AME|4ASPD|5BEXP|7VULN|8AAC|9DMG|aAART
