0	Index      	 *	Score 	Summary	Detail	
1	16212 63631	 * 	231.84	4VULN|1SPLARM|1MDPS|1ASPD|1CDMG|1AAC|1ZMB	1248VULN|3ASPD|5ZMB|6SPLARM|7CDMG|9AAC|aMDPS
170	16213 56321	   	205.99	DCR|3VULN|1AART|1ASPD|1DMG	124VULN|3ASPD|5RCVC|6FEWX|7RCR|8DMG|9LIT|aAART
171	16263 23231	 * 	205.92	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	12VULN|3ASPD|4DMG|5CDMG|6ERES|7RCR|8CANARM|9RMIN|aAART
172	16213 36321	   	205.89	DCR|3VULN|1AART|1ASPD|1DMG	124VULN|3ASPD|5RCVC|6DUST|7RCR|8DMG|9LIT|aAART
173	16213 36351	   	205.89	DCR|3VULN|1AART|1ASPD|1DMG	124VULN|3ASPD|5RCVC|6DUST|7RCR|8DMG|9AART|aDMSP
174	16213 26352	   	205.89	DCR|3VULN|1AART|1ASPD|1DMG	124VULN|3ASPD|5RCVC|6BEXP|7RCR|8DMG|9AART|aMBVNT
175	13442 15332	   	205.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	189VULN|2ASPD|3AART|4AELBLL|5DUR|6CGEN|7DMG|aRCR
176	16213 36352	   	205.79	DCR|3VULN|1AART|1ASPD|1DMG	124VULN|3ASPD|5RCVC|6DUST|7RCR|8DMG|9AART|aMBVNT
177	13432 12232	   	205.79	DCR|4VULN|1AART|1ASPD|1DUR	1479VULN|2ASPD|3AART|5DUR|6CGEN|8RMIN|aRCR
178	13432 52232	   	205.79	DCR|4VULN|1AART|1ASPD|1DUR	1479VULN|2ASPD|3AART|5DUR|6MLV|8RMIN|aRCR
179	11226 61361	   	205.72	ACR|3VULN|2DMG|2ASPD|1CDMG	159VULN|2RCR|39DMG|4BEXP|6CDMG|79ASPD|8RPLT|9BPWR|aBELT
180	11226 61362	   	205.72	ACR|3VULN|2DMG|2ASPD|1CDMG	159VULN|2RCR|39DMG|4BEXP|6CDMG|79ASPD|8RPLT|9BPWR|aLHND
181	13432 25322	   	205.64	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	148VULN|2ASPD|3AART|5DUR|69ERES|7DMG|aRCR
182	16211 16321	   	205.57	DCR|3VULN|1AART|1ASPD|1DMG	124VULN|3ASPD|5BEXP|6RCVC|7RCR|8DMG|9LIT|aAART
183	16211 16351	   	205.57	DCR|3VULN|1AART|1ASPD|1DMG	124VULN|3ASPD|5BEXP|6RCVC|7RCR|8DMG|9AART|aDMSP
184	13432 31232	   	205.52	DCR|3VULN|1AART|1ASPD|2DUR|1ZMB	149VULN|2ASPD|3AART|56DUR|7ZMB|8RMIN|aRCR
185	13442 25332	   	205.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	18VULN|2ASPD|3AART|4AELBLL|5DUR|6ERES|79DMG|aRCR
186	16211 16352	   	205.47	DCR|3VULN|1AART|1ASPD|1DMG	124VULN|3ASPD|5BEXP|6RCVC|7RCR|8DMG|9AART|aMBVNT
187	16126 12153	   	205.43	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	127VULN|3RPLT|4MLV|5DMG|6RCR|8AAC|9ASPD|aAART
188	11132 41373	 * 	205.30	ACR|3VULN|2ASPD|1AART|1CDMG|2ZMB	139VULN|2RCR|39BPWR|49ZMB|5LHND|6CDMG|79ASPD|8MBVNT|aAART
189	11532 41373	   	205.30	ACR|3VULN|2ASPD|1AART|1CDMG|2ZMB	139VULN|2RCR|49ZMB|5LHND|6CDMG|79ASPD|8MBVNT|9BPWR|aAART
190	16251 33142	   	205.14	DCR|3VULN|2ASPD|2CDMG|2ZMB	128VULN|38ASPD|49CDMG|57ERES|68ZMB|8BPWR|aRCR
191	11161 44213	   	205.12	ACR|3VULN|1AART|1ASPD|1DMG|2DUR|1ZMB	139VULN|2RCR|39BPWR|49BASFIG|5AART|6ZMB|7DMG|89DUR|aASPD
192	13432 64333	   	205.09	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	14VULN|2ASPD|3AART|5DUR|6LWND|7RCR|8ZMB|9RCVC|aDMG
193	56113 13252	 * 	205.06	DCR|3VULN|3CDMG|1DMG|2DUR	13DUR|236VULN|36BPWR|4RCVC|56aCDMG|7LIT|8RCR|9DMG
194	16223 13221	 * 	204.87	DCR|3VULN|2CDMG|1ASPD|1NUKE|1AAC	126VULN|3ASPD|4CGEN|56CDMG|6BPWR|7LIT|8RCR|9NUKE|aAAC
195	16236 22331	   	204.80	DCR|3VULN|3ASPD|1NUKE|1MSE	125VULN|347ASPD|6BEXP|8RCR|9NUKE|aMSE
196	16236 22332	   	204.80	DCR|3VULN|3ASPD|1NUKE|1DUR	125VULN|347ASPD|6BEXP|8RCR|9NUKE|aDUR
197	16236 22333	   	204.80	DCR|3VULN|3ASPD|1NUKE	125VULN|347ASPD|6BEXP|8RCR|9NUKE|aTLV
198	16236 22334	   	204.80	DCR|3VULN|3ASPD|1NUKE	125VULN|347ASPD|6BEXP|8RCR|9NUKE|aLHND
199	16236 22335	   	204.80	DCR|3VULN|3ASPD|1NUKE	125VULN|347ASPD|6BEXP|8RCR|9NUKE|aFEWX
200	16236 52331	   	204.80	DCR|3VULN|3ASPD|1NUKE|1MSE	125VULN|347ASPD|6FEWX|8RCR|9NUKE|aMSE
201	16236 52332	   	204.80	DCR|3VULN|3ASPD|1NUKE|1DUR	125VULN|347ASPD|6FEWX|8RCR|9NUKE|aDUR
202	16236 52333	   	204.80	DCR|3VULN|3ASPD|1NUKE	125VULN|347ASPD|6FEWX|8RCR|9NUKE|aTLV
203	16433 13222	 * 	204.76	DCR|2VULN|2ASPD|3CDMG|1NUKE	12VULN|3RMIN|46ASPD|56aCDMG|6BPWR|7LIT|8RCR|9NUKE
204	16433 13223	   	204.76	DCR|2VULN|2ASPD|2CDMG|1NUKE	12VULN|3RMIN|46ASPD|56CDMG|6BPWR|7LIT|8RCR|9NUKE|aMLV
205	16433 13224	   	204.76	DCR|2VULN|2ASPD|2CDMG|1NUKE	12VULN|3RMIN|46ASPD|56CDMG|6BPWR|7aLIT|8RCR|9NUKE
206	16433 13225	   	204.76	DCR|2VULN|2ASPD|2CDMG|1NUKE	12VULN|3RMIN|46ASPD|56CDMG|6BPWR|7LIT|8RCR|9NUKE|aAME
207	16433 13226	   	204.76	DCR|2VULN|2ASPD|2CDMG|1NUKE	12VULN|3RMIN|46ASPD|56CDMG|6BPWR|7LIT|8RCR|9NUKE|aLWND
208	16433 13233	   	204.76	DCR|2VULN|2ASPD|2CDMG|1NUKE	12VULN|3RMIN|46ASPD|56CDMG|6BPWR|7LIT|8RCR|9DUST|aNUKE
209	16433 13253	   	204.76	DCR|2VULN|2ASPD|2CDMG|1NUKE	12VULN|3RMIN|46ASPD|56CDMG|6BPWR|7LIT|8RCR|9LEGI|aNUKE
210	16236 32331	   	204.70	DCR|3VULN|3ASPD|1NUKE|1MSE	125VULN|347ASPD|6DUST|8RCR|9NUKE|aMSE
211	16236 32332	   	204.70	DCR|3VULN|3ASPD|1NUKE|1DUR	125VULN|347ASPD|6DUST|8RCR|9NUKE|aDUR
212	16236 32333	   	204.70	DCR|3VULN|3ASPD|1NUKE	125VULN|347ASPD|6DUST|8RCR|9NUKE|aTLV
213	16236 32334	   	204.70	DCR|3VULN|3ASPD|1NUKE	125VULN|347ASPD|6DUST|8RCR|9NUKE|aLHND
214	16236 32335	   	204.70	DCR|3VULN|3ASPD|1NUKE	125VULN|347ASPD|6DUST|8RCR|9NUKE|aFEWX
215	13422 34133	   	204.63	DCR|3VULN|2ASPD|1AART	19aVULN|2aASPD|3AART|4RMIN|5ERES|6DUST|7RCR|8aAME|aBPWR
216	13432 64323	   	204.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	14VULN|2ASPD|3AART|5DUR|6LWND|7RCR|8ZMB|9AELBLL|aDMG
217	13433 34361	   	204.34	DCR|2VULN|1AART|1ASPD|1NUKE|1ZMB|1DUR	14VULN|2ASPD|3AART|5BEXP|6DUR|7RCR|8ZMB|9MLV|aNUKE
218	12453 12241	   	204.34	DCR|2VULN|1AART|1DMG|1NUKE|1ZMB|1DUR	19VULN|2MLV|3AART|4LHND|5ZMB|6DUR|7RCR|8DMG|aNUKE
219	21453 12241	   	204.34	DCR|2VULN|1AART|1DMG|1NUKE|1ZMB|1DUR	1CGEN|29VULN|3AART|4LHND|5ZMB|6DUR|7RCR|8DMG|aNUKE
220	23443 12241	   	204.34	DCR|2VULN|1AART|1DMG|1NUKE|1ZMB|1DUR	1CGEN|2LHND|3AART|49VULN|5ZMB|6DUR|7RCR|8DMG|aNUKE
221	13433 34315	   	204.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	14VULN|2ASPD|3AART|5BEXP|6DUR|7RCR|8ZMB|9CANARM|aDMG
222	13412 64233	   	204.24	DCR|2VULN|2AART|2ASPD|1DUR	19VULN|2aASPD|34AART|5DUR|6LWND|7RCR|8CGEN
223	13462 32132	   	204.21	DCR|3VULN|2AART|1ASPD|1DUR	179VULN|2ASPD|38AART|4DUST|5RCVC|6DUR|aRCR
224	12512 11463	   	204.20	DCR|3VULN|2DMG|1AART	17aVULN|2aMLV|37LHND|47ERES|5RMIN|6AART|7aBPWR|8aDMG|9RCR
225	13432 23663	   	204.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	14VULN|2aASPD|3AART|5DUR|6ERES|7CGEN|8DMG|9RCR
226	13452 32332	   	204.08	DCR|4VULN|1AART|1ASPD|1DUR	1789VULN|2ASPD|3AART|4LHND|5RCVC|6DUR|aRCR
227	16254 21312	   	204.02	DCR|3VULN|2ASPD|1DMG|1CDMG	126VULN|35ASPD|4CDMG|7ERES|8DMG|9TLV|aRCR
228	16263 23151	   	203.97	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	12VULN|3ASPD|49DMG|5CDMG|6ERES|7RCR|8BEXP|aDUR
229	16263 23351	   	203.97	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	12VULN|3ASPD|49DMG|5CDMG|6ERES|7RCR|8FEWX|aDUR
230	16252 63222	 * 	203.92	DCR|2VULN|1AART|2CDMG|1ASPD|1NUKE	12VULN|3ASPD|4aCDMG|5DLOT|6AART|7RMIN|8RCR|9NUKE
231	16252 63223	   	203.92	DCR|2VULN|1AART|1ASPD|1NUKE|1CDMG	12VULN|3ASPD|4CDMG|5DLOT|6AART|7RMIN|8RCR|9NUKE|aMLV
232	16252 63233	   	203.92	DCR|2VULN|1AART|1ASPD|1NUKE|1CDMG	12VULN|3ASPD|4CDMG|5DLOT|6AART|7RMIN|8RCR|9DUST|aNUKE
233	13412 25322	   	203.88	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	18VULN|2ASPD|34AART|5DUR|69ERES|7DMG|aRCR
234	13412 31232	   	203.76	DCR|2VULN|2AART|1ASPD|2DUR|1ZMB	19VULN|2ASPD|34AART|56DUR|7ZMB|8RMIN|aRCR
235	16212 25732	   	203.74	DCR|4VULN|1ASPD|1DMG|1ZMB	124aVULN|3ASPD|5ZMB|6ERES|7MBVNT|8RCR|9DMG
236	13326 61361	   	203.72	ACR|3VULN|2DMG|2ASPD|1CDMG	159VULN|29ASPD|3RCR|4BEXP|6CDMG|79DMG|8RPLT|9BPWR|aBELT
237	13326 61362	   	203.72	ACR|3VULN|2DMG|2ASPD|1CDMG	159VULN|29ASPD|3RCR|4BEXP|6CDMG|79DMG|8RPLT|9BPWR|aLHND
238	16215 23342	   	203.56	DCR|4VULN|2CDMG|1ASPD|1DUR	1247VULN|3ASPD|5DUR|6RCVC|89CDMG|aRCR
239	13433 64233	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	149VULN|2ASPD|3AART|5BEXP|6LWND|7RCR|8CGEN|aDMG
240	16212 23342	   	203.45	DCR|4VULN|2CDMG|1ASPD|1ZMB	1247VULN|3ASPD|5ZMB|6ERES|89CDMG|aRCR
241	16263 23134	   	203.33	DCR|3VULN|2CDMG|1ASPD|1DMG	12aVULN|3ASPD|4DMG|59CDMG|6ERES|7RCR|8BEXP
242	16263 23334	   	203.33	DCR|3VULN|2CDMG|1ASPD|1DMG	12aVULN|3ASPD|4DMG|59CDMG|6ERES|7RCR|8FEWX
243	16252 61221	   	203.19	DCR|2VULN|1AART|1ASPD|1NUKE|1CDMG|1AAC	12VULN|3ASPD|4CDMG|5DLOT|6AART|7CGEN|8RCR|9NUKE|aAAC
244	13162 43143	 * 	203.09	DCR|2VULN|2DMG|1MDPS|2ASPD	19VULN|29ASPD|3ERES|48DMG|59LHND|6MBVNT|7RCR|9BPWR|aMDPS
245	13165 43143	   	203.09	DCR|2VULN|1MDPS|2DMG|2ASPD	19VULN|29ASPD|3ERES|48DMG|59LWND|6MBVNT|7RCR|9BPWR|aMDPS
246	13423 32361	   	202.97	DCR|2VULN|1AART|1ASPD|1NUKE|1ZMB	18VULN|2ASPD|3AART|4RMIN|5BEXP|6FEWX|7RCR|9ZMB|aNUKE
247	13422 64333	   	202.87	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	19VULN|2ASPD|3AART|4RMIN|5ERES|6LWND|7RCR|8ZMB|aDMG
248	13426 32361	   	202.87	DCR|2VULN|1AART|1ASPD|1NUKE|1ZMB	18VULN|2ASPD|3AART|4RMIN|5DUST|6FEWX|7RCR|9ZMB|aNUKE
249	16235 26312	   	202.63	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	12VULN|34ASPD|5DUR|6RCVC|7RCR|8DMG|9BASFIG|aCDMG
250	13421 25125	   	202.62	DCR|2VULN|2AART|1ASPD|1DMG	15VULN|2ASPD|38AART|4RMIN|6FEWX|7DMG|9ERES|aRCR
251	13421 35125	   	202.52	DCR|2VULN|2AART|1ASPD|1DMG	15VULN|2ASPD|38AART|4RMIN|6DUST|7DMG|9ERES|aRCR
252	16233 26321	   	202.38	DCR|2VULN|2ASPD|1AART|1DMG	12VULN|34ASPD|5RCVC|6BEXP|7RCR|8DMG|9LIT|aAART
253	16233 26351	   	202.38	DCR|2VULN|2ASPD|1AART|1DMG	12VULN|34ASPD|5RCVC|6BEXP|7RCR|8DMG|9AART|aDMSP
254	16233 56321	   	202.38	DCR|2VULN|2ASPD|1AART|1DMG	12VULN|34ASPD|5RCVC|6FEWX|7RCR|8DMG|9LIT|aAART
255	16233 26352	   	202.28	DCR|2VULN|2ASPD|1AART|1DMG	12VULN|34ASPD|5RCVC|6BEXP|7RCR|8DMG|9AART|aMBVNT
256	16233 36321	   	202.28	DCR|2VULN|2ASPD|1AART|1DMG	12VULN|34ASPD|5RCVC|6DUST|7RCR|8DMG|9LIT|aAART
257	16233 36351	   	202.28	DCR|2VULN|2ASPD|1AART|1DMG	12VULN|34ASPD|5RCVC|6DUST|7RCR|8DMG|9AART|aDMSP
258	16233 36352	   	202.18	DCR|2VULN|2ASPD|1AART|1DMG	12VULN|34ASPD|5RCVC|6DUST|7RCR|8DMG|9AART|aMBVNT
259	16232 25732	   	202.11	DCR|3VULN|2ASPD|1DMG|1ZMB	12aVULN|34ASPD|5ZMB|6ERES|7MBVNT|8RCR|9DMG
260	16231 16321	   	201.95	DCR|2VULN|2ASPD|1AART|1DMG	12VULN|34ASPD|5BEXP|6RCVC|7RCR|8DMG|9LIT|aAART
261	16231 16351	   	201.95	DCR|2VULN|2ASPD|1AART|1DMG	12VULN|34ASPD|5BEXP|6RCVC|7RCR|8DMG|9AART|aDMSP
262	16215 22342	   	201.93	DCR|3VULN|2ASPD|2CDMG|1DUR	124VULN|37ASPD|5DUR|6RCVC|89CDMG|aRCR
263	16235 23342	   	201.93	DCR|3VULN|2ASPD|2CDMG|1DUR	127VULN|34ASPD|5DUR|6RCVC|89CDMG|aRCR
264	16231 16352	   	201.85	DCR|2VULN|2ASPD|1AART|1DMG	12VULN|34ASPD|5BEXP|6RCVC|7RCR|8DMG|9AART|aMBVNT
265	13412 53332	   	201.85	DCR|3VULN|2AART|1ASPD|1DUR	189VULN|2ASPD|34AART|5DUR|6MLV|7CGEN|aRCR
266	13412 62342	   	201.85	DCR|3VULN|2AART|1ASPD|1DUR	178VULN|2ASPD|34AART|5DUR|69LWND|aRCR
267	13412 62362	   	201.85	DCR|3VULN|2AART|1ASPD|1DUR	178VULN|2ASPD|34AART|5DUR|6LWND|9LHND|aRCR
