0	Index      	 *	Score 	Summary	Detail	
1	14332 13216	 * 	266.36	DCR|2MLV|1LIT|2VULN|2ASPD|1CDMG	1FEWX|2BELT|3aASPD|4LIT|5CDMG|6aVULN|7RCR|8DUST|9aMLV|aBPWR
160	32521 23261	   	236.76	DCR|1LIT|2VULN|1MLV|1DMG|1DUR	1LWND|2DMG|3LSRICY|4DUR|56VULN|7MLV|8LIT|9RCR|aLHND
161	42511 23211	   	236.76	DCR|1LIT|2VULN|1MLV|1DMG	1BEXP|2DMG|3LSRICY|4MBVNT|56VULN|7MLV|8LIT|9RCR|aLHND
162	42511 23214	   	236.76	DCR|1LIT|2VULN|1MLV|1DMG	1aBEXP|2DMG|3LSRICY|4MBVNT|56VULN|7MLV|8LIT|9RCR
163	12116 42615	   	236.66	DCR|1LIT|2VULN|1MLV|1DMG	1FEWX|2DMG|3LIT|4ERES|5MBVNT|6TSLARM|78VULN|9RCR|aMLV
164	32116 26215	   	236.66	DCR|1LIT|2VULN|1MLV|1DMG	1LWND|2DMG|3LIT|4ERES|5MBVNT|67VULN|8MULHEA|9RCR|aMLV
165	12511 23212	   	236.66	DCR|1LIT|2VULN|1MLV|1DMG	1FEWX|2DMG|3LSRICY|4MBVNT|56VULN|7MLV|8LIT|9RCR|aDUST
166	12511 23218	   	236.66	DCR|1LIT|2VULN|1MLV|1DMG	1FEWX|2DMG|3LSRICY|4MBVNT|56VULN|7MLV|8LIT|9RCR|aVENICY
167	32511 23212	   	236.66	DCR|1LIT|2VULN|1MLV|1DMG	1LWND|2DMG|3LSRICY|4MBVNT|56VULN|7MLV|8LIT|9RCR|aDUST
168	32511 23216	   	236.66	DCR|1LIT|2VULN|1MLV|1DMG	1LWND|2DMG|3LSRICY|4MBVNT|56VULN|7MLV|8LIT|9RCR|aLEGI
169	32521 23262	   	236.66	DCR|1LIT|2VULN|1MLV|1DMG|1DUR	1LWND|2DMG|3LSRICY|4DUR|56VULN|7MLV|8LIT|9RCR|aDUST
170	32521 23265	   	236.66	DCR|1LIT|2VULN|1MLV|1DMG|1DUR	1LWND|2DMG|3LSRICY|4DUR|56VULN|7MLV|8LIT|9RCR|aLEGI
171	42511 23212	   	236.66	DCR|1LIT|2VULN|1MLV|1DMG	1BEXP|2DMG|3LSRICY|4MBVNT|56VULN|7MLV|8LIT|9RCR|aDUST
172	42511 23218	   	236.66	DCR|1LIT|2VULN|1MLV|1DMG	1BEXP|2DMG|3LSRICY|4MBVNT|56VULN|7MLV|8LIT|9RCR|aVENICY
173	62511 23211	   	236.66	DCR|1LIT|2VULN|1MLV|1DMG	1DUST|2DMG|3LSRICY|4MBVNT|56VULN|7MLV|8LIT|9RCR|aLHND
174	62511 23213	   	236.66	DCR|1LIT|2VULN|1MLV|1DMG	1DUST|2DMG|3LSRICY|4MBVNT|56VULN|7MLV|8LIT|9RCR|aLWND
175	62511 23214	   	236.66	DCR|1LIT|2VULN|1MLV|1DMG	1DUST|2DMG|3LSRICY|4MBVNT|56VULN|7MLV|8LIT|9RCR|aCGEN
176	62511 23212	   	236.56	DCR|1LIT|2VULN|1MLV|1DMG	1aDUST|2DMG|3LSRICY|4MBVNT|56VULN|7MLV|8LIT|9RCR
177	62511 23218	   	236.56	DCR|1LIT|2VULN|1MLV|1DMG	1DUST|2DMG|3LSRICY|4MBVNT|56VULN|7MLV|8LIT|9RCR|aVENICY
178	62112 31311	   	236.54	DCR|1LIT|1VULN|1MLV|1DMG|1CDMG	1DUST|2DMG|3LIT|4ERES|5ZMB|6RCR|7RPLT|8VULN|9CDMG|aMLV
179	62342 31311	   	236.54	DCR|1LIT|1VULN|1MLV|1DMG|1CDMG	1DUST|2DMG|3ERES|4LIT|5ZMB|6RCR|7RPLT|8VULN|9CDMG|aMLV
180	22112 33421	   	236.44	DCR|1LIT|1VULN|1MLV|1DMG|1CDMG	1NUKE|2DUST|3LIT|4ERES|5ZMB|6RCR|7VULN|8DMG|9CDMG|aMLV
181	22342 33421	   	236.44	DCR|1LIT|1VULN|1MLV|1DMG|1CDMG	1NUKE|2DUST|3ERES|4LIT|5ZMB|6RCR|7VULN|8DMG|9CDMG|aMLV
182	52215 16112	   	236.44	ACR|1LIT|2DMG|1VULN|1MLV|1CDMG|1ASPD	1RPLT|2FEWX|3RCR|4aDMG|5LIT|6VULN|7MLV|8ASPD|9CDMG
183	35136 12213	 * 	236.37	DCR|2LIT|1FLTARM|1MLV|1CDMG	1LWND|2DMSP|36LIT|4DUST|5CDMG|7RCR|8MLV|9CRUSTR|aFLTARM
