0	Index      	 *	Score 	Summary	Detail	
1	51233 52116	 * 	282.72	DCR|2LIT|2VULN|3ASPD|1MLV	1aLIT|2DMSP|358ASPD|47VULN|6RCR|9MLV
171	51233 23521	   	254.57	DCR|3LIT|2VULN|2ASPD	19aLIT|2DMSP|35ASPD|49VULN|689ERES|7RCR|9BPWR
172	55233 23325	   	254.57	DCR|3LIT|2VULN|2ASPD|1DUR	189LIT|2RCVC|35ASPD|49VULN|69ERES|7RCR|9BPWR|aDUR
173	55233 23521	   	254.57	DCR|3LIT|2VULN|2ASPD	19aLIT|2RCVC|35ASPD|49VULN|689ERES|7RCR|9BPWR
174	51231 13323	   	254.57	DCR|3LIT|2VULN|2ASPD	168LIT|2DMSP|3aASPD|49VULN|5ERES|7RCR
175	51231 23323	   	254.57	DCR|3LIT|2VULN|2ASPD	168LIT|2DMSP|3aASPD|49VULN|56ERES|6BPWR|7RCR
176	55231 13323	   	254.57	DCR|3LIT|2VULN|2ASPD	168LIT|2RCVC|3aASPD|49VULN|5ERES|7RCR
177	55231 23323	   	254.57	DCR|3LIT|2VULN|2ASPD	168LIT|2RCVC|3aASPD|49VULN|56ERES|6BPWR|7RCR
178	52412 32131	   	254.45	ACR|4VULN|1LIT|1MLV|1CDMG	1LIT|2RCR|3CDMG|4569VULN|7aLWND|8MLV
179	52412 32135	   	254.45	ACR|4VULN|1LIT|1MLV|1CDMG	1LIT|2RCR|3CDMG|4569VULN|7LWND|8MLV|aBEXP
180	51242 43482	   	254.35	DCR|3LIT|2VULN|1ASPD|2ZMB	189LIT|2DMSP|3ASPD|49ZMB|5MBVNT|6RCR|79VULN|9BPWR|aCGEN
181	51242 43483	   	254.35	DCR|3LIT|2VULN|1ASPD|2ZMB	189LIT|2DMSP|3ASPD|49ZMB|5MBVNT|6RCR|79VULN|9BPWR|aRMIN
182	52412 32132	   	254.35	ACR|4VULN|1LIT|1MLV|1CDMG	1LIT|2RCR|3CDMG|4569VULN|7LWND|8MLV|aERES
183	52412 32134	   	254.35	ACR|4VULN|1LIT|1MLV|1CDMG	1LIT|2RCR|3CDMG|4569VULN|7LWND|8MLV|aLEGI
184	52412 35131	   	254.35	ACR|4VULN|1LIT|1MLV|1CDMG	1LIT|2RCR|3CDMG|4569VULN|7LEGI|8MLV|aLWND
185	52412 35132	   	254.35	ACR|4VULN|1LIT|1MLV|1CDMG	1LIT|2RCR|3CDMG|4569VULN|7LEGI|8MLV|aTLV
186	52412 36131	   	254.35	ACR|4VULN|1LIT|1MLV|1CDMG	1LIT|2RCR|3CDMG|4569VULN|7DUST|8MLV|aLWND
187	52412 36132	   	254.35	ACR|4VULN|1LIT|1MLV|1CDMG	1LIT|2RCR|3CDMG|4569VULN|7DUST|8MLV|aTLV
188	11152 41216	   	254.32	DCR|3LIT|1VULN|1MLV|1DMG	12DUST|2BPWR|3LHND|4DMG|56aLIT|7RCR|8VULN|9MLV
189	51242 43481	   	254.25	DCR|3LIT|2VULN|1ASPD|2ZMB	189LIT|2DMSP|3ASPD|49ZMB|5MBVNT|6RCR|79VULN|9BPWR|aERES
190	51242 43484	   	254.25	DCR|3LIT|2VULN|1ASPD|2ZMB|1DUR	189LIT|2DMSP|3ASPD|49ZMB|5MBVNT|6RCR|79VULN|9BPWR|aDUR
191	52412 35133	   	254.25	ACR|4VULN|1LIT|1MLV|1CDMG	1LIT|2RCR|3CDMG|4569VULN|7LEGI|8MLV|aDUST
192	43642 31311	 * 	254.10	DCR|1LIT|2VULN|1FLTARM|1MLV	16ERES|28VULN|3CGEN|4MLV|5LIT|7RCR|9FLTARM|aLWND
193	43642 31312	   	254.10	DCR|1LIT|2VULN|1FLTARM|1MLV	16ERES|28VULN|3aCGEN|4MLV|5LIT|7RCR|9FLTARM
194	43642 31313	   	254.10	DCR|1LIT|2VULN|1FLTARM|1MLV	16ERES|28VULN|3CGEN|4MLV|5LIT|7RCR|9FLTARM|aBELT
195	41252 31243	 * 	254.01	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	16ERES|2MLV|3DMG|4FEWX|5LIT|7RCR|89VULN|aCDMG
196	51233 63224	   	253.82	DCR|2LIT|2VULN|2ASPD|1AART	19LIT|2DMSP|35ASPD|49VULN|689CGEN|7RCR|9BPWR|aAART
197	52415 21113	 * 	253.68	ACR|2LIT|2DMG|1VULN|1MLV|2CDMG	15LIT|2RCR|3aCDMG|4VULN|67DMG|8MLV|9DUST
198	52462 21113	   	253.68	ACR|2LIT|2DMG|1VULN|1MLV|2CDMG	14LIT|2RCR|3aCDMG|5VULN|67DMG|8MLV|9DUST
199	52415 23313	 * 	253.48	ACR|3LIT|1VULN|1MLV|1DMG|2CDMG	157LIT|2RCR|38CDMG|4VULN|6DMG|9TLV|aMLV
200	52462 23313	   	253.48	ACR|3LIT|1VULN|1MLV|1DMG|2CDMG	147LIT|2RCR|38CDMG|5VULN|6DMG|9TLV|aMLV
201	43242 41322	 * 	253.37	DCR|2LIT|3VULN|1NUKE	1ERES|289VULN|3BEXP|4RCVC|56LIT|7RCR|aNUKE
202	43212 41322	   	253.27	DCR|2LIT|3VULN|1NUKE	14ERES|289VULN|3BEXP|56LIT|7RCR|aNUKE
203	52412 26113	   	253.17	ACR|1LIT|2VULN|1MLV|2CDMG|1DMG|1ASPD	1LIT|2RCR|3aCDMG|45VULN|6DMG|7ASPD|8MLV|9CGEN
204	52412 23333	   	253.06	ACR|2LIT|3VULN|1DMG|1CDMG	17LIT|2RCR|3CDMG|459VULN|6DMG|8LWND|aZMB
205	51161 22124	   	252.96	ACR|2LIT|3VULN|2ASPD|1AART	19LIT|2DMSP|3RCR|45ERES|679VULN|89ASPD|9BPWR|aAART
