0	Index      	 *	Score 	Summary	Detail	
1	33353 12345	 * 	274.73	DCR|DCR|2VULN|2ASPD	1MBVNT|29ASPD|3MDPS|489LIT|5RCVC|6aRCR|79VULN|9BPWR
155	33513 33735	 * 	248.33	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7CGEN|8CDMG|9VULN|aDMG
156	34341 32215	 * 	248.27	DCR|DCR|2MLV|1DMG|1RPLT	1MBVNT|2FEWX|36MLV|4DMG|5LWND|7aRCR|8RPLT|9ERES
157	34347 32215	   	248.27	DCR|DCR|2MLV|1DMG|1RPLT	1MBVNT|2FEWX|36MLV|4DMG|5BEXP|7aRCR|8RPLT|9ERES
158	31312 47466	   	248.23	DCR|DCR|2VULN	1MBVNT|2NUKE|37VULN|4AME|5LIT|6LWND|8aRCR|9VENICY
159	31384 24466	   	248.23	DCR|DCR|2VULN	1MBVNT|2NUKE|34VULN|5LHND|6AME|7LIT|8aRCR|9VENICY
160	11514 38154	   	248.17	DCR|DCR|2MLV|1DMG|1AART	1MSLREG|2MBVNT|3ERES|4AART|56MLV|7aRCR|8DMG|9CGEN
161	16164 38114	   	248.17	DCR|DCR|2MLV|1DMG|1AART	1MSLREG|2CGEN|3AART|4MBVNT|56MLV|7aRCR|8DMG|9ERES
162	31312 17466	   	248.13	DCR|DCR|2VULN	1MBVNT|2NUKE|37VULN|4AME|5LIT|6DUST|8aRCR|9VENICY
163	23431 14126	   	248.04	DCR|DCR|2VULN|2ZMB	12ZMB|35VULN|4TBNT|6MDPS|7aRCR|8BELT|9AAC
164	23431 12254	   	247.79	DCR|DCR|2VULN|1SELL|2ZMB	12ZMB|35VULN|4TBNT|6MDPS|7BBNT|8aRCR|9SELL
165	33463 38512	 * 	247.75	ACR|DCR|1VULN|2MLV|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7BELT|8aMLV|9VULN
166	33513 38512	 * 	247.75	ACR|DCR|1VULN|2MLV|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7BELT|8aMLV|9VULN
167	37347 32474	   	247.75	DCR|DCR|1VULN|1ASPD|1CDMG	1MBVNT|2TBNT|3CDMG|4LIT|5BEXP|6aRCR|7BBNT|8VULN|9ASPD
168	31331 56245	   	247.54	DCR|DCR|1VULN|1MLV|1RPLT	1MBVNT|2NUKE|3VULN|4MLV|59LHND|6RPLT|7aRCR|8TLV
169	31331 56445	   	247.44	DCR|DCR|1VULN|1MLV|1RPLT	1MBVNT|2NUKE|3VULN|4MLV|59LHND|6RPLT|7aRCR|8AME
170	31338 46315	   	247.44	DCR|DCR|1VULN|1MLV|1RPLT	1MBVNT|2NUKE|3VULN|4MLV|5RPLT|68BEXP|7aRCR|9ERES
171	34121 62468	   	247.40	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2FEWX|3TBNT|4RPLT|5ZMB|6VULN|7aRCR|8BELT|9MLV
172	34546 33325	 * 	247.22	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG	1MBVNT|2FEWX|3VULN|4CDMG|5aRCR|6AAC|7DUR|8DMG|9ASPD
173	38346 33325	   	247.22	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG	1MBVNT|2CDMG|3VULN|4FEWX|5aRCR|6AAC|7DUR|8DMG|9ASPD
174	33463 37323	 * 	247.13	ACR|DCR|1VULN|2ASPD|1DMG|1RPLT|1ZMB	1MBVNT|2aASPD|3ZMB|4RPLT|56RCR|7VULN|8BBNT|9DMG
175	33513 37323	 * 	247.13	ACR|DCR|1VULN|2ASPD|1DMG|1RPLT|1ZMB	1MBVNT|2aASPD|3RPLT|4ZMB|56RCR|7VULN|8BBNT|9DMG
176	32546 33325	   	247.12	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG	1MBVNT|2DUST|3VULN|4CDMG|5aRCR|6AAC|7DUR|8DMG|9ASPD
177	32514 27461	 * 	247.06	DCR|4VULN|3DUR|1ASPD|1AART	1MBVNT|27DUST|367aVULN|467DUR|5AART|67BPWR|8RCR|9ASPD
178	33622 32215	   	247.00	DCR|DCR|2ASPD|1MLV|1RPLT	1MBVNT|25ASPD|3DUR|4FEWX|6MLV|7aRCR|8RPLT|9ERES
179	33642 32215	   	247.00	DCR|DCR|2ASPD|1MLV|1RPLT	1MBVNT|25ASPD|3DUR|4LWND|6MLV|7aRCR|8RPLT|9ERES
180	34546 13325	   	246.97	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG|1ZMB	1MBVNT|2FEWX|3VULN|4CDMG|5aRCR|6ZMB|7DUR|8DMG|9ASPD
181	38346 13325	   	246.97	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG|1ZMB	1MBVNT|2CDMG|3VULN|4FEWX|5aRCR|6ZMB|7DUR|8DMG|9ASPD
182	33662 32215	   	246.90	DCR|DCR|2ASPD|1MLV|1RPLT	1MBVNT|25ASPD|3DUR|4DUST|6MLV|7aRCR|8RPLT|9ERES
183	32546 13325	   	246.87	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG|1ZMB	1MBVNT|2DUST|3VULN|4CDMG|5aRCR|6ZMB|7DUR|8DMG|9ASPD
184	34584 46411	   	246.82	ACR|DCR|2VULN|1MLV|1AART	1MBVNT|2FEWX|36VULN|49RCR|5TLV|7AART|8MLV|aCGEN
185	34583 46411	   	246.72	ACR|DCR|2VULN|1MLV|1AART	1MBVNT|2FEWX|36VULN|49RCR|5AME|7AART|8MLV|aCGEN
186	51366 44411	   	246.72	ACR|DCR|2VULN|1MLV|1AART	1DUST|2TLV|39RCR|46VULN|5MBVNT|7AART|8MLV|aCGEN
187	32584 44411	   	246.72	ACR|DCR|2VULN|1MLV|1AART	1MBVNT|2DUST|36VULN|49RCR|5TLV|7AART|8MLV|aCGEN
188	32584 44415	   	246.72	ACR|DCR|2VULN|1MLV|1AART	1MBVNT|2DUST|36VULN|49RCR|5TLV|7AART|8MLV|aBBNT
189	32584 44416	   	246.72	ACR|DCR|2VULN|1MLV|1AART	1MBVNT|2DUST|36VULN|49RCR|5TLV|7AART|8MLV|aBEXP
190	32584 44417	   	246.72	ACR|DCR|2VULN|1MLV|1AART	1MBVNT|2DUST|36VULN|49RCR|5TLV|7AART|8MLV|aLWND
191	34584 46413	   	246.72	ACR|DCR|2VULN|1MLV|1AART	1MBVNT|2FEWX|36VULN|49RCR|5TLV|7AART|8MLV|aMDPS
192	38182 23247	   	246.64	DCR|DCR|1DMG|1CDMG|1AART|1RPLT	1MBVNT|2CDMG|3AELOIC|4DMG|5RPLT|6aRCR|7AART|8ERES|9DUR
193	38182 23347	   	246.64	DCR|DCR|1DMG|1CDMG|1AART|1RPLT	1MBVNT|2CDMG|3AELOIC|4DMG|5RPLT|6aRCR|7AART|8AME|9DUR
194	32583 44411	   	246.62	ACR|DCR|2VULN|1MLV|1AART	1MBVNT|2DUST|36VULN|49RCR|5AME|7AART|8MLV|aCGEN
195	32583 44415	   	246.62	ACR|DCR|2VULN|1MLV|1AART	1MBVNT|2DUST|36VULN|49RCR|5AME|7AART|8MLV|aBBNT
196	32583 44416	   	246.62	ACR|DCR|2VULN|1MLV|1AART	1MBVNT|2DUST|36VULN|49RCR|5AME|7AART|8MLV|aBEXP
197	32583 44417	   	246.62	ACR|DCR|2VULN|1MLV|1AART	1MBVNT|2DUST|36VULN|49RCR|5AME|7AART|8MLV|aLWND
198	34583 46413	   	246.62	ACR|DCR|2VULN|1MLV|1AART	1MBVNT|2FEWX|36VULN|49RCR|5AME|7AART|8MLV|aMDPS
199	51366 44413	   	246.62	ACR|DCR|2VULN|1MLV|1AART	1DUST|2TLV|39RCR|46VULN|5MBVNT|7AART|8MLV|aMDPS
200	32584 44413	   	246.62	ACR|DCR|2VULN|1MLV|1AART	1MBVNT|2DUST|36VULN|49RCR|5TLV|7AART|8MLV|aMDPS
201	32583 44413	   	246.52	ACR|DCR|2VULN|1MLV|1AART	1MBVNT|2DUST|36VULN|49RCR|5AME|7AART|8MLV|aMDPS
202	31334 57412	 * 	246.49	DCR|4VULN|2MLV|1AART	1MBVNT|2NUKE|3679VULN|47MLV|5AART|7BPWR|8SPLREG|aRCR
203	37521 23247	   	246.19	DCR|DCR|1VULN|1MLV	1MBVNT|2TBNT|37BELT|4VULN|5ERES|6DUR|8aRCR|9MLV
204	33463 31318	   	245.84	ACR|DCR|1VULN|1MLV|1ASPD|3ZMB|1RPLT	1MBVNT|2ASPD|389ZMB|4RPLT|56RCR|7MLV|aVULN
205	33513 31318	   	245.84	ACR|DCR|1VULN|1MLV|1ASPD|3ZMB|1RPLT	1MBVNT|2ASPD|3RPLT|489ZMB|56RCR|7MLV|aVULN
206	33463 31284	   	245.79	ACR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7MLV|8FEWX|9VULN|aCDMG
207	33463 31732	   	245.79	ACR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7MLV|8CDMG|9VULN|aLWND
208	33463 31733	   	245.79	ACR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7MLV|8CDMG|9VULN|aBBNT
209	33463 31734	   	245.79	ACR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7MLV|8CDMG|9VULN|aTLV
210	33463 31736	   	245.79	ACR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7MLV|8CDMG|9VULN|aRMIN
211	33463 31737	   	245.79	ACR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7MLV|8CDMG|9VULN|aLHND
212	33463 31782	   	245.79	ACR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7MLV|8CDMG|9RCVC|aVULN
213	33513 31284	   	245.79	ACR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7MLV|8FEWX|9VULN|aCDMG
214	33513 31732	   	245.79	ACR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7MLV|8CDMG|9VULN|aLWND
215	33513 31733	   	245.79	ACR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7MLV|8CDMG|9VULN|aBBNT
216	33513 31734	   	245.79	ACR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7MLV|8CDMG|9VULN|aTLV
217	33513 31736	   	245.79	ACR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7MLV|8CDMG|9VULN|aRMIN
218	33513 31737	   	245.79	ACR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7MLV|8CDMG|9VULN|aLHND
219	33513 31782	   	245.79	ACR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7MLV|8CDMG|9RCVC|aVULN
220	33463 31731	   	245.69	ACR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7MLV|8CDMG|9VULN|aBASARM
221	33463 31738	   	245.69	ACR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7MLV|8CDMG|9VULN|aDUST
222	33513 31731	   	245.69	ACR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7MLV|8CDMG|9VULN|aBASARM
223	33513 31738	   	245.69	ACR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7MLV|8CDMG|9VULN|aDUST
224	31335 43365	 * 	245.15	DCR|3VULN|2MLV|1DMG	1MBVNT|2NUKE|356VULN|45MLV|5BPWR|7BEXP|8DMG|9DUR|aRCR
225	13155 21612	 * 	245.14	DCR|2VULN|3ASPD|2DMG|1AART	17MSLREG|29aASPD|3AART|47DMG|5BBNT|67VULN|7BPWR|8RCR
