0	Index      	 *	Score 	Summary	Detail	
1	36362 22362	 * 	203.08	ACR|1BASARM|1ASPD|1DMG|1VULN|1CDMG	17CGEN|2ASPD|3DMG|4RCR|56FEWX|8CDMG|9BASARM|aVULN
158	36361 12125	   	176.88	ACR|3VULN|1ASPD|1DMG|1BEXP|1SELL	1CGEN|2ASPD|3DMG|4RCR|57aVULN|6DLOT|8SELL|9BEXP
159	36361 22511	   	176.47	ACR|1VULN|2BEXP|1ASPD|1DMG|1AAC	1CGEN|2ASPD|3DMG|4RCR|5VULN|6FEWX|7aBEXP|8LWND|9AAC
160	36361 24311	   	176.47	ACR|1VULN|2BEXP|1ASPD|1DMG|1AAC	1CGEN|2ASPD|3DMG|4RCR|5VULN|6FEWX|7LHND|8aBEXP|9AAC
161	36361 34312	   	176.47	ACR|2VULN|1ASPD|1DMG|1CDMG|1AAC	1CGEN|2ASPD|3DMG|4RCR|57VULN|6DMSP|8CDMG|9AAC|aLIT
162	36361 36212	   	176.47	ACR|2VULN|1ASPD|1DMG|1CDMG|1AAC	1CGEN|2ASPD|3DMG|4RCR|58VULN|6DMSP|7CDMG|9AAC|aLIT
163	36361 41213	   	176.47	ACR|1VULN|2BEXP|1ASPD|1DMG|1AAC	1CGEN|2ASPD|3DMG|4RCR|5VULN|69BEXP|7ZMB|8LHND|aAAC
164	32561 34313	   	176.47	ACR|2VULN|1ASPD|1DMG|1CDMG|1AAC	1CGEN|2ZMB|3ASPD|4RCR|57VULN|6DMSP|8CDMG|9AAC|aDMG
165	32561 36213	   	176.47	ACR|2VULN|1ASPD|1DMG|1CDMG|1AAC	1CGEN|2ZMB|3ASPD|4RCR|58VULN|6DMSP|7CDMG|9AAC|aDMG
166	36361 34311	   	176.37	ACR|2VULN|1ASPD|1DMG|1CDMG|1AAC	1CGEN|2ASPD|3DMG|4RCR|57VULN|6DMSP|8CDMG|9AAC|aTLV
167	36361 36211	   	176.37	ACR|2VULN|1ASPD|1DMG|1CDMG|1AAC	1CGEN|2ASPD|3DMG|4RCR|58VULN|6DMSP|7CDMG|9AAC|aTLV
168	32362 63141	   	176.26	ACR|1BASARM|1DMG|1BEXP|1AAC	1CGEN|2ZMB|3DMG|4RCR|5FEWX|6DUR|7BASARM|8ERES|9AAC|aBEXP
169	32364 23141	   	176.26	ACR|1BASARM|1DMG|1BEXP|1AAC	1CGEN|2ZMB|3DMG|4RCR|5LHND|6FEWX|7BASARM|8ERES|9AAC|aBEXP
170	32561 62111	 * 	175.96	ACR|3ASPD|2VULN|1AAC|1SELL	1aCGEN|2ZMB|37aASPD|4RCR|5aVULN|6RPLT|8SELL|9AAC|aBPWR
171	32361 62334	   	175.92	ACR|3ASPD|1VULN|1DMG	18aCGEN|28aZMB|3DMG|4RCR|5VULN|6RPLT|78aASPD|8aBPWR|9RMIN
172	32361 62351	   	175.67	ACR|3ASPD|1VULN|1DMG|1SELL	18aCGEN|28aZMB|3DMG|4RCR|5VULN|6RPLT|78aASPD|8aBPWR|9SELL
173	36361 25311	   	175.62	ACR|3DMG|1VULN|1ASPD	1aCGEN|2ASPD|37aDMG|4RCR|5VULN|6FEWX|8AAC|9aZMB|aBPWR
174	36362 12263	   	175.42	ACR|3ASPD|1VULN|1DMG	1CGEN|28aASPD|3DMG|4RCR|5FEWX|6DLOT|7VULN|9DUR
175	36361 13621	   	175.35	ACR|2ASPD|1VULN|1DMG|1AART	1CGEN|28ASPD|3DMG|4RCR|5VULN|6DLOT|7AAC|9RCVC|aAART
176	32561 13633	   	175.32	ACR|3ASPD|1VULN|1DMG	1CGEN|2ZMB|389ASPD|4RCR|5VULN|6DLOT|7AAC|aDMG
177	36361 13631	   	175.32	ACR|3ASPD|1VULN|1DMG	1CGEN|289ASPD|3DMG|4RCR|5VULN|6DLOT|7AAC|aDUR
178	36361 13632	   	175.32	ACR|3ASPD|1VULN|1DMG	1CGEN|289ASPD|3DMG|4RCR|5VULN|6DLOT|7AAC|aRPLT
179	24562 12133	   	175.32	ACR|3ASPD|1VULN|1DMG	1TLV|2DMG|39aASPD|4RCR|5FEWX|6DLOT|7VULN|8LHND
180	36361 13613	   	175.22	ACR|3ASPD|1VULN|1DMG	1CGEN|28aASPD|3DMG|4RCR|5VULN|6DLOT|7AAC|9DUST
181	36362 31125	   	174.85	ACR|2ASPD|2DMG|1BEXP	18CGEN|29ASPD|3aDMG|4RCR|5FEWX|6BEXP|7ZMB
182	36362 32125	   	174.85	ACR|2ASPD|2DMG|1BEXP	1CGEN|29ASPD|3aDMG|4RCR|57FEWX|6BEXP|8ZMB
183	36362 35121	   	174.85	ACR|2ASPD|2DMG|1BEXP	1CGEN|29ASPD|37DMG|4RCR|5FEWX|6BEXP|8ZMB|aLWND
184	36362 35122	   	174.85	ACR|2ASPD|2DMG|1BEXP	1CGEN|29ASPD|37DMG|4RCR|5FEWX|6BEXP|8ZMB|aDUR
185	36362 35123	   	174.85	ACR|2ASPD|2DMG|1BEXP	1aCGEN|29ASPD|37DMG|4RCR|5FEWX|6BEXP|8ZMB
186	36361 14331	   	174.70	ACR|2ASPD|1VULN|1DMG|1AART	1CGEN|29ASPD|3DMG|4RCR|5VULN|6DLOT|7DMSP|8MLV|aAART
187	36361 15331	   	174.70	ACR|2ASPD|1VULN|1DMG|1AART	18CGEN|29ASPD|3DMG|4RCR|5VULN|6DLOT|7MLV|aAART
188	36362 12243	   	174.70	ACR|2ASPD|1VULN|1DMG|1AART	1CGEN|28ASPD|3DMG|4RCR|5FEWX|6DLOT|7VULN|9DMSP|aAART
189	36361 36333	   	174.69	ACR|2DMG|1VULN|1ASPD|1CDMG	1CGEN|2ASPD|3aDMG|4RCR|5VULN|6DMSP|7CDMG|8RCVC|9ZMB
190	34561 13331	   	174.60	ACR|2ASPD|1VULN|1DMG|1AART	18CGEN|2DMG|39ASPD|4RCR|5VULN|6DLOT|7AAC|aAART
191	36361 13331	   	174.60	ACR|2ASPD|1VULN|1DMG|1AART	18CGEN|29ASPD|3DMG|4RCR|5VULN|6DLOT|7AAC|aAART
192	34562 12223	   	174.60	ACR|2ASPD|1VULN|1DMG|1AART	1CGEN|2DMG|38ASPD|4RCR|5FEWX|6DLOT|7VULN|9AEMAG|aAART
193	36362 12223	   	174.60	ACR|2ASPD|1VULN|1DMG|1AART	1CGEN|28ASPD|3DMG|4RCR|5FEWX|6DLOT|7VULN|9AEMAG|aAART
194	36362 12523	   	174.60	ACR|2DMG|1VULN|1ASPD|1AART	1CGEN|2ASPD|38DMG|4RCR|5FEWX|6DLOT|7VULN|9AEMAG|aAART
195	36362 63122	   	174.60	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8ERES|9DUST|aRCVC
196	36362 63212	   	174.60	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8MBVNT|9ERES|aRCVC
197	36362 63242	   	174.60	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8MBVNT|9AME|aRCVC
198	36362 63312	   	174.60	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8DUST|9ERES|aRCVC
199	36364 23122	   	174.60	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8ERES|9DUST|aRCVC
200	36364 23212	   	174.60	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8MBVNT|9ERES|aRCVC
201	36364 23242	   	174.60	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8MBVNT|9AME|aRCVC
202	36364 23312	   	174.60	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8DUST|9ERES|aRCVC
203	24562 12223	   	174.50	ACR|2ASPD|1VULN|1DMG|1AART	1TLV|2DMG|38ASPD|4RCR|5FEWX|6DLOT|7VULN|9AEMAG|aAART
204	24562 12233	   	174.50	ACR|2ASPD|1VULN|1DMG|1AART	19TLV|2DMG|38ASPD|4RCR|5FEWX|6DLOT|7VULN|aAART
205	32362 63623	   	174.47	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ZMB|3DMG|4RCR|5FEWX|68DUR|7BASARM|9ASPD|aLHND
206	36362 63131	   	174.37	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|59FEWX|6DUR|7BASARM|8ERES|aMLV
207	36362 63133	   	174.37	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|59FEWX|6DUR|7BASARM|8ERES|aLHND
208	36362 63223	   	174.37	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8MBVNT|9LIT|aBELT
209	36362 63232	   	174.37	ACR|1BASARM|1ASPD|1DMG	19CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8MBVNT|aMLV
210	36362 63233	   	174.37	ACR|1BASARM|1ASPD|1DMG	19CGEN|2ASPD|3DMG|4RCR|5aFEWX|6DUR|7BASARM|8MBVNT
211	36362 63332	   	174.37	ACR|1BASARM|1ASPD|1DMG	19CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8DUST|aMLV
212	36362 63333	   	174.37	ACR|1BASARM|1ASPD|1DMG	19CGEN|2ASPD|3DMG|4RCR|5aFEWX|6DUR|7BASARM|8DUST
213	36364 23131	   	174.37	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5LHND|69FEWX|7BASARM|8ERES|aMLV
214	36364 23133	   	174.37	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5aLHND|69FEWX|7BASARM|8ERES
215	36364 23223	   	174.37	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8MBVNT|9LIT|aBELT
216	36364 23232	   	174.37	ACR|1BASARM|1ASPD|1DMG	19CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8MBVNT|aMLV
217	36364 23233	   	174.37	ACR|1BASARM|1ASPD|1DMG	19CGEN|2ASPD|3DMG|4RCR|5LHND|6aFEWX|7BASARM|8MBVNT
218	36364 23332	   	174.37	ACR|1BASARM|1ASPD|1DMG	19CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8DUST|aMLV
219	36364 23333	   	174.37	ACR|1BASARM|1ASPD|1DMG	19CGEN|2ASPD|3DMG|4RCR|5LHND|6aFEWX|7BASARM|8DUST
220	32362 63224	   	174.37	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ZMB|3DMG|4RCR|5FEWX|6DUR|7BASARM|8MBVNT|9LIT|aASPD
221	32362 63621	   	174.37	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ZMB|3DMG|4RCR|5FEWX|68DUR|7BASARM|9ASPD|aAME
222	32364 23224	   	174.37	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ZMB|3DMG|4RCR|5LHND|6FEWX|7BASARM|8MBVNT|9LIT|aASPD
223	32364 23422	   	174.37	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ZMB|3DMG|4RCR|5LHND|6FEWX|7BASARM|8DLOT|9DMSP|aASPD
224	32364 23432	   	174.37	ACR|1BASARM|1ASPD|1DMG	19CGEN|2ZMB|3DMG|4RCR|5LHND|6FEWX|7BASARM|8DLOT|aASPD
225	52222 52243	 * 	174.34	ACR|2VULN|2ASPD|1CDMG|1BEXP	18VULN|2RPLT|3FEWX|4LIT|5RCR|6BEXP|7CDMG|9aASPD
226	36362 63113	   	174.27	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8ERES|9MLV|aDUST
227	36362 63222	   	174.27	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8MBVNT|9LIT|aDUST
228	36362 63322	   	174.27	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8aDUST|9LIT
229	36364 23113	   	174.27	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8ERES|9MLV|aDUST
230	36364 23121	   	174.27	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8ERES|9DUST|aDUR
231	36364 23123	   	174.27	ACR|1BASARM|1ASPD|1DMG	1aCGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8ERES|9DUST
232	36364 23211	   	174.27	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8MBVNT|9ERES|aDUR
233	36364 23213	   	174.27	ACR|1BASARM|1ASPD|1DMG	1aCGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8MBVNT|9ERES
234	36364 23214	   	174.27	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8MBVNT|9ERES|aLIT
235	36364 23222	   	174.27	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8MBVNT|9LIT|aDUST
236	36364 23241	   	174.27	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8MBVNT|9AME|aDUR
237	36364 23243	   	174.27	ACR|1BASARM|1ASPD|1DMG	1aCGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8MBVNT|9AME
238	36364 23244	   	174.27	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8MBVNT|9AME|aLIT
239	36364 23311	   	174.27	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8DUST|9ERES|aDUR
240	36364 23313	   	174.27	ACR|1BASARM|1ASPD|1DMG	1aCGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8DUST|9ERES
241	36364 23322	   	174.27	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8aDUST|9LIT
242	32362 63432	   	174.27	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ZMB|3DMG|4RCR|5FEWX|6DUR|7BASARM|8DLOT|9TLV|aASPD
243	34563 22334	   	174.17	ACR|1BASARM|1ASPD|1DMG	1CGEN|2DMG|3ASPD|4RCR|5AME|6RPLT|7ERES|8MBVNT|9RMIN|aBASARM
244	36362 63123	   	174.17	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8ERES|9DUST|aMDPS
245	36362 63213	   	174.17	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8MBVNT|9ERES|aMDPS
246	36362 63243	   	174.17	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8MBVNT|9AME|aMDPS
247	36362 63313	   	174.17	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8DUST|9ERES|aMDPS
248	36363 22334	   	174.17	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5AME|6RPLT|7ERES|8MBVNT|9RMIN|aBASARM
249	36363 22384	   	174.17	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5AME|6RPLT|7ERES|8MBVNT|9ZMB|aBASARM
250	36363 11812	   	174.07	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5AME|6DUST|7MBVNT|8LSRREG|9MLV|aBASARM
251	32361 36213	   	174.00	ACR|2VULN|2DMG|1CDMG|1AAC	1CGEN|2ZMB|3aDMG|4RCR|58VULN|6DMSP|7CDMG|9AAC
252	32361 34313	   	174.00	ACR|2VULN|2DMG|1CDMG|1AAC	1CGEN|2ZMB|3aDMG|4RCR|57VULN|6DMSP|8CDMG|9AAC
253	36361 41313	   	173.99	ACR|2VULN|1ASPD|1DMG|1BEXP|1AAC	1CGEN|2ASPD|3DMG|4RCR|59VULN|6BEXP|7ZMB|8MDPS|aAAC
254	36363 11452	   	173.97	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5AME|6DUST|7MBVNT|8TLV|9SNIFST|aBASARM
255	36363 11842	   	173.97	ACR|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5AME|6DUST|7MBVNT|8LSRREG|9ERES|aBASARM
256	34561 12121	   	173.74	ACR|2VULN|1ASPD|1DMG|1BEXP|1AAC|1SELL	1CGEN|2DMG|3ASPD|4RCR|57VULN|6DLOT|8SELL|9BEXP|aAAC
257	36361 12121	   	173.74	ACR|2VULN|1ASPD|1DMG|1BEXP|1AAC|1SELL	1CGEN|2ASPD|3DMG|4RCR|57VULN|6DLOT|8SELL|9BEXP|aAAC
258	36362 36223	   	173.73	ACR|2ASPD|1DMG|1VULN|1BEXP	1CGEN|2aASPD|3DMG|4RCR|5FEWX|6BEXP|7RCVC|8ERES|9VULN
259	36362 36323	   	173.73	ACR|2ASPD|1DMG|1VULN|1BEXP	1CGEN|2aASPD|3DMG|4RCR|5FEWX|6BEXP|7RCVC|8AAC|9VULN
260	34561 32333	   	173.51	ACR|2DMG|1VULN|1ASPD|1CDMG	17CGEN|2aDMG|3ASPD|4RCR|5VULN|6DMSP|8CDMG|9ZMB
261	36361 32333	   	173.51	ACR|2DMG|1VULN|1ASPD|1CDMG	17CGEN|2ASPD|3aDMG|4RCR|5VULN|6DMSP|8CDMG|9ZMB
262	36364 32323	 * 	173.51	ACR|2ASPD|1VULN|1DMG|1CDMG	17CGEN|2aASPD|3DMG|4RCR|5LHND|6DMSP|8CDMG|9VULN
263	36361 62334	   	173.41	ACR|2ASPD|1VULN|1DMG|1CDMG	1CGEN|27ASPD|3DMG|4RCR|5VULN|6RPLT|8MBVNT|9RMIN|aCDMG
264	36361 62344	   	173.31	ACR|2ASPD|1VULN|1DMG|1CDMG	1CGEN|27ASPD|3DMG|4RCR|5VULN|6RPLT|8MBVNT|9TLV|aCDMG
