0	Index      	 *	Score 	Summary	Detail	
1	43312 42511	 * 	238.58	DCR|3VULN|2AART|1MDPS|2CDMG|1ZMB	1ZMB|25CDMG|359VULN|48AART|5BPWR|6RCR|7RMIN|aMDPS
161	41414 21131	   	209.58	DCR|4VULN|1AART|1CDMG|1ZMB	1ZMB|2RCVC|356aVULN|4BEXP|7RCR|8AART|9CDMG
162	12314 21122	   	209.55	DCR|4VULN|1AART|1ASPD|1AAC|1ZMB	1356VULN|2AAC|4BEXP|7RCR|8AART|9ASPD|aZMB
163	43312 42143	   	209.13	DCR|2VULN|1AART|2CDMG|1DMG|2ZMB	18ZMB|25CDMG|35VULN|4AART|5BPWR|6RCR|7RMIN|9LHND|aDMG
164	22523 52221	   	209.07	DCR|2VULN|2AART|1ASPD|1CDMG	1RCVC|28AART|3RMIN|4LIT|5CDMG|6aVULN|7RCR|9ASPD
165	22523 52251	   	209.07	DCR|2VULN|2AART|1DMG|1CDMG	1RCVC|28AART|3RMIN|4LIT|5CDMG|6aVULN|7RCR|9DMG
166	22613 52221	   	209.07	DCR|2VULN|2AART|1ASPD|1CDMG	1RCVC|28AART|3LIT|4RMIN|5CDMG|6aVULN|7RCR|9ASPD
167	22613 52251	   	209.07	DCR|2VULN|2AART|1DMG|1CDMG	1RCVC|28AART|3LIT|4RMIN|5CDMG|6aVULN|7RCR|9DMG
168	22323 45363	   	209.04	DCR|3DMG|2AART|1VULN|1DUR	1RCVC|24AART|3VULN|579DMG|6RCR|8LIT|aDUR
169	43312 41421	 * 	208.81	DCR|2VULN|3CDMG|1AART|1ASPD|1ZMB	1ZMB|258CDMG|35VULN|4AART|5BPWR|6RCR|7FEWX|9ASPD|aBELT
170	43312 41422	   	208.81	DCR|2VULN|3CDMG|1AART|1ASPD|1ZMB	1ZMB|258CDMG|35VULN|4AART|5BPWR|6RCR|7FEWX|9ASPD|aBEXP
171	43312 41423	   	208.81	DCR|2VULN|3CDMG|1AART|1ASPD|1ZMB	1ZMB|258CDMG|35VULN|4AART|5BPWR|6RCR|7FEWX|9ASPD|aMULFIG
172	62223 42521	   	208.71	DCR|3ASPD|2AART|2DMG	1DMSP|24AART|3aLWND|5aDMG|6RCR|79aASPD|8RMIN|aBPWR
173	51543 22813	   	208.71	DCR|3VULN|2DMG|1AART|2DUR	1MBVNT|27DUR|3BEXP|478VULN|57DMG|6AART|7BPWR|9AME|aRCR
174	51543 24413	   	208.71	DCR|3VULN|2DMG|1AART|2DUR	1MBVNT|28DUR|3BEXP|478VULN|58DMG|6AART|8BPWR|9AME|aRCR
175	43312 43421	   	208.71	DCR|2VULN|3CDMG|1AART|1ASPD|1ZMB	1ZMB|258CDMG|35VULN|4AART|5BPWR|6RCR|7DUST|9ASPD|aBELT
176	43312 43422	   	208.71	DCR|2VULN|3CDMG|1AART|1ASPD|1ZMB	1ZMB|258CDMG|35VULN|4AART|5BPWR|6RCR|7DUST|9ASPD|aBEXP
177	43312 43423	   	208.71	DCR|2VULN|3CDMG|1AART|1ASPD|1ZMB	1ZMB|258CDMG|35VULN|4AART|5BPWR|6RCR|7DUST|9ASPD|aMULFIG
178	12314 61123	 * 	208.68	DCR|4VULN|1MDPS|1AART|1ASPD|1AAC	1356VULN|2AAC|46BEXP|6BPWR|7RCR|8AART|9ASPD|aMDPS
179	51343 22813	   	208.61	DCR|3VULN|2DMG|1AART|2DUR	1MBVNT|27DUR|3DUST|478VULN|57DMG|6AART|7BPWR|9AME|aRCR
180	51343 24413	   	208.61	DCR|3VULN|2DMG|1AART|2DUR	1MBVNT|28DUR|3DUST|478VULN|58DMG|6AART|8BPWR|9AME|aRCR
181	51543 24483	   	208.61	DCR|3VULN|2DMG|1AART|2DUR	1MBVNT|28DUR|3BEXP|478VULN|58DMG|6AART|8BPWR|9ERES|aRCR
