0	Index      	 *	Score 	Summary	Detail	
1	63521 52112	 * 	237.11	ACR|3VULN|3DMG|2ASPD|1AART|1DUR	157DMG|2RCR|35ASPD|4AART|5BPWR|6DUR|89aVULN
164	25223 54132	   	208.93	DCR|3ASPD|2DMG|1VULN|1CDMG|1DUR	124ASPD|34DMG|4BPWR|5DUR|6BEXP|7CGEN|8RCR|9CDMG|aVULN
165	25223 12213	   	208.83	DCR|3ASPD|2DMG|1VULN|1CDMG|1DUR	124ASPD|34DMG|4BPWR|5DUR|6DUST|7BEXP|8RCR|9CDMG|aVULN
166	25223 26213	   	208.83	DCR|3ASPD|2DMG|1VULN|1CDMG|1DUR	124ASPD|34DMG|4BPWR|5DUR|6FEWX|7DUST|8RCR|9CDMG|aVULN
167	25223 51132	   	208.83	DCR|3ASPD|2DMG|1VULN|1CDMG|1DUR	124ASPD|34DMG|4BPWR|5DUR|6BEXP|7ERES|8RCR|9CDMG|aVULN
168	25223 56213	   	208.83	DCR|3ASPD|2DMG|1VULN|1CDMG|1DUR	124ASPD|34DMG|4BPWR|5DUR|6BEXP|7DUST|8RCR|9CDMG|aVULN
169	25232 12234	   	208.71	DCR|3ASPD|1AART|1VULN|1DMG|1CDMG	124ASPD|3DMG|5LIT|6VULN|7RCR|8CGEN|9CDMG|aAART
170	61523 21362	   	208.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2BEXP|3ASPD|4AART|5DUR|6FEWX|7CDMG|8RCR|9aVULN
171	65323 21362	   	208.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2ASPD|3BEXP|4AART|5DUR|6FEWX|7CDMG|8RCR|9aVULN
172	12232 11332	 * 	208.17	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	19VULN|2CDMG|3DLOT|4DUR|5FEWX|6RCR|7DMG|8aAART
173	44113 11361	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2ASPD|3DMG|4LWND|5DUR|69VULN|7CDMG|8RCR|aDUST
174	44113 11362	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR|1MSE	1AART|2ASPD|3DMG|4LWND|5DUR|69VULN|7CDMG|8RCR|aMSE
175	61523 11352	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2BEXP|3ASPD|4AART|5DUR|6aVULN|7CDMG|8RCR|9DUST
176	61523 11361	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2BEXP|3ASPD|4AART|5DUR|69VULN|7CDMG|8RCR|aDUST
177	61523 11362	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR|1MSE	1DMG|2BEXP|3ASPD|4AART|5DUR|69VULN|7CDMG|8RCR|aMSE
178	65323 11352	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2ASPD|3BEXP|4AART|5DUR|6aVULN|7CDMG|8RCR|9DUST
179	65323 11361	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2ASPD|3BEXP|4AART|5DUR|69VULN|7CDMG|8RCR|aDUST
180	65323 11362	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR|1MSE	1DMG|2ASPD|3BEXP|4AART|5DUR|69VULN|7CDMG|8RCR|aMSE
181	21523 52111	 * 	208.05	DCR|3ASPD|2DMG|1MDPS|1VULN|2CDMG	139ASPD|2BEXP|49CDMG|5MDPS|69DMG|7RPLT|8RCR|9BPWR|aVULN
182	12654 11123	   	207.92	DCR|2VULN|3CDMG|1AART|1ASPD|2DUR	13VULN|236CDMG|3BPWR|4ASPD|5aDUR|7ERES|8RCR|9AART
183	41212 73318	   	207.91	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2aFEWX|3AME|4aVULN|5MBVNT|6CDMG|7ZMB|8RCR|9aDMG|aBPWR
184	11324 36136	   	207.86	DCR|2VULN|2ASPD|1AART|1CDMG|2DUR	17VULN|23DUR|4AART|57LHND|67ASPD|7BPWR|8RCR|9FEWX|aCDMG
185	12633 25226	 * 	207.84	DCR|3VULN|2CDMG|1ASPD|1DMG|1DUR	135VULN|23CDMG|3BPWR|4LHND|6DMG|7LWND|8DUR|9RCR|aASPD
186	44113 11311	   	207.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1AART|2ASPD|3DMG|4LWND|5DUR|6VULN|7CDMG|8RCR|9NUKE|aRPLT
187	44113 11312	   	207.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1AART|2ASPD|3DMG|4LWND|5DUR|6VULN|7CDMG|8RCR|9NUKE|aBEXP
188	44113 11313	   	207.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1AART|2ASPD|3DMG|4LWND|5DUR|6VULN|7CDMG|8RCR|9NUKE|aLIT
189	44113 11314	   	207.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1AART|2ASPD|3DMG|4LWND|5DUR|6VULN|7CDMG|8RCR|9NUKE|aRMIN
190	44113 11316	   	207.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1AART|2ASPD|3DMG|4LWND|5DUR|6VULN|7CDMG|8RCR|9NUKE|aAME
191	44143 11311	   	207.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1AART|2ASPD|3DMG|4BEXP|5DUR|6VULN|7CDMG|8RCR|9NUKE|aRPLT
192	44143 11312	   	207.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1AART|2ASPD|3DMG|4aBEXP|5DUR|6VULN|7CDMG|8RCR|9NUKE
193	44143 11313	   	207.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1AART|2ASPD|3DMG|4BEXP|5DUR|6VULN|7CDMG|8RCR|9NUKE|aERES
194	61523 11311	   	207.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1DMG|2BEXP|3ASPD|4AART|5DUR|6VULN|7CDMG|8RCR|9NUKE|aRPLT
195	61523 11312	   	207.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1DMG|2aBEXP|3ASPD|4AART|5DUR|6VULN|7CDMG|8RCR|9NUKE
196	61523 11313	   	207.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1DMG|2BEXP|3ASPD|4AART|5DUR|6VULN|7CDMG|8RCR|9NUKE|aERES
197	61523 11314	   	207.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1DMG|2BEXP|3ASPD|4AART|5DUR|6VULN|7CDMG|8RCR|9NUKE|aRMIN
198	61523 11316	   	207.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1DMG|2BEXP|3ASPD|4AART|5DUR|6VULN|7CDMG|8RCR|9NUKE|aAME
199	65323 11311	   	207.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1DMG|2ASPD|3BEXP|4AART|5DUR|6VULN|7CDMG|8RCR|9NUKE|aRPLT
200	65323 11312	   	207.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1DMG|2ASPD|3aBEXP|4AART|5DUR|6VULN|7CDMG|8RCR|9NUKE
201	65323 11313	   	207.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1DMG|2ASPD|3BEXP|4AART|5DUR|6VULN|7CDMG|8RCR|9NUKE|aERES
202	65323 11314	   	207.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1DMG|2ASPD|3BEXP|4AART|5DUR|6VULN|7CDMG|8RCR|9NUKE|aRMIN
203	65323 11316	   	207.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1DMG|2ASPD|3BEXP|4AART|5DUR|6VULN|7CDMG|8RCR|9NUKE|aAME
204	65423 11311	   	207.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1DMG|2ASPD|3FEWX|4AART|5DUR|6VULN|7CDMG|8RCR|9NUKE|aRPLT
205	65423 11312	   	207.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1DMG|2ASPD|3FEWX|4AART|5DUR|6VULN|7CDMG|8RCR|9NUKE|aBEXP
206	65423 11313	   	207.84	DCR|1AART|1VULN|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1DMG|2ASPD|3FEWX|4AART|5DUR|6VULN|7CDMG|8RCR|9NUKE|aLIT
207	63521 43214	   	207.82	ACR|3ASPD|2DMG|1VULN|1AART|1NUKE	15DMG|2RCR|358ASPD|4AART|5BPWR|6LHND|7MBVNT|9VULN|aNUKE
208	63521 63214	   	207.82	ACR|3ASPD|2DMG|1VULN|1AART|1NUKE	15DMG|2RCR|358ASPD|4AART|5BPWR|6BEXP|7MBVNT|9VULN|aNUKE
209	11324 36133	   	207.68	DCR|2VULN|2AART|2ASPD|2DUR	17VULN|23DUR|4aAART|57LHND|67ASPD|7BPWR|8RCR|9FEWX
210	11321 11155	   	207.59	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1ZMB	16VULN|23DUR|4AART|5LWND|7DMG|8RCR|9ZMB|aASPD
211	11324 11155	   	207.59	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1ZMB	16VULN|23DUR|4AART|5LHND|7DMG|8RCR|9ZMB|aASPD
212	11214 13133	   	207.46	DCR|3VULN|2DMG|1AART|1DUR	16aVULN|2DUR|37BEXP|4AART|56DMG|6BPWR|8RCR|9FEWX
213	11624 11612	   	207.39	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	16VULN|2DUR|3RCVC|48AART|5LHND|7DMG|9ASPD|aRCR
214	16221 11163	   	207.36	DCR|3VULN|2DMG|1AART|1DUR	126VULN|3FEWX|4AART|5LWND|79DMG|8RCR|aDUR
215	44113 11343	   	207.34	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|2DUR	1AART|29ASPD|3DMG|4LWND|5aDUR|6VULN|7CDMG|8RCR
216	61523 11343	   	207.34	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|2DUR	1DMG|2BEXP|39ASPD|4AART|5aDUR|6VULN|7CDMG|8RCR
217	65323 11343	   	207.34	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|2DUR	1DMG|29ASPD|3BEXP|4AART|5aDUR|6VULN|7CDMG|8RCR
