0	Index      	 *	Score 	Summary	Detail	
1	22235 43251	 * 	219.04	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	17DMG|27LIT|3LWND|4ASPD|57DUR|6RCR|7BPWR|8aVULN|9AART
161	22116 31543	   	191.70	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1DMG|2LIT|3CGEN|4ASPD|57AART|6RCR|8VULN|9DUR|aLWND
162	22316 31361	   	191.70	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1DMG|2LIT|3MLV|4ASPD|57AART|6RCR|8LWND|9VULN|aDUR
163	22316 31535	   	191.70	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1DMG|2LIT|39MLV|4ASPD|57AART|6RCR|8VULN|aDUR
164	22316 31543	   	191.70	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1DMG|2LIT|3MLV|4ASPD|57AART|6RCR|8VULN|9DUR|aLWND
165	22116 31542	   	191.60	DCR|2AART|1VULN|1ASPD|1DMG|1DUR|1MSE	1DMG|2LIT|3CGEN|4ASPD|57AART|6RCR|8VULN|9DUR|aMSE
166	22316 31542	   	191.60	DCR|2AART|1VULN|1ASPD|1DMG|1DUR|1MSE	1DMG|2LIT|3MLV|4ASPD|57AART|6RCR|8VULN|9DUR|aMSE
167	22316 36531	   	191.60	DCR|2DMG|2ASPD|1AART|1CDMG	19DMG|2LIT|3MLV|4aASPD|5AART|6RCR|7FEWX|8CDMG
168	13313 15233	   	191.53	DCR|3VULN|1AART|1DMG|1DUR|1SELL	1FEWX|258VULN|3SELL|4DMG|6LIT|7RCR|9AART|aDUR
169	55112 31334	 * 	191.49	DCR|1MDPS|2ASPD|1VULN|1AART|2CDMG|1ZMB	19CDMG|29CGEN|3AART|4ERES|5VULN|69ASPD|7MDPS|8RCR|9BPWR|aZMB
170	54325 23132	   	191.45	DCR|2AART|2DMG|1ASPD|1CDMG	1CDMG|26DMG|3BEXP|4DMSP|5LWND|7RCR|89AART|aASPD
171	54326 23132	   	191.45	DCR|2AART|2DMG|1ASPD|1CDMG	1CDMG|26DMG|3BEXP|4DMSP|5LHND|7RCR|89AART|aASPD
172	51321 64411	   	191.34	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|2ZMB	1CDMG|2MDPS|3AART|46VULN|56ZMB|6BPWR|7MBVNT|8ASPD|9RCR|aAME
173	51321 64412	   	191.34	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|2ZMB	1CDMG|2MDPS|3AART|46VULN|56ZMB|6BPWR|7MBVNT|8ASPD|9RCR|aLHND
174	51321 64414	   	191.34	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|2ZMB	1CDMG|2MDPS|3AART|46VULN|56ZMB|6BPWR|7MBVNT|8ASPD|9RCR|aLWND
175	51321 64413	   	191.24	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|2ZMB|1MSE	1CDMG|2MDPS|3AART|46VULN|56ZMB|6BPWR|7MBVNT|8ASPD|9RCR|aMSE
176	22516 53222	   	191.23	DCR|2DMG|2ASPD|1VULN|2CDMG	18DMG|268LIT|34ASPD|5VULN|78CDMG|8BPWR|9DMSP|aRCR
177	24611 13253	   	191.19	DCR|3DMG|2VULN|1MDPS|1CDMG	13aDMG|2RCVC|3aBPWR|4MDPS|5aLWND|6LIT|7CDMG|8aVULN|9RCR
178	24435 33132	   	191.15	DCR|2AART|1ASPD|1DMG|1CDMG|2DUR	1DMG|2RCVC|3CDMG|46DUR|5LWND|7RCR|89AART|aASPD
179	24436 33132	   	191.15	DCR|2AART|1ASPD|1DMG|1CDMG|2DUR	1DMG|2RCVC|3CDMG|46DUR|5LHND|7RCR|89AART|aASPD
180	22235 43153	   	191.13	DCR|2DMG|1VULN|1ASPD|1CDMG|2DUR	17DMG|27LIT|3LWND|4ASPD|57DUR|6RCR|7BPWR|8CDMG|9CGEN|aVULN
181	22235 43128	   	191.03	DCR|2DMG|1VULN|1ASPD|1CDMG|2DUR	17DMG|27LIT|3LWND|4ASPD|57DUR|6RCR|7BPWR|8CDMG|9MBVNT|aVULN
182	21323 55121	   	190.93	DCR|2DMG|1AART|1ASPD|1CDMG|2DUR	18DMG|27CGEN|3CDMG|45DUR|6RCR|9ASPD|aAART
183	21323 55124	   	190.93	DCR|2DMG|1VULN|1ASPD|1CDMG|2DUR	18DMG|27CGEN|3CDMG|45DUR|6RCR|9ASPD|aVULN
184	13313 22534	   	190.88	DCR|4VULN|2DMG|1SELL	17FEWX|259aVULN|3SELL|46DMG|8RCR
185	13313 25532	   	190.88	DCR|4VULN|2DMG|1SELL	1FEWX|2579VULN|3SELL|46DMG|8RCR|aDMSP
186	51321 33626	   	190.83	DCR|3VULN|1MDPS|1AART|1CDMG|1ZMB	1CDMG|2MDPS|3AART|469VULN|5ZMB|7SPLREG|8FEWX|aRCR
187	13313 25535	   	190.78	DCR|4VULN|2DMG|1SELL	1FEWX|2579VULN|3SELL|46DMG|8RCR|aDUST
188	13313 25536	   	190.78	DCR|4VULN|2DMG|1SELL|1MSE	1FEWX|2579VULN|3SELL|46DMG|8RCR|aMSE
189	22116 32615	   	190.75	DCR|2AART|2DMG|1ASPD|2DUR	18DMG|2LIT|3CGEN|4ASPD|59AART|6RCR|7aDUR
190	22316 32615	   	190.75	DCR|2AART|2DMG|1ASPD|2DUR	18DMG|2LIT|3MLV|4ASPD|59AART|6RCR|7aDUR
191	13313 22522	   	190.69	DCR|3VULN|3DMG|1SELL	17FEWX|25aVULN|3SELL|469DMG|8RCR
192	13313 22533	   	190.69	DCR|3VULN|3DMG|1SELL	17FEWX|259VULN|3SELL|46aDMG|8RCR
193	13313 25523	   	190.69	DCR|3VULN|3DMG|1SELL	1FEWX|257VULN|3SELL|469DMG|8RCR|aMLV
194	13313 25524	   	190.69	DCR|3VULN|3DMG|1SELL	1aFEWX|257VULN|3SELL|469DMG|8RCR
195	13313 25526	   	190.69	DCR|3VULN|3DMG|1SELL	1FEWX|257VULN|3SELL|469DMG|8RCR|aLWND
196	22531 41513	   	190.64	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1DMG|2LIT|3ASPD|4DUR|5RMIN|69AART|7DMSP|8VULN|aRCR
197	13313 25525	   	190.59	DCR|3VULN|3DMG|1SELL	1FEWX|257VULN|3SELL|469DMG|8RCR|aDLOT
198	13423 35121	   	190.55	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2VULN|3ERES|4DUR|59ASPD|6CDMG|7RCR|8ZMB|aDMG
199	13613 35121	   	190.55	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2VULN|3DUR|4ERES|59ASPD|6CDMG|7RCR|8ZMB|aDMG
200	22231 44611	   	190.45	DCR|2AART|2DMG|1ASPD|1DUR	18DMG|2LIT|3LWND|4ASPD|5RMIN|69AART|7RCR|aDUR
201	52122 51633	   	190.41	DCR|2VULN|2AART|2CDMG	1aCDMG|2AME|39AART|4RCVC|5BELT|6RCR|7aLHND|8aVULN|aBPWR
202	22262 36212	 * 	190.27	DCR|2VULN|2DMG|2CDMG	1aDMG|2LIT|359LWND|4RMIN|6aVULN|7RCR|8aCDMG|aBPWR
203	13437 41411	 * 	190.18	DCR|1SPLARM|2VULN|2ASPD|1AART	1FEWX|27VULN|3ERES|4MBVNT|5SPLARM|6AART|8aASPD|9RCR
204	33337 41411	   	190.18	DCR|1SPLARM|2VULN|2ASPD|1AART	1BEXP|27VULN|3ERES|4MBVNT|5SPLARM|6AART|8aASPD|9RCR
205	13312 53251	 * 	190.14	DCR|2VULN|2DMG|3CDMG|1SELL	168FEWX|29VULN|3SELL|48DMG|58aCDMG|7RCR|8BPWR
206	52132 54312	   	190.13	DCR|2VULN|2AART|1CDMG|1ZMB	1CDMG|2AME|34AART|5BELT|6RCR|7aVULN|8ZMB|9TLV
207	52132 54332	   	190.13	DCR|2VULN|2AART|1CDMG|1ZMB	1CDMG|2AME|34AART|5BELT|6RCR|7aVULN|8ZMB|9ERES
208	13413 31314	   	190.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|26VULN|3ERES|4AART|5CDMG|7RCR|8CGEN|9DMG|aDUR
209	21313 45233	   	190.09	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1DMG|2CGEN|3CDMG|4LIT|58VULN|6AAC|7RCR|9AART|aDUR
210	33315 31314	   	190.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|26VULN|3ERES|4AART|5CDMG|7RCR|8CGEN|9DMG|aDUR
211	13656 32123	   	190.08	DCR|4VULN|1MDPS|1DMG|1ZMB|1DUR	1FEWX|2678VULN|3DUR|4MDPS|5DMG|9RCR|aZMB
212	13636 22326	   	190.01	DCR|2VULN|2AART|1CDMG|2DUR	14FEWX|26VULN|36DUR|5RCVC|6BPWR|7CDMG|8aAART|9RCR
213	26313 45233	   	189.99	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1DMG|2ERES|3CDMG|4LIT|58VULN|6AAC|7RCR|9AART|aDUR
214	13653 32363	   	189.96	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	1FEWX|289VULN|3DUR|4MDPS|5CGEN|6RCR|7ASPD|aDMG
215	21314 14421	   	189.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DMG|2CGEN|3CDMG|4LIT|5AELBLL|6ZMB|7AART|8RCR|9VULN|aASPD
216	21316 14421	   	189.90	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMG|25CGEN|3CDMG|4LIT|6ZMB|7AART|8RCR|9VULN|aASPD
217	13631 35422	   	189.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	14FEWX|2VULN|3DUR|5LWND|6CDMG|7RCR|8ASPD|9AART|aDMG
218	22112 26251	   	189.87	DCR|2VULN|1AART|1ASPD|1DMG	1DMG|2LIT|3CGEN|4ASPD|5BEXP|6RMIN|7RCR|8aVULN|9AART
219	22236 26251	   	189.87	DCR|2VULN|1AART|1ASPD|1DMG	1DMG|2LIT|3LWND|4ASPD|5CGEN|6RMIN|7RCR|8aVULN|9AART
220	51321 54121	   	189.79	DCR|2VULN|1MDPS|1AART|2CDMG|1ZMB|1DUR	17CDMG|2MDPS|3AART|49VULN|5ZMB|6RCR|8MULARM|aDUR
221	13423 35322	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1FEWX|2VULN|3ERES|4DUR|5ASPD|6CDMG|7RCR|8MLV|9AART|aDMG
222	13613 35322	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1FEWX|2VULN|3DUR|4ERES|5ASPD|6CDMG|7RCR|8MLV|9AART|aDMG
223	26333 16221	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2ERES|3CDMG|4LWND|5DUR|6ASPD|7RCR|8VULN|9AART|aFEWX
224	26333 16222	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2ERES|3CDMG|4LWND|5DUR|6ASPD|7RCR|8VULN|9AART|aBEXP
225	26333 16225	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2ERES|3CDMG|4LWND|5DUR|6ASPD|7RCR|8VULN|9AART|aCGEN
226	26333 16232	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2ERES|3CDMG|4LWND|5DUR|6ASPD|7RCR|8VULN|9BEXP|aAART
227	33322 35441	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1BEXP|2VULN|3ERES|4DUR|5DMG|6CDMG|7RCR|8ASPD|9AART|aFEWX
228	33322 35442	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1aBEXP|2VULN|3ERES|4DUR|5DMG|6CDMG|7RCR|8ASPD|9AART
229	33322 35452	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1BEXP|2VULN|3ERES|4DUR|5DMG|6CDMG|7RCR|8ASPD|9LWND|aAART
230	33322 35552	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1BEXP|2VULN|3ERES|4DUR|5DMG|6CDMG|7RCR|8LHND|9ASPD|aAART
231	41421 63131	   	189.78	DCR|1VULN|1AART|1DMG|1NUKE|1CDMG|1DUR	12CGEN|3CDMG|4ERES|5DMG|6VULN|7RCR|8AART|9DUR|aNUKE
232	22114 26251	   	189.77	DCR|2VULN|1AART|1ASPD|1DMG	1DMG|2LIT|3CGEN|4ASPD|5DUST|6RMIN|7RCR|8aVULN|9AART
233	13112 22653	   	189.76	DCR|2VULN|2DMG|1ASPD|1CDMG|1AAC	1FEWX|26VULN|3AAC|4DMSP|56DMG|6BPWR|7CDMG|8ASPD|9RPLT|aRCR
234	33112 22653	   	189.76	DCR|2VULN|2DMG|1ASPD|1CDMG|1AAC	1BEXP|26VULN|3AAC|4DMSP|56DMG|6BPWR|7CDMG|8ASPD|9RPLT|aRCR
235	13413 33331	   	189.70	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|26VULN|3ERES|4AART|5CDMG|7RCVC|8RCR|9DUR|aDMG
236	33315 33331	   	189.70	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|26VULN|3ERES|4AART|5CDMG|7RCVC|8RCR|9DUR|aDMG
237	22516 26212	   	189.69	DCR|2VULN|2ASPD|1DMG|2DUR	1DMG|2LIT|34ASPD|58VULN|6LWND|7RCR|9aDUR
238	26333 16223	   	189.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2ERES|3CDMG|4LWND|5DUR|6ASPD|7RCR|8VULN|9AART|aDUST
239	26333 16226	   	189.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR|1MSE	1DMG|2ERES|3CDMG|4LWND|5DUR|6ASPD|7RCR|8VULN|9AART|aMSE
240	33322 35443	   	189.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1BEXP|2VULN|3ERES|4DUR|5DMG|6CDMG|7RCR|8ASPD|9AART|aMBVNT
241	21322 23565	   	189.61	DCR|3DMG|1VULN|1CDMG|1ZMB|1DUR	16aDMG|2CGEN|3CDMG|4DUR|5AME|7RCR|8VULN|9ZMB
242	22113 44531	   	189.60	DCR|2DMG|2ASPD|1AART|1CDMG	19DMG|2LIT|3CGEN|4aASPD|5FEWX|6AART|7RCR|8CDMG
243	22312 44531	   	189.60	DCR|2DMG|2ASPD|1AART|1CDMG	19DMG|2LIT|3MLV|4aASPD|5LHND|6AART|7RCR|8CDMG
244	51623 31531	   	189.58	DCR|3VULN|1MDPS|2CDMG|1DMG|1DUR	16CDMG|2MDPS|3DUR|457VULN|8RCR|9CGEN|aDMG
245	22116 24531	   	189.50	DCR|2DMG|2ASPD|1AART|1CDMG	19DMG|2LIT|3CGEN|4aASPD|5AART|6LEGI|7RCR|8CDMG
246	22316 24531	   	189.50	DCR|2DMG|2ASPD|1AART|1CDMG	19DMG|2LIT|3MLV|4aASPD|5AART|6LEGI|7RCR|8CDMG
247	24351 23261	   	189.47	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DMG|2RCVC|3BELT|4MLV|5VULN|6CDMG|7RCR|8RMIN|9ASPD|aAART
248	24361 23261	   	189.47	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG	1DMG|2RCVC|3BELT|4CGEN|5VULN|6CDMG|7RCR|8RMIN|9ASPD|aAART
249	44311 23261	   	189.47	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG	1CGEN|2RCVC|3BELT|4DMG|5VULN|6CDMG|7RCR|8RMIN|9ASPD|aAART
250	64311 23261	   	189.47	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1MLV|2RCVC|3BELT|4DMG|5VULN|6CDMG|7RCR|8RMIN|9ASPD|aAART
251	21323 53161	   	189.42	DCR|2AART|1ASPD|1DMG|1CDMG|2DUR	1DMG|2CGEN|3CDMG|45DUR|6RCR|79AART|8LIT|aASPD
252	33212 35142	   	189.33	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB	1BEXP|2VULN|3FEWX|4ERES|5aDMG|6CDMG|7RCR|8ZMB|9AART
253	21412 12552	   	189.33	DCR|4VULN|2DMG	17DMG|27CGEN|3LWND|4BEXP|5BELT|678aVULN|7BPWR|9RCR
254	21622 12552	   	189.33	DCR|4VULN|2DMG	17DMG|27CGEN|3BEXP|4LWND|5BELT|678aVULN|7BPWR|9RCR
255	26323 53161	   	189.32	DCR|2AART|1ASPD|1DMG|1CDMG|2DUR	1DMG|2ERES|3CDMG|45DUR|6RCR|79AART|8LIT|aASPD
256	21432 12552	   	189.23	DCR|4VULN|2DMG	17DMG|27CGEN|3LWND|4DUST|5BELT|678aVULN|7BPWR|9RCR
257	13122 15231	 * 	189.22	DCR|2VULN|1AART|2CDMG|1ASPD|1AAC	1FEWX|28VULN|3AAC|45CDMG|6LIT|7RCR|9AART|aASPD
258	13413 21141	   	189.22	DCR|2VULN|2CDMG|1AART|1DMG	1FEWX|29VULN|3ERES|4AART|56CDMG|7RCR|8LHND|aDMG
259	33315 21141	   	189.22	DCR|2VULN|2CDMG|1AART|1DMG	1BEXP|29VULN|3ERES|4AART|56CDMG|7RCR|8LHND|aDMG
260	51123 35342	   	189.22	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG	16CDMG|2MDPS|3FEWX|45VULN|7RCR|8MLV|9AART|aDMG
261	13413 31161	   	189.22	DCR|2VULN|2CDMG|1AART|1DMG	1FEWX|26VULN|3ERES|4AART|59CDMG|7RCR|8LHND|aDMG
262	33315 31161	   	189.22	DCR|2VULN|2CDMG|1AART|1DMG	1BEXP|26VULN|3ERES|4AART|59CDMG|7RCR|8LHND|aDMG
263	32312 23116	   	189.15	DCR|2AART|2DMG|2CDMG|1ZMB	1BEXP|25CDMG|3LHND|46DMG|7RCR|8aAART|9ZMB
264	53312 23116	   	189.15	DCR|2AART|2DMG|2CDMG|1ZMB	15CDMG|2BEXP|3LHND|46DMG|7RCR|8aAART|9ZMB
265	22235 15631	   	189.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	19DMG|2LIT|3LWND|4ASPD|5DUR|6DUST|7AART|8RCR|aVULN
