0	Index      	 *	Score 	Summary	Detail	
1	24256 32211	 * 	222.06	DCR|4VULN|2DMG|1ASPD|1DUR	1DMSP|24DMG|346aVULN|4BPWR|5RCVC|7DUR|8RCR|9ASPD
161	32113 65423	   	196.47	DCR|2VULN|2DMG|1AART|1DUR	1DUR|26DMG|3RMIN|4LIT|5aVULN|7LWND|8RCR|9AART
162	26213 13552	   	196.18	DCR|4VULN|1ASPD|1ZMB|1DUR	1DMSP|289aVULN|3ZMB|4BELT|5ASPD|6RCR|7DUR
163	13333 43512	   	196.15	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1RMIN|26DMG|3FEWX|4DUR|5LWND|7ASPD|8RCR|9VULN|aAART
164	32113 64422	   	196.15	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|26DMG|3RMIN|4LIT|5VULN|7LHND|8RCR|9AART|aASPD
165	32113 65422	   	196.15	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|26DMG|3RMIN|4LIT|5VULN|7LWND|8RCR|9AART|aASPD
166	32123 56533	   	196.15	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1DUR|26DMG|3RMIN|4VULN|5ASPD|7LHND|8RCR|9CGEN|aAART
167	32126 43533	   	196.15	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1DUR|26DMG|3RMIN|4VULN|5BEXP|7ASPD|8RCR|9CGEN|aAART
168	24236 33211	   	196.06	DCR|4VULN|1ASPD|1DMG	1DMSP|2DMG|346aVULN|5RCVC|7BEXP|8RCR|9ASPD
169	33511 61362	   	196.03	DCR|2VULN|1ASPD|1DMG|1CDMG|2ZMB|1DUR	1DUR|24ZMB|37VULN|5CDMG|6LIT|8DMG|9RCR|aASPD
170	32513 53224	   	195.95	DCR|2VULN|2DMG|1ASPD|1AAC|1ZMB|1DUR	1DUR|26DMG|3aVULN|4ZMB|5ASPD|7AAC|8RCR|9TLV
171	24213 13522	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DMSP|2DMG|38VULN|4BELT|5ASPD|6RCR|7DUR|9MBVNT|aAART
172	62621 15323	   	195.86	DCR|3DMG|2VULN|1CDMG|1DUR	17LIT|278DMG|36LHND|4CDMG|57VULN|7BPWR|9RCR|aDUR
173	32514 21114	   	195.82	DCR|3VULN|2DMG|1AAC|1ZMB|1DUR	1DUR|26DMG|39aVULN|4ZMB|5AAC|7RCR|8LWND
174	55316 31122	 * 	195.81	DCR|2VULN|3ZMB|1AART|1ASPD	134ZMB|2LIT|56VULN|7RCR|8AART|9RMIN|aASPD
175	24251 62321	   	195.76	DCR|3DMG|2VULN|1CDMG|1DUR	1DMSP|248DMG|34VULN|4BPWR|5DUR|6CDMG|7LIT|9RCR|aCGEN
176	24251 62322	   	195.76	DCR|3DMG|2VULN|1CDMG|1DUR	1DMSP|248DMG|34VULN|4BPWR|5DUR|6CDMG|7LIT|9RCR|aBELT
177	62326 21262	   	195.70	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1LIT|2DMG|3ZMB|4RCVC|56VULN|7DUR|8CDMG|9RCR|aASPD
178	13513 62252	   	195.59	DCR|3DMG|2VULN|2DUR	1RMIN|269DMG|3aDUR|4LIT|58VULN|7RCR
179	32113 62252	   	195.59	DCR|3DMG|2VULN|2DUR	1aDUR|269DMG|3RMIN|4LIT|58VULN|7RCR
180	32152 11434	 * 	195.56	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DUR|2DMG|3RMIN|4ZMB|5ASPD|6RCVC|7AART|8RCR|9VULN|aMDPS
181	14132 33433	   	195.52	DCR|3ASPD|2VULN|1AART	1RMIN|258ASPD|3ERES|47VULN|6TLV|9RCR|aAART
182	13331 33514	   	195.46	DCR|3VULN|1ASPD|1DMG|1DUR	1RMIN|2DMG|3FEWX|4DUR|5RCVC|69aVULN|7ASPD|8RCR
183	24256 32231	   	195.41	DCR|3VULN|2DMG|1MDPS|1DUR	1DMSP|24DMG|346VULN|4BPWR|5RCVC|7DUR|8RCR|9MDPS|aERES
184	24256 32232	   	195.41	DCR|3VULN|1MDPS|2DMG|2DUR	1DMSP|24DMG|346VULN|4BPWR|5RCVC|7aDUR|8RCR|9MDPS
185	24256 32233	   	195.41	DCR|3VULN|1MDPS|2DMG|1DUR	1DMSP|24DMG|346VULN|4BPWR|5RCVC|7DUR|8RCR|9MDPS|aDUST
186	13431 33514	   	195.36	DCR|3VULN|1ASPD|1DMG|1DUR	1RMIN|2DMG|3DUST|4DUR|5RCVC|69aVULN|7ASPD|8RCR
187	32161 33514	   	195.36	DCR|3VULN|1ASPD|1DMG|1DUR	1DUR|2DMG|3RMIN|4DUST|5RCVC|69aVULN|7ASPD|8RCR
188	24135 32211	   	195.34	DCR|3VULN|2DMG|1ASPD	1DMSP|27DMG|3LHND|45aVULN|6AELBLL|8RCR|9ASPD
189	24132 32563	   	195.24	DCR|3VULN|2DMG|1ASPD	1DMSP|29DMG|3LHND|46aVULN|5ASPD|7AIRARM|8RCR
190	32113 52244	   	195.00	DCR|3VULN|1ASPD|1DMG|1DUR	1DUR|2DMG|3RMIN|4LIT|568VULN|7RCR|9LWND|aASPD
191	32113 52264	   	195.00	DCR|3VULN|1ASPD|1DMG|1DUR	1DUR|2DMG|3RMIN|4LIT|568VULN|7RCR|9LHND|aASPD
192	13513 52231	 * 	194.90	DCR|3VULN|1NUKE|1DMG|1DUR	1RMIN|2DMG|3DUR|4LIT|568VULN|7RCR|9NUKE|aAME
193	13513 52232	   	194.90	DCR|3VULN|1DMG|1NUKE|1DUR	1RMIN|2DMG|3DUR|4LIT|568VULN|7RCR|9NUKE|aLHND
194	13513 52233	   	194.90	DCR|3VULN|1DMG|1NUKE|1DUR	1RMIN|2DMG|3DUR|4LIT|568VULN|7RCR|9NUKE|aRCVC
195	13513 52234	 * 	194.90	DCR|4VULN|1DMG|1NUKE|1DUR	1RMIN|2DMG|3DUR|4LIT|568aVULN|7RCR|9NUKE
196	13513 52235	   	194.90	DCR|3VULN|1DMG|1NUKE|1DUR	1RMIN|2DMG|3DUR|4LIT|568VULN|7RCR|9NUKE|aLWND
197	13513 52236	   	194.90	DCR|3VULN|1DMG|1NUKE|1DUR|2RMIN	1aRMIN|2DMG|3DUR|4LIT|568VULN|7RCR|9NUKE
198	14513 52231	 * 	194.90	DCR|3VULN|1ASPD|1NUKE|1DUR	1RMIN|2ASPD|3DUR|4LIT|568VULN|7RCR|9NUKE|aAME
199	14513 52232	   	194.90	DCR|3VULN|1ASPD|1NUKE|1DUR	1RMIN|2ASPD|3DUR|4LIT|568VULN|7RCR|9NUKE|aLHND
200	14513 52233	   	194.90	DCR|3VULN|1ASPD|1NUKE|1DUR	1RMIN|2ASPD|3DUR|4LIT|568VULN|7RCR|9NUKE|aRCVC
201	32113 52231	   	194.90	DCR|3VULN|1NUKE|1DMG|1DUR	1DUR|2DMG|3RMIN|4LIT|568VULN|7RCR|9NUKE|aAME
202	32113 52232	   	194.90	DCR|3VULN|1DMG|1NUKE|1DUR	1DUR|2DMG|3RMIN|4LIT|568VULN|7RCR|9NUKE|aLHND
203	32113 52233	   	194.90	DCR|3VULN|1DMG|1NUKE|1DUR	1DUR|2DMG|3RMIN|4LIT|568VULN|7RCR|9NUKE|aRCVC
204	32113 52234	   	194.90	DCR|4VULN|1DMG|1NUKE|1DUR	1DUR|2DMG|3RMIN|4LIT|568aVULN|7RCR|9NUKE
205	32113 52235	   	194.90	DCR|3VULN|1DMG|1NUKE|1DUR	1DUR|2DMG|3RMIN|4LIT|568VULN|7RCR|9NUKE|aLWND
206	32113 52236	   	194.90	DCR|3VULN|1DMG|1NUKE|1DUR|2RMIN	1DUR|2DMG|3aRMIN|4LIT|568VULN|7RCR|9NUKE
207	36322 24122	   	194.90	DCR|3VULN|1ASPD|1DMG|1DUR	1DUR|259VULN|3MBVNT|4LHND|6SPLREG|7RCR|8ASPD|aDMG
208	36352 24122	   	194.90	DCR|3VULN|1ASPD|1DMG|1DUR	1DUR|259VULN|3MBVNT|4LWND|6SPLREG|7RCR|8ASPD|aDMG
209	46312 24122	   	194.90	DCR|3VULN|1ASPD|1DMG|1DUR	1LWND|259VULN|3MBVNT|4DUR|6SPLREG|7RCR|8ASPD|aDMG
210	24213 13413	   	194.83	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1DMSP|29DMG|3VULN|4BELT|5ASPD|6RCR|7DUR|8AART|aAAC
211	31552 32211	   	194.80	DCR|2VULN|2DMG|1ASPD|2DUR	13DUR|2RCVC|47DMG|5AELBLL|6aVULN|8RCR|9ASPD
212	24231 52226	   	194.78	DCR|2VULN|2DMG|1AART|2DUR	1DMSP|27DMG|34VULN|56DUR|8RCR|9CGEN|aAART
213	24253 21612	   	194.77	DCR|3DMG|2VULN|1MDPS|1ASPD	1DMSP|246DMG|34VULN|4BPWR|5MDPS|7RCVC|8RCR|9MLV|aASPD
214	32113 62244	   	194.76	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|26DMG|3RMIN|4LIT|58VULN|7RCR|9LWND|aASPD
215	32113 62264	   	194.76	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|26DMG|3RMIN|4LIT|58VULN|7RCR|9LHND|aASPD
216	13513 52135	   	194.66	DCR|2VULN|2DMG|1ASPD|1DUR	1RMIN|2aDMG|3DUR|4LIT|56VULN|7RCR|8TLV|9ASPD
217	13513 62231	   	194.66	DCR|2VULN|2DMG|1NUKE|1DUR	1RMIN|26DMG|3DUR|4LIT|58VULN|7RCR|9NUKE|aAME
218	13513 62232	   	194.66	DCR|2VULN|2DMG|1NUKE|1DUR	1RMIN|26DMG|3DUR|4LIT|58VULN|7RCR|9NUKE|aLHND
219	13513 62233	   	194.66	DCR|2VULN|2DMG|1NUKE|1DUR	1RMIN|26DMG|3DUR|4LIT|58VULN|7RCR|9NUKE|aRCVC
220	13513 62234	 * 	194.66	DCR|3VULN|2DMG|1NUKE|1DUR	1RMIN|26DMG|3DUR|4LIT|58aVULN|7RCR|9NUKE
221	13513 62235	   	194.66	DCR|2VULN|2DMG|1NUKE|1DUR	1RMIN|26DMG|3DUR|4LIT|58VULN|7RCR|9NUKE|aLWND
222	13513 62236	   	194.66	DCR|2VULN|2DMG|1NUKE|1DUR|2RMIN	1aRMIN|26DMG|3DUR|4LIT|58VULN|7RCR|9NUKE
223	13523 36333	   	194.66	DCR|2VULN|2DMG|1ASPD|1DUR	1RMIN|2aDMG|3DUR|49VULN|5ASPD|6DLOT|7RCR|8LWND
224	13523 36433	   	194.66	DCR|2VULN|2DMG|1ASPD|1DUR	1RMIN|2aDMG|3DUR|49VULN|5ASPD|6DLOT|7RCR|8FEWX
225	13523 36633	   	194.66	DCR|2VULN|2DMG|1ASPD|1DUR	1RMIN|2aDMG|3DUR|49VULN|5ASPD|6DLOT|7RCR|8BEXP
226	32113 52135	   	194.66	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|2aDMG|3RMIN|4LIT|56VULN|7RCR|8TLV|9ASPD
227	32113 62231	   	194.66	DCR|2VULN|2DMG|1NUKE|1DUR	1DUR|26DMG|3RMIN|4LIT|58VULN|7RCR|9NUKE|aAME
228	32113 62232	   	194.66	DCR|2VULN|2DMG|1NUKE|1DUR	1DUR|26DMG|3RMIN|4LIT|58VULN|7RCR|9NUKE|aLHND
229	32113 62233	   	194.66	DCR|2VULN|2DMG|1NUKE|1DUR	1DUR|26DMG|3RMIN|4LIT|58VULN|7RCR|9NUKE|aRCVC
230	32113 62234	   	194.66	DCR|3VULN|2DMG|1NUKE|1DUR	1DUR|26DMG|3RMIN|4LIT|58aVULN|7RCR|9NUKE
231	32113 62235	   	194.66	DCR|2VULN|2DMG|1NUKE|1DUR	1DUR|26DMG|3RMIN|4LIT|58VULN|7RCR|9NUKE|aLWND
232	32113 62236	   	194.66	DCR|2VULN|2DMG|1NUKE|1DUR|2RMIN	1DUR|26DMG|3aRMIN|4LIT|58VULN|7RCR|9NUKE
233	32123 36333	   	194.66	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|2aDMG|3RMIN|49VULN|5ASPD|6DLOT|7RCR|8LWND
234	32123 36433	   	194.66	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|2aDMG|3RMIN|49VULN|5ASPD|6DLOT|7RCR|8FEWX
235	32123 36633	   	194.66	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|2aDMG|3RMIN|49VULN|5ASPD|6DLOT|7RCR|8BEXP
236	26236 32211	   	194.64	DCR|4VULN|1ASPD|1ZMB|1DUR	1DMSP|246aVULN|3ZMB|5RCVC|7DUR|8RCR|9ASPD
237	13313 22253	   	194.55	DCR|3VULN|2DMG|1ZMB	1RMIN|29DMG|3FEWX|4LIT|568VULN|7RCR|aZMB
238	32123 62514	   	194.51	DCR|3VULN|1ASPD|1DMG|1DUR	1DUR|2DMG|3RMIN|49aVULN|5ASPD|6DUST|7RCVC|8RCR
239	24351 32216	   	194.45	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1DMSP|27DMG|3RCVC|4ZMB|5ERES|6VULN|8RCR|9ASPD|aAART
240	13413 52253	   	194.45	DCR|3VULN|2DMG|1ZMB	1RMIN|29DMG|3DUST|4LIT|568VULN|7RCR|aZMB
241	63266 11322	 * 	194.44	DCR|2VULN|2AART|1MDPS|1CDMG|1ZMB|1DUR	1LIT|25AART|3MDPS|4CDMG|6DUR|7aVULN|8RCR|9ZMB
242	14132 32113	 * 	194.40	DCR|3ASPD|2VULN|1CDMG|1DUR	1RMIN|257ASPD|3ERES|47VULN|67TLV|7BPWR|8DUR|9CDMG|aRCR
243	32123 36461	 * 	194.34	DCR|2DMG|1VULN|1ASPD|1NUKE|1DUR	1DUR|29DMG|3RMIN|4VULN|5ASPD|6DLOT|7RCR|8FEWX|aNUKE
244	32123 36661	   	194.34	DCR|2DMG|1VULN|1ASPD|1NUKE|1DUR	1DUR|29DMG|3RMIN|4VULN|5ASPD|6DLOT|7RCR|8BEXP|aNUKE
245	26236 33216	   	194.26	DCR|3VULN|1AART|1ASPD|1ZMB	1DMSP|246VULN|3ZMB|5RCVC|7BEXP|8RCR|9ASPD|aAART
246	24213 13553	   	194.23	DCR|3VULN|1ASPD|1DMG|1DUR	1DMSP|2DMG|389VULN|4BELT|5ASPD|6RCR|7DUR|aRMIN
247	32513 24213	   	194.21	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DMG|3VULN|4ZMB|5ASPD|6CDMG|7BELT|8AELBLL|9AART|aRCR
248	32523 22242	   	194.21	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DMG|3VULN|4MLV|5ASPD|6CDMG|7ZMB|8LHND|9AART|aRCR
249	32533 22242	   	194.21	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DMG|3VULN|4CGEN|5ASPD|6CDMG|7ZMB|8LHND|9AART|aRCR
250	42523 22142	   	194.21	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1LWND|2DMG|3VULN|4MLV|5ASPD|6CDMG|7ZMB|8DUR|9AART|aRCR
251	42533 22142	   	194.21	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1LWND|2DMG|3VULN|4CGEN|5ASPD|6CDMG|7ZMB|8DUR|9AART|aRCR
252	13552 11431	   	194.15	DCR|1VULN|1AART|1ASPD|1DMG|2ZMB|1DUR	1RMIN|2DMG|3DUR|4aZMB|5ASPD|6RCVC|7AART|8RCR|9VULN
253	32152 11431	   	194.15	DCR|1VULN|1AART|1ASPD|1DMG|2ZMB|1DUR	1DUR|2DMG|3RMIN|4aZMB|5ASPD|6RCVC|7AART|8RCR|9VULN
254	32513 51135	   	194.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1DUR|26DMG|3VULN|4ZMB|5ASPD|7RCR|8LWND|9CGEN|aCDMG
255	24234 32151	   	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1aDMSP|2DMG|34VULN|5ASPD|6RPLT|7RCR|8DUR|9AART
256	24234 32152	   	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DMSP|2DMG|34VULN|5ASPD|6RPLT|7RCR|8DUR|9AART|aLIT
257	24234 32153	   	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DMSP|2DMG|34VULN|5ASPD|6RPLT|7RCR|8DUR|9AART|aBEXP
258	32315 23514	   	193.92	DCR|3VULN|2DMG|1ZMB|1DUR	1DUR|26DMG|3LHND|4ZMB|5CGEN|79aVULN|8RCR
259	32334 23514	   	193.92	DCR|3VULN|2DMG|1ZMB|1DUR	1DUR|26DMG|3LHND|4CGEN|5ZMB|79aVULN|8RCR
260	32513 51215	   	193.92	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1DUR|26DMG|3VULN|4ZMB|5ASPD|7RCR|8MLV|9LEGI|aCDMG
261	13531 33562	   	193.87	DCR|2DMG|1VULN|1ASPD|1CDMG|2DUR	1RMIN|2aDMG|34DUR|5FEWX|6VULN|7ASPD|8RCR|9CDMG
262	13533 33562	   	193.87	DCR|2DMG|1VULN|1ASPD|1CDMG|2DUR	1RMIN|2aDMG|34DUR|5BEXP|6VULN|7ASPD|8RCR|9CDMG
263	32131 33562	   	193.87	DCR|2DMG|1VULN|1ASPD|1CDMG|2DUR	14DUR|2aDMG|3RMIN|5FEWX|6VULN|7ASPD|8RCR|9CDMG
264	32133 33562	   	193.87	DCR|2DMG|1VULN|1ASPD|1CDMG|2DUR	14DUR|2aDMG|3RMIN|5BEXP|6VULN|7ASPD|8RCR|9CDMG
265	32224 31143	   	193.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR|1SELL	1DUR|2DMG|3SELL|4CDMG|5ASPD|6VULN|7RCR|8LWND|9RMIN|aAART
266	32224 31313	   	193.80	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR|1SELL	1DUR|2DMG|3SELL|4CDMG|5ASPD|6VULN|7RCR|8RMIN|9LHND|aAART
267	32136 33562	   	193.77	DCR|2DMG|1VULN|1ASPD|1CDMG|2DUR	14DUR|2aDMG|3RMIN|5DUST|6VULN|7ASPD|8RCR|9CDMG
268	61621 32134	 * 	193.76	DCR|3VULN|1ASPD|1DMG|1CDMG|1SELL	1LIT|2LWND|3DMG|4CDMG|56aVULN|7ASPD|8RCR|9SELL
269	61621 32123	   	193.76	DCR|2VULN|2DMG|1ASPD|1CDMG	1LIT|2LWND|3aDMG|4CDMG|56VULN|7ASPD|8RCR|9CGEN
270	61621 32163	   	193.76	DCR|2VULN|2DMG|1ASPD|1CDMG	1LIT|2LWND|3aDMG|4CDMG|56VULN|7ASPD|8RCR|9AME
271	24234 32532	   	193.73	DCR|2VULN|2DMG|2ASPD	1DMSP|29DMG|34VULN|5aASPD|6RPLT|7RCR|8LIT
272	24256 33221	   	193.69	DCR|4VULN|2DMG	1DMSP|24DMG|346aVULN|4BPWR|5RCVC|7BEXP|8RCR|9CGEN
273	55316 31123	 * 	193.58	DCR|3VULN|3ZMB|1AART	134ZMB|2LIT|56aVULN|7RCR|8AART|9RMIN
274	24251 63333	   	193.56	DCR|3DMG|2VULN|1CDMG|1DUR	1DMSP|247DMG|34VULN|4BPWR|5DUR|6CDMG|8DUST|9TLV|aRCR
275	63132 21582	 * 	193.52	DCR|3VULN|1AART|1DMG|1CDMG	1LIT|2AART|3DUST|4MBVNT|5CDMG|679VULN|8DMG|aRCR
276	11642 22235	   	193.44	DCR|2VULN|2DMG|2CDMG	1RMIN|2RPLT|3aDMG|4aVULN|5DMSP|68RCVC|7RCR|9aCDMG|aBPWR
277	24256 32332	   	193.41	DCR|3VULN|2DMG|1MDPS|1DUR	1DMSP|24DMG|346VULN|4BPWR|5RCVC|7DUR|8LEGI|9RCR|aMDPS
278	13221 66314	 * 	193.40	DCR|2DMG|1VULN|1NUKE|1CDMG|1ZMB	1RMIN|26DMG|3ZMB|4LWND|5CDMG|7RCR|8VULN|9RCVC|aNUKE
279	11223 23341	   	193.33	DCR|2VULN|2ASPD|1DMG|1CDMG	1RMIN|2RPLT|3CDMG|48VULN|57ASPD|6DMG|9MULFIG|aRCR
280	11515 32122	   	193.32	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1RMIN|2RPLT|3MSLREG|4DUR|5CDMG|69VULN|7RCR|8ASPD|aDMG
281	24234 32134	   	193.31	DCR|3VULN|1ASPD|1DMG|2DUR	1DMSP|2DMG|34aVULN|5ASPD|6RPLT|7RCR|89DUR
282	11643 63231	   	193.24	DCR|2VULN|2DMG|2CDMG	1RMIN|2RPLT|37DMG|45VULN|6RCR|8RCVC|9aCDMG
283	13115 25522	   	193.23	DCR|2VULN|2ASPD|1DMG|1CDMG	1RMIN|2DMG|3ERES|4BELT|59ASPD|68VULN|7CDMG|aRCR
284	11643 22134	   	193.22	DCR|3VULN|1DMG|1CDMG|1DUR	1RMIN|2RPLT|3DMG|45aVULN|6RCVC|7RCR|8DUR|9CDMG
285	24213 11115	   	193.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DMSP|29DMG|3VULN|4BELT|5ASPD|6RCR|7LHND|8AART|aDUR
286	24213 13411	   	193.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DMSP|29DMG|3VULN|4BELT|5ASPD|6RCR|7DUR|8AART|aFEWX
287	24213 13412	   	193.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DMSP|29DMG|3VULN|4BELT|5ASPD|6RCR|7DUR|8AART|aRPLT
288	24213 13414	   	193.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DMSP|29DMG|3VULN|4BELT|5ASPD|6RCR|7DUR|8AART|aLHND
289	24213 13416	   	193.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DMSP|29DMG|3VULN|4BELT|5ASPD|6RCR|7DUR|8AART|aLIT
290	24213 13422	   	193.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DMSP|2aDMG|3VULN|4BELT|5ASPD|6RCR|7DUR|8AART|9FEWX
291	22523 24113	   	193.13	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1DMSP|2LWND|3DUR|47VULN|5CDMG|6SPLREG|8AART|9RCR|aASPD
292	26533 23113	   	193.13	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1DMSP|26VULN|3DUR|4SPLREG|5CDMG|7LWND|8AART|9RCR|aASPD
293	24213 13462	   	193.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DMSP|2aDMG|3VULN|4BELT|5ASPD|6RCR|7DUR|8AART|9DUST
294	36363 13813	   	193.09	DCR|2VULN|2DMG|1AART|2DUR|1SELL	18DUR|28VULN|3MBVNT|4BELT|5RCVC|6SELL|78DMG|8BPWR|9AART|aRCR
295	61135 22226	   	193.09	DCR|3VULN|3DMG|1SELL	169LIT|2aLWND|39aVULN|4SELL|5DMSP|7RCR|89aDMG|9aBPWR
296	24254 32131	   	193.06	DCR|2VULN|2DMG|1ASPD|2DUR|1SELL	1DMSP|24DMG|34VULN|4BPWR|5ASPD|6RPLT|7RCR|89DUR|aSELL
297	24254 32132	   	193.06	DCR|2VULN|2DMG|1ASPD|2DUR|1MSE	1DMSP|24DMG|34VULN|4BPWR|5ASPD|6RPLT|7RCR|89DUR|aMSE
298	13332 33514	   	193.00	DCR|3VULN|1ASPD|1DMG|1DUR	1RMIN|2DMG|3FEWX|4DUR|5AELBLL|69aVULN|7ASPD|8RCR
299	32126 13514	   	193.00	DCR|3VULN|1ASPD|1DMG|1DUR	1DUR|2DMG|3RMIN|49aVULN|5BEXP|6DMSP|7ASPD|8RCR
300	42121 32524	   	193.00	DCR|2VULN|1AART|1ASPD|1DMG	1LWND|2DMG|3RMIN|46VULN|5RCVC|7AIRARM|8RCR|9ASPD|aAART
301	42513 51331	   	193.00	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1SELL	1LWND|26DMG|3VULN|4ZMB|5ASPD|7RCR|8LIT|9SELL|aAART
302	61621 32113	 * 	192.96	DCR|2VULN|1MDPS|2CDMG|1ASPD|1DMG	1LIT|2LWND|3DMG|49CDMG|56VULN|7ASPD|8RCR|aMDPS
303	24254 32112	   	192.92	DCR|2VULN|2DMG|1ASPD|2DUR|1SELL	1DMSP|24DMG|34VULN|4BPWR|5ASPD|6RPLT|7RCR|8aDUR|9SELL
304	13432 33514	   	192.90	DCR|3VULN|1ASPD|1DMG|1DUR	1RMIN|2DMG|3DUST|4DUR|5AELBLL|69aVULN|7ASPD|8RCR
305	32162 33514	   	192.90	DCR|3VULN|1ASPD|1DMG|1DUR	1DUR|2DMG|3RMIN|4DUST|5AELBLL|69aVULN|7ASPD|8RCR
306	15213 13462	   	192.90	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1RMIN|2AME|3ZMB|4BELT|5ASPD|6RCR|7DUR|8AART|9VULN|aDMG
307	13241 13462	   	192.90	DCR|1AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1RMIN|2DMG|3ZMB|4CGEN|5BELT|6RCR|7DUR|8AART|9VULN|aASPD
308	14241 13432	   	192.90	DCR|1AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1RMIN|2ASPD|3ZMB|4CGEN|5BELT|6RCR|7DUR|8AART|9VULN|aDMG
309	21132 62226	   	192.89	DCR|3VULN|3DMG|1SELL	1DMSP|2SELL|349LIT|59aVULN|6LEGI|7RCR|89aDMG|9aBPWR
310	21156 22226	   	192.89	DCR|3VULN|3DMG|1SELL	1DMSP|2SELL|369LIT|4aDUST|59aVULN|7RCR|89aDMG|9aBPWR
311	13221 66334	   	192.87	DCR|2VULN|2DMG|1CDMG|1ZMB	1RMIN|26DMG|3ZMB|4LWND|5CDMG|7RCR|8aVULN|9ERES
312	13513 52252	   	192.85	DCR|3VULN|2DMG|1DUR	1RMIN|29DMG|3DUR|4LIT|568VULN|7RCR|aRCVC
313	32113 52252	   	192.85	DCR|3VULN|2DMG|1DUR	1DUR|29DMG|3RMIN|4LIT|568VULN|7RCR|aRCVC
314	11643 63131	   	192.84	DCR|2VULN|2DMG|1CDMG|1DUR	1RMIN|2RPLT|37DMG|45VULN|6RCR|8DUR|9CDMG|aERES
315	11643 63133	   	192.84	DCR|2VULN|2DMG|1CDMG|1DUR	1RMIN|2RPLT|37DMG|45VULN|6RCR|8DUR|9CDMG|aDUST
316	24231 13262	   	192.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DMSP|2DMG|34VULN|5DUR|6LIT|7ZMB|8CDMG|9RCR|aASPD
317	26231 62362	   	192.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DMSP|24VULN|3ZMB|5DUR|6CDMG|7LIT|8DMG|9RCR|aASPD
318	43125 22234	   	192.81	DCR|4VULN|1DMG|1ZMB	1LWND|2ZMB|3RMIN|458aVULN|6LIT|7RCR|9DMG
319	51125 22234	   	192.81	DCR|4VULN|1DMG|1ZMB	1ZMB|2BEXP|3RMIN|458aVULN|6LIT|7RCR|9DMG
320	13632 21352	   	192.81	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	1RMIN|2DMG|3AME|4VULN|5aASPD|6LIT|7AART|8ZMB|9RCR
321	36334 16182	   	192.80	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	1DUR|259VULN|3MBVNT|4RMIN|6DMG|7MDPS|8RCR|aASPD
322	15115 32633	 * 	192.80	DCR|4VULN|2ASPD	1RMIN|27AME|3ERES|4BELT|57ASPD|678aVULN|7BPWR|9RCR
