0	Index      	 *	Score 	Summary	Detail	
1	22611 36261	 * 	203.33	DCR|3VULN|1AART|1NUKE|1ASPD	1TLV|2ERES|3BELT|456VULN|7RCR|8AART|9ASPD|aNUKE
176	25512 24232	   	175.34	DCR|1MDPS|2ASPD|1VULN|2CDMG|1DMG	18TLV|2VULN|38CDMG|4LHND|5MDPS|6DMG|78ASPD|8BPWR|9RCR|aLWND
177	25512 24233	   	175.34	DCR|1MDPS|2ASPD|1VULN|2CDMG|1DMG	18TLV|2VULN|38CDMG|4LHND|5MDPS|6DMG|78ASPD|8BPWR|9RCR|aFEWX
178	56312 25333	 * 	175.29	DCR|2VULN|1AART|1ASPD|2ZMB	1BELT|2aZMB|3AELBLL|4aVULN|5ASPD|6AART|7DUST|8aLWND|9RCR|aBPWR
179	13413 52511	   	175.26	DCR|2VULN|1MDPS|1AART|2CDMG|1DUR	1DUST|2TLV|3DUR|45VULN|69CDMG|7MDPS|8RCR|aAART
180	25311 52511	   	175.26	DCR|2VULN|1MDPS|1AART|2CDMG|1DUR	1TLV|24VULN|3DUR|5DUST|69CDMG|7MDPS|8RCR|aAART
181	25333 52511	   	175.26	DCR|2VULN|1MDPS|1AART|2CDMG|1DUR	1TLV|25VULN|3DUR|4DUST|69CDMG|7MDPS|8RCR|aAART
182	64231 23242	 * 	175.24	ACR|3VULN|1AART|1ASPD|1DMG	1FEWX|2DMSP|346VULN|5RCR|7DMG|8BEXP|9AART|aASPD
183	22611 36422	   	175.24	DCR|4VULN|1ASPD	1TLV|2ERES|3BELT|4569VULN|7RCR|8ASPD|aDUST
184	25212 26211	   	175.24	DCR|4VULN|1DMG	1TLV|2469VULN|3LEGI|5DMG|7RCR|8BELT|aTSLARM
185	25212 26213	   	175.24	DCR|4VULN|1DMG	1TLV|2469VULN|3LEGI|5DMG|7RCR|8BELT|aDUST
186	25212 26214	   	175.24	DCR|4VULN|1DMG|1MSE	1TLV|2469VULN|3LEGI|5DMG|7RCR|8BELT|aMSE
187	52112 36411	 * 	175.21	DCR|3ASPD|2VULN|1MDPS	1BELT|23AME|46VULN|589ASPD|7RCR|aMDPS
188	13263 36134	 * 	175.18	DCR|2DMG|1VULN|1ASPD|1CDMG	1DUST|2TLV|34LHND|56DMG|7RCR|8CDMG|9VULN|aASPD
189	16233 36134	   	175.18	DCR|2DMG|1VULN|1ASPD|1CDMG	14DUST|2AME|3LHND|56DMG|7RCR|8CDMG|9VULN|aASPD
190	55323 21523	 * 	175.17	DCR|1AART|1VULN|2CDMG|1ASPD|1ZMB	1BELT|2DUST|3LIT|4ZMB|58CDMG|6AART|7ASPD|9RCR|aVULN
191	63412 36113	 * 	175.10	DCR|2VULN|2DMG|2DUR	1FEWX|2TLV|3aDUR|4aVULN|5LIT|6RCR|7aDMG|8LWND|9AME|aBPWR
192	61265 22231	 * 	175.09	DCR|2DMG|1MDPS|1VULN|1AART|1CDMG|1AAC	18FEWX|28CGEN|3MDPS|4VULN|5CDMG|68DMG|7AAC|8BPWR|9RCR|aAART
193	33311 61254	 * 	175.09	DCR|2VULN|1AART|1ASPD|2DUR	17LWND|2TLV|35DUR|46VULN|8ASPD|9RCR|aAART
194	13233 36134	   	175.08	DCR|2DMG|1VULN|1ASPD|1CDMG	14DUST|2TLV|3LHND|56DMG|7RCR|8CDMG|9VULN|aASPD
195	33315 32435	   	174.26	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LWND|2TLV|3DUR|48VULN|5ERES|6ZMB|7CDMG|9AART|aRCR
196	12252 42631	   	174.26	DCR|2VULN|1ASPD|1DMG|1ZMB	1DUST|25BEXP|35VULN|4BELT|5BPWR|6RCR|7LHND|8ASPD|9DMG|aZMB
197	52331 42632	   	174.16	DCR|2VULN|1ASPD|1DMG|1ZMB	1BELT|2AME|3DUST|4ZMB|5aVULN|6RCR|7LHND|8ASPD|9DMG
198	22611 36121	   	173.92	DCR|4VULN|1ZMB|1DUR	1TLV|2ERES|3BELT|4569VULN|7RCR|8ZMB|aDUR
199	64226 13312	   	173.87	DCR|2VULN|1AART|1ASPD|1ZMB	14FEWX|2DMSP|36VULN|5AART|7MBVNT|8RCR|9ZMB|aASPD
200	64236 33312	   	173.87	DCR|2VULN|1AART|1ASPD|1ZMB	16FEWX|2DMSP|34VULN|5AART|7MBVNT|8RCR|9ZMB|aASPD
201	36516 32322	 * 	173.67	ACR|2VULN|2DMG|1ASPD|1CDMG	1aLWND|2RCR|3AME|4aVULN|5BELT|6DMSP|7CDMG|8ASPD|9aDMG|aBPWR
202	11118 84135	   	173.67	DCR|2AART|1ASPD|1DMG|1CDMG	1DUST|23CGEN|4MBVNT|58AART|6CDMG|7RCR|9ASPD|aDMG
203	11153 84135	   	173.67	DCR|2AART|1ASPD|1DMG|1CDMG	1DUST|23CGEN|48AART|5MBVNT|6CDMG|7RCR|9ASPD|aDMG
204	56312 24121	   	173.65	DCR|1VULN|1AART|1ASPD|1NUKE|1ZMB	1BELT|2ZMB|3AELBLL|4VULN|5ASPD|6AART|7RCVC|8RCR|9RMIN|aNUKE
205	56331 12218	   	173.64	DCR|1VULN|1AART|1DMG|1CDMG|1ZMB	1BELT|2ZMB|3AELBLL|4MBVNT|5DUST|6RCR|7CDMG|8VULN|9DMG|aAART
206	36111 32636	 * 	173.64	ACR|2VULN|2AART|2ASPD	1LWND|2RCR|3RMIN|49VULN|56AART|7CGEN|8aASPD
207	36123 32636	   	173.64	ACR|2VULN|2AART|2ASPD	1LWND|2RCR|3RMIN|46AART|59VULN|7CGEN|8aASPD
208	34433 32532	   	173.55	DCR|2AART|2ASPD|1VULN	1LWND|26AART|3FEWX|4aASPD|5VULN|7CGEN|8RCR|9LHND
209	34433 33532	   	173.55	DCR|2AART|2ASPD|1VULN	1LWND|26AART|3FEWX|4aASPD|5VULN|7MLV|8RCR|9LHND
210	61323 33512	   	173.55	DCR|2AART|2ASPD|1VULN	1FEWX|2CGEN|3LHND|46AART|5VULN|7aASPD|8RCR|9LWND
211	61323 33522	   	173.55	DCR|2AART|2ASPD|1VULN	1FEWX|2CGEN|3LHND|46AART|5VULN|7aASPD|8RCR|9BEXP
212	34433 31532	 * 	173.45	DCR|2AART|2ASPD|1VULN|1AAC	1LWND|26AART|3FEWX|4aASPD|5VULN|7AAC|8RCR|9LHND
213	63223 36512	   	173.45	DCR|2AART|2ASPD|1VULN	1FEWX|2TLV|3LHND|46AART|5VULN|7aASPD|8RCR|9LWND
214	63223 36522	   	173.45	DCR|2AART|2ASPD|1VULN	1FEWX|2TLV|3LHND|46AART|5VULN|7aASPD|8RCR|9BEXP
215	12241 33633	   	173.38	DCR|2AART|1VULN|1ASPD|1CDMG	1DUST|2BEXP|3VULN|4ERES|58AART|6BELT|7ASPD|9RCR|aCDMG
216	34633 31233	 * 	173.38	DCR|2AART|1VULN|1ASPD|1CDMG|1AAC	1LWND|26AART|3DUST|4ASPD|5VULN|7AAC|8BELT|9RCR|aCDMG
217	34131 63124	   	173.37	DCR|2AART|1VULN|1ASPD|1ZMB	1LWND|23AART|457ERES|6RCR|8VULN|9ZMB|aASPD
