0	Index      	 *	Score 	Summary	Detail	
1	31131 23242	 * 	299.41	DCR|3VULN|1TLV|2DMG|2AEBURN|1ASPD	1MDPS|24AEBURN|345VULN|4BPWR|6TLV|7RCR|89DMG|aASPD
168	31434 33242	   	274.62	DCR|2VULN|1TLV|2DMG|1AEBURN|1ASPD	16MDPS|2AEBURN|3TLV|45VULN|7RCR|89DMG|aASPD
169	21131 64233	   	274.25	DCR|3VULN|1TLV|2DUR|1ASPD|1CDMG	1LHND|24DUR|345VULN|4BPWR|6CDMG|7LIT|8RCR|9ASPD|aTLV
170	34834 11416	   	274.25	DCR|3VULN|2TLV|2ZMB	1MDPS|2MBVNT|39aVULN|4aTLV|5DUR|6CGEN|7aZMB|8RCR|aBPWR
171	31131 23632	 * 	274.22	DCR|3VULN|1TLV|2ASPD|1AEPOI|2AEBURN	1MDPS|24AEBURN|345VULN|4BPWR|6TLV|7RCR|8AEPOI|9aASPD
172	31141 23632	   	274.22	DCR|3VULN|1TLV|2ASPD|1AEPOI|1AEBURN	1MDPS|2AEBURN|345VULN|6TLV|7RCR|8AEPOI|9aASPD
173	52141 23632	 * 	274.22	DCR|3VULN|1TLV|2ASPD|1AEFBLL|1AEPOI	1AEFBLL|2MDPS|345VULN|6TLV|7RCR|8AEPOI|9aASPD
174	31124 31424	 * 	274.22	DCR|3VULN|2TLV|1AEFBLL|2AEBURN	1MDPS|2aAEBURN|36aVULN|4MBVNT|5MGNSTR|7AEFBLL|8aTLV|9RCR|aBPWR
175	31354 31424	   	274.22	DCR|3VULN|2TLV|1AEFBLL|2AEBURN	1MDPS|2aAEBURN|3MBVNT|46aVULN|5MGNSTR|7AEFBLL|8aTLV|9RCR|aBPWR
176	22352 26243	 * 	274.15	ACR|2VULN|1TLV|2DMG|3CDMG	1LHND|25VULN|359CDMG|4RCR|5BPWR|6RAT|78DMG|aTLV
177	33165 31844	 * 	274.12	ACR|3VULN|2TLV|2AEBURN	1MDPS|2aSPLARM|3RCR|46TLV|59aVULN|7MBVNT|8aAEBURN|aBPWR
178	21131 23134	   	273.96	DCR|3VULN|1TLV|1AEPOI|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8CGEN|9RAT|aAEPOI
179	21131 23144	   	273.96	DCR|3VULN|1TLV|1DMG|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8CGEN|9DMG|aZMB
180	21131 23232	   	273.96	DCR|3VULN|1TLV|1DMG|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8DMG|9RAT|aFEWX
181	21131 23233	   	273.96	DCR|3VULN|1TLV|1DMG|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8DMG|9RAT|aMLV
182	21131 23236	   	273.96	DCR|3VULN|1TLV|1DMG|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8DMG|9RAT|aLIT
183	21131 23415	   	273.96	DCR|3VULN|1TLV|1AEBURN|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8ZMB|9BELT|aAEBURN
184	21131 23442	   	273.96	DCR|3VULN|1TLV|1DMG|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8ZMB|9DMG|aTSLFST
185	21131 23613	   	273.96	DCR|3VULN|1TLV|1AEPOI|2DUR	19LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8AEPOI|aZMB
186	21131 21251	   	273.96	DCR|3VULN|1TLV|1AEBURN|2DUR	1aLHND|24DUR|345VULN|4BPWR|6TLV|7ZMB|8AEBURN|9RCR
187	21131 21254	   	273.96	DCR|3VULN|1TLV|1AEBURN|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7ZMB|8AEBURN|9RCR|aLWND
188	21131 23224	   	273.86	DCR|3VULN|1TLV|1DMG|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8DMG|9ERES|aZMB
189	21131 23231	   	273.86	DCR|3VULN|1TLV|1DMG|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8DMG|9RAT|aERES
190	21131 23441	   	273.86	DCR|3VULN|1TLV|1DMG|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8ZMB|9DMG|aAETHUN
191	21131 23446	   	273.86	DCR|3VULN|1TLV|1DMG|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8ZMB|9DMG|aERES
192	21131 23626	   	273.86	DCR|3VULN|1TLV|1AEPOI|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8AEPOI|9ERES|aRAT
193	21141 23643	   	273.86	DCR|3VULN|1TLV|1AEPOI|2DUR	1LHND|29DUR|345VULN|6TLV|7RCR|8AEPOI|aZMB
194	22433 33643	   	273.86	DCR|3VULN|1TLV|1AEPOI|2DUR	1LHND|245VULN|3TLV|69DUR|7RCR|8AEPOI|aZMB
195	21131 21252	   	273.86	DCR|3VULN|1TLV|1AEBURN|2DUR|1MSE	1LHND|24DUR|345VULN|4BPWR|6TLV|7ZMB|8AEBURN|9RCR|aMSE
196	21131 21255	   	273.86	DCR|3VULN|1TLV|1AEBURN|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7ZMB|8AEBURN|9RCR|aDUST
197	21131 21256	   	273.86	DCR|3VULN|1TLV|1AEBURN|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7ZMB|8AEBURN|9RCR|aAEWIND
198	22352 24314	   	273.83	ACR|2VULN|1TLV|1AEPOI|2CDMG|1ASPD	1LHND|25VULN|35CDMG|4RCR|5BPWR|6RAT|7TLV|8DUR|9AEPOI|aASPD
199	61141 23242	   	273.81	DCR|3VULN|1TLV|2DMG|1ASPD|1MSE	1MSE|2DUR|345VULN|6TLV|7RCR|89DMG|aASPD
200	61134 33242	   	273.81	DCR|3VULN|1TLV|2DMG|1ASPD|1MSE	1MSE|2DUR|356VULN|4TLV|7RCR|89DMG|aASPD
201	62433 33242	   	273.81	DCR|3VULN|1TLV|2DMG|1ASPD|1MSE	1MSE|245VULN|3TLV|6DUR|7RCR|89DMG|aASPD
202	22351 44427	 * 	273.60	ACR|DCR|2VULN|1TLV|1CDMG|1MSE	1LHND|28VULN|3CDMG|4aRCR|5MSE|6MBVNT|7TLV|9LIT
203	22434 31253	   	273.26	DCR|2TLV|2VULN|1AEBURN	1LHND|24VULN|35TLV|6DUR|7ZMB|8AEBURN|9RCR|aRAT
204	22434 33143	   	273.04	DCR|2TLV|2VULN|1DMG|1ASPD	1LHND|24VULN|35TLV|6DUR|7RCR|8CGEN|9DMG|aASPD
205	22434 33631	   	273.04	DCR|2TLV|2VULN|1AEPOI|1ASPD	1aLHND|24VULN|35TLV|6DUR|7RCR|8AEPOI|9ASPD
206	22434 33223	   	272.94	DCR|2TLV|2VULN|1DMG|1ASPD	1LHND|24VULN|35TLV|6DUR|7RCR|8DMG|9ERES|aASPD
207	22434 33632	   	272.94	DCR|2TLV|2VULN|1AEPOI|1ASPD|1MSE	1LHND|24VULN|35TLV|6DUR|7RCR|8AEPOI|9ASPD|aMSE
208	26131 23246	   	272.84	DCR|3VULN|1TLV|2DMG	1LHND|24LWND|345VULN|4BPWR|6TLV|7RCR|89DMG|aRAT
209	22141 23246	   	272.74	DCR|3VULN|1TLV|2DMG	1LHND|235VULN|4LWND|6TLV|7RCR|89DMG|aRAT
210	22433 43243	   	272.74	DCR|3VULN|1TLV|2DMG	1LHND|245VULN|3TLV|6FEWX|7RCR|89DMG|aRAT
211	22131 23243	   	272.64	DCR|3VULN|1TLV|2DMG	1LHND|235VULN|4DUST|6TLV|7RCR|89DMG|aRAT
212	21141 23343	   	272.51	DCR|4VULN|1TLV|1ASPD	1LHND|2DUR|3459VULN|6TLV|7RCR|8BEXP|aASPD
213	21434 33343	   	272.51	DCR|4VULN|1TLV|1ASPD	1LHND|2DUR|3TLV|4569VULN|7RCR|8BEXP|aASPD
214	22433 33343	   	272.51	DCR|4VULN|1TLV|1ASPD	1LHND|2459VULN|3TLV|6DUR|7RCR|8BEXP|aASPD
215	21141 21253	   	271.75	DCR|3VULN|1TLV|1AEBURN	1LHND|2DUR|345VULN|6TLV|7ZMB|8AEBURN|9RCR|aRAT
216	21141 23434	   	271.75	DCR|3VULN|1TLV|1AEPOI	1LHND|2DUR|345VULN|6TLV|7RCR|8ZMB|9RAT|aAEPOI
217	21434 31253	   	271.75	DCR|3VULN|1TLV|1AEBURN	1LHND|2DUR|3TLV|456VULN|7ZMB|8AEBURN|9RCR|aRAT
218	22433 31253	   	271.75	DCR|3VULN|1TLV|1AEBURN	1LHND|245VULN|3TLV|6DUR|7ZMB|8AEBURN|9RCR|aRAT
219	22433 33434	   	271.75	DCR|3VULN|1TLV|1AEPOI	1LHND|245VULN|3TLV|6DUR|7RCR|8ZMB|9RAT|aAEPOI
220	26131 23643	   	271.62	DCR|3VULN|1TLV|1AEPOI|1ASPD	1LHND|24LWND|345VULN|4BPWR|6TLV|7RCR|8AEPOI|9DUR|aASPD
221	21141 23143	   	271.52	DCR|3VULN|1TLV|1DMG|1ASPD	1LHND|2DUR|345VULN|6TLV|7RCR|8CGEN|9DMG|aASPD
222	21141 23631	   	271.52	DCR|3VULN|1TLV|1AEPOI|1ASPD	1aLHND|2DUR|345VULN|6TLV|7RCR|8AEPOI|9ASPD
223	21141 23634	   	271.52	DCR|3VULN|1TLV|1AEPOI|1ASPD	1LHND|2DUR|345VULN|6TLV|7RCR|8AEPOI|9ASPD|aLWND
224	21141 23653	   	271.52	DCR|3VULN|1TLV|1AEPOI|1ASPD	1LHND|2DUR|345VULN|6TLV|7RCR|8AEPOI|9BEXP|aASPD
225	21434 33143	   	271.52	DCR|3VULN|1TLV|1DMG|1ASPD	1LHND|2DUR|3TLV|456VULN|7RCR|8CGEN|9DMG|aASPD
226	21434 33631	   	271.52	DCR|3VULN|1TLV|1AEPOI|1ASPD	1aLHND|2DUR|3TLV|456VULN|7RCR|8AEPOI|9ASPD
227	22141 23643	   	271.52	DCR|3VULN|1TLV|1AEPOI|1ASPD	1LHND|235VULN|4LWND|6TLV|7RCR|8AEPOI|9DUR|aASPD
228	22433 33143	   	271.52	DCR|3VULN|1TLV|1DMG|1ASPD	1LHND|245VULN|3TLV|6DUR|7RCR|8CGEN|9DMG|aASPD
229	22433 33631	   	271.52	DCR|3VULN|1TLV|1AEPOI|1ASPD	1aLHND|245VULN|3TLV|6DUR|7RCR|8AEPOI|9ASPD
230	22433 33634	   	271.52	DCR|3VULN|1TLV|1AEPOI|1ASPD	1LHND|245VULN|3TLV|6DUR|7RCR|8AEPOI|9ASPD|aLWND
231	22433 33653	   	271.52	DCR|3VULN|1TLV|1AEPOI|1ASPD	1LHND|245VULN|3TLV|6DUR|7RCR|8AEPOI|9BEXP|aASPD
232	22131 23643	   	271.42	DCR|3VULN|1TLV|1AEPOI|1ASPD	1LHND|235VULN|4DUST|6TLV|7RCR|8AEPOI|9DUR|aASPD
233	31131 23643	   	271.42	DCR|3VULN|1TLV|1AEPOI|2AEBURN|1ASPD	1MDPS|24AEBURN|345VULN|4BPWR|6TLV|7RCR|8AEPOI|9DUR|aASPD
234	31141 23643	   	271.42	DCR|3VULN|1TLV|1AEPOI|1AEBURN|1ASPD	1MDPS|2AEBURN|345VULN|6TLV|7RCR|8AEPOI|9DUR|aASPD
235	21141 23223	   	271.42	DCR|3VULN|1TLV|1DMG|1ASPD	1LHND|2DUR|345VULN|6TLV|7RCR|8DMG|9ERES|aASPD
236	21141 23632	   	271.42	DCR|3VULN|1TLV|1AEPOI|1ASPD|1MSE	1LHND|2DUR|345VULN|6TLV|7RCR|8AEPOI|9ASPD|aMSE
237	21141 23635	   	271.42	DCR|3VULN|1TLV|1AEPOI|1ASPD	1LHND|2DUR|345VULN|6TLV|7RCR|8AEPOI|9ASPD|aDUST
238	21141 23636	   	271.42	DCR|3VULN|1TLV|1AEPOI|1ASPD	1LHND|2DUR|345VULN|6TLV|7RCR|8AEPOI|9ASPD|aAEWIND
239	21434 33223	   	271.42	DCR|3VULN|1TLV|1DMG|1ASPD	1LHND|2DUR|3TLV|456VULN|7RCR|8DMG|9ERES|aASPD
240	21434 33632	   	271.42	DCR|3VULN|1TLV|1AEPOI|1ASPD|1MSE	1LHND|2DUR|3TLV|456VULN|7RCR|8AEPOI|9ASPD|aMSE
241	22433 33223	   	271.42	DCR|3VULN|1TLV|1DMG|1ASPD	1LHND|245VULN|3TLV|6DUR|7RCR|8DMG|9ERES|aASPD
242	22433 33632	   	271.42	DCR|3VULN|1TLV|1AEPOI|1ASPD|1MSE	1LHND|245VULN|3TLV|6DUR|7RCR|8AEPOI|9ASPD|aMSE
243	22433 33635	   	271.42	DCR|3VULN|1TLV|1AEPOI|1ASPD	1LHND|245VULN|3TLV|6DUR|7RCR|8AEPOI|9ASPD|aDUST
244	22433 33636	   	271.42	DCR|3VULN|1TLV|1AEPOI|1ASPD	1LHND|245VULN|3TLV|6DUR|7RCR|8AEPOI|9ASPD|aAEWIND
245	22352 24116	   	270.59	ACR|2VULN|1TLV|1DMG|1AEPOI|2CDMG	1LHND|25VULN|35CDMG|4RCR|5BPWR|6RAT|7TLV|8LWND|9AEPOI|aDMG
246	62115 24112	   	270.22	DCR|3VULN|2TLV|1AEFBLL|1AART|2MSE	1aMSE|23aVULN|4TSLFST|5AEFBLL|6RCR|7RCVC|8aTLV|9AART|aBPWR
247	22352 24242	   	270.21	ACR|2VULN|1TLV|3CDMG|1DMG|1ASPD	1LHND|25VULN|35aCDMG|4RCR|5BPWR|6RAT|7TLV|8DMG|9ASPD
248	22332 33155	   	270.14	DCR|DCR|1TLV|1VULN|1CDMG|1AART	1LHND|2VULN|3CDMG|4RCVC|5TLV|6AART|7LWND|8CGEN|9aRCR
