0	Index      	 *	Score 	Summary	Detail	
1	61126 12422	 * 	244.97	ACR|3VULN|3ASPD|3BEXP|1BASICY	158VULN|289ASPD|3RCR|4MDPS|678BEXP|8BPWR|aBASICY
156	31141 41363	   	216.41	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1DMG|2BEXP|3RCR|4AART|5ERES|6VULN|7CDMG|8LHND|9BASARM|aLEGI
157	31143 42222	   	216.41	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1DMG|2BEXP|3RCR|4AART|5MDPS|6CDMG|7MULARM|8VULN|9BASARM|aLIT
158	31143 42223	   	216.41	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART|1CDMG	1DMG|2BEXP|3RCR|4AART|5MDPS|6CDMG|7MULARM|8VULN|9BASARM|aFEWX
159	31143 42225	   	216.41	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1DMG|2BEXP|3RCR|4AART|5MDPS|6CDMG|7MULARM|8VULN|9BASARM|aLHND
160	31143 42226	   	216.41	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART|1CDMG	1DMG|2BEXP|3RCR|4AART|5MDPS|6CDMG|7MULARM|8VULN|9BASARM|aCGEN
161	61135 12412	   	216.40	ACR|4VULN|3BEXP|2ASPD|1SELL	1567VULN|27ASPD|3RCR|47aBEXP|7BPWR|8SELL|9FEWX
162	31123 42221	   	216.31	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1DMG|2BEXP|3RCR|4MDPS|5CDMG|6AART|7MULARM|8VULN|9BASARM|aERES
163	31123 42224	   	216.31	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AART	1DMG|2BEXP|3RCR|4MDPS|5CDMG|6AART|7MULARM|8VULN|9BASARM|aAEMAG
164	31143 42221	   	216.31	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1DMG|2BEXP|3RCR|4AART|5MDPS|6CDMG|7MULARM|8VULN|9BASARM|aERES
165	31143 42224	   	216.31	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AART	1DMG|2BEXP|3RCR|4AART|5MDPS|6CDMG|7MULARM|8VULN|9BASARM|aAEMAG
166	31123 31223	   	216.19	ACR|2VULN|2DMG|2BEXP|3CDMG	1aDMG|2aBEXP|3RCR|4MDPS|568CDMG|7aVULN|9NUKE|aBPWR
167	61123 33223	   	216.19	ACR|2VULN|2ASPD|2BEXP|3CDMG	1aVULN|2aASPD|3RCR|4MDPS|568CDMG|7aBEXP|9NUKE|aBPWR
168	34225 12423	   	215.69	ACR|2VULN|3BEXP|2DMG|1ASPD	18DMG|2RCVC|3MDPS|4RCR|58VULN|678BEXP|8BPWR|9ASPD|aCGEN
169	61123 14115	 * 	215.69	ACR|3VULN|2DMG|1ASPD|2CDMG	17aVULN|2ASPD|3RCR|4MDPS|5aCDMG|6ERES|8AME|9aDMG|aBPWR
170	34225 12421	   	215.59	ACR|2VULN|3BEXP|2DMG|1ASPD	18DMG|2RCVC|3MDPS|4RCR|58VULN|678BEXP|8BPWR|9ASPD|aDUST
171	61123 46231	   	215.57	ACR|2VULN|3ASPD|2CDMG|1AART	17VULN|279ASPD|3RCR|4MDPS|57CDMG|6AART|7BPWR|8FEWX|aMLV
172	61123 46232	   	215.57	ACR|2VULN|3ASPD|2CDMG|1AART	17VULN|279ASPD|3RCR|4MDPS|57CDMG|6AART|7BPWR|8FEWX|aRMIN
173	61123 46331	   	215.57	ACR|2VULN|3ASPD|2CDMG|1AART	17VULN|279ASPD|3RCR|4MDPS|57CDMG|6AART|7BPWR|8LHND|aMLV
174	61123 46332	   	215.57	ACR|2VULN|3ASPD|2CDMG|1AART	17VULN|279ASPD|3RCR|4MDPS|57CDMG|6AART|7BPWR|8LHND|aRMIN
175	61123 46233	   	215.47	ACR|2VULN|3ASPD|2CDMG|1AART	17VULN|279ASPD|3RCR|4MDPS|57CDMG|6AART|7BPWR|8FEWX|aDLOT
176	61123 46323	   	215.47	ACR|2VULN|3ASPD|2CDMG|1AART	17VULN|27aASPD|3RCR|4MDPS|57CDMG|6AART|7BPWR|8LHND|9ERES
177	61123 46333	   	215.47	ACR|2VULN|3ASPD|2CDMG|1AART	17VULN|279ASPD|3RCR|4MDPS|57CDMG|6AART|7BPWR|8LHND|aDLOT
178	32126 36211	   	215.27	ACR|2VULN|2ASPD|2DMG|1AART	19DMG|2FEWX|3RCR|4MDPS|59VULN|6LIT|7AEFBLL|89ASPD|9BPWR|aAART
179	61135 12141	 * 	215.24	ACR|5VULN|2ASPD|2BEXP	15679VULN|27ASPD|3RCR|47BEXP|7BPWR|8LWND|aRMIN
180	61135 12143	   	215.24	ACR|5VULN|2ASPD|2BEXP	15679VULN|27ASPD|3RCR|47BEXP|7BPWR|8LWND|aLHND
181	61135 12241	   	215.24	ACR|5VULN|2ASPD|2BEXP	15679VULN|27ASPD|3RCR|47BEXP|7BPWR|8DUR|aRMIN
182	61135 12242	   	215.24	ACR|5VULN|2ASPD|2BEXP	15679VULN|27ASPD|3RCR|47BEXP|7BPWR|8DUR|aLHND
183	61135 12142	   	215.14	ACR|5VULN|2ASPD|2BEXP	15679VULN|27ASPD|3RCR|47BEXP|7BPWR|8LWND|aLEGI
184	61135 12216	   	215.14	ACR|5VULN|2ASPD|2BEXP	1567aVULN|27ASPD|3RCR|47BEXP|7BPWR|8DUR|9MBVNT
185	61135 12235	   	215.14	ACR|5VULN|2ASPD|2BEXP	1567aVULN|27ASPD|3RCR|47BEXP|7BPWR|8DUR|9DUST
186	61135 12243	   	215.14	ACR|5VULN|2ASPD|2BEXP	15679VULN|27ASPD|3RCR|47BEXP|7BPWR|8DUR|aMBVNT
187	31123 23512	   	215.09	ACR|1BASARM|2BEXP|1DMG|1VULN|1CDMG	1DMG|27BEXP|3RCR|4MDPS|5CDMG|6MLV|8BASARM|9VULN|aLHND
188	31123 23513	   	215.09	ACR|1BASARM|2BEXP|1DMG|1VULN|1CDMG	1DMG|27BEXP|3RCR|4MDPS|5CDMG|6MLV|8BASARM|9VULN|aFEWX
189	31123 23533	   	215.09	ACR|1BASARM|2BEXP|1DMG|1VULN|1CDMG	1DMG|27BEXP|3RCR|4MDPS|5CDMG|6MLV|8BASARM|9CGEN|aVULN
190	31123 44141	   	215.09	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG	1DMG|2aBEXP|3RCR|4MDPS|5CDMG|6AART|7FEWX|8LHND|9BASARM
191	61124 12421	   	215.01	ACR|3ASPD|2VULN|3BEXP	18VULN|289ASPD|3RCR|4MDPS|5RCVC|678BEXP|8BPWR|aLWND
192	61124 12423	   	215.01	ACR|3ASPD|2VULN|3BEXP	18VULN|289ASPD|3RCR|4MDPS|5RCVC|678BEXP|8BPWR|aRPLT
193	61122 63326	   	215.00	ACR|2VULN|3ASPD|2DMG	18VULN|28aASPD|3RCR|4MDPS|5CGEN|6TLV|78DMG|8BPWR|9LWND
194	31123 13512	   	214.99	ACR|1BASARM|2BEXP|1DMG|1VULN|1CDMG	1DMG|27BEXP|3RCR|4MDPS|5CDMG|6ERES|8BASARM|9VULN|aLHND
195	31123 13513	   	214.99	ACR|1BASARM|2BEXP|1DMG|1VULN|1CDMG	1DMG|27BEXP|3RCR|4MDPS|5CDMG|6ERES|8BASARM|9VULN|aFEWX
196	31123 13533	   	214.99	ACR|1BASARM|2BEXP|1DMG|1VULN|1CDMG	1DMG|27BEXP|3RCR|4MDPS|5CDMG|6ERES|8BASARM|9CGEN|aVULN
197	31123 23553	   	214.99	ACR|1BASARM|2BEXP|1DMG|1VULN|1CDMG	1DMG|27BEXP|3RCR|4MDPS|5CDMG|6MLV|8BASARM|9TLV|aVULN
198	31123 63512	   	214.99	ACR|1BASARM|2BEXP|1DMG|1VULN|1CDMG	1DMG|27BEXP|3RCR|4MDPS|5CDMG|6TLV|8BASARM|9VULN|aLHND
199	31123 63513	   	214.99	ACR|1BASARM|2BEXP|1DMG|1VULN|1CDMG	1DMG|27BEXP|3RCR|4MDPS|5CDMG|6TLV|8BASARM|9VULN|aFEWX
200	31123 63533	   	214.99	ACR|1BASARM|2BEXP|1DMG|1VULN|1CDMG	1DMG|27BEXP|3RCR|4MDPS|5CDMG|6TLV|8BASARM|9CGEN|aVULN
