0	Index      	 *	Score 	Summary	Detail	
1	64343 13231	 * 	269.93	DCR|3VULN|1LIT|1MLV|1CDMG|1ASPD	1LIT|2BEXP|3MLV|4CGEN|5ASPD|68aVULN|7RCR|9CDMG
160	22266 31111	   	240.45	DCR|3VULN|1LIT|1DMG|1CDMG	1FEWX|2DLOT|3DMG|4LIT|5DUST|68aVULN|7CDMG|9RCR
161	33363 31553	   	240.45	DCR|3VULN|1LIT|1DMG|1ASPD	14DUST|2LHND|35aVULN|6ASPD|7LIT|8DMG|9RCR
162	31333 52132	   	240.32	ACR|3VULN|1LIT|1MLV|1CDMG	1DUST|2ZMB|3RCR|4LHND|58aVULN|6CDMG|7LIT|9MLV
163	31342 22132	   	240.22	ACR|3VULN|1LIT|1MLV|1CDMG	1DUST|2ZMB|3RCR|48aVULN|5CDMG|6MBVNT|7LIT|9MLV
164	31342 52132	   	240.22	ACR|3VULN|1LIT|1MLV|1CDMG|1DUR	1DUST|2ZMB|3RCR|48aVULN|5CDMG|6DUR|7LIT|9MLV
165	31342 62132	   	240.22	ACR|3VULN|1LIT|1MLV|1CDMG	1DUST|2ZMB|3RCR|48aVULN|5CDMG|6LEGI|7LIT|9MLV
166	22242 23241	   	240.21	DCR|1LIT|2VULN|1MLV|1DMG|1SELL	1FEWX|2DLOT|3DMG|4SELL|5MLV|6aVULN|7RCR|8CGEN|9LIT
167	22242 23441	   	240.21	DCR|1LIT|2VULN|1MLV|1DMG|1SELL	1FEWX|2DLOT|3DMG|4SELL|5MLV|69VULN|7RCR|8AART|aLIT
168	65432 33241	 * 	240.16	DCR|1LIT|1VULN|1MLV|2ASPD|1DMG	1LIT|2BASICY|3DMG|4aASPD|5MBVNT|6MLV|7RCR|8VULN|9ERES
169	66432 33241	   	240.16	DCR|1LIT|1VULN|1MLV|2ASPD|1DMG	1LIT|2MULARM|3DMG|4aASPD|5MBVNT|6MLV|7RCR|8VULN|9ERES
170	24361 21213	 * 	240.04	DCR|4VULN|1LIT|2ZMB	1FEWX|2RMIN|35ZMB|456aVULN|5BPWR|7RCR|8LHND|9LIT
171	24361 21613	   	240.04	DCR|4VULN|1LIT|2ZMB	1FEWX|2RMIN|35ZMB|456aVULN|5BPWR|7RCR|8LWND|9LIT
172	34361 21213	   	239.94	DCR|4VULN|1LIT|2ZMB	1DUST|2RMIN|35ZMB|456aVULN|5BPWR|7RCR|8LHND|9LIT
173	34361 21613	   	239.94	DCR|4VULN|1LIT|2ZMB	1DUST|2RMIN|35ZMB|456aVULN|5BPWR|7RCR|8LWND|9LIT
