0	Index      	 *	Score 	Summary	Detail	
1	32313 24433	 * 	274.32	DCR|3VULN|2TLV|1AEFBLL	1BASFIG|26LHND|3AEFBLL|458VULN|7aTLV|9RCR
158	61232 33652	   	246.07	DCR|2TLV|1VULN|2ASPD|1DMG	1ERES|28ASPD|3DMG|4BEXP|58FEWX|6VULN|78TLV|8BPWR|9RCR|aAAC
159	61232 33653	   	246.07	DCR|2TLV|1VULN|2ASPD|1DMG	1ERES|28ASPD|3DMG|4BEXP|58FEWX|6VULN|78TLV|8BPWR|9RCR|aRPLT
160	61233 33652	   	246.07	DCR|2TLV|1VULN|2ASPD|1DMG	1ERES|28ASPD|3DMG|4BEXP|58LWND|6VULN|78TLV|8BPWR|9RCR|aAAC
161	61233 33653	   	246.07	DCR|2TLV|1VULN|2ASPD|1DMG	1ERES|28ASPD|3DMG|4BEXP|58LWND|6VULN|78TLV|8BPWR|9RCR|aRPLT
162	22266 26212	   	245.97	DCR|2TLV|1VULN|2ASPD|1DMG	12BEXP|3DMG|4aASPD|5VULN|67TLV|8RCR|9FEWX
163	22266 26222	   	245.97	DCR|2TLV|1VULN|2ASPD|1DMG	12BEXP|3DMG|4aASPD|5VULN|67TLV|8RCR|9LHND
164	62262 23623	   	245.89	DCR|3VULN|2TLV|1MSE	18ERES|2DUST|348VULN|5FEWX|6MSE|78TLV|8BPWR|9ZMB|aRCR
165	51262 33233	 * 	245.64	DCR|3VULN|2ASPD|1DMG|1AEBURN|1DUR	1AME|24ASPD|3DMG|56aVULN|7DUR|8RCR|9AEBURN
166	62611 31334	   	245.19	ACR|DCR|1TLV|1VULN	1ERES|2DUST|38RCR|4FEWX|5AME|6MDPS|7RMIN|9TLV|aVULN
167	63215 14333	   	245.09	ACR|DCR|1TLV|1VULN	127ERES|3MSLREG|4aRCR|5LWND|6VENTOX|8VULN|9TLV
168	62615 32331	   	245.05	ACR|DCR|1TLV|1VULN|1SELL	1ERES|2DUST|36RCR|4FEWX|5SELL|7BEXP|8BELT|9VULN|aTLV
