0	Index      	 *	Score 	Summary	Detail	
1	15343 22226	 * 	275.45	DCR|3LIT|2DMG|1VULN|1MLV	1TLV|27DMG|368LIT|4ZMB|5MLV|9RCR|aVULN
162	45352 11332	   	248.97	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1ERES|2DMG|3aLIT|4FEWX|5VULN|6LHND|7ASPD|8RCR|9MLV
163	16262 23724	 * 	248.92	DCR|2LIT|2VULN|2DMG	159TLV|29VULN|3SNITOX|4MBVNT|6aLIT|7RCR|89DMG|9BPWR
164	11335 23263	 * 	248.92	DCR|2LIT|2DMG|1VULN|2ASPD	1TLV|2MULHEA|3aASPD|4aDMG|5VULN|6aLIT|7RCR|8CGEN|9FRZARM|aBPWR
165	41335 23263	   	248.82	DCR|2LIT|2DMG|1VULN|2ASPD	1ERES|2MULHEA|3aASPD|4aDMG|5VULN|6aLIT|7RCR|8CGEN|9FRZARM|aBPWR
166	15232 12253	   	248.72	ACR|2LIT|2VULN|3DMG	1TLV|257DMG|3RCR|48LIT|6ZMB|9aVULN
167	45232 13332	   	248.72	ACR|2LIT|2VULN|3DMG	1aERES|25aDMG|3RCR|47LIT|6ZMB|8AART|9aVULN|aBPWR
168	45232 12253	   	248.62	ACR|2LIT|2VULN|3DMG	1ERES|257DMG|3RCR|48LIT|6ZMB|9aVULN
169	16136 25323	   	248.50	DCR|2LIT|2VULN|1MLV	1TLV|29VULN|3RCVC|4ZMB|56LIT|7MLV|8RCR|aRPLT
170	16136 63323	   	248.50	DCR|2LIT|2VULN|1MLV	1TLV|29VULN|3RCVC|4ZMB|57LIT|6MLV|8RCR|aRPLT
171	12256 13326	   	248.40	DCR|2LIT|2VULN|1MLV|1DUR	1TLV|2DUR|3MLV|4RCVC|57LIT|6ZMB|8RCR|9aVULN
172	16136 25321	   	248.40	DCR|2LIT|2VULN|1MLV	1TLV|29VULN|3RCVC|4ZMB|56LIT|7MLV|8RCR|aERES
173	16136 25322	   	248.40	DCR|2LIT|2VULN|1MLV|1DUR	1TLV|29VULN|3RCVC|4ZMB|56LIT|7MLV|8RCR|aDUR
174	16136 63321	   	248.40	DCR|2LIT|2VULN|1MLV	1TLV|29VULN|3RCVC|4ZMB|57LIT|6MLV|8RCR|aERES
175	16136 63322	   	248.40	DCR|2LIT|2VULN|1MLV|1DUR	1TLV|29VULN|3RCVC|4ZMB|57LIT|6MLV|8RCR|aDUR
176	22131 65225	   	248.40	DCR|2LIT|2VULN|1MLV|2ZMB	1LWND|29ZMB|3RCVC|4FRZARM|5FEWX|69LIT|7MLV|89VULN|9BPWR|aRCR
177	12231 64842	   	248.30	DCR|2LIT|2VULN|1MLV|1DUR	1TLV|2DUR|3MLV|4aLIT|5ZMB|69VULN|7MBVNT|8RCR
178	15232 21253	 * 	248.26	ACR|2LIT|3VULN|2DMG	1TLV|25DMG|3RCR|49LIT|6GSSTOX|78aVULN
179	22232 23625	   	248.20	DCR|2LIT|2VULN|1MLV|2ZMB	1LWND|29ZMB|3MLV|46LIT|59VULN|7BEXP|89LSRREG|9BPWR|aRCR
180	22232 25625	   	248.20	DCR|2LIT|2VULN|1MLV|2ZMB	1LWND|29ZMB|3MLV|46LIT|59VULN|7FEWX|89LSRREG|9BPWR|aRCR
181	45232 21253	   	248.16	ACR|2LIT|3VULN|2DMG	1ERES|25DMG|3RCR|49LIT|6GSSTOX|78aVULN
182	22334 25225	   	248.10	DCR|2LIT|2VULN|1MLV|2ZMB	1LWND|29ZMB|34DUST|5CANARM|69LIT|7MLV|89VULN|9BPWR|aRCR
183	22223 61146	   	247.50	DCR|1LIT|2VULN|1MLV|1DMG	1LWND|2ZMB|3MLV|4LHND|5DMG|6aVULN|7RCR|8RCVC|9LIT
184	22223 61443	   	247.50	DCR|1LIT|2VULN|1MLV|1DMG	1LWND|2ZMB|3MLV|4LHND|5DMG|68VULN|7RCR|9LIT|aFEWX
185	22224 31441	   	247.49	DCR|1LIT|2VULN|1MLV|1DMG	1LWND|2ZMB|3MLV|4LHND|58VULN|6CGEN|7RCR|9LIT|aDMG
186	22224 61341	   	247.49	DCR|1LIT|2VULN|1MLV|1DMG	1LWND|2ZMB|3MLV|4LHND|58VULN|6TLV|7RCR|9LIT|aDMG
187	22241 21441	   	247.49	DCR|1LIT|2VULN|1MLV|1DMG	1LWND|2ZMB|3MLV|4RMIN|58VULN|6LHND|7RCR|9LIT|aDMG
188	11326 13434	 * 	247.43	DCR|2LIT|2VULN|2ASPD|1CDMG	1TLV|2MULHEA|3aASPD|4aLIT|5LHND|6aVULN|7DUST|8CDMG|9RCR|aBPWR
189	22222 61341	   	247.40	DCR|1LIT|2VULN|1MLV|1DMG	1LWND|2ZMB|3MLV|4LHND|5ERES|68VULN|7RCR|9LIT|aDMG
190	22224 11341	   	247.40	DCR|1LIT|2VULN|1MLV|1DMG	1LWND|2ZMB|3MLV|4LHND|58VULN|6ERES|7RCR|9LIT|aDMG
191	22452 21341	   	247.40	DCR|1LIT|2VULN|1MLV|1DMG	1LWND|2ZMB|38VULN|4MLV|5ERES|6LHND|7RCR|9LIT|aDMG
192	24252 21341	   	247.40	DCR|1LIT|2VULN|1MLV|1DMG	1LWND|28VULN|3ZMB|4MLV|5ERES|6LHND|7RCR|9LIT|aDMG
193	32542 32631	   	247.17	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG	1BELT|2DUST|3DMG|4MLV|5aLIT|6FEWX|7VULN|8CDMG|9RCR
194	15333 52326	   	247.12	DCR|2MLV|1LIT|2VULN|1DMG	1TLV|2DMG|3LIT|45MLV|6FEWX|7RCVC|8RCR|9aVULN
195	15333 62316	   	247.12	DCR|2MLV|1LIT|2VULN|1DMG	1TLV|2DMG|3LIT|45MLV|6aVULN|7RCVC|8RCR|9LHND
196	15333 62323	   	247.12	DCR|2MLV|1LIT|2VULN|1DMG	1TLV|2DMG|3LIT|45MLV|69VULN|7RCVC|8RCR|aRPLT
197	15333 62324	   	247.12	DCR|2MLV|1LIT|2VULN|1DMG	1TLV|2DMG|3LIT|45MLV|69VULN|7RCVC|8RCR|aBEXP
198	15333 12326	   	246.97	DCR|2MLV|1LIT|2VULN|1DMG	1TLV|2DMG|3LIT|45MLV|6LEGI|7RCVC|8RCR|9aVULN
199	15333 42326	   	246.97	DCR|2MLV|1LIT|2VULN|1DMG|1DUR	1TLV|2DMG|3LIT|45MLV|6DUR|7RCVC|8RCR|9aVULN
200	15333 62321	   	246.97	DCR|2MLV|1LIT|2VULN|1DMG	1TLV|2DMG|3LIT|45MLV|69VULN|7RCVC|8RCR|aERES
201	15333 62322	   	246.97	DCR|2MLV|1LIT|2VULN|1DMG|1DUR	1TLV|2DMG|3LIT|45MLV|69VULN|7RCVC|8RCR|aDUR
202	15333 62326	   	246.97	DCR|2MLV|1LIT|2VULN|1DMG	1TLV|2DMG|3LIT|45MLV|69VULN|7RCVC|8RCR|aSPLARM
203	15333 62351	   	246.76	DCR|2MLV|1LIT|2VULN|1DMG|1SELL	1TLV|2DMG|3LIT|45MLV|6aVULN|7RCVC|8RCR|9SELL
204	45343 22223	   	246.55	DCR|3LIT|2DMG|1MLV|2ZMB	1ERES|27DMG|368LIT|4aZMB|5MLV|9RCR
205	11542 23622	   	246.54	DCR|1LIT|2VULN|2DMG|1ASPD	1TLV|2MULHEA|39VULN|4ZMB|58DMG|6LIT|7RCR|aASPD
206	16242 23622	   	246.54	DCR|1LIT|2VULN|2DMG|1ASPD	1TLV|29VULN|3SNITOX|4ZMB|58DMG|6LIT|7RCR|aASPD
207	64211 61332	 * 	246.53	DCR|3LIT|2VULN|3ZMB	1DUST|26VULN|34aLIT|579ZMB|8RCR
208	15232 24221	 * 	246.39	ACR|2LIT|2VULN|2DMG|1NUKE	19TLV|25DMG|3RCR|49LIT|6GSSTOX|7LHND|89VULN|9BPWR|aNUKE
209	45232 24221	   	246.19	ACR|2LIT|2VULN|2DMG|1NUKE	19ERES|25DMG|3RCR|49LIT|6GSSTOX|7LHND|89VULN|9BPWR|aNUKE
210	16262 23722	 * 	246.11	DCR|1LIT|2VULN|2DMG|1NUKE	159TLV|29VULN|3SNITOX|4MBVNT|6LIT|7RCR|89DMG|9BPWR|aNUKE
211	22236 12452	   	246.00	DCR|2LIT|1VULN|1MLV|1CDMG|1ASPD	1LWND|2ZMB|3MLV|49LIT|5ASPD|6CDMG|7CGEN|8VULN|aRCR
212	22236 13452	   	246.00	DCR|2LIT|1VULN|1MLV|1ASPD|1CDMG	1LWND|2ZMB|3MLV|49LIT|5ASPD|6CDMG|7RMIN|8VULN|aRCR
213	11363 13411	   	245.89	DCR|1LIT|2VULN|1MLV|1ASPD|1CDMG	1TLV|2MULHEA|3ASPD|4AART|5LIT|6CDMG|7aVULN|8RCR|9MLV
214	41363 13411	   	245.79	DCR|1LIT|2VULN|1MLV|1ASPD|1CDMG	1ERES|2MULHEA|3ASPD|4AART|5LIT|6CDMG|7aVULN|8RCR|9MLV
215	15331 15326	   	245.69	DCR|1LIT|2VULN|1MLV|1DMG	1TLV|2DMG|3LIT|4MLV|5RMIN|6ZMB|7DMSP|8RCR|9aVULN
216	15234 32215	   	245.66	ACR|2LIT|2DMG|1VULN|1MLV|1CDMG	1TLV|28DMG|3RCR|46LIT|5CDMG|7VULN|9CGEN|aMLV
217	15234 32223	   	245.66	ACR|2LIT|2DMG|1VULN|1MLV|1CDMG	1TLV|28DMG|3RCR|46LIT|5CDMG|7VULN|9RPLT|aMLV
218	15234 32262	   	245.66	ACR|2LIT|2DMG|1VULN|1MLV|1CDMG	1TLV|28DMG|3RCR|46LIT|5CDMG|7VULN|9MLV|aFEWX
219	21332 41234	   	245.59	DCR|1LIT|2DMG|1VULN|1MLV|1CDMG	1LWND|2FEWX|3CDMG|49DMG|5VULN|6MLV|7RCR|8BEXP|aLIT
220	21336 41134	   	245.59	DCR|1LIT|2DMG|1VULN|1MLV|1CDMG	1LWND|2FEWX|3CDMG|49DMG|5LHND|6MLV|7RCR|8VULN|aLIT
221	25332 41234	   	245.59	DCR|1LIT|2DMG|1VULN|1MLV|1CDMG	1LWND|2LHND|3CDMG|49DMG|5VULN|6MLV|7RCR|8BEXP|aLIT
222	25332 41631	   	245.59	DCR|1LIT|2DMG|1VULN|1MLV|1CDMG	1LWND|2LHND|3CDMG|49DMG|5VULN|6MLV|7RCR|8RCVC|aLIT
223	12231 64841	   	245.49	DCR|1LIT|2VULN|1MLV|1DMG|1DUR	1TLV|2DUR|3MLV|4LIT|5ZMB|69VULN|7MBVNT|8RCR|aDMG
224	11335 23661	   	245.49	DCR|1LIT|2DMG|1VULN|1MLV|1ASPD	1TLV|2MULHEA|3ASPD|48DMG|5VULN|6LIT|7RCR|9LWND|aMLV
225	21332 41434	   	245.49	DCR|1LIT|2DMG|1VULN|1MLV|1CDMG	1LWND|2FEWX|3CDMG|49DMG|5VULN|6MLV|7RCR|8DUST|aLIT
226	21332 41634	   	245.49	DCR|1LIT|2DMG|1VULN|1MLV|1CDMG|1DUR	1LWND|2FEWX|3CDMG|49DMG|5VULN|6MLV|7RCR|8DUR|aLIT
