0	Index      	 *	Score 	Summary	Detail	
1	41216 33115	 * 	225.69	DCR|3VULN|2ASPD|1AART|1CDMG|2ZMB	1aZMB|23aVULN|4CGEN|5AART|6CDMG|7aASPD|8RCR|9RMIN|aBPWR
154	41611 13161	   	197.55	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB|1MSE	1ZMB|26VULN|3AART|46CDMG|5RMIN|6BPWR|7ASPD|8RCR|9MSE|aLWND
155	41611 13162	   	197.55	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB|1MSE	1ZMB|26VULN|3AART|46CDMG|5RMIN|6BPWR|7ASPD|8RCR|9MSE|aMLV
156	41611 13163	   	197.55	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB|1MSE	1ZMB|26VULN|3AART|46CDMG|5RMIN|6BPWR|7ASPD|8RCR|9MSE|aLHND
157	16233 36126	   	197.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	15FEWX|2ASPD|3VULN|4DUST|6aAART|7RCR|8CDMG|9DMG
158	36213 36126	   	197.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1DUST|2ASPD|3VULN|45FEWX|6aAART|7RCR|8CDMG|9DMG
159	23226 46322	 * 	197.13	DCR|2DMG|2ASPD|1VULN|2CDMG	1aCDMG|2LHND|3aASPD|4DUST|5BELT|6VULN|7RCR|8RPLT|9aDMG|aBPWR
160	26262 36323	 * 	197.13	DCR|2DMG|2ASPD|2CDMG|1AART	1aCDMG|2ERES|3aASPD|4RMIN|5AART|6LHND|7RCR|8LWND|9aDMG|aBPWR
161	16362 33632	   	196.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR|1SELL	1FEWX|2ASPD|3CDMG|47DUR|5SELL|6RCR|8VULN|9DMG|aAART
162	26232 13484	   	196.60	DCR|2ASPD|1AART|1VULN|2CDMG|2DUR|1AAC	18CDMG|2ERES|38ASPD|48DUR|5MBVNT|6AAC|7RCR|8BPWR|9AART|aVULN
163	41243 83331	   	196.40	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|2ZMB	19ZMB|23VULN|4CDMG|5MBVNT|6DMG|7ASPD|8RCR|aAAC
164	16261 33125	 * 	196.24	DCR|2VULN|2ASPD|2AAC|1AART|1DUR	1FEWX|25ASPD|39VULN|4aAAC|6RCR|7DUR|8AART
165	36261 33621	   	196.17	DCR|2ASPD|1VULN|1AART|1CDMG|1AAC|1ZMB|1DUR	1DUST|25ASPD|3VULN|4AAC|6RCR|7CDMG|8ZMB|9DUR|aAART
166	41613 31342	   	196.08	DCR|2VULN|1AART|3DUR|1CDMG|2ZMB	18ZMB|28VULN|3AART|4CDMG|5ERES|6RCR|789DUR|8BPWR|aLIT
167	41235 61123	   	196.05	DCR|2VULN|2DMG|1ASPD|1AAC|1ZMB|1DUR	1ZMB|23VULN|4AAC|5ASPD|67DMG|8RCR|9LHND|aDUR
168	41141 36321	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ZMB|29VULN|3CGEN|4BEXP|5ASPD|6AART|7RCR|8DMG|aLHND
169	41141 36323	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ZMB|29VULN|3CGEN|4BEXP|5ASPD|6AART|7RCR|8DMG|aRCVC
170	23254 16113	   	196.01	DCR|2VULN|2ASPD|1AART|1CDMG	1CDMG|2LHND|34ASPD|5TLV|6AART|7RCR|8aVULN|9RPLT
171	26223 16161	   	196.01	DCR|2VULN|2ASPD|1AART|1CDMG	1CDMG|24ERES|34ASPD|4BPWR|5LWND|6AART|7RCR|89VULN|aFEWX
172	26223 16162	   	196.01	DCR|2VULN|2ASPD|1AART|1CDMG	1CDMG|24ERES|34ASPD|4BPWR|5LWND|6AART|7RCR|89VULN|aLHND
173	41613 31341	   	195.98	DCR|2VULN|1AART|3DUR|1CDMG|2ZMB|1MSE	18ZMB|28VULN|3AART|4CDMG|5ERES|6RCR|789DUR|8BPWR|aMSE
174	41161 36321	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ZMB|29VULN|3CGEN|4DUST|5ASPD|6AART|7RCR|8DMG|aLHND
175	41161 36323	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ZMB|29VULN|3CGEN|4DUST|5ASPD|6AART|7RCR|8DMG|aRCVC
176	41263 14221	 * 	195.93	DCR|5VULN|1DMG|1ZMB	1ZMB|23567VULN|46ERES|6BPWR|8DUST|9RCR|aDMG
177	26223 16163	   	195.91	DCR|2VULN|2ASPD|1AART|1CDMG	1CDMG|24ERES|34ASPD|4BPWR|5LWND|6AART|7RCR|89VULN|aDUST
178	22353 26362	   	195.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1CDMG|2DUST|3CGEN|4ASPD|569VULN|7RCR|8BELT|aDMG
179	36313 26362	   	195.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1DUST|2ASPD|3CDMG|4CGEN|569VULN|7RCR|8BELT|aDMG
180	22353 26252	   	195.81	DCR|3VULN|1ASPD|1DMG|1CDMG	1CDMG|2DUST|3CGEN|4ASPD|568VULN|7RCR|9ERES|aDMG
181	36313 26252	   	195.81	DCR|3VULN|1ASPD|1DMG|1CDMG	1DUST|2ASPD|3CDMG|4CGEN|568VULN|7RCR|9ERES|aDMG
182	41215 21212	   	195.80	DCR|3VULN|1AART|1ASPD|1ZMB	1ZMB|23aVULN|4CGEN|5ASPD|6RCR|7LHND|8BELT|9AART
183	41215 22362	   	195.80	DCR|3VULN|1AART|1ASPD|1ZMB	1ZMB|238VULN|4CGEN|5ASPD|6RCR|7BEXP|9FEWX|aAART
184	26382 15143	   	195.76	DCR|2VULN|2AART|1ASPD|1CDMG	1CDMG|2ERES|3MBVNT|45AART|6CGEN|7ASPD|8RCR|9aVULN
185	26382 18143	   	195.76	DCR|2VULN|2AART|1DMG|1CDMG	1CDMG|2ERES|3MBVNT|45AART|6CGEN|7DMG|8RCR|9aVULN
186	41235 21212	   	195.70	DCR|3VULN|1AART|1ASPD|1AAC|1ZMB	1ZMB|23aVULN|4AAC|5ASPD|6RCR|7LHND|8BELT|9AART
187	41265 21212	   	195.70	DCR|3VULN|1AART|1ASPD|1ZMB	1ZMB|23aVULN|4ERES|5ASPD|6RCR|7LHND|8BELT|9AART
