0	Index      	 *	Score 	Summary	Detail	
1	42563 22133	 * 	227.29	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|2DUR	17DUR|27DMG|3CDMG|4ASPD|57VULN|6AART|7BPWR|8CGEN|9LIT|aRCR
152	22263 35231	   	199.29	DCR|2VULN|2DMG|1AART|1ASPD	1FEWX|2aDMG|3ASPD|45VULN|6CGEN|7AART|8LWND|9RCR
153	22263 45231	   	199.29	DCR|2VULN|2DMG|1AART|1ASPD	1FEWX|2aDMG|3ASPD|45VULN|6MLV|7AART|8LWND|9RCR
154	64312 36122	 * 	199.23	DCR|1SPLARM|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1DMSP|2VULN|39DMG|4SPLARM|5ASPD|6ZMB|7DUR|8RCR|aCDMG
155	22263 13131	   	199.19	DCR|2VULN|2DMG|1AART|1ASPD	1FEWX|2aDMG|3ASPD|45VULN|6BEXP|7ERES|8AART|9RCR
156	22263 21131	   	199.19	DCR|2VULN|2DMG|1AART|1ASPD	1FEWX|2aDMG|3ASPD|45VULN|6LEGI|7RMIN|8AART|9RCR
157	22263 25331	   	199.19	DCR|2VULN|2DMG|1AART|1ASPD	1FEWX|2aDMG|3ASPD|45VULN|6LEGI|7AART|8MLV|9RCR
158	22263 65231	   	199.19	DCR|2VULN|2DMG|1AART|1ASPD	1FEWX|2aDMG|3ASPD|45VULN|6ERES|7AART|8LWND|9RCR
159	22613 25631	   	199.09	DCR|2VULN|2DMG|1AART|1ASPD	1FEWX|2aDMG|35VULN|4ERES|6LEGI|7AART|8ASPD|9RCR
160	35512 24232	   	198.69	DCR|1SPLARM|2VULN|2ASPD|1AART|1DUR	1MLV|2SPLARM|34VULN|58ASPD|6LWND|7AART|9RCR|aDUR
161	35512 52232	   	198.69	DCR|1SPLARM|2VULN|2ASPD|1AART|1DUR	1MLV|2SPLARM|34VULN|58ASPD|6AART|7LHND|9RCR|aDUR
162	42242 61131	   	198.14	DCR|2VULN|2DMG|2ASPD|1DUR	1DUR|24DMG|34ASPD|4BPWR|5aVULN|6RPLT|7CGEN|8LHND|9RCR
163	42242 61231	   	198.14	DCR|2VULN|2DMG|2ASPD|1DUR	1DUR|24DMG|34ASPD|4BPWR|5aVULN|6RPLT|7CGEN|8LWND|9RCR
164	42245 23131	   	198.14	DCR|2VULN|2DMG|2ASPD|1DUR	1DUR|24DMG|34ASPD|4BPWR|5CGEN|6RPLT|7aVULN|8LHND|9RCR
165	42245 23231	   	198.14	DCR|2VULN|2DMG|2ASPD|1DUR	1DUR|24DMG|34ASPD|4BPWR|5CGEN|6RPLT|7aVULN|8LWND|9RCR
166	22241 23343	   	198.06	DCR|2VULN|2DMG|2ASPD|1ZMB	1FEWX|24DMG|34ASPD|4BPWR|5CANSTR|6LWND|7ZMB|89VULN|aRCR
167	22241 63343	   	198.06	DCR|2VULN|2DMG|2ASPD|1ZMB	1FEWX|24DMG|34ASPD|4BPWR|5CANSTR|6LHND|7ZMB|89VULN|aRCR
168	22241 33343	   	198.06	DCR|2VULN|2DMG|2ASPD|1ZMB	1FEWX|24DMG|34ASPD|4BPWR|5CANSTR|6ZMB|7LWND|89VULN|aRCR
169	22242 22532	   	198.04	DCR|2VULN|2DMG|2ASPD|1DUR	1FEWX|24DMG|34ASPD|4BPWR|58VULN|6LEGI|7DUR|9RCR|aLIT
170	22242 22534	   	198.04	DCR|2VULN|2DMG|2ASPD|1DUR	1FEWX|24DMG|34ASPD|4BPWR|58VULN|6LEGI|7DUR|9RCR|aBEXP
171	22242 22535	   	198.04	DCR|2VULN|2DMG|2ASPD|1DUR	1FEWX|24DMG|34ASPD|4BPWR|58VULN|6LEGI|7DUR|9RCR|aCGEN
172	42242 61331	   	198.04	DCR|2VULN|2DMG|2ASPD|1DUR	1DUR|24DMG|34ASPD|4BPWR|5aVULN|6RPLT|7CGEN|8LEGI|9RCR
173	42242 62331	   	198.04	DCR|2VULN|2DMG|2ASPD|1DUR	1DUR|24DMG|34ASPD|4BPWR|5aVULN|6RPLT|7LHND|8ERES|9RCR
174	42245 23331	   	198.04	DCR|2VULN|2DMG|2ASPD|1DUR	1DUR|24DMG|34ASPD|4BPWR|5CGEN|6RPLT|7aVULN|8LEGI|9RCR
175	31456 11112	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	17MLV|2AART|3ASPD|45VULN|6DMG|8CDMG|9RCR|aAME
176	22242 22531	   	197.94	DCR|2VULN|2DMG|2ASPD|1DUR	1FEWX|24DMG|34ASPD|4BPWR|58VULN|6LEGI|7DUR|9RCR|aERES
177	22242 22533	   	197.94	DCR|2VULN|2DMG|2ASPD|1DUR|1SELL	1FEWX|24DMG|34ASPD|4BPWR|58VULN|6LEGI|7DUR|9RCR|aSELL
178	22242 22536	   	197.94	DCR|2VULN|2DMG|2ASPD|1DUR|1MSE	1FEWX|24DMG|34ASPD|4BPWR|58VULN|6LEGI|7DUR|9RCR|aMSE
179	33562 23226	   	197.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1MLV|2RPLT|3TSLARM|4DMG|5AART|6RCR|79VULN|8ASPD|aZMB
180	31456 11111	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	17MLV|2AART|3ASPD|45VULN|6DMG|8CDMG|9RCR|aLEGI
181	31456 11113	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1MSE	17MLV|2AART|3ASPD|45VULN|6DMG|8CDMG|9RCR|aMSE
182	42213 63263	   	197.70	ACR|2VULN|2DMG|3CDMG|1ASPD|2DUR	17DUR|27DMG|3ASPD|4RCR|5aVULN|679CDMG|7BPWR|8CGEN
183	42213 63631	   	197.70	ACR|2VULN|2DMG|3CDMG|1ASPD|2DUR	17DUR|27DMG|3ASPD|4RCR|58VULN|679CDMG|7BPWR|aFEWX
184	22241 53133	   	197.69	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB|1SELL	1FEWX|24DMG|34ASPD|4BPWR|5CANSTR|6VULN|7ZMB|8RCR|9SELL|aCDMG
185	42213 63633	   	197.60	ACR|2VULN|2DMG|3CDMG|1ASPD|2DUR	17DUR|27DMG|3ASPD|4RCR|58VULN|679CDMG|7BPWR|aDUST
186	46242 11131	   	197.50	DCR|2ASPD|1VULN|1AART|1DMG|2ZMB|1DUR	1DUR|24ZMB|34ASPD|4BPWR|5VULN|6BEXP|7RMIN|8AART|9RCR|aDMG
187	46242 31131	   	197.50	DCR|2ASPD|1VULN|1AART|1DMG|2ZMB|1DUR	1DUR|24ZMB|34ASPD|4BPWR|5VULN|6CGEN|7FEWX|8AART|9RCR|aDMG
188	42211 33324	   	197.44	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	18DUR|28DMG|39ASPD|4RCR|5RMIN|6CDMG|78VULN|8BPWR|aCGEN
189	42213 63623	   	197.42	ACR|2VULN|2DMG|2CDMG|1ASPD|2DUR|1AAC	17DUR|27DMG|3ASPD|4RCR|58VULN|67CDMG|7BPWR|9AME|aAAC
190	22213 25661	   	197.42	ACR|2DMG|2ASPD|1VULN|1AART|1CDMG|1ZMB	1FEWX|26DMG|38ASPD|4RCR|5VULN|7AART|9CDMG|aZMB
191	46242 21131	   	197.40	DCR|2ASPD|1AART|1VULN|1DMG|2ZMB|1DUR	1DUR|24ZMB|34ASPD|4BPWR|5VULN|6LEGI|7RMIN|8AART|9RCR|aDMG
192	11244 41322	   	197.34	DCR|3DMG|1AART|1ASPD|1CDMG|1DUR	1BELT|267DMG|3AME|4ASPD|5CDMG|8RCR|9AART|aDUR
193	11344 41322	   	197.34	DCR|3DMG|1AART|1ASPD|1CDMG|1DUR	1BELT|267DMG|3CGEN|4ASPD|5CDMG|8RCR|9AART|aDUR
194	42211 33321	   	197.34	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	18DUR|28DMG|39ASPD|4RCR|5RMIN|6CDMG|78VULN|8BPWR|aERES
195	42211 33322	   	197.34	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	18DUR|28DMG|39ASPD|4RCR|5RMIN|6CDMG|78VULN|8BPWR|aTLV
196	42211 33325	   	197.34	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	18DUR|28DMG|39ASPD|4RCR|5RMIN|6CDMG|78VULN|8BPWR|aLEGI
197	22241 23123	   	197.34	DCR|3DMG|2ASPD|1VULN|1ZMB	1FEWX|249DMG|34ASPD|4BPWR|5CANSTR|6LWND|7ZMB|8RCR|aVULN
198	22241 33123	   	197.34	DCR|3DMG|2ASPD|1VULN|1ZMB	1FEWX|249DMG|34ASPD|4BPWR|5CANSTR|6ZMB|7LWND|8RCR|aVULN
199	22241 53122	   	197.34	DCR|3DMG|2ASPD|1VULN|1ZMB	1FEWX|249DMG|34ASPD|4BPWR|5CANSTR|6VULN|7ZMB|8RCR|aCGEN
200	22241 53124	   	197.34	DCR|3DMG|2ASPD|1VULN|1ZMB	1FEWX|249DMG|34ASPD|4BPWR|5CANSTR|6VULN|7ZMB|8RCR|aMLV
201	22241 63123	   	197.34	DCR|3DMG|2ASPD|1VULN|1ZMB	1FEWX|249DMG|34ASPD|4BPWR|5CANSTR|6LHND|7ZMB|8RCR|aVULN
