0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42222 24613	6	 * 	285.59	DCR|3VULN|3DMG|3ASPD|1TLV	18aASPD|2RCVC|3TLV|4BELT|58aDMG|6RCR|78aVULN|8aBPWR|9RPLT
161	31122 77321	3	   	258.19	DCR|3VULN|2DUR|3CDMG|1TLV	167CDMG|2LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|9LWND|aTLV
162	31122 77341	3	   	258.19	DCR|3VULN|2DUR|3CDMG|1TLV	167CDMG|2LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|9TLV|aRMIN
163	31122 77344	3	   	258.19	DCR|3VULN|2DUR|3CDMG|1TLV	167CDMG|2LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|9TLV|aCGEN
164	31122 77346	3	   	258.19	DCR|3VULN|2DUR|3CDMG|1TLV	167CDMG|2LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|9TLV|aFEWX
165	31122 77364	3	   	258.19	DCR|3VULN|2DUR|3CDMG|1TLV	167CDMG|29LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|aTLV
166	42441 22222	10	   	258.13	DCR|3VULN|3DUR|1ASPD|1AART	1ASPD|2RCVC|356VULN|456DUR|56BPWR|7BELT|8LIT|9RCR|aAART
167	32316 12641	3	   	258.10	DCR|4VULN|1TLV|1CDMG|1ASPD|1AART	1CDMG|2ASPD|3AART|4789VULN|5TLV|6RCR|aFEWX
168	32316 12642	3	   	258.10	DCR|4VULN|1TLV|1CDMG|1ASPD|1AART	1CDMG|2ASPD|3AART|4789VULN|5TLV|6RCR|aLWND
169	32316 12643	3	   	258.10	DCR|4VULN|1TLV|1CDMG|1ASPD|1AART	1CDMG|2ASPD|3AART|4789VULN|5TLV|6RCR|aBEXP
170	26135 38212	3	   	258.09	DCR|4VULN|2DUR|2CDMG|1SELL	18DUST|25CDMG|3MBVNT|4589VULN|58BPWR|68DUR|7SELL|aRCR
171	31112 77345	4	   	258.09	DCR|3VULN|2DUR|3CDMG|1TLV	167CDMG|2LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|9TLV|aERES
172	31115 47343	6	   	258.09	DCR|3VULN|2DUR|3CDMG|1TLV	167CDMG|2LHND|3MBVNT|47DUR|57aVULN|7BPWR|8RCR|9TLV
173	31122 77345	3	   	258.09	DCR|3VULN|2DUR|3CDMG|1TLV	167CDMG|2LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|9TLV|aERES
174	31132 37343	4	   	258.09	DCR|3VULN|2DUR|3CDMG|1TLV	157CDMG|2LHND|3MBVNT|47aVULN|67DUR|7BPWR|8RCR|9TLV
175	31132 37343	3	   	258.09	DCR|3VULN|2DUR|3CDMG|1TLV	157CDMG|2LHND|3MBVNT|47aVULN|67DUR|7BPWR|8RCR|9TLV
176	31215 47343	6	   	258.09	DCR|3VULN|2DUR|3CDMG|1TLV	167CDMG|2LHND|37aVULN|47DUR|5MBVNT|7BPWR|8RCR|9TLV
177	22612 16412	9	   	258.03	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1DUST|2DMG|39aVULN|4DUR|5ASPD|6RCR|7TLV|8AART
178	22612 16413	10	   	258.03	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1DUST|2DMG|39aVULN|4DUR|5ASPD|6RCR|7TLV|8AART
179	22612 32331	10	   	258.01	DCR|3VULN|2DMG|1DUR|1ASPD	1DUST|27DMG|368VULN|4DUR|5ASPD|9LIT|aRCR
180	22625 25323	4	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	19DUST|2DMG|379VULN|4LHND|5LIT|69DUR|8RCR|9BPWR|aCDMG
181	26234 62121	10	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	19DUST|2CDMG|349VULN|5DMG|6LIT|79DUR|8RCR|9BPWR|aDMSP
182	26234 62121	9	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	19DUST|2CDMG|349VULN|5DMG|6LIT|79DUR|8RCR|9BPWR|aLHND
183	26234 62122	10	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	19DUST|2CDMG|349VULN|5DMG|6LIT|79DUR|8RCR|9BPWR|aZMB
184	26234 62123	10	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	19DUST|2CDMG|349VULN|5DMG|6LIT|79DUR|8RCR|9BPWR|aBEXP
185	26234 62123	9	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	19DUST|2CDMG|349VULN|5DMG|6LIT|79DUR|8RCR|9BPWR|aBEXP
186	53252 21623	10	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|23DUR|4LHND|569VULN|7RCR|8DMG|aCDMG
187	53252 33623	10	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|23DUR|4LHND|579VULN|6RCR|8DMG|aCDMG
188	53113 13121	9	   	257.66	DCR|3VULN|3DUR|2LIT|1CDMG	19LIT|279DUR|3FEWX|4RMIN|5CDMG|69aVULN|8RCR|9BPWR
189	53113 13121	10	   	257.66	DCR|3VULN|3DUR|2LIT|1CDMG	19LIT|279DUR|3FEWX|4RMIN|5CDMG|69aVULN|8RCR|9BPWR
190	31536 32163	10	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1CDMG|2LHND|3LWND|467aVULN|5TLV|8DMG|9RCR
191	33611 42253	10	   	257.42	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	16CDMG|2TLV|3DMG|45aVULN|7DUR|8CGEN|9RCR
192	31216 32162	10	   	257.42	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	1aCDMG|2LHND|367VULN|4DUR|5TLV|8DMG|9RCR
193	33434 32162	10	   	257.42	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	1aCDMG|2TLV|367VULN|4DUR|5LHND|8DMG|9RCR
194	33611 42312	7	   	257.42	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	16CDMG|2TLV|3DMG|458VULN|7DUR|9RPLT|aRCR
195	33611 45312	6	   	257.42	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	16CDMG|2TLV|3DMG|458VULN|7DUR|9RPLT|aRCR
196	31233 42113	10	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1CDMG|2LHND|347aVULN|5ERES|6RCR|8DMG|9DUR
197	32615 51133	10	   	257.31	DCR|3VULN|2DMG|2ASPD|1CDMG	1CDMG|25ASPD|38DMG|49aVULN|6ERES|7RCR
198	26233 42113	10	   	257.30	DCR|4VULN|1DMG|1DUR|1CDMG	1DUST|2CDMG|347aVULN|5ERES|6RCR|8DMG|9DUR
199	41444 15434	8	   	257.11	DCR|3VULN|2DUR|2ASPD|1DMG	17ASPD|2CGEN|3MBVNT|478VULN|57DUR|6RCR|7BPWR|9FEWX|aDMG
200	41444 15434	7	   	257.11	DCR|3VULN|2DUR|2ASPD|1DMG	17ASPD|2CGEN|3MBVNT|478VULN|57DUR|6RCR|7BPWR|9FEWX|aDMG
201	41444 15444	9	   	257.11	DCR|3VULN|2DUR|2ASPD|1DMG	17ASPD|2CGEN|3MBVNT|478VULN|57DUR|6RCR|7BPWR|9FEWX|aDMG
202	41444 15412	7	   	257.01	DCR|3VULN|2DUR|2ASPD|1DMG	17ASPD|2CGEN|3MBVNT|478VULN|57DUR|6RCR|7BPWR|9TBNT|aDMG
203	41444 15412	8	   	257.01	DCR|3VULN|2DUR|2ASPD|1DMG	17ASPD|2CGEN|3MBVNT|478VULN|57DUR|6RCR|7BPWR|9TBNT|aDMG
204	41444 15414	10	   	257.01	DCR|3VULN|2DUR|2ASPD|1DMG	17ASPD|2CGEN|3MBVNT|478VULN|57DUR|6RCR|7BPWR|9ERES|aDMG
205	51233 36262	4	   	256.77	DCR|3VULN|2DMG|1DUR|1AART	1LIT|2FEWX|36DMG|4AART|5DUR|79aVULN|8RCR
206	53252 21224	10	   	256.34	DCR|4VULN|2DUR|1AART	1LIT|23DUR|4LHND|569aVULN|7RCR|8AART
207	53252 21225	9	   	256.34	DCR|4VULN|2DUR|1AART	1LIT|23DUR|4LHND|569aVULN|7RCR|8AART
208	53252 33224	10	   	256.34	DCR|4VULN|2DUR|1AART	1LIT|23DUR|4LHND|579aVULN|6RCR|8AART
209	53252 33225	9	   	256.34	DCR|4VULN|2DUR|1AART	1LIT|23DUR|4LHND|579aVULN|6RCR|8AART
210	22641 23321	9	   	256.17	DCR|3VULN|3DMG|1AART	14DUST|256DMG|356VULN|56BPWR|7ZMB|8LIT|9AART|aRCR
211	32421 56121	8	   	256.07	DCR|3VULN|2ASPD|1DMG|1TLV|1CDMG	1CDMG|25ASPD|379VULN|4DMSP|6DMG|8TLV|aRCR
212	32433 56121	8	   	256.07	DCR|3VULN|2ASPD|1DMG|1TLV|1CDMG	1CDMG|24ASPD|379VULN|5RCVC|6DMG|8TLV|aRCR
213	22641 22321	9	   	256.07	DCR|3VULN|3DMG|1AART	14DUST|256DMG|356VULN|56BPWR|7ERES|8LIT|9AART|aRCR
214	32615 51132	7	   	255.97	DCR|3VULN|2ASPD|1DMG|1TLV|1CDMG	1CDMG|25ASPD|3DMG|49aVULN|6ERES|7RCR|8TLV
215	32611 51112	7	   	255.97	DCR|3VULN|2ASPD|1DMG|1TLV|1CDMG	1CDMG|29ASPD|3DMG|45aVULN|6ERES|7RCR|8TLV
216	32611 51134	7	   	255.97	DCR|3VULN|2ASPD|1DMG|1TLV|1CDMG	1CDMG|2aASPD|3DMG|459VULN|6ERES|7RCR|8TLV
217	52242 32522	8	 * 	255.86	DCR|3VULN|2DUR|3LIT|1DMG	148LIT|2LWND|38DUR|58aVULN|6RCR|7RPLT|8BPWR|9DMG
218	31232 63154	5	   	255.71	DCR|3VULN|2DUR|1DMG|2CDMG|1SELL	1aCDMG|2LHND|34aVULN|5SELL|6CGEN|7DMG|8aDUR|9RCR|aBPWR
219	32631 36413	6	   	255.66	DCR|3VULN|3ASPD|1DMG|2CDMG	17CDMG|279ASPD|3DMG|4DUST|567VULN|7BPWR|8MBVNT|aRCR
220	31232 53154	6	   	255.61	DCR|3VULN|2DUR|2CDMG|1DMG|1SELL	1aCDMG|2LHND|34aVULN|5SELL|6ERES|7DMG|8aDUR|9RCR|aBPWR
