0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62652 13211	9	 * 	297.36	DCR|4VULN|3DMG|2CDMG|1TLV	138DMG|2346VULN|38BPWR|58MLV|78CDMG|9RCR|aTLV
169	22651 24233	6	   	268.27	DCR|4VULN|3ASPD|1DUR|1CDMG	13aASPD|2349VULN|3BPWR|5DUR|6CDMG|7LWND|8RCR
170	22651 62233	3	   	268.27	DCR|4VULN|3ASPD|1DUR|1CDMG	13aASPD|2379VULN|3BPWR|4DUR|5CDMG|6LHND|8RCR
171	22651 21325	7	   	268.27	DCR|4VULN|3ASPD|1DUR|1CDMG	138ASPD|2347VULN|3BPWR|5DUR|6CDMG|9RPLT|aRCR
172	62132 33285	2	   	268.20	DCR|3VULN|3DMG|1DUR|1CDMG	146DMG|246VULN|3BELT|46BPWR|5DMSP|7MBVNT|8CDMG|9DUR|aRCR
173	63332 33285	2	   	268.20	DCR|3VULN|3DMG|1DUR|1CDMG	146DMG|2BELT|346VULN|46BPWR|5DMSP|7MBVNT|8CDMG|9DUR|aRCR
174	22652 13214	9	   	268.20	DCR|4VULN|3ASPD|2CDMG	138ASPD|2346VULN|38BPWR|58MLV|78CDMG|9RCR|aAART
175	22641 11213	4	   	268.17	DCR|4VULN|3ASPD|1DUR|1CDMG	137ASPD|2378VULN|37BPWR|4DUR|5CDMG|679ERES|aRCR
176	22641 22233	4	   	268.17	DCR|4VULN|3ASPD|1DUR|1CDMG	13aASPD|2379VULN|3BPWR|4DUR|5CDMG|6DUST|8RCR
177	22651 11213	3	   	268.17	DCR|4VULN|3ASPD|1DUR|1CDMG	137ASPD|2378VULN|37BPWR|4DUR|5CDMG|679ERES|aRCR
178	22651 22233	3	   	268.17	DCR|4VULN|3ASPD|1DUR|1CDMG	13aASPD|2379VULN|3BPWR|4DUR|5CDMG|6DUST|8RCR
179	62621 13214	9	   	268.13	DCR|3VULN|3DMG|2CDMG	138DMG|236VULN|38BPWR|458CGEN|78CDMG|9RCR|aAART
180	62621 11631	3	   	268.10	DCR|3VULN|3DMG|1TLV|1CDMG	137DMG|237VULN|37BPWR|4LHND|5CDMG|67ERES|8LEGI|9TLV|aRCR
181	62631 11631	4	   	268.10	DCR|3VULN|3DMG|1TLV|1CDMG	137DMG|237VULN|37BPWR|4LWND|5CDMG|67ERES|8LEGI|9TLV|aRCR
182	22531 61124	7	   	268.09	DCR|4VULN|2DUR|2ASPD	19ASPD|249aVULN|37FEWX|5LIT|6RCR|89DUR|9BPWR
183	22531 63124	7	   	268.09	DCR|4VULN|2DUR|2ASPD	19ASPD|249aVULN|3FEWX|5LIT|6RCR|79DUR|8RCVC|9BPWR
184	63322 12614	1	   	267.82	DCR|3VULN|3DMG|2ASPD	158DMG|2LWND|38ASPD|4ERES|6LIT|789VULN|8BPWR|aRCR
