0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14231 42622	9	 * 	289.21	DCR|5VULN|3DUR|1AART	1AART|2678aVULN|3LIT|4aERES|56aDUR|6aBPWR|9RCR
172	16332 12234	1	   	261.61	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1AART|2TLV|3LEGI|4aDUR|589VULN|6DMG|7RCR
173	14132 22116	4	   	261.28	DCR|4VULN|1DMG|2AART|1DUR	19AART|235aVULN|3BPWR|4DUR|6DMG|7BEXP|8RCR
174	14132 24116	4	   	261.28	DCR|4VULN|1DMG|2AART|1DUR	19AART|235aVULN|3BPWR|4DUR|6DMG|7FEWX|8RCR
175	14132 33524	4	   	261.26	DCR|4VULN|3DUR|1AART	1AART|2359VULN|39BPWR|469DUR|7TBNT|8BELT|aRCR
176	22164 21523	2	   	261.25	DCR|4VULN|2ASPD|1TLV|1DUR	1LWND|2aASPD|3567VULN|4DUR|8RCR|9TLV
177	32331 66325	2	 * 	261.24	DCR|3VULN|3LIT|2CDMG|1DMG|1DUR	137LIT|2DUR|478VULN|57CDMG|6RCVC|7BPWR|9DMG|aRCR
178	14132 31544	4	   	261.16	DCR|4VULN|3DUR|1AART	1AART|235aVULN|3aBPWR|46aDUR|7MBVNT|8BBNT|9RCR
179	14132 31844	4	   	261.16	DCR|4VULN|3DUR|1AART	1AART|235aVULN|3aBPWR|46aDUR|7MBVNT|8TBNT|9RCR
180	14542 12231	5	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1AART|289VULN|3TLV|4FEWX|5DUR|6DMG|7RCR|aCDMG
181	14562 12231	5	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1AART|289VULN|3TLV|4LWND|5DUR|6DMG|7RCR|aCDMG
182	35142 33111	8	   	260.76	DCR|3VULN|2DMG|1TLV|1CDMG	1LIT|256VULN|36DMG|4LEGI|6BPWR|7CDMG|8RCR|9TLV|aLHND
183	35142 33113	8	   	260.76	DCR|3VULN|2DMG|1TLV|1CDMG	1LIT|256VULN|36DMG|4LEGI|6BPWR|7CDMG|8RCR|9TLV|aRPLT
184	35142 33132	8	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LIT|256VULN|36DMG|4LEGI|6BPWR|7CDMG|8RCR|9BELT|aDUR
185	35142 33134	10	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LIT|256VULN|36DMG|4LEGI|6BPWR|7CDMG|8RCR|9RPLT|aDUR
186	35142 33331	7	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LIT|256VULN|36DMG|4LEGI|6BPWR|7CDMG|8DUR|9FEWX|aRCR
187	31121 53146	8	   	260.76	DCR|3VULN|2DMG|1TLV|1CDMG	1LIT|2CDMG|3LWND|468VULN|5TLV|7aDMG|9RCR
188	16332 12231	1	   	260.67	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1AART|2TLV|3LEGI|4DUR|589VULN|6DMG|7RCR|aCDMG
189	35142 33112	8	   	260.66	DCR|3VULN|2DMG|1TLV|1CDMG	1LIT|256VULN|36DMG|4LEGI|6BPWR|7CDMG|8RCR|9TLV|aBBNT
190	14231 42521	10	   	260.31	DCR|3VULN|2DUR|1DMG|2LIT|1AART	1AART|267VULN|38LIT|4ERES|56DUR|6BPWR|9RCR|aDMG
191	35142 33121	8	   	260.16	DCR|3VULN|3DMG|1CDMG	1LIT|256VULN|369DMG|4LEGI|6BPWR|7CDMG|8RCR|aLWND
192	35142 33124	8	   	260.16	DCR|3VULN|3DMG|1CDMG	1LIT|256VULN|369DMG|4LEGI|6BPWR|7CDMG|8RCR|aRPLT
193	35142 33125	8	   	260.16	DCR|3VULN|3DMG|1CDMG	1LIT|256VULN|369DMG|4LEGI|6BPWR|7CDMG|8RCR|aDMSP
194	23264 21521	1	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1LWND|2567VULN|3ZMB|4DUR|8RCR|9TLV|aDMG
195	23364 21521	1	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1LWND|2567VULN|3CGEN|4DUR|8RCR|9TLV|aDMG
196	62113 21521	2	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1MLV|2367VULN|4DUR|5BEXP|8RCR|9TLV|aDMG
197	62114 21521	2	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1MLV|2367VULN|4DUR|5FEWX|8RCR|9TLV|aDMG
198	62151 21521	2	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1MLV|2367VULN|4FEWX|5DUR|8RCR|9TLV|aDMG
199	35142 33123	8	   	260.06	DCR|3VULN|3DMG|1CDMG	1LIT|256VULN|369DMG|4LEGI|6BPWR|7CDMG|8RCR|aDUST
200	35142 33126	10	   	260.06	DCR|3VULN|3DMG|1CDMG	1LIT|256VULN|36aDMG|4LEGI|6BPWR|7CDMG|8RCR|9DUST
201	35142 33126	8	   	260.06	DCR|3VULN|3DMG|1CDMG	1LIT|256VULN|369DMG|4LEGI|6BPWR|7CDMG|8RCR|aTBNT
202	22111 26561	2	 * 	259.89	DCR|3VULN|3DUR|3ASPD	17LWND|24aASPD|367VULN|579DUR|7BPWR|8RCR
203	35142 13623	3	 * 	259.86	DCR|2VULN|3DUR|2DMG|3LIT	148LIT|2aVULN|38DMG|5TBNT|6RCR|78aDUR|8aBPWR|9aLHND
204	22111 26551	2	 * 	259.79	DCR|4VULN|2DUR|2ASPD	17LWND|24ASPD|367aVULN|57DUR|7BPWR|8RCR|9DMSP
205	21351 46212	9	   	259.62	DCR|3VULN|3DMG|2ASPD	17LWND|2RPLT|348VULN|57ASPD|67aDMG|7BPWR|9RCR
206	22111 21561	2	   	259.59	DCR|4VULN|2DUR|2ASPD	1LWND|24ASPD|367aVULN|59DUR|8RCR
207	22163 21561	2	   	259.59	DCR|4VULN|2DUR|2ASPD	1LWND|25ASPD|367aVULN|49DUR|8RCR
208	42111 21561	2	   	259.59	DCR|4VULN|2DUR|2ASPD	1LHND|24ASPD|367aVULN|59DUR|8RCR
209	31121 53145	8	   	259.42	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LIT|2CDMG|3LWND|468VULN|5TLV|7DMG|9RCR|aDUR
210	31321 53141	8	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1LIT|2CDMG|3DUR|468VULN|5TLV|7DMG|9RCR|aLHND
211	31321 53143	8	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1LIT|2CDMG|3DUR|468VULN|5TLV|7DMG|9RCR|aRPLT
212	31321 53146	8	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1LIT|2CDMG|3DUR|468VULN|5TLV|7DMG|9RCR|aCGEN
213	14215 31123	9	   	259.41	DCR|4VULN|1DUR|2LIT|1ASPD|1AART	1AART|2458VULN|34LIT|4BPWR|6DMSP|7ASPD|9RCR|aDUR
214	14215 31163	8	   	259.41	DCR|4VULN|1DUR|2LIT|1ASPD|1AART	1AART|2458VULN|34LIT|4BPWR|6DMSP|7ASPD|9RCR|aDUR
215	14215 51223	7	   	259.38	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG|1AART	1AART|245VULN|34LIT|4BPWR|6ERES|7RCR|8DMG|9DUR|aCDMG
216	14153 31326	8	   	259.36	DCR|3VULN|2DMG|1DUR|1ASPD|1NUKE|1AART	1AART|23aVULN|3BPWR|4ASPD|5NUKE|6RCR|79DMG|8DUR
217	31321 53142	8	   	259.32	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LIT|2CDMG|3DUR|468VULN|5TLV|7DMG|9RCR|aBBNT
