0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23311 62663	7	 * 	272.47	DCR|3VULN|2DMG|2ASPD|2LIT|1CDMG	19LIT|2RPLT|346VULN|59ASPD|7RCR|89DMG|9BPWR|aCDMG
175	22636 23121	4	   	245.42	DCR|3VULN|1DMG|1TLV|1DUR|1SELL	1LIT|2SELL|3DUR|49aVULN|5DMG|6ERES|7RCR|8TLV
176	53511 26112	1	   	245.36	DCR|3VULN|2DUR|1DMG|1AART	1CGEN|25DUR|367VULN|4DMG|8DUST|9RCR|aAART
177	15124 11161	10	   	245.20	DCR|4VULN|2ASPD|1DUR	138LHND|2DUR|4RCVC|5789VULN|68ASPD|8BPWR|aRCR
178	21226 23662	1	 * 	245.00	DCR|2VULN|2DUR|3LIT|1DMG|1TLV	19aLIT|2DUST|3aVULN|4DMG|5TBNT|6TLV|7aDUR|8RCR|aBPWR
179	23311 62256	9	   	244.70	DCR|3VULN|2DUR|1ASPD|1AART	1LIT|2RPLT|346VULN|5ASPD|7RCR|89DUR|aAART
180	26221 63323	8	   	244.55	DCR|2VULN|2DUR|2CDMG|1TLV|1ASPD	1LIT|2LWND|3aCDMG|4aDUR|5ASPD|6aVULN|7BEXP|8TLV|9RCR|aBPWR
181	34221 63323	8	   	244.55	DCR|2VULN|2DUR|2CDMG|1TLV|1ASPD	1LWND|2LIT|3aCDMG|4aDUR|5ASPD|6aVULN|7BEXP|8TLV|9RCR|aBPWR
182	14231 13323	8	   	244.55	DCR|2VULN|2DUR|2CDMG|1TLV|1ASPD	1LHND|2LIT|3aCDMG|4aVULN|5ASPD|6aDUR|7BEXP|8TLV|9RCR|aBPWR
183	24231 13323	8	   	244.55	DCR|2VULN|2DUR|2CDMG|1TLV|1ASPD	1LIT|2LHND|3aCDMG|4aVULN|5ASPD|6aDUR|7BEXP|8TLV|9RCR|aBPWR
184	26261 13323	8	   	244.55	DCR|2VULN|2DUR|2CDMG|1TLV|1ASPD	1LIT|2LWND|3aCDMG|4aVULN|5ASPD|6aDUR|7BEXP|8TLV|9RCR|aBPWR
185	34261 13323	8	   	244.55	DCR|2VULN|2DUR|2CDMG|1TLV|1ASPD	1LWND|2LIT|3aCDMG|4aVULN|5ASPD|6aDUR|7BEXP|8TLV|9RCR|aBPWR
186	62161 11431	4	   	244.52	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	1RCVC|2AART|3DUR|4DMG|568VULN|7LWND|9RCR|aCDMG
187	26262 32621	6	   	244.51	DCR|3VULN|2DMG|1CDMG	1LIT|2LWND|3CDMG|49aVULN|5FEWX|68DMG|7RCR
188	34262 32621	6	   	244.51	DCR|3VULN|2DMG|1CDMG	1LWND|2LIT|3CDMG|49aVULN|5FEWX|68DMG|7RCR
189	21525 32111	8	   	244.45	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1LIT|2BEXP|3ASPD|4TLV|57DUR|6RCR|8DMG|9aVULN
190	21525 32411	10	   	244.45	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1LIT|2BEXP|3ASPD|4TLV|57DUR|6RCR|89VULN|aDMG
191	24112 12543	1	   	244.45	DCR|2VULN|2DUR|2CDMG|1TLV|1ASPD	1LIT|2aCDMG|3ASPD|4TLV|5aDUR|6MBVNT|7BEXP|8RCR|9aVULN|aBPWR
192	26522 32111	8	   	244.45	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1LIT|2LWND|3ASPD|4TLV|57DUR|6RCR|8DMG|9aVULN
193	26522 32411	10	   	244.45	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1LIT|2LWND|3ASPD|4TLV|57DUR|6RCR|89VULN|aDMG
194	26542 32111	8	   	244.45	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1LIT|2LWND|3ASPD|47DUR|5TLV|6RCR|8DMG|9aVULN
195	34522 32111	8	   	244.45	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1LWND|2LIT|3ASPD|4TLV|57DUR|6RCR|8DMG|9aVULN
196	34522 32411	10	   	244.45	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1LWND|2LIT|3ASPD|4TLV|57DUR|6RCR|89VULN|aDMG
197	34542 32111	8	   	244.45	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1LWND|2LIT|3ASPD|47DUR|5TLV|6RCR|8DMG|9aVULN
198	35522 32111	8	   	244.45	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1LWND|27DUR|3LIT|4DMG|5TLV|6RCR|8ASPD|9aVULN
199	35522 32411	7	   	244.45	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1LWND|27DUR|3LIT|4DMG|5TLV|6RCR|8ASPD|9aVULN
200	45522 32111	8	   	244.45	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1BEXP|27DUR|3LIT|4DMG|5TLV|6RCR|8ASPD|9aVULN
201	52354 22112	7	 * 	244.43	DCR|3VULN|2TLV|1DMG|1ASPD	127CGEN|3DMG|457VULN|67TLV|7BPWR|8ASPD|9LIT|aRCR
202	53354 22112	7	   	244.43	DCR|3VULN|2TLV|1DMG|1ASPD	17CGEN|2DMG|3RCVC|457VULN|67TLV|7BPWR|8ASPD|9LIT|aRCR
203	24112 11543	1	   	244.35	DCR|2VULN|2DUR|2CDMG|1TLV|1ASPD	1LIT|2aCDMG|3ASPD|4TLV|5aDUR|6MBVNT|7DUST|8RCR|9aVULN|aBPWR
204	22151 45322	9	   	244.33	DCR|3VULN|2TLV|2LIT|1CDMG|1ASPD|1SELL	19LIT|2SELL|3MLV|49TLV|5ASPD|6CDMG|789VULN|9BPWR|aRCR
205	22531 45112	7	   	244.33	DCR|3VULN|2TLV|2LIT|1CDMG|1ASPD|1SELL	19LIT|2SELL|349VULN|5ASPD|6CDMG|79TLV|8RMIN|9BPWR|aRCR
206	22351 45312	8	   	244.33	DCR|3VULN|2TLV|2LIT|1CDMG|1ASPD|1SELL	19LIT|2SELL|3RMIN|49TLV|5ASPD|6CDMG|789VULN|9BPWR|aRCR
207	24324 31362	1	   	244.12	DCR|2VULN|2ASPD|1DMG|1TLV|2LIT|1CDMG	1aLIT|2CDMG|3aVULN|4TBNT|5DMG|6RCR|7RPLT|8TLV|9aASPD|aBPWR
208	15216 21511	9	   	244.11	DCR|2VULN|2DMG|2DUR|2AART	17LHND|27DUR|34AART|57DMG|6RMIN|7BPWR|8aVULN|9RCR
209	23316 32251	9	   	244.10	DCR|3VULN|2DUR|1DMG	1LIT|25RPLT|34aVULN|6DMG|7RCR|89DUR
210	23316 13225	6	   	244.01	DCR|3VULN|3DUR|2LIT	1aLIT|25RPLT|34aVULN|68aDUR|7RCR|9RMIN|aBPWR
211	23316 13261	6	   	244.01	DCR|3VULN|3DUR|2LIT	19LIT|25aRPLT|349VULN|689DUR|7RCR|9BPWR
212	23316 13264	6	   	244.01	DCR|3VULN|3DUR|2LIT	19LIT|25RPLT|349VULN|689DUR|7RCR|9BPWR|aFEWX
213	53532 11135	9	   	243.96	DCR|3VULN|2DMG|2ASPD	18CGEN|28DMG|35BEXP|47aVULN|68ASPD|8BPWR|9RCR
214	15421 31161	10	   	243.95	DCR|4VULN|2TLV|1DUR	168LHND|2DUR|38TLV|4789VULN|5DMSP|8BPWR|aRCR
215	15421 31163	9	   	243.95	DCR|4VULN|2TLV|1DUR	168LHND|2DUR|38TLV|4789VULN|5DMSP|8BPWR|aRCR
216	15423 31125	8	   	243.95	DCR|4VULN|2TLV|1DUR	168LHND|2DUR|38TLV|4578VULN|8BPWR|9MLV|aRCR
217	23316 13166	6	   	243.91	DCR|3VULN|3DUR|2LIT	19LIT|25RPLT|349VULN|69aDUR|7RCR|8TBNT|9BPWR
218	23316 13262	6	   	243.91	DCR|3VULN|3DUR|2LIT	19LIT|25RPLT|349VULN|689DUR|7RCR|9BPWR|aERES
219	23316 13263	6	   	243.91	DCR|3VULN|3DUR|2LIT	19LIT|25RPLT|349VULN|689DUR|7RCR|9BPWR|aDUST
220	15621 33611	10	   	243.89	DCR|2VULN|3DMG|1DUR|1TLV	18LHND|2DUR|3RMIN|48VULN|5LEGI|678DMG|8BPWR|9TLV|aRCR
221	22416 12521	2	   	243.86	DCR|3VULN|2DUR|1DMG|1SELL	1LIT|2SELL|3LWND|49aVULN|5DMG|68DUR|7RCR
222	22516 12521	4	   	243.86	DCR|3VULN|2DUR|1DMG|1SELL	1LIT|2SELL|39aVULN|4LWND|5DMG|68DUR|7RCR
223	22616 32521	3	   	243.86	DCR|3VULN|2DUR|1DMG|1SELL	1LIT|2SELL|38DUR|49aVULN|5DMG|6LWND|7RCR
224	22636 32521	4	   	243.86	DCR|3VULN|2DUR|1DMG|1SELL	1LIT|2SELL|38DUR|49aVULN|5DMG|6LWND|7RCR
225	23311 62115	7	   	243.77	DCR|3VULN|1DUR|1CDMG|1ASPD|1AART	1LIT|2RPLT|346VULN|5ASPD|7RCR|8CDMG|9AART|aDUR
226	23311 62232	9	   	243.77	DCR|3VULN|1DUR|1CDMG|1ASPD|1AART	1LIT|2RPLT|346VULN|5ASPD|7RCR|8DUR|9CDMG|aAART
227	23311 62232	7	   	243.77	DCR|3VULN|1DUR|1CDMG|1ASPD|1AART	1LIT|2RPLT|346VULN|5ASPD|7RCR|8DUR|9CDMG|aAART
228	23311 62232	8	   	243.77	DCR|3VULN|1DUR|1CDMG|1ASPD|1AART	1LIT|2RPLT|346VULN|5ASPD|7RCR|8DUR|9CDMG|aAART
229	15421 21161	4	   	243.75	DCR|4VULN|2TLV|1DUR	18LHND|2DUR|38TLV|4789VULN|5BBNT|6TBNT|8BPWR|aRCR
230	13534 21161	1	   	243.75	DCR|4VULN|2TLV|1DUR	18LHND|2TBNT|3DUR|4789VULN|58TLV|6BBNT|8BPWR|aRCR
231	15134 21161	2	   	243.75	DCR|4VULN|2TLV|1DUR	18LHND|2DUR|3BBNT|4789VULN|58TLV|6TBNT|8BPWR|aRCR
232	15334 21161	2	   	243.75	DCR|4VULN|2TLV|1DUR	18LHND|2DUR|3TBNT|4789VULN|58TLV|6BBNT|8BPWR|aRCR
233	23311 12425	4	   	243.65	DCR|4VULN|3LIT|1DUR	178LIT|2RPLT|3467VULN|5TBNT|7BPWR|9RCR|aDUR
234	66312 16131	3	 * 	243.65	DCR|4VULN|2CDMG|1TLV	1RCVC|2TLV|3489VULN|5TBNT|6RCR|7aCDMG
235	13423 24326	8	   	243.17	DCR|3VULN|1DMG|1TLV|1CDMG	1LHND|2LWND|3TLV|45aVULN|6CDMG|7LIT|8DMG|9RCR
236	23215 16142	6	   	243.17	DCR|3VULN|1DMG|1DUR|1CDMG	1LIT|2RPLT|3LHND|467VULN|5DMG|8CDMG|9RCR|aDUR
237	23313 61356	4	   	243.14	DCR|3VULN|2AART|1TLV|1DUR	1LIT|2RPLT|34aVULN|5DUR|67AART|8RCR|9TLV
238	23311 62211	10	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2aRPLT|3469VULN|5ASPD|7RCR|8DUR
239	23311 62212	10	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DUR|aLHND
240	23311 62212	9	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DUR|aLHND
241	23311 62213	10	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DUR|aBEXP
242	23311 62213	9	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DUR|aLWND
243	23311 62214	9	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DUR|aRMIN
244	23311 62214	10	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DUR|aBELT
245	23311 62215	9	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DUR|aBEXP
246	23311 62215	10	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DUR|aCGEN
247	23311 62222	8	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DUR|aLHND
248	23311 62222	7	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DUR|aLHND
249	23311 62223	8	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DUR|aLWND
250	23311 62223	7	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DUR|aLWND
251	23311 62224	8	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DUR|aRMIN
252	23311 62224	9	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|346aVULN|5ASPD|7RCR|8DUR|9LWND
253	23311 62224	7	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DUR|aRMIN
254	23311 62225	8	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DUR|aBEXP
255	23311 62225	7	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DUR|aBEXP
256	23311 62244	9	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|346aVULN|5ASPD|7RCR|8DUR|9FEWX
257	23311 62254	7	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|346aVULN|5ASPD|7RCR|8DUR|9FEWX
258	23311 62254	8	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|346aVULN|5ASPD|7RCR|8DUR|9FEWX
259	23311 62354	9	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|346aVULN|5ASPD|7RCR|8BEXP|9DUR
260	23311 62451	8	   	243.10	DCR|4VULN|1TLV|1ASPD	1LIT|2RPLT|346aVULN|5ASPD|7RCR|8MLV|9TLV
261	23311 62551	7	   	243.10	DCR|4VULN|1TLV|1ASPD	1LIT|2RPLT|346aVULN|5ASPD|7RCR|8MLV|9TLV
262	23311 63616	9	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|3467VULN|5ASPD|8RCR|9LHND|aDUR
263	23311 63626	8	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|3467VULN|5ASPD|8RCR|9LWND|aDUR
264	23316 52211	9	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|25RPLT|349aVULN|6ASPD|7RCR|8DUR
265	23316 52221	8	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|25RPLT|349aVULN|6ASPD|7RCR|8DUR
266	23316 52221	7	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|25RPLT|349aVULN|6ASPD|7RCR|8DUR
267	23311 52211	9	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|349aVULN|5ASPD|6RCVC|7RCR|8DUR
268	23311 52221	7	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|349aVULN|5ASPD|6RCVC|7RCR|8DUR
269	23311 52221	8	   	243.10	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|349aVULN|5ASPD|6RCVC|7RCR|8DUR
270	35332 63844	3	   	243.10	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	1aLWND|2DUR|3MBVNT|4aLIT|5TLV|6RCR|79VULN|8aDMG|aBPWR
271	14216 33121	3	   	243.07	DCR|3VULN|1DMG|1TLV|1CDMG	1LHND|2LIT|3CDMG|49aVULN|5DMG|6ERES|7RCR|8TLV
272	14236 33121	4	   	243.07	DCR|3VULN|1DMG|1TLV|1CDMG	1LHND|2LIT|3CDMG|49aVULN|5DMG|6ERES|7RCR|8TLV
273	24216 33121	3	   	243.07	DCR|3VULN|1DMG|1TLV|1CDMG	1LIT|2LHND|3CDMG|49aVULN|5DMG|6ERES|7RCR|8TLV
274	24236 33121	4	   	243.07	DCR|3VULN|1DMG|1TLV|1CDMG	1LIT|2LHND|3CDMG|49aVULN|5DMG|6ERES|7RCR|8TLV
275	24416 33121	1	   	243.07	DCR|3VULN|1DMG|1TLV|1CDMG	1LIT|2CDMG|3LWND|49aVULN|5DMG|6ERES|7RCR|8TLV
276	26216 33121	3	   	243.07	DCR|3VULN|1DMG|1TLV|1CDMG	1LIT|2LWND|3CDMG|49aVULN|5DMG|6ERES|7RCR|8TLV
277	26266 33121	4	   	243.07	DCR|3VULN|1DMG|1TLV|1CDMG	1LIT|2LWND|3CDMG|49aVULN|5DMG|6ERES|7RCR|8TLV
278	34216 33121	3	   	243.07	DCR|3VULN|1DMG|1TLV|1CDMG	1LWND|2LIT|3CDMG|49aVULN|5DMG|6ERES|7RCR|8TLV
279	34266 33121	4	   	243.07	DCR|3VULN|1DMG|1TLV|1CDMG	1LWND|2LIT|3CDMG|49aVULN|5DMG|6ERES|7RCR|8TLV
280	23311 62214	8	   	243.00	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|346aVULN|5ASPD|7RCR|8DUR|9DUST
281	23311 62214	7	   	243.00	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|346aVULN|5ASPD|7RCR|8DUR|9DUST
282	23311 62264	9	   	243.00	DCR|4VULN|1DUR|1ASPD	1LIT|2RPLT|346aVULN|5ASPD|7RCR|8DUR|9DUST
283	23311 63635	10	   	243.00	DCR|4VULN|1TLV|1ASPD	1LIT|2RPLT|3467VULN|5ASPD|8RCR|9ERES|aTLV
284	43321 31167	7	   	242.91	DCR|3VULN|3DUR|1CDMG	158BEXP|29LWND|3MBVNT|489DUR|6RCR|789VULN|89BPWR|aCDMG
285	35358 31144	6	   	242.82	DCR|2VULN|2DMG|2DUR|1TLV	18LWND|28DUR|3MBVNT|4ZMB|59VULN|68DMG|7RCR|8BPWR|aTLV
286	15124 32523	7	   	242.81	DCR|3VULN|3DUR|1CDMG	137LHND|267DUR|4RCVC|57aVULN|7BPWR|8CDMG|9RCR
287	52354 22111	10	 * 	242.71	DCR|3VULN|2DMG|2TLV	127CGEN|39DMG|457VULN|67TLV|7BPWR|8BEXP|aRCR
288	52354 22311	10	   	242.71	DCR|3VULN|2DMG|2TLV	127CGEN|39DMG|457VULN|67TLV|7BPWR|8FEWX|aRCR
289	53354 22111	10	   	242.71	DCR|3VULN|2DMG|2TLV	17CGEN|29DMG|3RCVC|457VULN|67TLV|7BPWR|8BEXP|aRCR
290	53354 22311	10	   	242.71	DCR|3VULN|2DMG|2TLV	17CGEN|29DMG|3RCVC|457VULN|67TLV|7BPWR|8FEWX|aRCR
291	35344 31167	7	   	242.71	DCR|3VULN|3DUR|1CDMG	158LWND|289DUR|3MBVNT|4LEGI|6RCR|789VULN|89BPWR|aCDMG
292	53514 22212	1	   	242.62	DCR|2VULN|2DMG|2DUR|1TLV	1CGEN|2aDUR|36VULN|45DMG|7ERES|8TLV|9RCR
293	66312 11114	3	   	242.61	DCR|3VULN|2DMG|2TLV	1RCVC|2aTLV|34aVULN|5TBNT|6RCR|7CGEN|8LWND|9aDMG|aBPWR
294	66312 11214	3	   	242.61	DCR|3VULN|2DMG|2TLV	1RCVC|2aTLV|34aVULN|5TBNT|6RCR|7CGEN|8LHND|9aDMG|aBPWR
295	66312 11314	3	   	242.61	DCR|3VULN|2DMG|2TLV	1RCVC|2aTLV|34aVULN|5TBNT|6RCR|7CGEN|8BEXP|9aDMG|aBPWR
296	61126 42133	8	 * 	242.61	DCR|3VULN|2DMG|2CDMG	1RCVC|2DMSP|39CDMG|489VULN|5DUST|6LWND|79DMG|9BPWR|aRCR
297	22231 62211	9	   	242.61	DCR|4VULN|1DUR|1ASPD|2SELL	1LIT|23SELL|469aVULN|5ASPD|7RCR|8DUR
298	22231 62221	8	   	242.61	DCR|4VULN|1DUR|1ASPD|2SELL	1LIT|23SELL|469aVULN|5ASPD|7RCR|8DUR
299	22231 62421	7	   	242.61	DCR|4VULN|1DUR|1ASPD|2SELL	1LIT|23SELL|469aVULN|5ASPD|7RCR|8DUR
300	62333 24523	1	   	242.61	DCR|3VULN|3DUR|1CDMG	1RCVC|26aVULN|347DUR|5FEWX|8CDMG|9RCR
301	63324 31523	7	   	242.61	DCR|3VULN|3DUR|1CDMG	1RCVC|2FEWX|346DUR|58aVULN|7CDMG|9RCR
302	66311 14212	3	   	242.56	DCR|4VULN|2TLV|2LIT	1RCVC|29TLV|3469VULN|5LWND|7ZMB|89LIT|9BPWR|aRCR
303	66332 31214	3	   	242.51	DCR|3VULN|2DMG|2TLV	1RCVC|2aTLV|38aVULN|4ERES|5BEXP|6RCR|7TBNT|9aDMG|aBPWR
304	66333 31214	3	   	242.51	DCR|3VULN|2DMG|2TLV	1RCVC|2aTLV|38aVULN|4ERES|5FEWX|6RCR|7TBNT|9aDMG|aBPWR
