0	Index      	 *	Score 	Summary	Detail	
1	15221 31452	 * 	277.49	ACR|3VULN|2MLV|2DMG|1TLV|1ASPD	1TLV|2aDMG|3RCR|4LWND|5AME|67aVULN|8ASPD|9aMLV|aBPWR
156	21653 21145	   	250.08	DCR|DCR|1VULN|1MLV|1SELL	1BELT|2SELL|3MLV|4LHND|5DUR|6MBVNT|7VULN|8LEGI|9aRCR
157	21653 22345	   	250.08	DCR|DCR|1VULN|1MLV|1SELL	1BELT|2SELL|3MLV|4LHND|5DUR|6MBVNT|7DUST|8VULN|9aRCR
158	14211 61211	   	250.03	ACR|DCR|1VULN|1TLV|1AAC|1ASPD	1TLV|2ASPD|38RCR|4DUR|5AME|6MBVNT|7VULN|9CGEN|aAAC
159	21633 24645	   	249.98	DCR|DCR|1VULN|1MLV|1SELL	1BELT|2SELL|3MLV|4VULN|5DUR|6MBVNT|7BEXP|8DUST|9aRCR
160	14211 61221	   	249.93	ACR|DCR|1VULN|1TLV|1AAC|1ASPD	1TLV|2ASPD|38RCR|4DUR|5AME|6MBVNT|7VULN|9ERES|aAAC
161	14221 64282	 * 	249.78	ACR|DCR|2TLV|3ASPD|2DUR	19TLV|29aASPD|38RCR|4LWND|5AME|6MBVNT|79DUR|9BPWR
162	11234 23135	   	249.57	ACR|DCR|2DMG|1TLV|1MLV	1TLV|256ERES|3aRCR|45DMG|5BPWR|7ZMB|8MLV|9RAT
163	12363 31432	   	249.46	DCR|2VULN|2TLV|2DMG|2RAT	1aTLV|2RPLT|37VULN|4BBNT|5aRAT|6aDMG|8RCR|9DMSP|aBPWR
164	13524 17133	   	249.26	DCR|2VULN|2TLV|2DMG|1CDMG	17TLV|27BEXP|3MBVNT|49VULN|5LIT|67DMG|7BPWR|8CDMG|aRCR
165	15221 61252	   	249.23	ACR|DCR|1VULN|1TLV|1DMG|1CDMG	1TLV|2DMG|38RCR|4LWND|5AME|6MBVNT|7VULN|9CDMG|aRAT
166	16233 61252	   	249.23	ACR|DCR|1VULN|1TLV|1DMG|1CDMG	1TLV|2AME|38RCR|4DMG|5LHND|6MBVNT|7VULN|9CDMG|aRAT
167	15431 62322	   	249.15	DCR|2VULN|1TLV|1MLV|1DMG	1TLV|2DMG|3AART|4LWND|58VULN|6MLV|7LHND|9DUR|aRCR
168	23534 13111	   	248.94	DCR|2MLV|1VULN|1TLV|1DMG|1AAC	1BELT|2AEFBLL|3DMG|45MLV|6RCR|7TLV|8AAC|9VULN|aLIT
169	23534 13114	   	248.94	DCR|2MLV|1VULN|1TLV|1DMG|1AAC	1BELT|2AEFBLL|3DMG|45MLV|6RCR|7TLV|8AAC|9VULN|aAME
170	23534 13115	   	248.94	DCR|2MLV|1VULN|1TLV|1DMG|1AAC	1BELT|2AEFBLL|3DMG|45MLV|6RCR|7TLV|8AAC|9VULN|aZMB
171	23534 13116	   	248.94	DCR|2MLV|1VULN|1TLV|1DMG|1AAC	1BELT|2AEFBLL|3DMG|45MLV|6RCR|7TLV|8AAC|9VULN|aLHND
172	23534 13112	   	248.84	DCR|2MLV|1VULN|1TLV|1DMG|1AAC	1BELT|2AEFBLL|3DMG|45MLV|6RCR|7TLV|8AAC|9VULN|aMULARM
173	11236 21135	   	248.77	ACR|DCR|1TLV|1MLV|1DMG|1AAC	1TLV|256ERES|3aRCR|4DMG|7AAC|8MLV|9RAT
174	14221 31552	   	248.76	ACR|2VULN|2MLV|2TLV|1AAC|1ASPD	1aTLV|2ASPD|3RCR|4aLWND|5AME|67VULN|8AAC|9aMLV|aBPWR
175	63312 11123	 * 	248.71	DCR|2MLV|2TLV|2DMG|1AAC	1LEGI|2BELT|3TBNT|4aTLV|5BEXP|6AAC|7aMLV|8aDMG|9RCR|aBPWR
176	36241 13631	   	248.58	DCR|2VULN|2DMG|1MLV|1AAC|1CDMG	19BEXP|2RPLT|3MLV|4AAC|59DMG|6CDMG|7FEWX|89VULN|9BPWR|aRCR
177	23534 13413	   	248.30	DCR|2MLV|1VULN|1TLV|1DMG|1ASPD	1BELT|2AEFBLL|3DMG|45MLV|6RCR|7TLV|8CGEN|9VULN|aASPD
178	23534 13513	   	248.30	DCR|2MLV|1VULN|1TLV|1DMG|1ASPD	1BELT|2AEFBLL|3DMG|45MLV|6RCR|7TLV|8AME|9VULN|aASPD
179	14216 36211	 * 	248.28	ACR|2MLV|2TLV|2AAC|2ASPD|1DMG|1SELL	1aTLV|2aASPD|3RCR|4DUR|5SELL|6DMG|79AAC|8aMLV|aBPWR
180	63226 11135	 * 	248.11	DCR|2VULN|2MLV|1DMG|1CDMG	1LEGI|2BELT|35MLV|4CDMG|68VULN|7DUR|9DMG|aRCR
181	14211 61244	   	247.72	ACR|DCR|1VULN|1TLV|2ASPD	1TLV|29ASPD|38RCR|4DUR|5aAME|6MBVNT|7VULN
182	21562 13328	 * 	247.69	DCR|DCR|2VULN|1SELL	1BELT|2SELL|3MBVNT|4AEFBLL|58VULN|6DUR|7BBNT|9aRCR
183	13623 34262	   	247.69	DCR|1VULN|1TLV|1MLV|1DMG|1AAC|1ASPD	1TLV|2BEXP|3MLV|4LIT|5DUR|6VULN|7ASPD|8AAC|9DMG|aRCR
184	14211 61241	   	247.62	ACR|DCR|1VULN|1TLV|2ASPD|1SELL	1TLV|29ASPD|38RCR|4DUR|5AME|6MBVNT|7VULN|aSELL
185	14211 61243	   	247.62	ACR|DCR|1VULN|1TLV|2ASPD	1TLV|29ASPD|38RCR|4DUR|5AME|6MBVNT|7VULN|aBEXP
186	14211 61245	   	247.62	ACR|DCR|1VULN|1TLV|2ASPD	1TLV|29ASPD|38RCR|4DUR|5AME|6MBVNT|7VULN|aLSRICY
187	14211 61247	   	247.62	ACR|DCR|1VULN|1TLV|2ASPD|1MSE	1TLV|29ASPD|38RCR|4DUR|5AME|6MBVNT|7VULN|aMSE
188	23123 65433	 * 	247.60	DCR|4VULN|2MLV	1BELT|26AEFBLL|3aFEWX|4ZMB|569aVULN|6aBPWR|7aMLV|8RCR
