0	Index      	 *	Score 	Summary	Detail	
1	23424 43231	 * 	227.92	DCR|3VULN|2AART|1ASPD|1DMG|1DUR	1DUR|23AART|49aVULN|5ASPD|6CGEN|7RCR|8DMG
158	13224 63235	   	199.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1AAC	19VULN|24DUR|3AAC|5AART|6ASPD|7RCR|8DMG|aCGEN
159	13224 63331	   	199.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1AAC	1aVULN|24DUR|3AAC|5AART|6ASPD|7RCR|8DMSP|9DMG
160	13324 63232	   	199.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	19VULN|24DUR|3TLV|5AART|6ASPD|7RCR|8DMG|aBEXP
161	13324 63233	   	199.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	19VULN|24DUR|3TLV|5AART|6ASPD|7RCR|8DMG|aLIT
162	13324 63236	   	199.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	19VULN|24DUR|3TLV|5AART|6ASPD|7RCR|8DMG|aDMSP
163	25224 63232	   	199.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1AAC	14DUR|29VULN|3AAC|5AART|6ASPD|7RCR|8DMG|aBEXP
164	25224 63233	   	199.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1AAC	14DUR|29VULN|3AAC|5AART|6ASPD|7RCR|8DMG|aLIT
165	25224 63331	   	199.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1AAC	14DUR|2aVULN|3AAC|5AART|6ASPD|7RCR|8DMSP|9DMG
166	25324 63232	   	199.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	14DUR|29VULN|3TLV|5AART|6ASPD|7RCR|8DMG|aBEXP
167	25324 63233	   	199.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	14DUR|29VULN|3TLV|5AART|6ASPD|7RCR|8DMG|aLIT
168	13124 63221	   	199.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1aVULN|29DUR|3DMSP|4TLV|5AART|6ASPD|7RCR|8DMG
169	25124 63221	   	199.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	19DUR|2aVULN|3DMSP|4TLV|5AART|6ASPD|7RCR|8DMG
170	13324 63531	   	199.05	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1aVULN|24DUR|38TLV|5AART|6ASPD|7RCR|9DMG
171	16212 25233	   	198.90	DCR|3ASPD|2VULN|1CDMG|1AAC|2ZMB	18VULN|2AAC|36LHND|48ZMB|589ASPD|7RCR|8BPWR|aCDMG
172	23451 33351	 * 	198.77	DCR|1SPLARM|2AART|2DMG|1VULN|1ZMB|1DUR	1DUR|23AART|49DMG|5CGEN|6ZMB|7SPLARM|8VULN|aRCR
173	13114 63631	   	198.72	DCR|3VULN|1AART|1ASPD|1DUR	19aVULN|2DUR|3DMSP|4RMIN|5AART|6ASPD|7RCR|8CGEN
174	16311 25532	 * 	198.62	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	14VULN|2AAC|3SPLARM|5DUR|6LHND|7CDMG|8DMG|9AART|aRCR
175	16313 63532	   	198.62	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	14VULN|2AAC|3SPLARM|5CDMG|6DUR|7LWND|8DMG|9AART|aRCR
176	16333 12132	   	198.62	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	17VULN|2AAC|3SPLARM|4LWND|5CDMG|6DMG|8DUR|9AART|aRCR
177	16333 62532	   	198.62	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	17VULN|2AAC|3SPLARM|4LWND|5CDMG|6DUR|8DMG|9AART|aRCR
178	13114 63531	   	198.62	DCR|3VULN|1AART|1ASPD|1DUR	19aVULN|2DUR|3DMSP|4RMIN|5AART|6ASPD|7RCR|8TLV
179	13212 15334	   	198.30	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB|1DUR	16aVULN|2DUR|3AAC|4ZMB|5ASPD|7RCR|8DMG|9LHND
180	25212 15334	   	198.30	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB|1DUR	1DUR|26aVULN|3AAC|4ZMB|5ASPD|7RCR|8DMG|9LHND
181	13114 63335	   	198.15	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1VULN|2DUR|38DMSP|4RMIN|5AART|6ASPD|7RCR|9aDMG
182	23524 63231	   	197.95	DCR|2DMG|1VULN|1AART|1ASPD|1NUKE|1DUR	1DUR|2AART|3RMIN|4TLV|5ASPD|68DMG|7RCR|9NUKE|aVULN
