0	Index      	 *	Score 	Summary	Detail	
1	41311 45223	 * 	289.91	DCR|3MLV|2VULN|1TLV|2CDMG	1aVULN|24aMLV|3TLV|57FEWX|6AART|8RCR|9aCDMG|aBPWR
171	42223 15311	   	262.02	DCR|3VULN|1TLV|1MLV|1AAC	178VULN|2AAC|3LWND|4MLV|5AEFRZ|6TLV|9RAT|aRCR
172	42312 45211	   	262.02	DCR|3VULN|1TLV|1MLV|1AAC	167VULN|2AAC|3TLV|4MLV|5AEFBLL|8LHND|9RAT|aRCR
173	41333 33642	   	261.52	DCR|2VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	18VULN|2MLV|3TLV|4ERES|5BBNT|6CDMG|7ASPD|9RCR|aAAC
174	51313 33642	   	261.52	DCR|2VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1ERES|28VULN|3TLV|4MLV|5BBNT|6CDMG|7ASPD|9RCR|aAAC
175	41322 25121	   	261.49	DCR|2VULN|2MLV|2TLV	17VULN|25MLV|36TLV|4BBNT|8DUR|9LHND|aRCR
176	41133 64112	   	261.44	DCR|3MLV|2VULN|1TLV	15VULN|28aMLV|3FRZICY|4TBNT|6TLV|7ZMB|9RCR
177	45313 14112	   	261.44	DCR|3MLV|2VULN|1TLV	16VULN|2AME|3TLV|47aMLV|5BBNT|8FRZICY|9RCR
178	41322 25141	   	261.39	DCR|2VULN|2MLV|2TLV	17VULN|25MLV|36TLV|4BBNT|8DUR|9BEXP|aRCR
179	41316 63221	   	261.34	DCR|3MLV|2VULN|1TLV	17VULN|247MLV|3TLV|5DUST|67BEXP|7BPWR|8RMIN|9AME|aRCR
180	41321 61113	   	261.34	DCR|3MLV|2VULN|1TLV	17VULN|279MLV|3TLV|4BBNT|5CANSTR|67AEFRZ|7BPWR|8RCR|aRPLT
181	41321 61114	   	261.34	DCR|3MLV|2VULN|1TLV	17VULN|279MLV|3TLV|4BBNT|5CANSTR|67AEFRZ|7BPWR|8RCR|aTBNT
182	41321 61115	   	261.34	DCR|3MLV|2VULN|1TLV	17VULN|279MLV|3TLV|4BBNT|5CANSTR|67AEFRZ|7BPWR|8RCR|aRMIN
183	41321 61116	   	261.34	DCR|3MLV|2VULN|1TLV	17VULN|279MLV|3TLV|4BBNT|5CANSTR|67AEFRZ|7BPWR|8RCR|aFEWX
184	41161 63312	   	261.34	DCR|3MLV|2VULN|1TLV	16VULN|25aMLV|3FRZICY|46DUST|6BPWR|7CGEN|8TLV|9RCR
185	41221 63312	   	261.34	DCR|3MLV|2VULN|1TLV	16VULN|25aMLV|3LWND|46SNIFST|6BPWR|7CGEN|8TLV|9RCR
186	41321 14112	   	261.34	DCR|3MLV|2VULN|1TLV	16VULN|28aMLV|3TLV|4BBNT|5CANSTR|7ZMB|9RCR
187	41321 61111	   	261.24	DCR|3MLV|2VULN|1TLV|1MSE	17VULN|279MLV|3TLV|4BBNT|5CANSTR|67AEFRZ|7BPWR|8RCR|aMSE
188	41321 61112	   	261.24	DCR|3MLV|2VULN|1TLV	17VULN|279MLV|3TLV|4BBNT|5CANSTR|67AEFRZ|7BPWR|8RCR|aMDPS
189	41421 63312	   	261.24	DCR|3MLV|2VULN|1TLV	16VULN|25aMLV|3BEXP|46SNIFST|6BPWR|7CGEN|8TLV|9RCR
190	41321 61161	   	261.09	DCR|3MLV|2VULN|1TLV|1SELL	17VULN|27aMLV|3TLV|4BBNT|5CANSTR|67AEFRZ|7BPWR|8RCR|9SELL
191	32131 13542	 * 	260.97	DCR|2VULN|2MLV|2AAC|1CDMG	18LWND|2aAAC|38MLV|4DUR|5CDMG|68VULN|7MDPS|8BPWR|9RCR
192	41311 21413	   	260.97	DCR|2VULN|2MLV|1TLV|1CDMG	19VULN|24MLV|3TLV|5FEWX|6BBNT|7DUR|8RCR|aCDMG
193	41316 21413	   	260.87	DCR|2VULN|2MLV|1TLV|1CDMG	19VULN|24MLV|3TLV|5DUST|6BBNT|7DUR|8RCR|aCDMG
194	41513 82331	   	260.57	DCR|3VULN|2TLV|1MLV	18aVULN|2MLV|3MBVNT|49TLV|5AEFRZ|6DUR|7RCR
195	41511 42452	   	260.14	DCR|3VULN|1TLV|1MLV|1CDMG	18aVULN|2MLV|3MBVNT|4TLV|5CDMG|6LHND|7DUR|9RCR
196	41311 13641	   	260.12	DCR|2VULN|2MLV|2TLV	19VULN|24MLV|36TLV|5FEWX|7RAT|8ZMB|aRCR
197	41351 23221	   	260.09	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	16VULN|2MLV|3TLV|4ZMB|5DUR|7DMG|8AAC|9FEWX|aRCR
198	41361 23221	   	260.09	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	16VULN|2MLV|3TLV|4RMIN|5DUR|7DMG|8AAC|9FEWX|aRCR
199	41331 23632	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	16VULN|2MLV|3TLV|4ERES|5DUR|7DMG|8RCR|9AME|aAAC
200	41331 23652	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	16VULN|2MLV|3TLV|4ERES|5DUR|7DMG|8RCR|9TBNT|aAAC
201	41346 23231	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	16VULN|2MLV|3TLV|4BEXP|5RMIN|7DMG|8AAC|9DUR|aRCR
202	41351 23241	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	16VULN|2MLV|3TLV|4ZMB|5DUR|7DMG|8AAC|9BEXP|aRCR
203	41355 23231	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	16VULN|2MLV|3TLV|4ZMB|5DUST|7DMG|8AAC|9DUR|aRCR
204	41361 23241	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	16VULN|2MLV|3TLV|4RMIN|5DUR|7DMG|8AAC|9BEXP|aRCR
205	41365 23231	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	16VULN|2MLV|3TLV|4RMIN|5DUST|7DMG|8AAC|9DUR|aRCR
206	41416 23231	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	16VULN|2MLV|3BEXP|4TLV|5RMIN|7DMG|8AAC|9DUR|aRCR
207	42311 23321	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	16VULN|2AAC|3TLV|4MLV|5DUR|7DMG|8DUST|9CGEN|aRCR
208	42326 23431	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	16VULN|2AAC|3TLV|4BEXP|5RMIN|7DMG|8MLV|9DUR|aRCR
209	42352 23431	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	16VULN|2AAC|3TLV|4ZMB|5BEXP|7DMG|8MLV|9DUR|aRCR
210	45311 23241	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	16VULN|2AME|3TLV|4MLV|5DUR|7DMG|8AAC|9BEXP|aRCR
211	51311 23632	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1ERES|26VULN|3TLV|4MLV|5DUR|7DMG|8RCR|9AME|aAAC
212	51311 23652	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1ERES|26VULN|3TLV|4MLV|5DUR|7DMG|8RCR|9TBNT|aAAC
213	51351 23215	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1ERES|26VULN|3TLV|4ZMB|5DUR|7DMG|8AAC|9MLV|aRCR
