0	Index      	 *	Score 	Summary	Detail	
1	44231 22341	 * 	207.38	ACR|2AART|2VULN|2DMG|3CDMG	149CDMG|2RCR|35AART|6DUST|79DMG|89VULN|9BPWR|aBEXP
165	15623 14233	   	178.90	ACR|3DMG|1AART|1VULN|1ZMB|1DUR|1SELL	178DMG|2SELL|3VULN|4RCR|5DUR|6AART|9ERES|aZMB
166	41343 12362	   	178.86	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	1CDMG|2DUR|3DUST|4SELL|5AART|6aVULN|78DMG|9RCR
167	13335 16342	   	178.72	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|2RCVC|35DUST|45aVULN|5BPWR|6AART|7RCR|8DUR|9ZMB
168	44232 21621	   	178.25	ACR|2DMG|1AART|3CDMG|1VULN	14aCDMG|2RCR|3AART|5ERES|6aDMG|7VULN|8TLV|9aFEWX|aBPWR
169	44232 22326	   	178.25	ACR|2DMG|1AART|3CDMG|1VULN	14aCDMG|2RCR|3AART|5aERES|67DMG|8VULN|9aFEWX|aBPWR
170	44232 22336	   	178.25	ACR|2DMG|1AART|3CDMG|1VULN	14aCDMG|2RCR|3AART|5aERES|67DMG|8VULN|9aLHND|aBPWR
171	26613 53132	 * 	178.18	ACR|3VULN|3DMG|1DUR	1LIT|2DUR|3RCR|469VULN|58aDMG|7ERES
172	44232 21115	   	178.15	ACR|2DMG|1AART|3CDMG|1VULN	14aCDMG|2RCR|3AART|5ERES|69DMG|7VULN|8RCVC
173	44232 21214	   	178.15	ACR|2VULN|1AART|3CDMG|1DMG	148CDMG|2RCR|3AART|5ERES|6DMG|7aVULN|9MGNSTR
174	44211 23223	   	178.13	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2RCR|3AART|4LWND|57DUR|6aVULN|8BEXP|9DMG
175	44211 23224	   	178.13	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	1CDMG|2RCR|3AART|4LWND|57DUR|6VULN|8BEXP|9aDMG
176	44232 22235	   	178.05	ACR|2DMG|1AART|3CDMG|1VULN	14aCDMG|2RCR|3AART|58ERES|67DMG|9VULN
177	26631 32332	   	178.03	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1aLIT|2DUR|3RCR|4aCDMG|59DMG|6ZMB|7LEGI|8aVULN|aBPWR
178	44221 23223	   	178.03	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2RCR|3AART|4LEGI|57DUR|6aVULN|8BEXP|9DMG
179	44221 23224	   	178.03	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	1CDMG|2RCR|3AART|4LEGI|57DUR|6VULN|8BEXP|9aDMG
180	44232 21253	   	177.90	ACR|2VULN|1AART|3CDMG|1DMG|1SELL	148CDMG|2RCR|3AART|5ERES|6DMG|7aVULN|9SELL
181	15321 16216	   	177.80	ACR|2DMG|1AART|1VULN|2CDMG|2DUR|1SELL	1aDMG|2SELL|3aDUR|4RCR|5VULN|6AART|7LWND|8aCDMG|9RPLT|aBPWR
182	15324 13331	   	177.80	ACR|2DMG|1AART|1VULN|2CDMG|2DUR|1SELL	19DMG|2SELL|38DUR|4RCR|59LHND|6AART|79CDMG|9BPWR|aVULN
183	15325 13331	   	177.80	ACR|2DMG|1AART|1VULN|2CDMG|2DUR|1SELL	19DMG|2SELL|38DUR|4RCR|59LWND|6AART|79CDMG|9BPWR|aVULN
184	12222 41364	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	14DMG|2RMIN|3CDMG|5aVULN|6RCR|7LHND|8AART|9BELT
185	42134 22531	   	177.60	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD|1DUR	1CDMG|2ASPD|3RCVC|4DUR|58AART|67DMG|9VULN|aRCR
186	12226 62612	 * 	177.57	DCR|3VULN|3DMG|1CDMG	147DMG|2RMIN|3CDMG|57LIT|67aVULN|7BPWR|8LHND|9RCR
187	41521 42132	 * 	177.52	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	17CDMG|25DUR|3DMSP|45DMG|5BPWR|6RCR|8BELT|9VULN|aAART
188	11333 23634	   	177.52	DCR|3VULN|2DMG|1CDMG|1ZMB	18DMG|2ZMB|3LWND|49aVULN|5CDMG|6DMSP|7RCR
189	11333 33634	   	177.52	DCR|3VULN|2DMG|1CDMG|1ZMB	18DMG|2ZMB|36LWND|49aVULN|5CDMG|7RCR
190	12226 62212	   	177.47	DCR|3VULN|3DMG|1CDMG	147DMG|2RMIN|3CDMG|57LIT|67aVULN|7BPWR|8DUST|9RCR
