0	Index      	 *	Score 	Summary	Detail	
1	53123 11135	 * 	196.22	DCR|3VULN|3DMG|3DUR|1CDMG	124DUR|379LIT|579DMG|679VULN|79BPWR|8RCR|aCDMG
161	21432 86145	   	166.67	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1ZMB|2MBVNT|3ERES|4RCVC|5AART|69DMG|7RCR|8VULN|aDUR
162	12322 24263	   	166.66	DCR|4VULN|1AART|1DUR	1CGEN|2AART|3RMIN|489aVULN|5BEXP|6RCR|7DUR
163	12324 24263	   	166.66	DCR|4VULN|1AART|1DUR	1CGEN|2AART|3RMIN|489aVULN|5FEWX|6RCR|7DUR
164	52132 53423	   	166.65	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2BEXP|3FEWX|49VULN|5ERES|6aDMG|7AART|8RCR
165	53123 12132	   	166.61	DCR|3DMG|2VULN|3DUR	124DUR|39LIT|579DMG|69VULN|8RCR|9BPWR|aDUST
166	55423 12132	   	166.61	DCR|3DMG|2VULN|3DUR	134DUR|29LIT|579DMG|69VULN|8RCR|9BPWR|aDUST
167	53123 11122	   	166.61	DCR|3DMG|2VULN|3DUR	124DUR|37LIT|579DMG|67VULN|7BPWR|8RCR|aDUST
168	55423 11122	   	166.61	DCR|3DMG|2VULN|3DUR	134DUR|27LIT|579DMG|67VULN|7BPWR|8RCR|aDUST
169	12326 24263	   	166.56	DCR|4VULN|1AART|1DUR	1CGEN|2AART|3RMIN|489aVULN|5DUST|6RCR|7DUR
170	21111 86153	   	166.42	DCR|4VULN|1AART|1ZMB	1ZMB|2MBVNT|3LHND|478aVULN|5CGEN|6RCR|9AART
171	21312 86153	   	166.42	DCR|4VULN|1AART|1ZMB	1ZMB|2MBVNT|3CGEN|4FEWX|578aVULN|6RCR|9AART
172	12322 26616	 * 	166.41	DCR|3VULN|1AART|1FLTHEA|1ASPD	18CGEN|2AART|3RMIN|478VULN|58BEXP|6RCR|8BPWR|9ASPD|aFLTHEA
173	11574 84141	   	166.37	DCR|3VULN|2DMG|1ZMB	1aCGEN|2MBVNT|3ZMB|4aDMG|5BEXP|6RCR|7MGNSTR|89aVULN|aBPWR
174	21322 86153	   	166.32	DCR|4VULN|1AART|1ZMB	1ZMB|2MBVNT|3CGEN|4DUST|578aVULN|6RCR|9AART
175	11621 63141	   	166.27	DCR|3VULN|2DMG|1ZMB	1aCGEN|2MBVNT|3MGNSTR|4aDMG|5DUST|6RCR|7ZMB|89aVULN|aBPWR
176	21566 44124	   	166.26	ACR|2VULN|2DMG|2ZMB|1ASPD|1DUR	13ZMB|2MBVNT|4RCR|5DUR|6aDMG|7ASPD|89VULN
