0	Index      	 *	Score 	Summary	Detail	
1	13334 33532	 * 	202.52	DCR|3DMG|2VULN|2ASPD|1CDMG|1FLTHEA|1ZMB	19VULN|2LHND|359DMG|4CDMG|6ZMB|79ASPD|8RCR|9BPWR|aFLTHEA
172	36343 14222	   	174.04	ACR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB|1ASPD|1SELL	1SELL|2RCR|3ASPD|47DUR|5ZMB|6DMG|8CDMG|9VULN|aAART
173	14331 14143	   	174.04	ACR|2VULN|2DMG|1AART|1ZMB	18VULN|25DUST|37DMG|4RCR|6AART|9ZMB|aLHND
174	14331 14134	   	173.94	ACR|2VULN|2DMG|1AART|1ZMB	18VULN|25DUST|37DMG|4RCR|6AART|9ERES|aZMB
175	14331 14141	   	173.94	ACR|2VULN|2DMG|1AART|1ZMB	18VULN|25DUST|37DMG|4RCR|6AART|9ZMB|aTLV
176	15332 22142	   	173.90	DCR|4VULN|2DMG|1DUR	158aVULN|2CGEN|3RMIN|46DMG|7RCR|9DUR
177	15132 22142	   	173.80	DCR|4VULN|2DMG|1DUR	158aVULN|2CGEN|3ERES|46DMG|7RCR|9DUR
178	16132 22142	   	173.80	DCR|4VULN|2DMG|1DUR	158aVULN|2MLV|3ERES|46DMG|7RCR|9DUR
179	11325 14116	   	173.73	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	19VULN|2ZMB|3RMIN|4aAART|5RCR|6ERES|7DMG|8DUR
180	41132 22142	   	173.70	DCR|4VULN|2DMG|1DUR	1TLV|258aVULN|3ERES|46DMG|7RCR|9DUR
181	11312 16531	   	173.66	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	179VULN|2ZMB|3RMIN|4SELL|59DMG|69DUR|8RCR|9BPWR|aLIT
182	11312 16532	   	173.66	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	179VULN|2ZMB|3RMIN|4SELL|59DMG|69DUR|8RCR|9BPWR|aCGEN
183	11312 16533	   	173.66	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	179VULN|2ZMB|3RMIN|4SELL|59DMG|69DUR|8RCR|9BPWR|aFEWX
184	11316 16531	   	173.66	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	179VULN|2ZMB|3RMIN|4SELL|59DUR|69DMG|8RCR|9BPWR|aLIT
185	11316 16532	   	173.66	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	179VULN|2ZMB|3RMIN|4SELL|59DUR|69DMG|8RCR|9BPWR|aCGEN
186	11316 16533	   	173.66	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	179VULN|2ZMB|3RMIN|4SELL|59DUR|69DMG|8RCR|9BPWR|aFEWX
187	11234 15115	   	173.64	ACR|2VULN|2DMG|1AART|1ZMB	19VULN|2ZMB|3BEXP|4RCR|5aDMG|6CGEN|7AART|8FEWX
188	11234 15215	   	173.64	ACR|2VULN|2DMG|1AART|1ZMB	19VULN|2ZMB|3BEXP|4RCR|5aDMG|6CGEN|7AART|8LHND
189	13342 31513	 * 	173.56	DCR|2VULN|2DMG|1AART|2ASPD	1aVULN|2LHND|3aDMG|4LIT|5CGEN|6BELT|7AART|8RCR|9aASPD|aBPWR
190	11312 16536	   	173.56	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	179VULN|2ZMB|3RMIN|4SELL|59DMG|69DUR|8RCR|9BPWR|aERES
191	14331 43211	 * 	173.25	ACR|3VULN|2DMG|2CDMG	19aVULN|256DUST|36DMG|4RCR|69BPWR|79MLV|89CDMG
192	14331 31235	   	173.15	ACR|3VULN|2DMG|2CDMG	19aVULN|259DUST|37DMG|4RCR|6FEWX|89CDMG|9BPWR
193	14331 61235	   	173.15	ACR|3VULN|2DMG|2CDMG	19aVULN|259DUST|37DMG|4RCR|6LWND|89CDMG|9BPWR
194	14331 44211	   	173.05	ACR|3VULN|2DMG|2CDMG	19aVULN|256DUST|36DMG|4RCR|69BPWR|79TLV|89CDMG
195	14336 42332	 * 	172.96	ACR|2VULN|2DMG|3ZMB|1ASPD	19VULN|2DUST|39DMG|4RCR|5LWND|6ASPD|7MBVNT|89aZMB|9BPWR
196	43315 36313	   	172.94	ACR|3VULN|1AART|1DMG|1DUR	1TLV|2AART|3RCR|4DUR|59aVULN|6CGEN|7LHND|8DMG
197	23543 36212	 * 	172.80	DCR|4VULN|2AART|1DUR	14LIT|247aVULN|36AART|4BPWR|5DUR|8RCR|9CGEN
198	23543 36222	   	172.70	DCR|4VULN|2AART|1DUR	14LIT|247aVULN|36AART|4BPWR|5DUR|8RCR|9ERES
199	23563 36212	   	172.70	DCR|4VULN|2AART|1DUR	1LIT|247aVULN|36AART|5DUR|8RCR|9CGEN
200	23563 36222	   	172.60	DCR|4VULN|2AART|1DUR	1LIT|247aVULN|36AART|5DUR|8RCR|9ERES
