0	Index      	 *	Score 	Summary	Detail	
1	15533 31236	 * 	193.81	DCR|3VULN|3DMG|3ZMB	1RCVC|236DMG|468VULN|5MBVNT|68BPWR|789ZMB|aRCR
172	16311 51511	 * 	170.22	ACR|2VULN|2DMG|3ZMB	1RCVC|28VULN|3CGEN|4RCR|58DMG|68aZMB|79RPLT|8BPWR
173	16211 51521	   	170.14	ACR|2VULN|2DMG|2ZMB|1CDMG	1RCVC|28VULN|3TLV|4RCR|58DMG|68ZMB|7RPLT|8BPWR|9DUST|aCDMG
174	31231 54362	   	170.13	DCR|3VULN|1AART|1DMG|1FLTHEA	1AART|2TLV|348VULN|5LWND|6ERES|7DMG|9FLTHEA|aRCR
175	31233 14323	   	170.13	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2TLV|347VULN|5CDMG|6BEXP|8ERES|9DMG|aRCR
176	31234 14362	   	170.13	DCR|3VULN|1AART|1DMG|1FLTHEA	1AART|2TLV|348VULN|5ERES|6LWND|7DMG|9FLTHEA|aRCR
177	31234 21623	   	170.13	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2TLV|348VULN|5ERES|6FEWX|7CDMG|9DMG|aRCR
178	32333 51623	   	170.13	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2BEXP|35TLV|458VULN|5BPWR|6ERES|7CDMG|9DMG|aRCR
179	35121 54223	   	170.13	DCR|3VULN|1AART|1DMG|1CDMG	1AART|23DUST|4CDMG|578VULN|6DMG|9LHND|aRCR
180	16211 51511	   	170.12	ACR|2VULN|2DMG|3ZMB	1RCVC|28VULN|3TLV|4RCR|58DMG|68aZMB|79RPLT|8BPWR
181	31232 23616	   	170.05	DCR|4VULN|1AART|2DUR	1AART|25TLV|3459VULN|5BPWR|6BEXP|7RCR|8aDUR
182	31232 33616	   	170.05	DCR|4VULN|1AART|2DUR	1AART|25TLV|3459VULN|5BPWR|6FEWX|7RCR|8aDUR
183	31232 63116	   	170.05	DCR|4VULN|1AART|2DUR	1AART|25TLV|3459VULN|5BPWR|6aDUR|7RCR|8LHND
184	31232 63216	   	170.05	DCR|4VULN|1AART|2DUR	1AART|25TLV|3459VULN|5BPWR|6aDUR|7RCR|8FEWX
185	31232 63356	   	170.05	DCR|4VULN|1AART|2DUR	1AART|25TLV|3458VULN|5BPWR|6aDUR|7RCR|9LWND
186	31232 63516	   	170.05	DCR|4VULN|1AART|2DUR	1AART|25TLV|3459VULN|5BPWR|6aDUR|7RCR|8LWND
187	31232 63651	   	170.05	DCR|4VULN|1AART|2DUR	1AART|25TLV|345aVULN|5BPWR|68DUR|7RCR|9LWND
188	31213 51623	   	170.03	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2TLV|358VULN|45DUST|5BPWR|6ERES|7CDMG|9DMG|aRCR
189	31232 13323	   	170.03	DCR|3VULN|1AART|1DMG|1CDMG	1AART|25TLV|345VULN|5BPWR|6DUST|7CDMG|8ERES|9DMG|aRCR
190	15533 34824	   	170.02	DCR|3VULN|3DMG	1RCVC|236DMG|46aVULN|5MBVNT|6BPWR|7DMSP|8RCR|9DUST
191	15133 33123	   	170.00	DCR|3VULN|3DMG	17RCVC|26aDMG|3DMSP|46aVULN|5MBVNT|6aBPWR|8aLIT|9RCR
192	31232 63326	   	169.95	DCR|4VULN|1AART|2DUR	1AART|25TLV|3458VULN|5BPWR|6aDUR|7RCR|9DUST
193	31232 63621	   	169.95	DCR|4VULN|1AART|2DUR	1AART|25TLV|345aVULN|5BPWR|68DUR|7RCR|9DUST
194	31232 63662	   	169.95	DCR|4VULN|1AART|2DUR	1AART|259TLV|345aVULN|5BPWR|68DUR|7RCR
195	35133 33256	   	169.91	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|239DUST|4RCVC|59DUR|6DMG|7CDMG|89VULN|9BPWR|aRCR
196	16311 42243	   	169.62	ACR|3DMG|2VULN|2DUR	1RCVC|29VULN|3CGEN|4RCR|59aDMG|6LIT|7ERES|89DUR|9BPWR
197	33346 23211	   	169.52	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2RPLT|38VULN|4CGEN|5ZMB|69DMG|7MBVNT|aRCR
198	33356 23211	   	169.52	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2RPLT|38VULN|4MLV|5ZMB|69DMG|7MBVNT|aRCR
199	36253 23211	   	169.52	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2ZMB|38VULN|4RPLT|5CGEN|69DMG|7MBVNT|aRCR
200	36653 23211	   	169.52	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2ZMB|3RPLT|48VULN|5CGEN|69DMG|7MBVNT|aRCR
201	15533 36344	   	169.50	DCR|3VULN|3DMG	18RCVC|236DMG|46aVULN|5MBVNT|6BPWR|7FEWX|9RCR
202	31256 23211	   	169.42	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2TLV|38VULN|4RPLT|5ZMB|69DMG|7MBVNT|aRCR
203	31656 23211	   	169.42	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2TLV|3RPLT|48VULN|5ZMB|69DMG|7MBVNT|aRCR
204	33656 23211	   	169.42	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2RPLT|3TLV|48VULN|5ZMB|69DMG|7MBVNT|aRCR
205	15533 32344	   	169.40	DCR|3VULN|3DMG	18RCVC|236DMG|46aVULN|5MBVNT|6BPWR|7LEGI|9RCR
206	15215 33361	   	169.14	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1RCVC|25DMG|35FEWX|4RCR|5BPWR|6MGNLIT|7VULN|8AART|9CDMG|aDUR
207	15142 33362	   	169.04	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2DMG|3DMSP|4RCR|5DUR|6MGNLIT|7aVULN|8AART|9CDMG
208	15211 33361	   	169.04	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1RCVC|25DMG|3FEWX|4RCR|6MGNLIT|7VULN|8AART|9CDMG|aDUR
209	31512 43316	   	169.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1AART|2TLV|3ERES|4RCR|5LWND|6aVULN|7CDMG|8DUR|9DMG
210	15611 33361	   	168.94	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1RCVC|25DMG|3DUST|4RCR|6MGNLIT|7VULN|8AART|9CDMG|aDUR
211	16311 31236	   	168.94	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2aVULN|3CGEN|4RCR|5DMG|6DUST|7CDMG|8AART|9DUR
212	16311 64221	   	168.94	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|26VULN|3CGEN|4RCR|5DMG|7CDMG|8AART|9LEGI|aASPD
213	33361 23258	   	168.91	DCR|3VULN|1AART|1DMG|2DUR	1AART|2RPLT|358VULN|45DUR|5BPWR|6DMG|7MBVNT|9BELT|aRCR
214	16211 64221	   	168.84	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|26VULN|3TLV|4RCR|5DMG|7CDMG|8AART|9LEGI|aASPD
215	34222 11413	   	168.80	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	13AART|25LHND|4CDMG|6aVULN|7DUR|8RCR|9ZMB
216	34532 31413	   	168.80	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	15AART|24LHND|3aVULN|6DUR|7CDMG|8RCR|9ZMB
217	32212 43513	   	168.79	ACR|3VULN|1AART|1CDMG|1ZMB	1AART|2BEXP|3DMSP|4RCR|5LEGI|68aVULN|7CDMG|9ZMB
218	32412 43513	   	168.79	ACR|3VULN|1AART|1CDMG|1ZMB	1AART|23BEXP|4RCR|5LEGI|68aVULN|7CDMG|9ZMB
219	36232 63225	   	168.70	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	17AART|2ZMB|34VULN|5LSRICY|6DUR|8RCR|9SNIHEL|aCDMG
220	33344 32231	   	168.67	DCR|3VULN|2AART|1ZMB	19AART|2RPLT|358VULN|4CGEN|6RCR|7BEXP|aZMB
221	36254 32233	   	168.67	DCR|3VULN|2AART|1ZMB	19AART|2ZMB|358VULN|4RPLT|6RCR|7BEXP|aLHND
222	35112 43513	   	168.59	ACR|3VULN|1AART|1CDMG|1ZMB	1AART|23DUST|4RCR|5LEGI|68aVULN|7CDMG|9ZMB
223	33354 36311	   	168.57	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1AART|2RPLT|35VULN|4MLV|6RCR|7ZMB|8DUR|9DMG|aLHND
224	31254 32231	   	168.57	DCR|3VULN|2AART|1ZMB	19AART|2TLV|358VULN|4RPLT|6RCR|7BEXP|aZMB
225	31654 32231	   	168.57	DCR|3VULN|2AART|1ZMB	19AART|2TLV|3RPLT|458VULN|6RCR|7BEXP|aZMB
226	33654 32231	   	168.57	DCR|3VULN|2AART|1ZMB	19AART|2RPLT|3TLV|458VULN|6RCR|7BEXP|aZMB
227	36254 32232	   	168.57	DCR|3VULN|2AART|1ZMB	19AART|2ZMB|358VULN|4RPLT|6RCR|7BEXP|aERES
228	34221 43623	   	168.53	DCR|2AART|2VULN|1DMG|1CDMG	13AART|2LHND|4CDMG|58VULN|6RCVC|7DUST|9DMG|aRCR
229	15216 33363	   	168.51	ACR|2DMG|1AART|1VULN|2CDMG	1RCVC|2aDMG|3aFEWX|4RCR|5AIRHEA|6DMSP|7VULN|8AART|9aCDMG|aBPWR
230	31254 36311	   	168.47	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1AART|2TLV|35VULN|4RPLT|6RCR|7ZMB|8DUR|9DMG|aLHND
231	33354 36312	   	168.47	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1AART|2RPLT|35VULN|4MLV|6RCR|7ZMB|8DUR|9DMG|aDUST
232	11311 61551	   	168.44	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|2FEWX|3CGEN|4RCR|5DMG|68VULN|7CDMG|9AART|aASPD
233	12311 61551	   	168.44	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|2LHND|3CGEN|4RCR|5DMG|68VULN|7CDMG|9AART|aASPD
234	16311 21551	   	168.44	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|28VULN|3CGEN|4RCR|5DMG|6LWND|7CDMG|9AART|aASPD
235	36231 36122	   	168.41	DCR|3VULN|2AART|1ZMB|1ASPD	18AART|2ZMB|347VULN|5LWND|6BELT|9RCR|aASPD
236	36233 41122	   	168.41	DCR|3VULN|2AART|1ZMB|1ASPD	18AART|2ZMB|345VULN|6BELT|7LWND|9RCR|aASPD
237	15133 52824	   	168.40	DCR|2VULN|2DMG|2ZMB|2DUR	1RCVC|2aDMG|3DMSP|49VULN|5MBVNT|6aDUR|7RCR|8aZMB|aBPWR
238	13353 22112	   	168.37	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1RCVC|23BELT|4AART|5ASPD|6aDMG|7RCR|8ZMB|9VULN
239	13553 22112	   	168.37	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1RCVC|2BELT|3DMSP|4AART|5ASPD|6aDMG|7RCR|8ZMB|9VULN
240	31254 36312	   	168.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1AART|2TLV|35VULN|4RPLT|6RCR|7ZMB|8DUR|9DMG|aDUST
241	16311 31551	   	168.34	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|28VULN|3CGEN|4RCR|5DMG|6DUST|7CDMG|9AART|aASPD
242	15211 12626	   	168.29	ACR|3VULN|2DMG|1ZMB	1RCVC|25DMG|3FEWX|4RCR|6BEXP|7ZMB|89aVULN
243	15141 38212	   	168.19	ACR|3VULN|2DMG|1ZMB	1RCVC|25DMG|3DMSP|4RCR|5BPWR|6MBVNT|789VULN|aZMB
244	16311 52212	 * 	168.09	ACR|3VULN|3ZMB|1DMG	1RCVC|289VULN|3CGEN|4RCR|5DMG|67aZMB
245	34225 13413	   	168.08	DCR|2AART|2VULN|2CDMG|1ZMB	13AART|2LHND|45CDMG|6aVULN|7DUST|8RCR|9ZMB
246	16211 52212	   	167.99	ACR|3VULN|3ZMB|1DMG	1RCVC|289VULN|3TLV|4RCR|5DMG|67aZMB
247	15533 12813	   	167.97	DCR|3DMG|2VULN|1ZMB	1RCVC|23aDMG|4aVULN|5MBVNT|6BEXP|7RCR|8ZMB|9aLIT|aBPWR
248	32225 16233	 * 	167.75	DCR|2VULN|1AART|3CDMG|1FLTHEA|1DUR	1AART|27BEXP|3DMSP|457CDMG|67VULN|7BPWR|8FLTHEA|9DUR|aRCR
249	16211 12212	   	167.74	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|28VULN|3TLV|4RCR|5DMG|6RPLT|7DUR|9CDMG|aAART
250	15533 32741	   	167.62	DCR|3VULN|3DMG	1RCVC|236DMG|468VULN|5MBVNT|6BPWR|7LEGI|9RCR|aLHND
251	15533 32742	   	167.62	DCR|3VULN|3DMG	1RCVC|236DMG|468VULN|5MBVNT|6BPWR|7LEGI|9RCR|aMLV
252	15533 32743	   	167.62	DCR|3VULN|3DMG	1RCVC|236DMG|468VULN|5MBVNT|6BPWR|7LEGI|9RCR|aRMIN
253	33344 32215	   	167.58	DCR|3VULN|1AART|1DMG	1AART|2RPLT|358VULN|4CGEN|6RCR|7BEXP|9DMG|aRCVC
254	33354 32215	   	167.58	DCR|3VULN|1AART|1DMG	1AART|2RPLT|358VULN|4MLV|6RCR|7BEXP|9DMG|aRCVC
255	33323 43362	   	167.58	DCR|3VULN|1AART|2FLTHEA|1ZMB	1AART|2RPLT|389VULN|48DUST|5ZMB|6LHND|78FLTHEA|8BPWR|aRCR
256	65321 33326	   	167.53	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1FEWX|2DUR|3aVULN|4RPLT|5RCR|6ASPD|7AART|8ZMB|9DMG
257	31232 65633	 * 	167.52	DCR|3VULN|1AART|3DUR|2ZMB	1AART|258TLV|345VULN|58BPWR|689DUR|78ZMB|aRCR
258	16311 63432	   	167.51	ACR|2VULN|2DMG|1AART	17RCVC|26VULN|3CGEN|4RCR|58DMG|9AART|aMLV
259	16311 63433	   	167.51	ACR|2VULN|2DMG|1AART	17RCVC|26VULN|3aCGEN|4RCR|58DMG|9AART
260	45111 33523	   	167.50	DCR|3VULN|2DMG|2DUR	1aERES|2aLIT|378VULN|45DUR|6RCR|9aDMG|aBPWR
261	31254 32215	   	167.48	DCR|3VULN|1AART|1DMG	1AART|2TLV|358VULN|4RPLT|6RCR|7BEXP|9DMG|aRCVC
262	32523 33611	   	167.46	DCR|4VULN|1AART|1DUR	1AART|2BEXP|359aVULN|45MLV|5BPWR|6RCVC|7RCR|8DUR
263	34214 21233	 * 	167.46	ACR|2AART|2VULN|1FLTHEA|1ASPD|1DUR	13AART|2LHND|4RCR|5ASPD|6DUST|7aVULN|8FLTHEA|9DUR
264	32221 46423	   	167.40	DCR|3VULN|1AART|1CDMG|2DUR	1AART|27BEXP|3DMSP|4CDMG|57aVULN|67DUR|7BPWR|8RCR|9TLV
265	34212 36321	   	167.39	ACR|2AART|1VULN|1DMG|1ZMB|1ASPD|1DUR	13AART|2LHND|4RCR|5DMSP|6DMG|7ASPD|8DUR|9ZMB|aVULN
266	34212 36431	   	167.39	ACR|2AART|1VULN|1DMG|1ZMB|1ASPD|1DUR	13AART|2LHND|4RCR|5DMSP|6DMG|7ASPD|8ZMB|9DUR|aVULN
267	31223 33611	   	167.36	DCR|4VULN|1AART|1DUR	1AART|2TLV|359aVULN|45FEWX|5BPWR|6RCVC|7RCR|8DUR
268	31433 33611	   	167.36	DCR|4VULN|1AART|1DUR	1AART|2TLV|35BEXP|459aVULN|5BPWR|6RCVC|7RCR|8DUR
269	32543 33611	   	167.36	DCR|4VULN|1AART|1DUR	1AART|2BEXP|349aVULN|5CGEN|6RCVC|7RCR|8DUR
270	32333 33611	   	167.26	DCR|4VULN|1AART|1DUR	1AART|2BEXP|35TLV|459aVULN|5BPWR|6RCVC|7RCR|8DUR
271	32513 33611	   	167.26	DCR|4VULN|1AART|1DUR	1AART|2BEXP|359aVULN|45ERES|5BPWR|6RCVC|7RCR|8DUR
272	32541 33611	   	167.26	DCR|4VULN|1AART|1DUR	1AART|2BEXP|349aVULN|5ERES|6RCVC|7RCR|8DUR
273	34212 14331	 * 	167.23	ACR|2AART|2DMG|1VULN|1DUR	13AART|28LHND|4RCR|5DMSP|68LWND|78DMG|8BPWR|9DUR|aVULN
274	15533 31224	 * 	167.13	5VULN|3DMG|3ZMB	1RCVC|236DMG|4689aVULN|5MBVNT|68aBPWR|78aZMB
275	33361 23372	   	167.11	DCR|2AART|2VULN|1DMG|2DUR	1aAART|2RPLT|35VULN|45DUR|5BPWR|6DMG|7MBVNT|8CGEN|9RCR
276	15411 53231	   	167.10	ACR|1AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1RCVC|2DMG|3RCR|4RMIN|57CDMG|6VULN|8AART|9DUR|aASPD
277	15431 53231	   	167.10	ACR|1AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1RCVC|2DMG|3RCR|47CDMG|5RMIN|6VULN|8AART|9DUR|aASPD
278	15436 33232	   	167.10	ACR|1AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1RCVC|2DMG|3RCR|47CDMG|5VULN|6ASPD|8AART|9DUR|aLIT
279	15133 52524	   	167.10	DCR|2VULN|2DMG|2ASPD|2DUR	1RCVC|2aDMG|3DMSP|49VULN|5MBVNT|6aDUR|7RCR|8aASPD|aBPWR
280	15436 33233	   	167.00	ACR|1AART|1VULN|1DMG|2CDMG|1DUR|1ASPD	1RCVC|2DMG|3RCR|47CDMG|5VULN|6ASPD|8AART|9DUR|aERES
281	16311 54212	   	166.99	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|29VULN|3CGEN|4RCR|5DMG|6ZMB|7AART|8BELT|aASPD
282	16211 54212	   	166.89	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|29VULN|3TLV|4RCR|5DMG|6ZMB|7AART|8BELT|aASPD
283	51431 33413	   	166.88	DCR|2AART|2VULN|2CDMG|1ZMB	14CDMG|2BEXP|37AART|5aVULN|6DUST|8RCR|9ZMB
284	31513 35316	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	17AART|2TLV|3ERES|4RCR|5RPLT|6aVULN|8DUR|9DMG
285	33344 32261	   	166.81	DCR|3VULN|1AART|1CDMG|1ASPD	1AART|2RPLT|358VULN|4CGEN|6RCR|7BEXP|9CDMG|aASPD
286	33354 32261	   	166.81	DCR|3VULN|1AART|1CDMG|1ASPD	1AART|2RPLT|358VULN|4MLV|6RCR|7BEXP|9CDMG|aASPD
287	33354 35331	   	166.81	DCR|3VULN|1AART|1CDMG|1DUR	1AART|2RPLT|357VULN|4MLV|6RCR|8CGEN|9DUR|aCDMG
288	15436 33221	   	166.77	ACR|1AART|1VULN|1DMG|2CDMG|2ASPD	1RCVC|2DMG|3RCR|47CDMG|5VULN|6aASPD|8AART|9LHND
289	31233 52542	   	166.77	DCR|4VULN|1AART|1CDMG	1AART|28TLV|348aVULN|5CDMG|6LWND|78MGNSTR|8BPWR|9RCR
290	31236 52151	   	166.77	DCR|4VULN|1AART|1CDMG	1AART|2TLV|3468VULN|56LIT|6BPWR|7BEXP|9RCR|aCDMG
291	31232 61633	 * 	166.77	DCR|4VULN|1AART|3DUR	1AART|258TLV|3458VULN|58BPWR|689DUR|7RMIN|aRCR
292	15542 33323	   	166.74	ACR|2DMG|2AART|1VULN|1DUR	1RCVC|23DMG|4RCR|5DUR|6MGNLIT|7VULN|8aAART|9SNIHEL
293	31254 32261	   	166.71	DCR|3VULN|1AART|1CDMG|1ASPD	1AART|2TLV|358VULN|4RPLT|6RCR|7BEXP|9CDMG|aASPD
294	33344 33216	   	166.71	DCR|3VULN|1AART|1CDMG|1DUR	1AART|2RPLT|359VULN|4CGEN|6RCR|7CDMG|8ERES|aDUR
295	33354 33216	   	166.71	DCR|3VULN|1AART|1CDMG|1DUR	1AART|2RPLT|359VULN|4MLV|6RCR|7CDMG|8ERES|aDUR
296	33354 35231	   	166.71	DCR|3VULN|1AART|1CDMG|1DUR	1AART|2RPLT|357VULN|4MLV|6RCR|8ERES|9DUR|aCDMG
297	31233 52142	   	166.67	DCR|4VULN|1AART|1CDMG	1AART|2TLV|348aVULN|5CDMG|6LWND|7MGNSTR|9RCR
298	36254 33333	   	166.66	DCR|2AART|2VULN|1CDMG|1ZMB	19AART|2ZMB|35VULN|4RPLT|6RCR|7CDMG|8LWND|aRMIN
299	33361 23371	   	166.66	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1AART|2RPLT|35VULN|45DUR|5BPWR|6DMG|7MBVNT|8CGEN|9RCR|aZMB
300	31254 33216	   	166.61	DCR|3VULN|1AART|1CDMG|1DUR	1AART|2TLV|359VULN|4RPLT|6RCR|7CDMG|8ERES|aDUR
301	31512 14311	   	166.60	ACR|3VULN|1AART|1DMG	1AART|2TLV|3ERES|4RCR|5LWND|6RCVC|7DMG|89aVULN
302	31512 14312	   	166.60	ACR|3VULN|1AART|1DMG	1AART|2aTLV|3aERES|4RCR|5LWND|6RCVC|7DMG|89aVULN|aBPWR
303	31233 32142	   	166.57	DCR|4VULN|1AART|1CDMG	1AART|2TLV|348aVULN|5CDMG|6LEGI|7MGNSTR|9RCR
304	15526 33223	   	166.56	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|23DMG|4LHND|5DUR|6MGNLIT|78VULN|9RCR|aAART
305	16411 52231	   	166.50	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1RCVC|26VULN|3CDMG|4ZMB|5RMIN|7RCR|8AART|9DUR|aASPD
306	15516 33223	   	166.46	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|23DMG|4LEGI|5DUR|6MGNLIT|78VULN|9RCR|aAART
307	16311 14511	   	166.39	ACR|2VULN|2DMG|2ASPD|1ZMB	1RCVC|28VULN|3CGEN|4RCR|58DMG|69RPLT|78ASPD|8BPWR|aZMB
308	16312 12634	   	166.39	ACR|2VULN|2DMG|1CDMG|1ZMB	1RCVC|25VULN|35CGEN|4RCR|5BPWR|6BEXP|7ZMB|8aDMG|9CDMG
309	31232 63331	   	166.36	DCR|4VULN|1AART|1DUR	1AART|25TLV|3458VULN|5BPWR|6DUR|7RCR|9RCVC|aFEWX
310	31232 63332	   	166.36	DCR|4VULN|1AART|1DUR	1AART|25TLV|3458VULN|5BPWR|6DUR|7RCR|9RCVC|aMLV
311	31232 63333	   	166.36	DCR|4VULN|1AART|1DUR	1AART|25TLV|3458VULN|5BPWR|6DUR|7RCR|9RCVC|aCGEN
312	31232 63336	   	166.36	DCR|4VULN|1AART|1DUR	1AART|25TLV|3458VULN|5BPWR|6DUR|7RCR|9RCVC|aDMSP
313	15542 33321	   	166.29	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|23DMG|4RCR|5DUR|6MGNLIT|7VULN|8AART|9SNIHEL|aZMB
314	16211 14511	   	166.29	ACR|2VULN|2DMG|2ASPD|1ZMB	1RCVC|28VULN|3TLV|4RCR|58DMG|69RPLT|78ASPD|8BPWR|aZMB
315	33344 32212	   	166.28	DCR|3VULN|1AART|1DMG	1AART|2RPLT|358VULN|4CGEN|6RCR|7BEXP|9DMG|aLIT
316	33344 32214	   	166.28	DCR|3VULN|1AART|1DMG	1AART|2RPLT|358VULN|4CGEN|6RCR|7BEXP|9DMG|aFEWX
317	33344 32316	   	166.28	DCR|3VULN|1AART|1DMG	1AART|2RPLT|35aVULN|48CGEN|6RCR|7BEXP|9DMG
318	33354 32212	   	166.28	DCR|3VULN|1AART|1DMG	1AART|2RPLT|358VULN|4MLV|6RCR|7BEXP|9DMG|aLIT
319	33354 32214	   	166.28	DCR|3VULN|1AART|1DMG	1AART|2RPLT|358VULN|4MLV|6RCR|7BEXP|9DMG|aFEWX
320	33354 35112	   	166.28	DCR|3VULN|1AART|1DMG	1AART|2RPLT|357VULN|4MLV|6RCR|8LWND|9DMG|aLIT
321	33343 32216	   	166.28	DCR|3VULN|1AART|1DMG	1AART|2RPLT|38aVULN|45CGEN|6RCR|7BEXP|9DMG
322	11311 66431	   	166.24	ACR|2VULN|2DMG|1AART	1RCVC|29aFEWX|3CGEN|4RCR|59DMG|69VULN|7BELT|8AART|9BPWR
323	11311 66433	   	166.24	ACR|2VULN|2DMG|1AART	1RCVC|29FEWX|3CGEN|4RCR|59DMG|69VULN|7BELT|8AART|9BPWR|aLIT
324	16212 12634	   	166.19	ACR|2VULN|2DMG|1CDMG|1ZMB	1RCVC|25VULN|35TLV|4RCR|5BPWR|6BEXP|7ZMB|8aDMG|9CDMG
325	31254 31316	   	166.18	DCR|3VULN|1AART|1DMG	1AART|2TLV|35aVULN|4RPLT|6RCR|7FEWX|8CGEN|9DMG
326	31254 32212	   	166.18	DCR|3VULN|1AART|1DMG	1AART|2TLV|358VULN|4RPLT|6RCR|7BEXP|9DMG|aLIT
327	31254 32214	   	166.18	DCR|3VULN|1AART|1DMG	1AART|2TLV|358VULN|4RPLT|6RCR|7BEXP|9DMG|aFEWX
328	31254 32316	   	166.18	DCR|3VULN|1AART|1DMG	1AART|2TLV|35aVULN|4RPLT|6RCR|7BEXP|8CGEN|9DMG
329	31254 35112	   	166.18	DCR|3VULN|1AART|1DMG	1AART|2TLV|357VULN|4RPLT|6RCR|8LWND|9DMG|aLIT
330	31654 32212	   	166.18	DCR|3VULN|1AART|1DMG	1AART|2TLV|3RPLT|458VULN|6RCR|7BEXP|9DMG|aLIT
331	33344 32211	   	166.18	DCR|3VULN|1AART|1DMG	1AART|2RPLT|358VULN|4CGEN|6RCR|7BEXP|9DMG|aMBVNT
332	33344 32213	   	166.18	DCR|3VULN|1AART|1DMG	1AART|2RPLT|358VULN|4CGEN|6RCR|7BEXP|9DMG|aERES
333	33344 33432	   	166.18	DCR|3VULN|1AART|2CDMG	1AART|2RPLT|35aVULN|4CGEN|6RCR|78CDMG|9LIT
334	33354 32211	   	166.18	DCR|3VULN|1AART|1DMG	1AART|2RPLT|358VULN|4MLV|6RCR|7BEXP|9DMG|aMBVNT
335	33354 32213	   	166.18	DCR|3VULN|1AART|1DMG	1AART|2RPLT|358VULN|4MLV|6RCR|7BEXP|9DMG|aERES
336	33354 33432	   	166.18	DCR|3VULN|1AART|2CDMG	1AART|2RPLT|35aVULN|4MLV|6RCR|78CDMG|9LIT
337	33354 35111	   	166.18	DCR|3VULN|1AART|1DMG	1AART|2RPLT|357VULN|4MLV|6RCR|8LWND|9DMG|aMBVNT
338	33354 35113	   	166.18	DCR|3VULN|1AART|1DMG	1AART|2RPLT|357VULN|4MLV|6RCR|8LWND|9DMG|aERES
339	33654 32212	   	166.18	DCR|3VULN|1AART|1DMG	1AART|2RPLT|3TLV|458VULN|6RCR|7BEXP|9DMG|aLIT
340	31622 35216	   	166.18	DCR|3VULN|1AART|1DMG	1AART|2TLV|3RPLT|45LWND|6RCR|78aVULN|9DMG
341	32531 51318	   	166.18	DCR|3VULN|1AART|1DMG	1AART|2BEXP|389VULN|4LHND|5CGEN|6RCR|7MBVNT|aDMG
342	33343 33212	   	166.18	DCR|3VULN|1AART|2CDMG	1AART|2RPLT|39aVULN|45CGEN|6RCR|7aCDMG|8aERES|aBPWR
343	33622 35216	   	166.18	DCR|3VULN|1AART|1DMG	1AART|2RPLT|3TLV|45LWND|6RCR|78aVULN|9DMG
344	11211 66431	   	166.14	ACR|2VULN|2DMG|1AART	1RCVC|29aFEWX|3TLV|4RCR|59DMG|69VULN|7BELT|8AART|9BPWR
