0	Index      	 *	Score 	Summary	Detail	
1	25514 11332	 * 	183.19	ACR|3VULN|2DMG|1AART	14LWND|2RCVC|3RCR|4BPWR|578VULN|6aDMG|9AART
164	25543 12313	 * 	159.59	ACR|2DMG|1AART|2ZMB|1CDMG	19LWND|2RCVC|3RCR|48ZMB|59ERES|69DMG|7AART|9BPWR|aCDMG
165	42231 41151	   	159.58	DCR|3VULN|1AART|1DMG	1CGEN|2DUST|3FEWX|4AART|569VULN|7LHND|8RCR|aDMG
166	32126 61333	   	159.52	DCR|4VULN|1AART	1RCVC|24FEWX|3CGEN|578aVULN|6RCR|9AART
167	33434 36323	   	159.52	DCR|2VULN|2DMG|1AART	1RCVC|2MLV|35VULN|48DMG|6MBVNT|7LIT|9RCR|aAART
168	13116 22451	   	159.48	DCR|2DMG|1AART|1VULN|1CDMG	1ERES|2LWND|3CDMG|4RCVC|58DMG|6CGEN|7RCR|9VULN|aAART
169	12231 41151	   	159.48	DCR|3VULN|1AART|1DMG	1ERES|2DUST|3FEWX|4AART|569VULN|7LHND|8RCR|aDMG
170	12231 44151	   	159.48	DCR|3VULN|1AART|1DMG	1ERES|2DUST|3FEWX|4AART|569VULN|7BEXP|8RCR|aDMG
171	12231 46151	   	159.48	DCR|3VULN|1AART|1DMG	1ERES|2DUST|3FEWX|4AART|569VULN|7LWND|8RCR|aDMG
172	21423 11336	 * 	159.46	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1LWND|2CGEN|35DUR|4ZMB|6DMG|78VULN|9AART|aRCR
173	43423 11336	   	159.46	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1CGEN|2LWND|35DUR|4ZMB|6DMG|78VULN|9AART|aRCR
174	23233 15354	   	159.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LWND|24VULN|3RCVC|5LIT|6AART|7ZMB|8DMG|9DUR|aRCR
175	13423 11336	   	159.36	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1ERES|2LWND|35DUR|4ZMB|6DMG|78VULN|9AART|aRCR
176	14423 11336	   	159.36	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1ERES|2LHND|35DUR|4ZMB|6DMG|78VULN|9AART|aRCR
177	24423 11336	   	159.36	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1LWND|2TLV|35DUR|4ZMB|6DMG|78VULN|9AART|aRCR
178	53433 11336	   	159.36	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1ZMB|2LWND|35DUR|4TLV|6DMG|78VULN|9AART|aRCR
179	23416 13422	   	159.26	DCR|3VULN|1AART|1ZMB|1DUR	1LWND|24aVULN|3ERES|5RPLT|6RCR|7DUR|8ZMB|9AART
180	32126 61336	   	159.07	DCR|3VULN|1AART|1CDMG	1RCVC|24FEWX|3CGEN|578VULN|6RCR|9AART|aCDMG
181	63222 24124	   	158.97	DCR|3VULN|2DMG|1ZMB	1LIT|2ZMB|345VULN|6CGEN|7aDMG|8ERES|9RCR
182	22131 14315	   	158.79	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LWND|2LHND|3LIT|4VULN|5RCR|6DUR|78DMG|9ZMB|aAART
183	23255 61333	   	158.72	DCR|4VULN|1AART	1LWND|278aVULN|3RCVC|45TLV|6RCR|9AART
184	54132 32121	   	158.67	DCR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB	1ZMB|2LHND|3CDMG|4aVULN|5MGNLIT|6AART|7FLTHEA|8FEWX|9RCR
185	52132 42121	   	158.57	DCR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB	1ZMB|2DUST|3CDMG|4aVULN|5MGNLIT|6AART|7FLTHEA|8FEWX|9RCR
186	63221 44223	   	158.50	DCR|3VULN|1AART|1ZMB|1DUR|1ASPD	1LIT|2ZMB|346VULN|5DMSP|7DUR|8ASPD|9RCR|aAART
187	63312 44223	   	158.50	DCR|3VULN|1AART|1ZMB|1DUR|1ASPD	13LIT|2ZMB|456VULN|7DUR|8ASPD|9RCR|aAART
188	52221 36111	   	158.47	ACR|2VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1ZMB|2DUST|3FEWX|4RCR|5DUR|68VULN|7ASPD|9DMG|aCDMG
189	33231 11356	   	158.17	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2MLV|3DUR|46DMG|5LWND|7ZMB|8VULN|9AART|aRCR
190	33232 11356	   	158.17	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2MLV|3DUR|46DMG|5LHND|7ZMB|8VULN|9AART|aRCR
191	33234 11256	   	158.17	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2MLV|3DUR|46DMG|5VULN|7ZMB|8BEXP|9AART|aRCR
192	36231 11336	   	158.17	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2CGEN|3DUR|46DMG|5LWND|7ZMB|8VULN|9AART|aRCR
193	36232 11336	   	158.17	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2CGEN|3DUR|46DMG|5LHND|7ZMB|8VULN|9AART|aRCR
194	33431 11416	   	158.17	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1RCVC|2MLV|3VULN|46DMG|5LWND|7ZMB|8ASPD|9AART|aRCR
195	33432 11416	   	158.17	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1RCVC|2MLV|3VULN|46DMG|5LHND|7ZMB|8ASPD|9AART|aRCR
196	33624 11116	   	158.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|2MLV|3ASPD|4BEXP|57VULN|6DMG|8ZMB|9AART|aRCR
197	33634 11116	   	158.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|2MLV|3ASPD|4FEWX|57VULN|6DMG|8ZMB|9AART|aRCR
198	33233 11356	   	158.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2MLV|3DUR|46DMG|5DUST|7ZMB|8VULN|9AART|aRCR
199	33433 11416	   	158.07	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1RCVC|2MLV|3VULN|46DMG|5DUST|7ZMB|8ASPD|9AART|aRCR
200	34231 11336	   	158.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2ERES|3DUR|46DMG|5LWND|7ZMB|8VULN|9AART|aRCR
201	34232 11336	   	158.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2ERES|3DUR|46DMG|5LHND|7ZMB|8VULN|9AART|aRCR
202	36233 11356	   	158.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2CGEN|3DUR|46DMG|5DUST|7ZMB|8VULN|9AART|aRCR
203	26334 14311	   	158.02	DCR|2VULN|2DMG|1AART	179LWND|24BEXP|3RCVC|59VULN|69DMG|8AART|9BPWR|aRCR
204	34233 11356	   	157.97	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2ERES|3DUR|46DMG|5DUST|7ZMB|8VULN|9AART|aRCR
205	25253 11336	   	157.90	DCR|4VULN|1DMG|1DUR|2RCVC	1LWND|25RCVC|3DUR|478aVULN|6DMG|9RCR
206	23233 13443	   	157.81	DCR|3VULN|2AART|1DUR	1LWND|247VULN|3RCVC|5LIT|6aAART|8DUR|9RCR
207	33431 14117	   	157.72	DCR|2VULN|2DMG|1AART	1RCVC|2MLV|38VULN|46DMG|5LWND|7MBVNT|9AART|aRCR
208	33432 14117	   	157.72	DCR|2VULN|2DMG|1AART	1RCVC|2MLV|38VULN|46DMG|5LHND|7MBVNT|9AART|aRCR
209	33236 14635	   	157.66	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR	1RCVC|2MLV|3DUR|46DMG|5MBVNT|7AART|8RCR|9ZMB|aCDMG
210	33433 14117	   	157.62	DCR|2VULN|2DMG|1AART	1RCVC|2MLV|38VULN|46DMG|5DUST|7MBVNT|9AART|aRCR
211	52422 12413	   	157.57	ACR|2DMG|1AART|1CDMG|1ZMB|1DUR	1ZMB|2DUST|3DUR|4RCR|5AART|6CDMG|7ERES|8aDMG|9BEXP
212	12236 24623	 * 	157.48	DCR|2VULN|1AART|1DMG|1CDMG	1ERES|2DUST|3FEWX|4AART|5DMG|67VULN|8RCR|9LWND|aCDMG
213	52422 12621	   	157.47	ACR|2DMG|1AART|1CDMG|1ZMB|1DUR	1ZMB|28DUST|3DUR|4RCR|5AART|6CDMG|7ERES|9aDMG
214	23225 11416	   	157.47	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LWND|2VULN|3RCVC|46DMG|5TLV|7ZMB|8ASPD|9AART|aRCR
215	42431 41113	   	157.46	DCR|3VULN|1AART|1ZMB|1DUR	1CGEN|2DUST|3DUR|4AART|56aVULN|7LHND|8RCR|9ZMB
216	33536 14347	   	157.38	DCR|2DMG|1AART|1VULN|1CDMG	1RCVC|2MLV|3BEXP|46DMG|5MBVNT|7AART|8CDMG|9RCR|aVULN
217	23233 13444	   	157.36	DCR|3VULN|1AART|1ZMB|1DUR	1LWND|247VULN|3RCVC|5LIT|6AART|8DUR|9RCR|aZMB
218	12431 41113	   	157.36	DCR|3VULN|1AART|1ZMB|1DUR	1ERES|2DUST|3DUR|4AART|56aVULN|7LHND|8RCR|9ZMB
219	12431 44113	   	157.36	DCR|3VULN|1AART|1ZMB|1DUR	1ERES|2DUST|3DUR|4AART|56aVULN|7BEXP|8RCR|9ZMB
220	52143 31413	   	157.30	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB	1ZMB|2DUST|37CDMG|4AART|5DMG|6LIT|8RCR|9LHND|aVULN
221	52143 31433	   	157.30	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB	1ZMB|2DUST|37CDMG|4AART|5DMG|6LIT|8RCR|9FEWX|aVULN
222	63111 21825	   	157.25	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4MBVNT|5RCR|6RCVC|7DMG|8CDMG|9VULN|aAART
223	53311 12321	 * 	157.25	DCR|3ZMB|1AART|1VULN|2ASPD|1DUR	14aZMB|2aLWND|3RPLT|5DUR|6RCR|7VULN|8aASPD|9AART|aBPWR
224	54311 12321	   	157.25	DCR|3ZMB|1AART|1VULN|2ASPD|1DUR	14aZMB|2aLHND|3RPLT|5DUR|6RCR|7VULN|8aASPD|9AART|aBPWR
225	53133 23452	   	157.17	DCR|2VULN|2DMG|1CDMG|1ZMB	1ZMB|2LWND|3CDMG|49VULN|5RMIN|6RCVC|78DMG|aRCR
226	36526 12331	   	157.13	DCR|2DMG|1AART|1VULN|1ZMB	1RCVC|2CGEN|3ZMB|4BEXP|5MBVNT|6aDMG|7AART|8RCR|9VULN
227	36536 12331	   	157.13	DCR|2DMG|1AART|1VULN|1ZMB	1RCVC|2CGEN|3ZMB|4FEWX|5MBVNT|6aDMG|7AART|8RCR|9VULN
228	33162 32614	   	157.07	ACR|3DMG|1AART|2DUR	1RCVC|29MLV|3AART|4RMIN|5RCR|69aDMG|7DMSP|89DUR|9BPWR
229	42236 24233	   	157.07	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2DUST|3FEWX|4AART|5DMG|67VULN|8DUR|9ZMB|aRCR
230	23133 13441	   	157.06	DCR|4VULN|1AART|1DUR	1LWND|2457VULN|3LIT|6AART|8DUR|9RCR|aCGEN
231	23133 13442	   	157.06	DCR|4VULN|1AART|1DUR	1LWND|2457VULN|3LIT|6AART|8DUR|9RCR|aRPLT
232	23133 13445	   	157.06	DCR|4VULN|1AART|1DUR	1LWND|2457VULN|3LIT|6AART|8DUR|9RCR|aBEXP
233	23133 13446	   	157.06	DCR|4VULN|1AART|1DUR	1LWND|2457VULN|3aLIT|6AART|8DUR|9RCR
234	52311 12321	   	157.05	DCR|3ZMB|1AART|1VULN|2ASPD|1DUR	14aZMB|2aDUST|3RPLT|5DUR|6RCR|7VULN|8aASPD|9AART|aBPWR
235	34526 12331	   	157.03	DCR|2DMG|1AART|1VULN|1ZMB	1RCVC|2ERES|3ZMB|4BEXP|5MBVNT|6aDMG|7AART|8RCR|9VULN
236	34536 12331	   	157.03	DCR|2DMG|1AART|1VULN|1ZMB	1RCVC|2ERES|3ZMB|4FEWX|5MBVNT|6aDMG|7AART|8RCR|9VULN
237	23225 14117	   	157.02	DCR|2VULN|2DMG|1AART	1LWND|28VULN|3RCVC|46DMG|5TLV|7MBVNT|9AART|aRCR
238	25535 11333	   	156.99	ACR|2VULN|1AART|1DMG|1ASPD	15LWND|2RCVC|3RCR|45BEXP|5BPWR|6DMG|78VULN|9AART|aASPD
239	12236 24233	   	156.97	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ERES|2DUST|3FEWX|4AART|5DMG|67VULN|8DUR|9ZMB|aRCR
240	25512 11333	   	156.89	ACR|2VULN|1AART|1DMG|1ASPD	14LWND|2RCVC|3RCR|4BPWR|5LHND|6DMG|78VULN|9AART|aASPD
241	25514 11233	   	156.89	ACR|2VULN|1AART|1DMG|1ASPD	14LWND|2RCVC|3RCR|4BPWR|57VULN|6DMG|8BEXP|9AART|aASPD
242	25551 12132	   	156.89	ACR|2VULN|1AART|1DMG|1DUR	1LWND|2RCVC|3RCR|48VULN|5FEWX|6DUR|7BEXP|9AART|aDMG
243	25553 22132	   	156.89	ACR|2VULN|1AART|1DMG|1DUR	1LWND|2RCVC|3RCR|48VULN|5DUR|6FEWX|7BEXP|9AART|aDMG
244	63111 37446	 * 	156.88	ACR|2VULN|2DMG|2ZMB|1ASPD|1SELL	19LIT|29ZMB|3ASPD|4MBVNT|5RCR|6aDMG|79VULN|8SELL|9BPWR
245	63111 87443	 * 	156.88	ACR|2VULN|2DMG|2ZMB|1ASPD|1SELL	19LIT|29ZMB|3ASPD|4MBVNT|5RCR|6aVULN|79DMG|8SELL|9BPWR
246	32313 12424	   	156.80	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1RCVC|2FEWX|3RPLT|4DMG|5DUST|6RCR|7VULN|8ZMB|9AART|aCDMG
247	25553 31132	   	156.79	ACR|2VULN|1AART|1DMG|1DUR	1LWND|2RCVC|3RCR|48VULN|5DUR|6DUST|7BEXP|9AART|aDMG
248	25516 11333	   	156.79	ACR|2VULN|1AART|1DMG|1ASPD	14LWND|2RCVC|3RCR|4BPWR|5MBVNT|6DMG|78VULN|9AART|aASPD
249	32126 61412	   	156.77	DCR|2VULN|1AART|1DMG|1ASPD	1RCVC|24FEWX|3CGEN|57VULN|6RCR|8ASPD|9AART|aDMG
250	33162 31611	 * 	156.68	ACR|2AART|2DMG|3DUR	1RCVC|29MLV|37AART|4RMIN|5RCR|69DMG|89aDUR|9BPWR
251	36162 31611	   	156.68	ACR|2AART|2DMG|3DUR	1RCVC|29CGEN|37AART|4RMIN|5RCR|69DMG|89aDUR|9BPWR
252	31632 43544	   	156.66	DCR|2VULN|2DMG|1CDMG|1ASPD|1SELL	1RCVC|2SELL|35DMG|4MBVNT|5BPWR|6ASPD|7CDMG|8aVULN|9RCR
253	63111 34425	   	156.65	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4MBVNT|5RCR|6DMG|7CDMG|8RCVC|9VULN|aAART
254	33162 31344	   	156.56	ACR|2AART|1VULN|1DMG|1CDMG	1RCVC|2MLV|37AART|4RMIN|5RCR|6DMG|8LWND|9VULN|aCDMG
255	63111 46844	   	156.55	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4MBVNT|5RCR|6RPLT|7AART|8VULN|9DMG|aCDMG
256	25313 12424	   	156.50	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LWND|2RCVC|3RPLT|4DMG|5DUST|6RCR|7VULN|8ZMB|9AART|aCDMG
257	34162 31611	   	156.48	ACR|2AART|2DMG|3DUR	1RCVC|29ERES|37AART|4RMIN|5RCR|69DMG|89aDUR|9BPWR
258	53425 12333	   	156.46	ACR|2VULN|1AART|2DUR|1ZMB|1ASPD	1ZMB|2LWND|37DUR|4RCR|58VULN|6RCVC|9AART|aASPD
259	36162 31133	   	156.46	ACR|2AART|1VULN|1DMG|1CDMG	1RCVC|2CGEN|37AART|4RMIN|5RCR|6DMG|8ERES|9VULN|aCDMG
260	31334 22542	   	156.42	DCR|3VULN|2DMG|1SELL	1RCVC|2SELL|3ERES|4MBVNT|569VULN|7RCR|8aDMG
261	26314 11334	   	156.38	DCR|2VULN|1AART|1DMG|1CDMG	14LWND|24BEXP|3RCVC|4BPWR|57VULN|6DMG|8AART|9RCR|aCDMG
262	25135 61333	   	156.37	DCR|2VULN|1AART|1DMG|1ASPD	1LWND|2RCVC|3CGEN|4DMG|5TLV|6RCR|78VULN|9AART|aASPD
263	52221 31421	   	156.35	ACR|3VULN|3ZMB|2DUR	178ZMB|289DUST|3aFEWX|4RCR|59DUR|689VULN|89BPWR
264	52221 31424	   	156.35	ACR|3VULN|3ZMB|2DUR	178ZMB|289DUST|3FEWX|4RCR|59DUR|689VULN|89BPWR|aLIT
265	52221 31426	   	156.35	ACR|3VULN|3ZMB|2DUR	178ZMB|289DUST|3FEWX|4RCR|59DUR|689VULN|89BPWR|aBEXP
266	33124 65233	   	156.33	DCR|1AART|1VULN|1DMG|1FLTHEA|1DUR	1RCVC|2MLV|3AART|4DUST|5MGNSTR|6RCR|7DUR|8DMG|9FLTHEA|aVULN
267	63111 64445	 * 	156.33	ACR|2VULN|1AART|2ZMB|1CDMG|1ASPD	19LIT|29ZMB|3ASPD|4MBVNT|5RCR|6RMIN|7CDMG|89VULN|9BPWR|aAART
268	33122 13542	 * 	156.32	DCR|2AART|1VULN|1FLTHEA|1ZMB|1ASPD	1RCVC|2MLV|35AART|4DUST|6ASPD|7RCR|8ZMB|9VULN|aFLTHEA
269	33122 13544	   	156.32	DCR|2AART|1VULN|1CDMG|1ZMB|1ASPD	1RCVC|2MLV|35AART|4DUST|6ASPD|7RCR|8ZMB|9VULN|aCDMG
270	21614 12322	   	156.29	ACR|2DMG|1AART|1VULN|1CDMG	1LWND|2CGEN|3BELT|4VULN|5RCR|6LHND|7AART|8CDMG|9aDMG
271	43614 12322	   	156.29	ACR|2DMG|1AART|1VULN|1CDMG	1CGEN|2LWND|3BELT|4VULN|5RCR|6LHND|7AART|8CDMG|9aDMG
272	33162 31312	   	156.29	ACR|3DMG|2AART	1RCVC|29MLV|37AART|4RMIN|5RCR|69aDMG|89LWND|9BPWR
273	36162 31312	   	156.29	ACR|3DMG|2AART	1RCVC|29CGEN|37AART|4RMIN|5RCR|69aDMG|89LWND|9BPWR
274	26334 11334	   	156.28	DCR|2VULN|1AART|1DMG|1CDMG	1LWND|24BEXP|3RCVC|57VULN|6DMG|8AART|9RCR|aCDMG
275	23135 42334	 * 	156.27	DCR|3VULN|1AART|1FLTHEA	1LWND|24aVULN|3LIT|5RMIN|6RCR|7AART|8FLTHEA|9CGEN
276	23135 42342	   	156.27	DCR|3VULN|1AART|1FLTHEA	1LWND|24aVULN|3LIT|5RMIN|6RCR|7AART|8FLTHEA|9RPLT
277	25514 12133	   	156.19	ACR|2VULN|1AART|1DMG|1DUR	14LWND|2RCVC|3RCR|4BPWR|58VULN|6DMG|7ERES|9DUR|aAART
278	33162 25322	   	156.11	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB	1RCVC|2MLV|3AART|4RMIN|5RCR|6LIT|7ZMB|8DMG|9CDMG|aVULN
279	33162 35314	   	156.11	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB	1RCVC|2MLV|3AART|4RMIN|5RCR|6DMG|7VULN|8ZMB|9CGEN|aCDMG
280	36162 35313	   	156.11	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB	1RCVC|29CGEN|3AART|4RMIN|5RCR|6DMG|7VULN|8ZMB|aCDMG
281	63111 34823	   	156.07	ACR|2DMG|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1LIT|2ZMB|3ASPD|4MBVNT|5RCR|68DMG|7CDMG|9VULN|aDUR
282	63111 35823	   	156.07	ACR|2DMG|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1LIT|2ZMB|3ASPD|4MBVNT|5RCR|67DMG|8CDMG|9VULN|aDUR
283	12232 46151	   	156.06	DCR|2VULN|1AART|1DMG|2DUR	1ERES|2DUST|3FEWX|4AART|57DUR|69VULN|8RCR|aDMG
284	33162 35324	   	156.01	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB	1RCVC|2MLV|3AART|4RMIN|5RCR|6DMG|7VULN|8ZMB|9ERES|aCDMG
285	34162 25322	   	156.01	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB	1RCVC|2ERES|3AART|4RMIN|5RCR|6LIT|7ZMB|8DMG|9CDMG|aVULN
286	33162 35431	   	155.99	ACR|2DMG|1AART|1VULN|1DUR	1RCVC|2MLV|3AART|4RMIN|5RCR|6aDMG|7VULN|8DUR|9BEXP
287	52421 62132	 * 	155.89	ACR|2VULN|1AART|3DUR|2ZMB	1aZMB|2DUST|35aDUR|4RCR|6LIT|7AART|8ERES|9aVULN|aBPWR
288	33466 12113	   	155.82	DCR|3VULN|1AART|1ZMB	1RCVC|2MLV|378VULN|4LWND|5RPLT|6RCR|9ZMB|aAART
289	25514 11321	   	155.80	ACR|4VULN|1DMG	14LWND|2RCVC|3RCR|4BPWR|5789VULN|6DMG|aTLV
290	25514 11322	   	155.80	ACR|4VULN|1DMG	14LWND|2RCVC|3RCR|4BPWR|5789VULN|6DMG|aERES
291	33434 32117	   	155.78	DCR|3VULN|1AART|1DMG	1RCVC|2MLV|358VULN|4DMG|6MBVNT|7FEWX|9AART|aRCR
292	53325 12362	   	155.70	DCR|1AART|1DMG|2CDMG|1VULN|1ZMB	1ZMB|25LWND|3RPLT|45CDMG|5BPWR|6DMG|7AART|8RCR|9CGEN|aVULN
293	53326 12362	   	155.60	DCR|1AART|1DMG|2CDMG|1VULN|1ZMB	1ZMB|2LWND|3RPLT|45CDMG|6DMG|7AART|8RCR|9CGEN|aVULN
294	53325 12336	   	155.60	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB	1ZMB|25LWND|3RPLT|45CDMG|5BPWR|6DMG|7AART|8RCR|9ERES|aVULN
295	63111 21745	   	155.58	ACR|2VULN|2DMG|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4MBVNT|5RCR|6RCVC|7aDMG|89VULN
296	53143 21146	   	155.53	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2LWND|3CDMG|4AART|5DUR|6VULN|7MBVNT|8FEWX|9RCR|aDMG
297	53326 12336	   	155.50	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB	1ZMB|2LWND|3RPLT|45CDMG|6DMG|7AART|8RCR|9ERES|aVULN
298	63111 34821	 * 	155.45	ACR|2DMG|1VULN|2CDMG|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4MBVNT|5RCR|68DMG|7aCDMG|9VULN
299	63111 35821	   	155.45	ACR|2DMG|1VULN|2CDMG|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4MBVNT|5RCR|67DMG|8aCDMG|9VULN
300	53143 21446	   	155.43	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2LWND|3CDMG|4AART|5DUR|6VULN|7MBVNT|8DUST|9RCR|aDMG
301	63222 51223	   	155.41	DCR|3VULN|1AART|2ZMB|1ASPD	1LIT|26ZMB|345VULN|7LHND|8ASPD|9RCR|aAART
302	63222 53223	   	155.41	DCR|3VULN|1AART|2ZMB|1ASPD	1LIT|26ZMB|345VULN|7FEWX|8ASPD|9RCR|aAART
303	52422 41321	   	155.37	ACR|2AART|2VULN|1ZMB|1DUR	1ZMB|2DUST|3DUR|4RCR|5aAART|69VULN|7TLV|8MGNLIT
304	52422 43321	   	155.37	ACR|2AART|2VULN|1ZMB|1DUR	1ZMB|2DUST|3DUR|4RCR|5aAART|69VULN|7RMIN|8CANSTR
305	34121 36162	   	155.37	DCR|2DMG|1AART|1VULN|1DUR	1RCVC|2ERES|3AART|4DUST|5VULN|6BEXP|7DUR|8RCR|9aDMG
306	52221 31436	 * 	155.37	ACR|2VULN|3ZMB|1DMG|1DUR	178ZMB|28DUST|3FEWX|4RCR|5DUR|68VULN|8BPWR|9RMIN|aDMG
307	33434 31833	   	155.33	DCR|2VULN|1AART|1DMG|1ZMB	1RCVC|2MLV|35VULN|4DMG|6MBVNT|7ZMB|8RCR|9RMIN|aAART
308	63131 22623	   	155.31	DCR|3VULN|1AART|2ZMB|1ASPD	1LIT|25ZMB|3ASPD|4DUST|678VULN|9RCR|aAART
309	63162 22623	   	155.31	DCR|3VULN|1AART|2ZMB|1ASPD	1LIT|24ZMB|3ASPD|5DUST|678VULN|9RCR|aAART
310	63222 52223	   	155.31	DCR|3VULN|1AART|2ZMB|1ASPD	1LIT|26ZMB|345VULN|7DUST|8ASPD|9RCR|aAART
311	23233 11554	   	155.31	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1LWND|24VULN|3RCVC|5LIT|6AART|7DMG|8ASPD|9DUR|aRCR
312	23134 42513	   	155.29	DCR|3VULN|1AART|1DUR|1ASPD	1LWND|24aVULN|3LIT|5MLV|6RCR|7DUR|8ASPD|9AART
313	23266 14113	   	155.22	DCR|3VULN|1AART|1ZMB	1LWND|278VULN|3RCVC|4CGEN|5RPLT|6RCR|9ZMB|aAART
314	23416 13322	   	155.19	DCR|3VULN|1AART|1DUR|1ASPD	1LWND|24aVULN|3ERES|5RPLT|6RCR|7DUR|8ASPD|9AART
315	23236 11236	   	155.18	DCR|3VULN|1AART|1DMG	1LWND|247VULN|3RCVC|5DUST|6DMG|8BEXP|9AART|aRCR
316	23226 12131	   	155.18	DCR|4VULN|1DMG	1LWND|2789VULN|3RCVC|4DMG|5RPLT|6RCR|aDMSP
317	23226 12134	   	155.18	DCR|4VULN|1DMG	1LWND|2789VULN|3RCVC|4DMG|5RPLT|6RCR|aRMIN
318	23226 12135	   	155.18	DCR|4VULN|1DMG	1LWND|2789VULN|3RCVC|4DMG|5RPLT|6RCR|aBEXP
319	23226 12136	   	155.18	DCR|4VULN|1DMG	1LWND|2789VULN|3RCVC|4DMG|5RPLT|6RCR|aLIT
320	52422 31532	   	155.17	ACR|2VULN|1AART|2ZMB|2DUR	1aZMB|2DUST|3aDUR|4RCR|5AART|6LIT|7TLV|8RCVC|9aVULN|aBPWR
321	23246 12123	   	155.12	DCR|3VULN|1AART|1ZMB	1LWND|278VULN|3RCVC|4ZMB|5RPLT|6RCR|9ERES|aAART
322	63241 52323	   	155.09	DCR|2DMG|1AART|1VULN|2ZMB	1LIT|25ZMB|3VULN|48DMG|6LWND|7RCVC|9RCR|aAART
323	23226 12125	   	155.08	DCR|4VULN|1DMG	1LWND|278aVULN|3RCVC|4DMG|5RPLT|6RCR|9ERES
324	23226 12132	   	155.08	DCR|4VULN|1DMG	1LWND|2789VULN|3RCVC|4DMG|5RPLT|6RCR|aERES
325	12143 34353	   	155.08	DCR|2DMG|1AART|1VULN|1CDMG	1ERES|2DUST|3CDMG|4AART|57DMG|6LIT|8RMIN|9RCR|aVULN
326	53421 62132	   	154.97	ACR|2VULN|1AART|2ZMB|2DUR	1aZMB|2LWND|3aDUR|4RCR|5RCVC|6LIT|7AART|8ERES|9aVULN|aBPWR
327	23135 42112	 * 	154.95	DCR|3VULN|1AART|2DUR	1aLWND|24aVULN|3LIT|5RMIN|6RCR|7AART|8ERES|9aDUR|aBPWR
328	63111 37443	 * 	154.95	ACR|3VULN|1DMG|2ZMB|1ASPD|1SELL	19LIT|29ZMB|3ASPD|4MBVNT|5RCR|6DMG|79aVULN|8SELL|9BPWR
