0	Index      	 *	Score 	Summary	Detail	
1	51111 11463	 * 	215.17	ACR|3DMG|2VULN|1AART|1CDMG|2DUR	1AART|2RCR|39DUR|49VULN|5CDMG|6RCVC|7TLV|89aDMG|9BPWR
178	51613 16211	   	186.59	ACR|3VULN|2DMG|1AART	1AART|2RCR|34aVULN|5RMIN|6AIRHEA|7CGEN|89DMG
179	51616 12211	   	186.59	ACR|3VULN|2DMG|1AART	1AART|2RCR|34aVULN|5BASHEA|67LWND|89DMG
180	51616 21211	   	186.59	ACR|3VULN|2DMG|1AART	1AART|2RCR|34aVULN|5BASHEA|6DMSP|7BEXP|89DMG
181	51616 33123	   	186.59	ACR|3VULN|2DMG|1AART	1AART|2RCR|348VULN|5BASHEA|6BELT|7aDMG|9LIT
182	43334 56424	   	186.51	DCR|3VULN|2DMG|1AART	1MBVNT|26aVULN|3CGEN|4AART|59DMG|7RCR|8DUR
183	51332 14211	   	186.49	ACR|3VULN|2DMG|1AART	1AART|2RCR|34VENICY|4BPWR|57aVULN|6LWND|89DMG
184	51332 44211	   	186.49	ACR|3VULN|2DMG|1AART	1AART|2RCR|34VENICY|4BPWR|57aVULN|6FEWX|89DMG
185	51332 64211	   	186.49	ACR|3VULN|2DMG|1AART	1AART|2RCR|34VENICY|4BPWR|57aVULN|6BEXP|89DMG
186	54113 62222	 * 	186.48	DCR|3DMG|2AART|2CDMG|1FLTHEA	1aAART|27DUST|3FLTHEA|4RPLT|579DMG|67CDMG|7BPWR|8RCR
187	51132 41343	   	186.47	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|2RCR|38DUR|4ASPD|578CGEN|68VULN|8BPWR|9CDMG|aDMG
188	23136 31624	   	186.41	DCR|3DMG|2VULN|1AART	179DMG|2TLV|3DUST|4aVULN|5DUR|6RCR|8AART
189	51611 13126	   	186.37	ACR|4VULN|1AART|2DUR|1ZMB	1AART|2RCR|345aVULN|6BEXP|79DUR|8ZMB
190	51611 13513	   	186.37	ACR|4VULN|1AART|2DUR|1ZMB	1AART|2RCR|3458VULN|6BEXP|7aDUR|9ZMB
191	51121 32525	   	186.37	ACR|3VULN|2AART|1CDMG|2DUR	17AART|2RCR|39DUR|4BEXP|5CDMG|68aVULN
192	31152 21434	   	186.30	ACR|2VULN|2DMG|1AART|2CDMG	1aCDMG|2RPLT|3RCR|4FEWX|5AART|6MBVNT|7aVULN|8aDMG|9BELT|aBPWR
193	51612 41123	   	186.27	ACR|4VULN|1AART|2DUR|1ZMB	1AART|2RCR|3469VULN|5aDUR|7DUST|8ZMB
194	51611 21123	   	186.27	ACR|4VULN|1AART|2DUR|1ZMB	1AART|2RCR|3459VULN|6aDUR|7DUST|8ZMB
195	51611 21513	   	186.27	ACR|4VULN|1AART|2DUR|1ZMB	1AART|2RCR|3458VULN|6aDUR|7DUST|9ZMB
196	51111 16225	   	186.23	ACR|4VULN|1AART|1CDMG	1AART|2RCR|3DUR|478aVULN|5CDMG|6RCVC|9BEXP
197	31162 21434	   	186.20	ACR|2VULN|2DMG|1AART|2CDMG	1aCDMG|2RPLT|3RCR|4DUST|5AART|6MBVNT|7aVULN|8aDMG|9BELT|aBPWR
198	31152 21486	   	186.20	ACR|2VULN|2DMG|1AART|2CDMG	1aCDMG|2RPLT|3RCR|4FEWX|5AART|6MBVNT|7aVULN|8aDMG|9LEGI|aBPWR
199	51111 42423	   	186.17	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|2RCR|39DUR|48VULN|5CDMG|6ERES|7ASPD|aDMG
200	51112 62423	   	186.17	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|2RCR|39DUR|48VULN|5ERES|6CDMG|7ASPD|aDMG
201	31162 21486	   	186.10	ACR|2VULN|2DMG|1AART|2CDMG	1aCDMG|2RPLT|3RCR|4DUST|5AART|6MBVNT|7aVULN|8aDMG|9LEGI|aBPWR
202	51612 33325	   	185.82	ACR|3VULN|1AART|1CDMG|2DUR|1ZMB	1AART|2RCR|34aVULN|59DUR|6TLV|7ZMB|8CDMG
203	51421 12225	   	185.68	ACR|2AART|2DMG|1VULN|1CDMG	17AART|2RCR|39LWND|49BEXP|5CDMG|6DUR|89DMG|9BPWR|aVULN
204	51111 52216	   	185.64	ACR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|2RCR|3aDUR|46VULN|5aCDMG|7FEWX|8DMG|9aTLV|aBPWR
205	51111 53216	   	185.64	ACR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|2RCR|3aDUR|46VULN|5aCDMG|7LWND|8DMG|9aTLV|aBPWR
206	51111 53613	   	185.48	ACR|2AART|2VULN|1DMG|1CDMG	19AART|2RCR|3DUR|46VULN|5CDMG|78LWND|aDMG
207	51121 31461	   	185.48	ACR|2AART|2VULN|1DMG|1CDMG	18AART|2RCR|3DUR|4BEXP|5CDMG|69VULN|7MLV|aDMG
208	51121 32263	   	185.48	ACR|2AART|2VULN|1DMG|1CDMG	17AART|2RCR|3DUR|4BEXP|5CDMG|69VULN|8DMG|aBELT
209	51121 32266	   	185.48	ACR|2AART|2VULN|1DMG|1CDMG	17AART|2RCR|3DUR|4aBEXP|5CDMG|69VULN|8DMG
210	51121 32553	   	185.48	ACR|2AART|2VULN|1DMG|1CDMG	17AART|2RCR|3DUR|4BEXP|5CDMG|68VULN|9DMG|aBELT
211	43452 82213	   	185.42	DCR|3VULN|2DMG|1AART|1CDMG	1MBVNT|279VULN|3BELT|4CDMG|5AART|68DMG|aRCR
212	51661 33121	   	185.39	ACR|4VULN|2AART|1ZMB	14AART|2RCR|357aVULN|69ERES|8ZMB
213	51661 22313	   	185.38	ACR|2AART|2VULN|1DMG|1CDMG	14AART|2RCR|35VULN|6DUR|7CDMG|8DUST|9DMSP|aDMG
214	51121 32262	   	185.38	ACR|2AART|2VULN|1DMG|1CDMG	17AART|2RCR|3DUR|4BEXP|5CDMG|69VULN|8DMG|aERES
215	51121 32531	   	185.38	ACR|2AART|2VULN|1DMG|1CDMG	17AART|2RCR|3DUR|4BEXP|5CDMG|68VULN|9ERES|aDMG
216	51121 32552	   	185.38	ACR|2AART|2VULN|1DMG|1CDMG	17AART|2RCR|3DUR|4BEXP|5CDMG|68VULN|9DMG|aERES
217	51631 12263	   	185.38	ACR|2AART|2VULN|1DMG|1CDMG	17AART|2RCR|39VULN|4DUST|5CDMG|6DUR|8DMG|aBELT
218	51631 12513	   	185.38	ACR|2AART|2VULN|1DMG|1CDMG	17AART|2RCR|38VULN|4DUST|5CDMG|6DUR|9DMSP|aDMG
219	51611 22125	   	185.33	ACR|4VULN|1AART|1CDMG	1AART|2RCR|345aVULN|6DUR|7CDMG|8LWND|9RCVC
220	51661 22331	   	185.28	ACR|2AART|2VULN|1DMG|1CDMG	14AART|2RCR|35VULN|6DUR|7CDMG|8DUST|9ERES|aDMG
221	51631 12262	   	185.28	ACR|2AART|2VULN|1DMG|1CDMG	17AART|2RCR|39VULN|4DUST|5CDMG|6DUR|8DMG|aERES
222	51631 12531	   	185.28	ACR|2AART|2VULN|1DMG|1CDMG	17AART|2RCR|38VULN|4DUST|5CDMG|6DUR|9ERES|aDMG
223	51661 33231	 * 	185.24	ACR|3VULN|3AART|1CDMG	149AART|2RCR|357VULN|6ERES|8CDMG|aDUR
224	51133 23661	   	185.19	ACR|3VULN|1AART|1DMG|2ASPD|1CDMG|2DUR|1MSE	1AART|2RCR|38DUR|48ASPD|5CDMG|6MSE|789VULN|8BPWR|aDMG
