0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31136 21116	9	 * 	276.69	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	19DUST|29DUR|3AART|4CDMG|56aVULN|79DMG|8RCR|9BPWR
167	21131 53153	3	   	248.80	DCR|2VULN|2DMG|1TLV|1DUR|1ASPD|1AART	1LHND|2DUR|3AART|4TLV|56VULN|7RCR|8aDMG|9ASPD
168	26231 53153	2	   	248.80	DCR|2VULN|2DMG|1TLV|1DUR|1ASPD|1AART	1LHND|2AART|3DUR|4TLV|56VULN|7RCR|8aDMG|9ASPD
169	53122 14134	6	   	248.66	DCR|3VULN|2DMG|1DUR|1AART	1RCVC|2AART|36aVULN|4aLHND|5FEWX|7RCR|8DUR|9aDMG|aBPWR
170	53123 34134	6	   	248.66	DCR|3VULN|2DMG|1DUR|1AART	1RCVC|2AART|35aVULN|4aLHND|6BEXP|7RCR|8DUR|9aDMG|aBPWR
171	53123 34334	5	   	248.66	DCR|3VULN|2DMG|1DUR|1AART	1RCVC|2AART|35aVULN|4aLHND|6DUR|7RCR|8BEXP|9aDMG|aBPWR
172	53351 13214	9	   	248.66	DCR|3VULN|2DMG|1TLV|1AART	1RCVC|2AART|39LWND|49aVULN|5TLV|6BEXP|7RCR|89DMG|9BPWR
173	53351 43212	9	   	248.66	DCR|3VULN|2DMG|1TLV|1AART	1RCVC|2AART|39LWND|49aVULN|5TLV|6LHND|7RCR|89DMG|9BPWR
174	53131 33614	9	   	248.47	DCR|3VULN|2ASPD|1TLV|1DUR|1AART	1RCVC|2AART|39aVULN|49FEWX|5TLV|6DUR|7RCR|89ASPD|9BPWR
175	14122 51413	3	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1RMIN|26aVULN|3TLV|4ASPD|5DUR|7RCR|8DMG|9LWND
176	14122 51433	3	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1RMIN|26aVULN|3TLV|4ASPD|5DUR|7RCR|8DMG|9FEWX
177	15125 12143	1	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1RMIN|2DMG|3FEWX|4ASPD|5DUR|6TLV|7RCR|89aVULN
178	15421 12143	1	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1RMIN|2DMG|3DUR|4ASPD|5LWND|6TLV|7RCR|89aVULN
179	15423 12143	1	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1RMIN|2DMG|3DUR|4ASPD|5BEXP|6TLV|7RCR|89aVULN
180	12616 21136	2	 * 	248.46	DCR|3VULN|3CDMG|2ASPD|1DUR	1RMIN|2DLOT|38ASPD|458VULN|678CDMG|8BPWR|9DUR|aRCR
181	53153 21233	7	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1RCVC|2AART|345VULN|6CGEN|78DMG|9DUR|aRCR
182	53153 21233	8	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1RCVC|2AART|345VULN|6CGEN|78DMG|9DUR|aRCR
183	55432 31233	5	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1RCVC|256VULN|38DMG|4MLV|7AART|9DUR|aRCR
184	21141 53134	4	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1LHND|2DUR|3AART|4RMIN|56aVULN|7RCR|89DMG
185	21152 33134	3	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1LHND|2DUR|3AART|45aVULN|6RMIN|7RCR|89DMG
186	23131 53134	3	   	248.46	DCR|3VULN|2DMG|1TLV|1AART	1LHND|2BEXP|3AART|4TLV|56aVULN|7RCR|89DMG
187	23152 23134	3	   	248.46	DCR|3VULN|2DMG|1TLV|1AART	1LHND|2BEXP|3AART|45aVULN|6TLV|7RCR|89DMG
188	24131 53134	3	   	248.46	DCR|3VULN|2DMG|1TLV|1AART	1LHND|2FEWX|3AART|4TLV|56aVULN|7RCR|89DMG
189	24152 23134	3	   	248.46	DCR|3VULN|2DMG|1TLV|1AART	1LHND|2FEWX|3AART|45aVULN|6TLV|7RCR|89DMG
190	26252 33134	2	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1LHND|2AART|3DUR|45aVULN|6RMIN|7RCR|89DMG
191	55423 31132	10	   	248.43	DCR|2VULN|2DMG|2DUR|1CDMG	1RCVC|27VULN|39DMG|4aDUR|5CDMG|6LIT|8RCR
192	21151 53134	3	   	248.36	DCR|3VULN|2DMG|1DUR|1AART	1LHND|2DUR|3AART|46aVULN|5ERES|7RCR|89DMG
193	21152 23134	3	   	248.36	DCR|3VULN|2DMG|1DUR|1NUKE|1AART	1LHND|2DUR|3AART|45aVULN|6NUKE|7RCR|89DMG
194	21152 63134	3	   	248.36	DCR|3VULN|2DMG|1DUR|1AART	1LHND|2DUR|3AART|45aVULN|6ERES|7RCR|89DMG
195	22131 53134	3	   	248.36	DCR|3VULN|2DMG|1TLV|1AART	1LHND|2DUST|3AART|4TLV|56aVULN|7RCR|89DMG
196	26252 23134	2	   	248.36	DCR|3VULN|2DMG|1DUR|1NUKE|1AART	1LHND|2AART|3DUR|45aVULN|6NUKE|7RCR|89DMG
197	31141 53151	4	   	248.36	DCR|3VULN|2DMG|1DUR|1AART	1aDUST|2DUR|3AART|4RMIN|56aVULN|7RCR|8aDMG|9LEGI|aBPWR
198	53153 31262	10	   	248.36	DCR|3VULN|2DMG|1TLV|1AART	1RCVC|2AART|345VULN|6ERES|78DMG|9RCR|aTLV
199	53153 31533	6	   	248.36	DCR|3VULN|2DMG|1DUR|1AART	1RCVC|2AART|345VULN|6ERES|7DUR|89DMG|aRCR
200	22152 23134	3	   	248.36	DCR|3VULN|2DMG|1TLV|1AART	1LHND|2DUST|3AART|45aVULN|6TLV|7RCR|89DMG
201	31152 33151	2	   	248.36	DCR|3VULN|2DMG|1DUR|1AART	1aDUST|2DUR|3AART|45aVULN|6RMIN|7RCR|8aDMG|9LEGI|aBPWR
202	31152 33151	3	   	248.36	DCR|3VULN|2DMG|1DUR|1AART	1aDUST|2DUR|3AART|45aVULN|6RMIN|7RCR|8aDMG|9LEGI|aBPWR
203	31136 21124	8	   	248.35	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1AART	1DUST|29DUR|3AART|4CDMG|56VULN|7DMG|8RCR|aTLV
204	53153 36323	10	   	248.31	DCR|4VULN|1TLV|2LIT|1AART	1RCVC|2AART|3459VULN|69ERES|79LIT|8RCR|9BPWR|aTLV
205	21131 52514	3	   	248.27	DCR|3VULN|2ASPD|1TLV|1DUR|1AART	1LHND|2DUR|3AART|4TLV|56aVULN|78ASPD|9RCR
206	31152 23151	2	   	248.26	DCR|3VULN|2DMG|1DUR|1NUKE|1AART	1aDUST|2DUR|3AART|45aVULN|6NUKE|7RCR|8aDMG|9LEGI|aBPWR
207	31152 23151	3	   	248.26	DCR|3VULN|2DMG|1DUR|1NUKE|1AART	1aDUST|2DUR|3AART|45aVULN|6NUKE|7RCR|8aDMG|9LEGI|aBPWR
208	21132 61114	4	   	248.23	DCR|4VULN|2DUR|1AART	17LHND|28DUR|3AART|47FEWX|567aVULN|7BPWR|9RCR
209	21152 51114	3	   	248.23	DCR|4VULN|2DUR|1AART	17LHND|28DUR|3AART|457aVULN|67BEXP|7BPWR|9RCR
210	23152 11314	3	   	248.23	DCR|4VULN|2DUR|1AART	17LHND|28BEXP|3AART|457aVULN|67DUR|7BPWR|9RCR
211	31131 52514	2	   	248.17	DCR|3VULN|2ASPD|1TLV|1DUR|1AART	1DUST|2DUR|3AART|4TLV|56aVULN|78ASPD|9RCR
212	31131 52514	3	   	248.17	DCR|3VULN|2ASPD|1TLV|1DUR|1AART	1DUST|2DUR|3AART|4TLV|56aVULN|78ASPD|9RCR
213	53136 11333	3	   	248.03	DCR|4VULN|2DUR|1AART	1RCVC|2AART|356aVULN|47DUR|8RCR|9BELT
214	53216 11333	2	   	248.03	DCR|4VULN|2DUR|1AART	1RCVC|2AART|37DUR|456aVULN|8RCR|9BELT
215	21121 15113	9	   	248.03	DCR|4VULN|2DUR|1AART	14LHND|27DUR|3AART|5689VULN|aRCR
216	21132 16314	8	   	248.03	DCR|4VULN|2DUR|1AART	1LHND|25DUR|3AART|4FEWX|678aVULN|9RCR
217	31152 51114	2	   	248.03	DCR|4VULN|2DUR|1AART	17DUST|28DUR|3AART|457aVULN|67FEWX|7BPWR|9RCR
218	31152 51114	3	   	248.03	DCR|4VULN|2DUR|1AART	17DUST|28DUR|3AART|457aVULN|67FEWX|7BPWR|9RCR
219	32152 11414	1	   	248.03	DCR|4VULN|2DUR|1AART	17DUST|28FEWX|3AART|457aVULN|67DUR|7BPWR|9RCR
220	53115 61333	3	   	248.03	DCR|4VULN|2DUR|1AART	1RCVC|2AART|345aVULN|67DUR|8RCR|9BELT
221	53152 11333	5	   	248.03	DCR|4VULN|2DUR|1AART	1RCVC|2AART|346aVULN|57DUR|8RCR|9BELT
222	53153 51333	6	   	248.03	DCR|4VULN|2DUR|1AART	1RCVC|2AART|345aVULN|67DUR|8RCR|9BELT
223	53153 53311	7	   	248.03	DCR|4VULN|2DUR|1AART	1RCVC|2AART|3457VULN|69DUR|8RCR|aFEWX
224	53153 53313	8	   	248.03	DCR|4VULN|2DUR|1AART	1RCVC|2AART|3457VULN|69DUR|8BEXP|aRCR
225	53153 53313	7	   	248.03	DCR|4VULN|2DUR|1AART	1RCVC|2AART|3457VULN|69DUR|8RCR|aRMIN
226	53153 61333	5	   	248.03	DCR|4VULN|2DUR|1AART	1RCVC|2AART|345aVULN|67DUR|8RCR|9BELT
227	53261 15113	9	   	248.03	DCR|4VULN|2DUR|1AART	1RCVC|2AART|3BEXP|47DUR|5689VULN|aRCR
228	53152 35113	9	   	248.03	DCR|4VULN|2DUR|1AART	1RCVC|2AART|3489VULN|57DUR|6BEXP|aRCR
229	53112 11615	3	   	248.02	DCR|2VULN|3DUR|1DMG|1TLV|1AART	1RCVC|2AART|34VULN|5DMG|679DUR|8TLV|aRCR
230	53153 53312	7	   	247.93	DCR|4VULN|2DUR|1AART	1RCVC|2AART|3457VULN|69DUR|8RCR|aDLOT
231	14162 11411	2	 * 	247.89	DCR|2VULN|2DMG|2DUR|2ASPD	15RMIN|29VULN|39DUR|4ZMB|6aASPD|7RCR|89DMG|9BPWR
232	31151 15113	9	   	247.83	DCR|4VULN|2DUR|1AART	14DUST|27DUR|3AART|5689VULN|aRCR
233	11213 24424	2	   	247.40	DCR|3VULN|2DMG|1CDMG|1ASPD	12RMIN|379VULN|4CDMG|57CGEN|67DMG|7BPWR|8ASPD|aRCR
234	53133 42243	10	   	247.22	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1RCVC|2AART|359VULN|45FEWX|5BPWR|6TLV|7RCR|8DMG|aDUR
235	21116 23134	7	   	247.14	DCR|2VULN|2DMG|2DUR|1ASPD|1AART	1LHND|25DUR|3AART|4ASPD|6aVULN|7RCR|89DMG
236	21131 53124	3	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	19LHND|2DUR|3AART|4TLV|56aVULN|7RCR|8DMG
237	26231 53124	2	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	19LHND|2AART|3DUR|4TLV|56aVULN|7RCR|8DMG
238	53513 11114	4	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1RCVC|2AART|3DMG|4TLV|56aVULN|7DUR|8LHND|9RCR
239	53513 11114	5	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1RCVC|2AART|3DMG|4TLV|56aVULN|7DUR|8LHND|9RCR
240	53513 11314	4	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1RCVC|2AART|3DMG|4TLV|56aVULN|7DUR|8BEXP|9RCR
241	53513 11314	5	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1RCVC|2AART|3DMG|4TLV|56aVULN|7DUR|8BEXP|9RCR
242	53112 12663	3	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1RCVC|2AART|349VULN|5DMG|6DUR|7DMSP|8TLV|aRCR
243	53121 23214	8	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1RCVC|2AART|36aVULN|4LHND|5TLV|7DUR|8DMG|9RCR
244	53121 34214	8	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1RCVC|2AART|37aVULN|4LHND|5TLV|6DUR|8DMG|9RCR
245	53123 42243	10	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1RCVC|2AART|359VULN|4LHND|6TLV|7RCR|8DMG|aDUR
246	53123 43214	8	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1RCVC|2AART|35aVULN|4LHND|6TLV|7DUR|8DMG|9RCR
247	53131 34214	8	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1RCVC|2AART|37aVULN|4FEWX|5TLV|6DUR|8DMG|9RCR
248	53152 42211	8	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1RCVC|2AART|34aVULN|5DUR|6TLV|7RCR|8DMG|9RMIN
249	53152 42213	9	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1RCVC|2AART|34aVULN|5DUR|6TLV|7RCR|8DMG|9BELT
250	53121 22243	10	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1RCVC|2AART|369VULN|4LHND|5TLV|7RCR|8DMG|aDUR
251	53131 22243	10	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1RCVC|2AART|369VULN|4FEWX|5TLV|7RCR|8DMG|aDUR
252	53152 12242	10	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1RCVC|2AART|349VULN|5DUR|6MLV|7RCR|8DMG|aTLV
253	53152 22242	10	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1RCVC|2AART|349VULN|5DUR|6ZMB|7RCR|8DMG|aTLV
254	55222 21112	10	   	247.09	DCR|2VULN|2DMG|2DUR|1ASPD|1AART|1SELL	1RCVC|29VULN|3SELL|4LWND|59DUR|6AART|79DMG|8RCR|9BPWR|aASPD
255	31131 53154	2	   	247.02	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1DUST|2DUR|3AART|4TLV|56aVULN|7RCR|8DMG|9DMSP
256	31131 53154	3	   	247.02	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1DUST|2DUR|3AART|4TLV|56aVULN|7RCR|8DMG|9DMSP
257	35236 53222	1	 * 	246.84	DCR|5VULN|2CDMG	1DUST|2aCDMG|3TBNT|45689VULN|7RCR
258	21142 11114	6	 * 	246.81	DCR|3VULN|2DUR|2ASPD|1AART	17LHND|28DUR|3AART|4RMIN|57ASPD|67aVULN|7BPWR|9RCR
259	26632 11114	6	   	246.81	DCR|3VULN|2DUR|2ASPD|1AART	17LHND|2AART|3RMIN|48DUR|57ASPD|67aVULN|7BPWR|9RCR
260	53132 14413	3	   	246.81	DCR|3VULN|2DUR|2ASPD|1AART	1RCVC|2AART|368VULN|49DUR|58ASPD|78CGEN|8BPWR|aRCR
261	26121 11514	5	   	246.81	DCR|3VULN|2DUR|2ASPD|1AART	17LHND|2AART|38ASPD|4RMIN|57aVULN|67DUR|7BPWR|9RCR
262	26423 11132	6	 * 	246.80	ACR|3VULN|3DMG|2DUR|1AART	17aLHND|2AART|379DMG|4RMIN|5RCR|67aVULN|7aBPWR|8aDUR
