0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52412 24233	2	 * 	285.30	DCR|4VULN|3DUR|2DMG	17LHND|2479VULN|348DUR|47BPWR|5ASPD|67DMG|aRCR
162	15612 33263	4	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3BEXP|4LWND|5AART|69DMG|8RCR|9BPWR|aLHND
163	15622 33261	3	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3BEXP|4LHND|5AART|69DMG|8RCR|9BPWR|aFEWX
164	15622 33263	3	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3BEXP|4aLHND|5AART|69DMG|8RCR|9BPWR
165	35265 33121	9	   	255.71	DCR|3VULN|3DMG|2CDMG	1RMIN|2RCVC|358DMG|489VULN|68CDMG|7RCR|8BPWR|aLIT
166	13232 36263	1	   	255.63	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3AART|4BEXP|5FEWX|69DMG|8RCR|9BPWR|aDUST
167	13233 36261	1	   	255.63	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3AART|4BEXP|5DUST|69DMG|8RCR|9BPWR|aFEWX
168	13233 36263	1	   	255.63	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3AART|4BEXP|5DUST|69DMG|8RCR|9BPWR|aRPLT
169	13233 36264	1	   	255.63	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3AART|4BEXP|5DUST|69DMG|8RCR|9BPWR|aRCVC
170	13241 36263	1	   	255.63	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3AART|4FEWX|5BEXP|69DMG|8RCR|9BPWR|aDUST
171	15232 36263	2	   	255.63	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3AART|4BEXP|5FEWX|69DMG|8RCR|9BPWR|aDUST
172	15233 36261	2	   	255.63	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3AART|4BEXP|5DUST|69DMG|8RCR|9BPWR|aFEWX
173	15233 36263	2	   	255.63	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3AART|4BEXP|5DUST|69DMG|8RCR|9BPWR|aRPLT
174	11212 41636	1	   	255.59	DCR|2VULN|2DMG|2TLV|1DUR|1AART	1aTLV|24DMG|3aBEXP|5ASPD|6DUR|7RCR|8AART|9aVULN|aBPWR
175	12115 16226	8	   	255.59	DCR|2VULN|2DMG|2TLV|1DUR|1AART	1aTLV|2ASPD|3aLWND|45DMG|6RCR|7DUR|8AART|9aVULN|aBPWR
176	15531 35212	5	   	255.59	DCR|2VULN|2DMG|2TLV|1DUR|1AART	17TLV|27VULN|3AART|4RCVC|5DMSP|67DMG|7BPWR|8RCR|9LIT|aDUR
177	13154 11823	1	   	255.58	DCR|5VULN|1TLV|1DUR	1TLV|24789VULN|3ERES|5DUR|6MBVNT|aRCR
178	13233 65262	1	   	255.53	DCR|3VULN|2DMG|3TLV|1AART	169TLV|29aVULN|3AART|4BEXP|5DUST|79DMG|8RCR|9BPWR
179	12151 62421	2	   	255.41	DCR|4VULN|1TLV|1DUR|1AART	1TLV|2ASPD|3458VULN|6DUR|7CGEN|9AART|aRCR
180	13351 62421	1	   	255.41	DCR|4VULN|1TLV|1DUR|1AART	1TLV|2458VULN|3ASPD|6DUR|7CGEN|9AART|aRCR
