0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11633 52162	10	 * 	281.94	DCR|4VULN|3DUR|2TLV	149DUR|2RMIN|3489VULN|49BPWR|5BEXP|6LIT|79TLV|aRCR
178	12411 12111	4	   	253.82	DCR|5VULN|2DUR|1AART	19DUR|2567aVULN|3AART|4LWND|8RCR
179	12613 52151	4	   	253.82	DCR|5VULN|2DUR|1AART	19DUR|24579VULN|39DUST|6AART|8RCR|9BPWR|aMLV
180	12615 12151	5	   	253.82	DCR|5VULN|2DUR|1AART	19DUR|24679VULN|39DUST|5AART|8RCR|9BPWR|aMLV
181	14624 12113	5	   	253.78	DCR|3VULN|1TLV|1DMG|2AART|1DUR	1DUR|29AART|3DMG|4TLV|567VULN|8RCR|aERES
182	12421 12111	3	   	253.72	DCR|5VULN|2DUR|1AART	19DUR|2567aVULN|3AART|4LEGI|8RCR
183	12426 12141	3	   	253.72	DCR|5VULN|2DUR|1AART	15DUR|2567aVULN|3AART|4LEGI|5BPWR|8RCR|9DUST
184	13146 23387	9	   	253.59	DCR|2VULN|2DMG|2DUR|1TLV|1AART	19DUR|2DLOT|3MBVNT|4RCVC|5AART|69DMG|7RCR|89VULN|9BPWR|aTLV
185	14623 33131	7	   	253.59	DCR|2VULN|2DMG|2DUR|1TLV|1AART	19DUR|2AART|35DMG|4TLV|6DMSP|7aVULN|8RCR
186	12623 53163	7	   	253.44	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG	17DUR|257VULN|3DUST|4DMG|67LIT|7BPWR|8ZMB|9RCR|aCDMG
187	12222 32552	6	   	253.16	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2456VULN|346ERES|46BPWR|7CDMG|8LIT|9RCR|aDMG
188	12313 65243	3	   	252.98	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG|1SELL	146DUR|27VULN|3SELL|5TLV|8CDMG|9DMG|aRCR
189	14143 22463	8	 * 	252.95	DCR|2VULN|3DUR|1TLV|3ASPD|1AART	169DUR|2AART|3MBVNT|4RCVC|569ASPD|69BPWR|79VULN|8RCR|aTLV
190	11633 52412	10	   	252.61	DCR|3VULN|3DUR|1TLV	148DUR|2RMIN|349VULN|4BPWR|5BEXP|6LIT|7TLV|aRCR
191	21325 52412	10	   	252.61	DCR|3VULN|3DUR|1TLV	1FEWX|2RMIN|358DUR|459VULN|5BPWR|6LIT|7TLV|aRCR
192	11633 35522	8	   	252.58	DCR|3VULN|3DUR|2TLV	149DUR|2RMIN|349VULN|49BPWR|5BEXP|6RPLT|7ZMB|89TLV|aRCR
193	14183 47313	4	   	252.56	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1DUR|2AART|3MBVNT|4CDMG|58DMG|67VULN|9RCR|aTLV
194	14183 47313	6	   	252.56	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1DUR|2AART|3MBVNT|4CDMG|57VULN|68DMG|9RCR|aTLV
195	12112 34414	9	   	252.38	DCR|3VULN|3DUR|2TLV	15aDUR|24aVULN|3LHND|6DUST|7RCR|8aTLV|9RPLT|aBPWR
196	12512 32522	8	   	252.38	DCR|3VULN|3DUR|2TLV	159DUR|249VULN|3BEXP|6DUST|7RPLT|89TLV|9BPWR|aRCR
197	12512 32534	8	   	252.38	DCR|3VULN|3DUR|2TLV	15aDUR|24aVULN|3BEXP|6DUST|7RPLT|8aTLV|9RCR|aBPWR
198	11631 15136	10	   	252.12	DCR|4VULN|2DUR|1TLV	14DUR|25RMIN|3467VULN|4BPWR|8LHND|9RCR|aTLV
199	11631 15236	10	   	252.12	DCR|4VULN|2DUR|1TLV	14DUR|25RMIN|3467VULN|4BPWR|8BEXP|9RCR|aTLV
200	11631 63236	10	   	252.12	DCR|4VULN|2DUR|1TLV	14DUR|25RMIN|3478VULN|4BPWR|6FEWX|9RCR|aTLV
201	11634 23236	10	   	252.12	DCR|4VULN|2DUR|1TLV	14DUR|2RMIN|3478VULN|4BPWR|56FEWX|9RCR|aTLV
202	21325 23236	10	   	252.12	DCR|4VULN|2DUR|1TLV	16FEWX|2RMIN|35DUR|4578VULN|5BPWR|9RCR|aTLV
203	11631 13236	10	   	252.12	DCR|4VULN|2DUR|1TLV	14DUR|25RMIN|3468VULN|4BPWR|7FEWX|9RCR|aTLV
204	11635 13236	10	   	252.12	DCR|4VULN|2DUR|1TLV	14DUR|2RMIN|3468VULN|4BPWR|5RCVC|7FEWX|9RCR|aTLV
205	11631 23236	10	   	252.02	DCR|4VULN|2DUR|1TLV	14DUR|25RMIN|3478VULN|4BPWR|6DUST|9RCR|aTLV
206	11635 23236	10	   	252.02	DCR|4VULN|2DUR|1TLV	14DUR|2RMIN|3478VULN|4BPWR|5RCVC|6DUST|9RCR|aTLV
207	12112 62236	10	   	252.02	DCR|4VULN|2DUR|1TLV	15DUR|2468VULN|3LHND|7MLV|9RCR|aTLV
208	12354 31125	7	   	251.99	DCR|2VULN|2DMG|2DUR|1TLV|1SELL	19DUR|2aVULN|3SELL|4TLV|58DMG|6RCR|7ASPD
209	12354 31225	8	   	251.99	DCR|2VULN|2DMG|2DUR|1TLV|1SELL	19DUR|2aVULN|3SELL|4TLV|58DMG|6RCR|7ASPD
210	12352 32165	7	 * 	251.97	DCR|2VULN|2DMG|2TLV|2DUR|1SELL	19DUR|29VULN|3SELL|4aTLV|5FEWX|6RCR|7RCVC|89DMG|9BPWR
211	12352 32265	8	 * 	251.97	DCR|2VULN|2DMG|2TLV|2DUR|1SELL	19DUR|29VULN|3SELL|4aTLV|5FEWX|6RCR|7RCVC|89DMG|9BPWR
